RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
6.0,0.0,6.0,530.0,0
107.0,0.0,107.0,720.0,0
99.0,0.0,99.0,600.0,0
87.0,0.0,87.0,670.0,0
98.0,21.0,77.0,1100.0,0
110.5,5.0,105.5,880.0,0
124.0,0.0,124.0,880.0,0
119.0,0.0,119.0,800.0,0
93.0,0.0,93.0,960.0,0
117.5,0.0,117.5,930.0,0
120.5,0.0,120.5,680.0,0
97.5,0.0,97.5,890.0,0
101.5,0.5,101.0,1000.0,0
121.0,0.0,121.0,1000.0,0
112.0,10.0,102.0,1000.0,0
112.5,9.0,103.5,940.0,0
119.0,0.5,118.5,980.0,0
110.0,0.0,110.0,1100.0,0
114.0,19.5,94.5,1100.0,0
112.5,36.0,76.5,1100.0,0
102.0,46.0,56.0,1300.0,0
164.5,30.5,134.0,990.0,0
123.0,0.0,123.0,870.0,0
113.0,0.0,113.0,910.0,0
131.5,0.0,131.5,970.0,0
108.0,0.0,108.0,1000.0,0
128.0,9.5,118.5,1100.0,0
129.5,16.0,113.5,1100.0,0
124.0,33.5,90.5,1100.0,0
111.5,80.5,31.0,1300.0,0
125.0,117.5,7.5,1500.0,0
132.5,108.0,24.5,1200.0,0
135.5,25.5,110.0,1100.0,0
135.0,1.0,134.0,1000.0,0
135.5,22.5,113.0,1100.0,0
137.5,13.5,124.0,960.0,0
126.0,14.0,112.0,1200.0,0
147.5,27.5,120.0,980.0,0
138.5,0.5,138.0,1000.0,0
133.5,2.0,131.5,980.0,0
116.0,3.5,112.5,1500.0,0
138.5,64.5,74.0,1500.0,0
130.0,15.5,114.5,1200.0,0
128.5,77.0,51.5,1400.0,0
120.5,52.0,68.5,1400.0,0
117.0,85.0,32.0,1400.0,0
112.0,109.0,3.0,1600.0,0
132.5,88.0,44.5,1400.0,0
134.0,56.5,77.5,1100.0,0
134.0,51.0,83.0,1100.0,0
124.5,18.5,106.0,1100.0,0
125.5,58.5,67.0,1500.0,0
137.5,56.0,81.5,1100.0,0
128.5,43.5,85.0,1100.0,0
130.5,50.0,80.5,1400.0,0
127.5,23.5,104.0,1100.0,0
124.0,44.5,79.5,1200.0,0
128.0,72.0,56.0,1500.0,0
122.0,69.5,52.5,1200.0,0
127.0,105.0,22.0,1400.0,0
115.0,102.5,12.5,1500.0,0
124.5,91.5,33.0,1300.0,0
126.0,81.0,45.0,1500.0,0
128.0,82.0,46.0,1500.0,0
132.0,76.5,55.5,1100.0,0
139.0,19.0,120.0,1100.0,0
134.5,8.5,126.0,1000.0,0
120.0,31.0,89.0,1100.0,0
131.0,63.5,67.5,1200.0,0
132.5,35.5,97.0,1200.0,0
133.5,29.0,104.5,1400.0,0
133.5,44.5,89.0,1100.0,0
127.0,39.0,88.0,1200.0,0
126.0,80.5,45.5,1200.0,0
127.5,93.5,34.0,1100.0,0
123.5,106.0,17.5,1400.0,0
150.0,64.5,85.5,1200.0,0
117.0,2.0,115.0,1100.0,0
129.0,17.0,112.0,1200.0,0
119.5,33.0,86.5,1200.0,0
120.5,75.5,45.0,1200.0,0
142.0,87.5,54.5,1100.0,0
129.0,5.0,124.0,980.0,0
133.5,35.5,98.0,1200.0,0
142.5,45.5,97.0,930.0,0
128.0,3.5,124.5,1100.0,0
128.0,28.5,99.5,1100.0,0
136.5,45.5,91.0,1100.0,0
129.5,12.5,117.0,1100.0,0
124.0,17.0,107.0,1100.0,0
122.0,64.0,58.0,1200.0,0
133.0,102.0,31.0,1200.0,0
134.0,45.0,89.0,1000.0,0
136.5,18.0,118.5,1100.0,0
140.5,18.0,122.5,1000.0,0
124.5,6.0,118.5,1100.0,0
121.5,70.0,51.5,1100.0,0
132.0,69.0,63.0,1100.0,0
132.5,29.5,103.0,1100.0,0
133.0,62.5,70.5,1100.0,0
128.5,89.5,39.0,1100.0,0
124.5,97.5,27.0,1200.0,0
138.0,95.5,42.5,1200.0,0
131.0,17.5,113.5,1000.0,0
125.5,27.5,98.0,1100.0,0
132.5,51.5,81.0,1200.0,0
128.0,62.5,65.5,1200.0,0
121.5,79.0,42.5,1100.0,0
126.0,88.5,37.5,1100.0,0
139.0,92.0,47.0,1100.0,0
129.5,28.0,101.5,1000.0,0
132.0,31.5,100.5,1100.0,0
129.0,67.0,62.0,1100.0,0
130.0,52.5,77.5,1100.0,0
140.0,38.5,101.5,1100.0,0
134.0,10.0,124.0,1100.0,0
122.5,57.5,65.0,1300.0,0
124.5,99.5,25.0,1200.0,0
123.5,82.5,41.0,1200.0,0
142.5,31.0,111.5,1100.0,0
133.0,13.5,119.5,1100.0,0
119.0,27.5,91.5,1200.0,0
127.0,82.0,45.0,1200.0,0
110.5,93.5,17.0,1300.0,0
120.0,119.0,1.0,1300.0,0
125.5,100.5,25.0,1300.0,0
138.5,44.0,94.5,1000.0,0
138.5,4.5,134.0,900.0,0
138.5,0.0,138.5,950.0,0
129.0,0.0,129.0,1000.0,0
135.0,4.0,131.0,980.0,0
133.0,5.0,128.0,1000.0,0
132.0,6.0,126.0,960.0,0
139.0,1.5,137.5,1000.0,0
