RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,800.0,0
46.0,0.0,46.0,800.0,0
50.0,34.5,15.5,1500.0,0
119.0,67.0,52.0,2000.0,0
156.5,134.5,22.0,1900.0,0
148.5,128.5,20.0,1600.0,0
126.5,89.5,37.0,1800.0,0
112.0,107.5,4.5,2000.0,0
137.5,125.0,12.5,2000.0,0
138.0,123.0,15.0,2100.0,0
136.5,129.0,7.5,2000.0,0
151.5,136.5,15.0,1900.0,0
137.5,122.0,15.5,2600.0,0
148.0,138.0,10.0,2600.0,0
132.5,118.0,14.5,2100.0,0
135.5,135.5,0.0,2300.0,0
121.0,121.0,0.0,2000.0,0
165.0,153.5,11.5,2000.0,0
141.0,141.0,0.0,2200.0,0
150.0,150.0,0.0,2500.0,0
129.5,129.5,0.0,3000.0,0
154.0,154.0,0.0,2200.0,0
157.5,155.5,2.0,2800.0,0
136.0,136.0,0.0,2800.0,0
152.0,152.0,0.0,2800.0,0
119.5,110.5,9.0,2200.0,0
132.5,122.0,10.5,2200.0,0
154.5,154.5,0.0,2800.0,0
148.0,147.5,0.5,2100.0,0
133.5,133.5,0.0,2800.0,0
136.0,136.0,0.0,2800.0,0
150.5,142.5,8.0,2600.0,0
125.5,120.5,5.0,2600.0,0
141.5,138.0,3.5,2100.0,0
122.0,120.5,1.5,2100.0,0
151.0,150.5,0.5,2100.0,0
134.0,134.0,0.0,2600.0,0
155.5,154.5,1.0,2700.0,0
117.5,117.5,0.0,2600.0,0
156.5,156.5,0.0,3000.0,0
110.0,110.0,0.0,2800.0,0
169.0,168.0,1.0,3000.0,0
103.5,100.0,3.5,3000.0,0
131.0,131.0,0.0,2900.0,0
128.5,128.5,0.0,2900.0,0
167.0,167.0,0.0,2900.0,0
156.5,153.0,3.5,2100.0,0
127.0,127.0,0.0,2900.0,0
166.5,166.5,0.0,2900.0,0
125.5,122.0,3.5,2700.0,0
132.0,132.0,0.0,2300.0,0
135.0,135.0,0.0,2500.0,0
145.5,145.0,0.5,2400.0,0
108.5,108.0,0.5,3000.0,0
130.0,130.0,0.0,3000.0,0
137.5,137.5,0.0,3000.0,0
143.0,141.5,1.5,2900.0,0
135.0,133.0,2.0,2900.0,0
133.5,133.5,0.0,2900.0,0
158.0,157.0,1.0,3100.0,0
126.5,125.5,1.0,2900.0,0
140.0,140.0,0.0,3500.0,0
147.5,147.0,0.5,3500.0,0
112.5,112.5,0.0,3000.0,0
117.0,117.0,0.0,2900.0,0
142.5,142.5,0.0,3000.0,0
157.0,157.0,0.0,3000.0,0
160.0,159.5,0.5,3000.0,0
117.5,117.5,0.0,3000.0,0
120.0,120.0,0.0,3000.0,0
145.5,144.0,1.5,3000.0,0
132.0,129.5,2.5,2100.0,0
146.0,146.0,0.0,2500.0,0
149.0,149.0,0.0,2100.0,0
152.5,152.5,0.0,2500.0,0
142.5,142.5,0.0,2500.0,0
133.5,133.5,0.0,2800.0,0
157.0,157.0,0.0,2800.0,0
159.5,158.5,1.0,2500.0,0
146.0,145.0,1.0,2100.0,0
154.5,154.5,0.0,2500.0,0
153.5,153.5,0.0,2500.0,0
152.0,152.0,0.0,2700.0,0
141.5,139.5,2.0,2500.0,0
165.5,165.5,0.0,2900.0,0
141.0,141.0,0.0,2300.0,0
137.0,137.0,0.0,2900.0,0
158.0,158.0,0.0,2800.0,0
162.0,162.0,0.0,2600.0,0
142.0,142.0,0.0,2600.0,0
141.5,141.5,0.0,2400.0,0
156.0,156.0,0.0,2600.0,0
157.0,157.0,0.0,2600.0,0
137.0,137.0,0.0,2600.0,0
143.0,141.5,1.5,2400.0,0
146.0,146.0,0.0,2700.0,0
156.0,156.0,0.0,2300.0,0
141.0,141.0,0.0,2300.0,0
137.5,137.5,0.0,2600.0,0
148.0,148.0,0.0,2500.0,0
152.0,152.0,0.0,2400.0,0
142.5,142.5,0.0,2600.0,0
143.0,143.0,0.0,2600.0,0
143.0,143.0,0.0,2700.0,0
144.0,144.0,0.0,2700.0,0
130.5,130.5,0.0,2500.0,0
141.5,141.5,0.0,2700.0,0
144.5,144.5,0.0,2700.0,0
149.0,149.0,0.0,2900.0,0
151.5,151.5,0.0,2900.0,0
146.0,146.0,0.0,2400.0,0
142.0,142.0,0.0,2600.0,0
142.0,142.0,0.0,3200.0,0
159.5,159.5,0.0,2600.0,0
140.0,140.0,0.0,3400.0,0
138.0,138.0,0.0,2400.0,0
145.0,145.0,0.0,2600.0,0
151.0,151.0,0.0,2600.0,0
154.0,154.0,0.0,2300.0,0
165.5,165.5,0.0,2500.0,0
130.5,130.5,0.0,2300.0,0
154.0,154.0,0.0,2500.0,0
141.0,141.0,0.0,2400.0,0
136.5,136.5,0.0,2500.0,0
150.5,150.5,0.0,2500.0,0
149.5,149.5,0.0,2400.0,0
138.5,138.5,0.0,2800.0,0
157.5,157.5,0.0,2100.0,0
135.0,135.0,0.0,2700.0,0
139.5,139.5,0.0,2700.0,0
161.0,161.0,0.0,2600.0,0
145.5,145.5,0.0,2700.0,0
150.5,150.0,0.5,2500.0,0
153.0,152.5,0.5,2500.0,0
153.5,153.5,0.0,2500.0,0
152.0,152.0,0.0,2500.0,0
147.5,147.5,0.0,2500.0,0
149.0,149.0,0.0,2800.0,0
157.0,157.0,0.0,2800.0,0
146.5,146.5,0.0,2700.0,0
142.0,142.0,0.0,2700.0,0
144.0,144.0,0.0,2300.0,0
140.0,140.0,0.0,2700.0,0
146.0,146.0,0.0,2500.0,0
147.0,147.0,0.0,2500.0,0
153.5,153.5,0.0,2400.0,0
136.0,136.0,0.0,2700.0,0
133.5,133.5,0.0,2700.0,0
142.5,142.5,0.0,2600.0,0
145.0,145.0,0.0,2800.0,0
132.0,132.0,0.0,2700.0,0
139.0,139.0,0.0,3100.0,0
147.5,147.5,0.0,2700.0,0
164.5,164.5,0.0,2700.0,0
142.5,142.5,0.0,2600.0,0
131.0,131.0,0.0,2400.0,0
151.5,151.5,0.0,2800.0,0
147.0,147.0,0.0,2700.0,0
133.5,133.5,0.0,2500.0,0
143.0,143.0,0.0,2800.0,0
137.0,137.0,0.0,2400.0,0
144.5,144.5,0.0,2500.0,0
147.0,147.0,0.0,2500.0,0
150.0,150.0,0.0,2400.0,0
151.0,151.0,0.0,2700.0,0
136.0,136.0,0.0,2700.0,0
148.0,148.0,0.0,2500.0,0
154.5,154.5,0.0,2100.0,0
144.5,144.5,0.0,2600.0,0
154.5,154.5,0.0,2600.0,0
137.5,137.5,0.0,2600.0,0
144.0,144.0,0.0,2400.0,0
141.0,141.0,0.0,2800.0,0
156.0,156.0,0.0,3000.0,0
143.0,143.0,0.0,3000.0,0
136.5,136.5,0.0,3000.0,0
155.5,155.5,0.0,2700.0,0
137.0,137.0,0.0,2500.0,0
150.0,150.0,0.0,2800.0,0
155.5,155.5,0.0,2500.0,0
144.5,144.5,0.0,2800.0,0
136.0,136.0,0.0,2500.0,0
145.0,145.0,0.0,2400.0,0
155.5,155.5,0.0,2700.0,0
142.0,142.0,0.0,2900.0,0
145.0,145.0,0.0,2600.0,0
139.5,139.5,0.0,2600.0,0
130.0,130.0,0.0,2300.0,0
