timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-14T20:29:55Z,frontend,0,43302912,1
2026-09-14T20:29:55Z,cartservice,4,77897728,1
2026-09-14T20:29:55Z,checkoutservice,3,43597824,1
2026-09-14T20:29:55Z,productcatalogservice,3,34238464,1
2026-09-14T20:29:55Z,paymentservice,3,57131008,1
2026-09-14T20:29:55Z,recommendationservice,7,96071680,1
2026-09-14T20:29:55Z,shippingservice,4,31031296,1
2026-09-14T20:29:55Z,currencyservice,3,60198912,1
2026-09-14T20:29:55Z,emailservice,7,86183936,1
2026-09-14T20:29:55Z,adservice,24,231600128,1
2026-09-14T20:29:55Z,redis-cart,4,28876800,1
2026-09-14T20:30:00Z,frontend,0,43302912,1
2026-09-14T20:30:00Z,cartservice,4,77860864,1
2026-09-14T20:30:00Z,checkoutservice,3,43606016,1
2026-09-14T20:30:00Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:00Z,paymentservice,3,57171968,1
2026-09-14T20:30:00Z,recommendationservice,7,96071680,1
2026-09-14T20:30:00Z,shippingservice,5,31031296,1
2026-09-14T20:30:00Z,currencyservice,3,60203008,1
2026-09-14T20:30:00Z,emailservice,7,86183936,1
2026-09-14T20:30:00Z,adservice,27,231600128,1
2026-09-14T20:30:00Z,redis-cart,4,28876800,1
2026-09-14T20:30:05Z,frontend,0,43302912,1
2026-09-14T20:30:05Z,cartservice,4,77860864,1
2026-09-14T20:30:05Z,checkoutservice,3,43601920,1
2026-09-14T20:30:05Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:05Z,paymentservice,3,57171968,1
2026-09-14T20:30:05Z,recommendationservice,7,96071680,1
2026-09-14T20:30:05Z,shippingservice,5,31035392,1
2026-09-14T20:30:05Z,currencyservice,3,60203008,1
2026-09-14T20:30:05Z,emailservice,7,86188032,1
2026-09-14T20:30:05Z,adservice,27,231604224,1
2026-09-14T20:30:05Z,redis-cart,4,28876800,1
2026-09-14T20:30:10Z,frontend,0,43302912,1
2026-09-14T20:30:10Z,cartservice,4,77910016,1
2026-09-14T20:30:10Z,checkoutservice,3,43405312,1
2026-09-14T20:30:10Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:10Z,paymentservice,3,57184256,1
2026-09-14T20:30:10Z,recommendationservice,7,96071680,1
2026-09-14T20:30:10Z,shippingservice,4,31039488,1
2026-09-14T20:30:10Z,currencyservice,3,60252160,1
2026-09-14T20:30:10Z,emailservice,7,86188032,1
2026-09-14T20:30:10Z,adservice,31,231604224,1
2026-09-14T20:30:10Z,redis-cart,4,28876800,1
2026-09-14T20:30:15Z,frontend,0,43302912,1
2026-09-14T20:30:15Z,cartservice,4,77910016,1
2026-09-14T20:30:15Z,checkoutservice,3,43405312,1
2026-09-14T20:30:15Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:15Z,paymentservice,3,57184256,1
2026-09-14T20:30:15Z,recommendationservice,7,96071680,1
2026-09-14T20:30:15Z,shippingservice,4,31039488,1
2026-09-14T20:30:15Z,currencyservice,3,60252160,1
2026-09-14T20:30:15Z,emailservice,7,86188032,1
2026-09-14T20:30:15Z,adservice,31,231604224,1
2026-09-14T20:30:15Z,redis-cart,4,28876800,1
2026-09-14T20:30:20Z,frontend,0,43302912,1
2026-09-14T20:30:20Z,cartservice,4,77918208,1
2026-09-14T20:30:20Z,checkoutservice,4,43409408,1
2026-09-14T20:30:20Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:20Z,paymentservice,3,57237504,1
2026-09-14T20:30:20Z,recommendationservice,7,96071680,1
2026-09-14T20:30:20Z,shippingservice,4,31076352,1
2026-09-14T20:30:20Z,currencyservice,4,60252160,1
2026-09-14T20:30:20Z,emailservice,7,86188032,1
2026-09-14T20:30:20Z,adservice,26,231604224,1
2026-09-14T20:30:20Z,redis-cart,4,28876800,1
2026-09-14T20:30:25Z,frontend,0,43302912,1
2026-09-14T20:30:25Z,cartservice,4,77918208,1
2026-09-14T20:30:25Z,checkoutservice,4,43409408,1
2026-09-14T20:30:25Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:25Z,paymentservice,3,57237504,1
2026-09-14T20:30:25Z,recommendationservice,7,96071680,1
2026-09-14T20:30:25Z,shippingservice,4,31076352,1
2026-09-14T20:30:25Z,currencyservice,4,60252160,1
2026-09-14T20:30:25Z,emailservice,7,86188032,1
2026-09-14T20:30:25Z,adservice,26,231604224,1
2026-09-14T20:30:25Z,redis-cart,4,28876800,1
2026-09-14T20:30:30Z,frontend,0,43302912,1
2026-09-14T20:30:30Z,cartservice,4,77885440,1
2026-09-14T20:30:30Z,checkoutservice,3,43409408,1
2026-09-14T20:30:30Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:30Z,paymentservice,3,57262080,1
2026-09-14T20:30:30Z,recommendationservice,7,96071680,1
2026-09-14T20:30:30Z,shippingservice,5,31076352,1
2026-09-14T20:30:30Z,currencyservice,3,60256256,1
2026-09-14T20:30:30Z,emailservice,7,86188032,1
2026-09-14T20:30:30Z,adservice,29,231604224,1
2026-09-14T20:30:30Z,redis-cart,4,28876800,1
2026-09-14T20:30:35Z,frontend,0,43302912,1
2026-09-14T20:30:35Z,cartservice,4,77885440,1
2026-09-14T20:30:35Z,checkoutservice,3,43409408,1
2026-09-14T20:30:35Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:35Z,paymentservice,3,57262080,1
2026-09-14T20:30:35Z,recommendationservice,7,96071680,1
2026-09-14T20:30:35Z,shippingservice,5,31076352,1
2026-09-14T20:30:35Z,currencyservice,3,60256256,1
2026-09-14T20:30:35Z,emailservice,7,86192128,1
2026-09-14T20:30:35Z,adservice,29,231604224,1
2026-09-14T20:30:35Z,redis-cart,4,28876800,1
2026-09-14T20:30:40Z,frontend,0,43302912,1
2026-09-14T20:30:40Z,cartservice,4,77897728,1
2026-09-14T20:30:40Z,checkoutservice,3,43421696,1
2026-09-14T20:30:40Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:40Z,paymentservice,3,57298944,1
2026-09-14T20:30:40Z,recommendationservice,7,96079872,1
2026-09-14T20:30:40Z,shippingservice,4,31076352,1
2026-09-14T20:30:40Z,currencyservice,3,60268544,1
2026-09-14T20:30:40Z,emailservice,7,86192128,1
2026-09-14T20:30:40Z,adservice,28,231604224,1
2026-09-14T20:30:40Z,redis-cart,4,28876800,1
2026-09-14T20:30:45Z,frontend,0,43302912,1
2026-09-14T20:30:45Z,cartservice,4,77897728,1
2026-09-14T20:30:45Z,checkoutservice,3,43421696,1
2026-09-14T20:30:45Z,productcatalogservice,3,34238464,1
2026-09-14T20:30:45Z,paymentservice,3,57298944,1
2026-09-14T20:30:45Z,recommendationservice,7,96079872,1
