timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T19:02:53Z,cartservice,6442662,0,0,0
2026-09-05T19:02:53Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:02:53Z,checkoutservice,158463,558,12,252
2026-09-05T19:02:59Z,cartservice,6442662,0,0,0
2026-09-05T19:02:59Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:02:59Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:04Z,cartservice,6442662,0,0,0
2026-09-05T19:03:04Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:04Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:10Z,cartservice,6442662,0,0,0
2026-09-05T19:03:10Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:10Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:15Z,cartservice,6442662,0,0,0
2026-09-05T19:03:15Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:15Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:20Z,cartservice,6442662,0,0,0
2026-09-05T19:03:20Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:20Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:26Z,cartservice,6442662,0,0,0
2026-09-05T19:03:26Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:26Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:31Z,cartservice,6442662,0,0,0
2026-09-05T19:03:31Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:31Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:36Z,cartservice,6442662,0,0,0
2026-09-05T19:03:36Z,productcatalogservice,25780388,0,0,0
2026-09-05T19:03:36Z,checkoutservice,158463,558,12,252
2026-09-05T19:03:42Z,cartservice,6444392,0,0,0
2026-09-05T19:03:42Z,productcatalogservice,25786411,0,0,0
2026-09-05T19:03:42Z,checkoutservice,158500,558,12,252
2026-09-05T19:03:47Z,cartservice,6446627,0,0,0
2026-09-05T19:03:47Z,productcatalogservice,25795812,0,0,0
2026-09-05T19:03:47Z,checkoutservice,158560,558,12,252
2026-09-05T19:03:53Z,cartservice,6449214,0,0,0
2026-09-05T19:03:53Z,productcatalogservice,25805296,0,0,0
2026-09-05T19:03:53Z,checkoutservice,158619,558,12,252
2026-09-05T19:03:58Z,cartservice,6451593,0,0,0
2026-09-05T19:03:58Z,productcatalogservice,25815509,0,0,0
2026-09-05T19:03:58Z,checkoutservice,158668,558,12,252
2026-09-05T19:04:04Z,cartservice,6454362,0,0,0
2026-09-05T19:04:04Z,productcatalogservice,25825890,0,0,0
2026-09-05T19:04:04Z,checkoutservice,158721,558,12,252
2026-09-05T19:04:09Z,cartservice,6457131,0,0,0
2026-09-05T19:04:09Z,productcatalogservice,25836775,0,0,0
2026-09-05T19:04:09Z,checkoutservice,158781,558,12,252
2026-09-05T19:04:14Z,cartservice,6459940,0,0,0
2026-09-05T19:04:14Z,productcatalogservice,25847458,0,0,0
2026-09-05T19:04:14Z,checkoutservice,158834,558,12,252
2026-09-05T19:04:20Z,cartservice,6462654,0,0,0
2026-09-05T19:04:20Z,productcatalogservice,25858044,0,0,0
2026-09-05T19:04:20Z,checkoutservice,158881,558,12,252
2026-09-05T19:04:25Z,cartservice,6465280,0,0,0
2026-09-05T19:04:25Z,productcatalogservice,25868790,0,0,0
2026-09-05T19:04:25Z,checkoutservice,158928,558,12,252
2026-09-05T19:04:31Z,cartservice,6468085,0,0,0
2026-09-05T19:04:31Z,productcatalogservice,25879774,0,0,0
2026-09-05T19:04:31Z,checkoutservice,158976,558,12,252
2026-09-05T19:04:36Z,cartservice,6470664,0,0,0
2026-09-05T19:04:36Z,productcatalogservice,25890519,0,0,0
2026-09-05T19:04:36Z,checkoutservice,159027,558,12,252
2026-09-05T19:04:42Z,cartservice,6473432,0,0,0
2026-09-05T19:04:42Z,productcatalogservice,25900995,0,0,0
2026-09-05T19:04:42Z,checkoutservice,159089,558,12,252
2026-09-05T19:04:47Z,cartservice,6476072,0,0,0
2026-09-05T19:04:47Z,productcatalogservice,25911440,0,0,0
2026-09-05T19:04:47Z,checkoutservice,159140,558,12,252
2026-09-05T19:04:53Z,cartservice,6478594,0,0,0
2026-09-05T19:04:53Z,productcatalogservice,25921557,0,0,0
2026-09-05T19:04:53Z,checkoutservice,159187,558,12,252
2026-09-05T19:04:58Z,cartservice,6481292,0,0,0
2026-09-05T19:04:58Z,productcatalogservice,25932088,0,0,0
2026-09-05T19:04:58Z,checkoutservice,159235,558,12,252
2026-09-05T19:05:04Z,cartservice,6483828,0,0,0
2026-09-05T19:05:04Z,productcatalogservice,25941691,0,0,0
2026-09-05T19:05:04Z,checkoutservice,159279,558,12,252
2026-09-05T19:05:09Z,cartservice,6486481,0,0,0
2026-09-05T19:05:09Z,productcatalogservice,25952326,0,0,0
2026-09-05T19:05:09Z,checkoutservice,159332,558,12,252
2026-09-05T19:05:14Z,cartservice,6489179,0,0,0
2026-09-05T19:05:14Z,productcatalogservice,25963144,0,0,0
2026-09-05T19:05:14Z,checkoutservice,159382,558,12,252
2026-09-05T19:05:20Z,cartservice,6491883,0,0,0
2026-09-05T19:05:20Z,productcatalogservice,25973558,0,0,0
2026-09-05T19:05:20Z,checkoutservice,159430,558,12,252
2026-09-05T19:05:25Z,cartservice,6494522,0,0,0
2026-09-05T19:05:25Z,productcatalogservice,25984075,0,0,0
2026-09-05T19:05:25Z,checkoutservice,159480,558,12,252
2026-09-05T19:05:31Z,cartservice,6497302,0,0,0
2026-09-05T19:05:31Z,productcatalogservice,25995131,0,0,0
2026-09-05T19:05:31Z,checkoutservice,159521,558,12,252
2026-09-05T19:05:36Z,cartservice,6499948,0,0,0
2026-09-05T19:05:36Z,productcatalogservice,26005540,0,0,0
2026-09-05T19:05:36Z,checkoutservice,159572,558,12,252
2026-09-05T19:05:42Z,cartservice,6502558,0,0,0
2026-09-05T19:05:42Z,productcatalogservice,26016020,0,0,0
2026-09-05T19:05:42Z,checkoutservice,159619,558,12,252
2026-09-05T19:05:47Z,cartservice,6505162,0,0,0
2026-09-05T19:05:47Z,productcatalogservice,26026577,0,0,0
2026-09-05T19:05:47Z,checkoutservice,159674,558,12,252
2026-09-05T19:05:53Z,cartservice,6507846,0,0,0
2026-09-05T19:05:53Z,productcatalogservice,26036902,0,0,0
2026-09-05T19:05:53Z,checkoutservice,159720,558,12,252
2026-09-05T19:05:58Z,cartservice,6510525,0,0,0
2026-09-05T19:05:58Z,productcatalogservice,26047521,0,0,0
2026-09-05T19:05:58Z,checkoutservice,159777,558,12,252
2026-09-05T19:06:04Z,cartservice,6513205,0,0,0
2026-09-05T19:06:04Z,productcatalogservice,26058079,0,0,0
2026-09-05T19:06:04Z,checkoutservice,159825,558,12,252
2026-09-05T19:06:09Z,cartservice,6516014,0,0,0
2026-09-05T19:06:09Z,productcatalogservice,26068915,0,0,0
2026-09-05T19:06:09Z,checkoutservice,159873,558,12,252
2026-09-05T19:06:14Z,cartservice,6518769,0,0,0
2026-09-05T19:06:14Z,productcatalogservice,26079809,0,0,0
2026-09-05T19:06:14Z,checkoutservice,159925,558,12,252
2026-09-05T19:06:20Z,cartservice,6521495,0,0,0
2026-09-05T19:06:20Z,productcatalogservice,26090865,0,0,0
2026-09-05T19:06:20Z,checkoutservice,159973,558,12,252
2026-09-05T19:06:25Z,cartservice,6524197,0,0,0
2026-09-05T19:06:25Z,productcatalogservice,26101810,0,0,0
2026-09-05T19:06:25Z,checkoutservice,160020,558,12,252
2026-09-05T19:06:31Z,cartservice,6526962,0,0,0
2026-09-05T19:06:31Z,productcatalogservice,26112756,0,0,0
2026-09-05T19:06:31Z,checkoutservice,160067,558,12,252
2026-09-05T19:06:36Z,cartservice,6529741,0,0,0
2026-09-05T19:06:36Z,productcatalogservice,26123961,0,0,0
2026-09-05T19:06:36Z,checkoutservice,160125,558,12,252
2026-09-05T19:06:42Z,cartservice,6532425,0,0,0
2026-09-05T19:06:42Z,productcatalogservice,26134521,0,0,0
2026-09-05T19:06:42Z,checkoutservice,160174,558,12,252
2026-09-05T19:06:47Z,cartservice,6535147,0,0,0
2026-09-05T19:06:47Z,productcatalogservice,26144978,0,0,0
2026-09-05T19:06:47Z,checkoutservice,160218,558,12,252
2026-09-05T19:06:53Z,cartservice,6537827,0,0,0
2026-09-05T19:06:53Z,productcatalogservice,26155604,0,0,0
2026-09-05T19:06:53Z,checkoutservice,160264,558,12,252
2026-09-05T19:06:58Z,cartservice,6540469,0,0,0
2026-09-05T19:06:58Z,productcatalogservice,26166101,0,0,0
2026-09-05T19:06:58Z,checkoutservice,160309,558,12,252
2026-09-05T19:07:04Z,cartservice,6543032,0,0,0
2026-09-05T19:07:04Z,productcatalogservice,26176568,0,0,0
2026-09-05T19:07:04Z,checkoutservice,160353,558,12,252
2026-09-05T19:07:09Z,cartservice,6545710,0,0,0
2026-09-05T19:07:09Z,productcatalogservice,26187192,0,0,0
2026-09-05T19:07:09Z,checkoutservice,160403,558,12,252
2026-09-05T19:07:14Z,cartservice,6548419,0,0,0
2026-09-05T19:07:14Z,productcatalogservice,26197845,0,0,0
2026-09-05T19:07:14Z,checkoutservice,160454,558,12,252
