RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,210.0,0
26.0,0.0,26.0,310.0,0
47.0,0.0,47.0,460.0,0
67.0,0.0,67.0,320.0,0
82.5,0.0,82.5,440.0,0
70.0,0.0,70.0,360.0,0
70.0,0.0,70.0,190.0,0
75.5,0.0,75.5,300.0,0
78.5,0.0,78.5,290.0,0
82.5,0.0,82.5,330.0,0
79.0,0.0,79.0,360.0,0
81.0,0.0,81.0,280.0,0
68.5,0.0,68.5,390.0,0
82.5,0.0,82.5,410.0,0
83.5,0.0,83.5,430.0,0
90.0,0.0,90.0,330.0,0
88.0,0.0,88.0,260.0,0
82.5,0.0,82.5,280.0,0
85.0,0.0,85.0,250.0,0
87.5,0.0,87.5,270.0,0
98.5,0.0,98.5,160.0,0
92.5,0.0,92.5,160.0,0
90.5,0.0,90.5,330.0,0
86.0,0.0,86.0,220.0,0
115.0,0.0,115.0,210.0,0
97.5,0.0,97.5,200.0,0
106.0,0.0,106.0,320.0,0
103.5,0.0,103.5,220.0,0
97.0,0.0,97.0,200.0,0
98.5,0.0,98.5,250.0,0
92.5,0.0,92.5,260.0,0
98.0,0.0,98.0,270.0,0
101.5,12.5,89.0,270.0,0
93.5,11.5,82.0,240.0,0
104.5,7.5,97.0,260.0,0
107.0,2.0,105.0,170.0,0
95.5,1.0,94.5,170.0,0
109.5,0.0,109.5,98.0,0
110.0,0.0,110.0,330.0,0
104.5,0.0,104.5,400.0,0
106.5,0.0,106.5,420.0,0
102.0,0.0,102.0,140.0,0
100.0,0.0,100.0,440.0,0
106.0,0.5,105.5,310.0,0
94.0,0.0,94.0,470.0,0
104.0,0.0,104.0,130.0,0
102.0,0.0,102.0,470.0,0
104.0,0.0,104.0,490.0,0
88.0,0.0,88.0,170.0,0
88.0,0.5,87.5,240.0,0
91.5,0.5,91.0,370.0,0
95.0,0.0,95.0,300.0,0
103.0,0.0,103.0,470.0,0
91.0,0.0,91.0,310.0,0
93.5,0.0,93.5,470.0,0
96.5,0.0,96.5,490.0,0
102.0,0.0,102.0,330.0,0
97.5,0.0,97.5,510.0,0
93.5,0.0,93.5,400.0,0
114.0,0.0,114.0,390.0,0
103.0,1.0,102.0,200.0,0
109.0,0.0,109.0,290.0,0
122.5,0.0,122.5,450.0,0
111.0,0.0,111.0,450.0,0
102.0,0.0,102.0,130.0,0
111.0,0.0,111.0,500.0,0
106.5,2.0,104.5,460.0,0
108.0,2.0,106.0,460.0,0
81.5,0.5,81.0,330.0,0
