RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,390.0,0
0.0,0.0,0.0,580.0,0
0.0,0.0,0.0,980.0,0
119.0,0.0,119.0,980.0,0
60.0,0.0,60.0,1000.0,0
129.0,0.5,128.5,1000.0,0
100.5,1.0,99.5,1000.0,0
108.5,2.0,106.5,700.0,0
92.5,0.0,92.5,1000.0,0
109.0,6.5,102.5,1000.0,0
122.5,2.0,120.5,990.0,0
108.0,1.0,107.0,950.0,0
103.0,0.0,103.0,1000.0,0
111.5,1.5,110.0,1000.0,0
127.5,2.0,125.5,980.0,0
105.5,0.0,105.5,990.0,0
90.0,1.0,89.0,1100.0,0
125.5,37.0,88.5,1300.0,0
124.0,33.5,90.5,1100.0,0
130.5,3.5,127.0,1000.0,0
134.0,5.0,129.0,1000.0,0
124.5,1.0,123.5,990.0,0
133.5,0.0,133.5,990.0,0
114.5,0.5,114.0,1000.0,0
123.5,3.0,120.5,1000.0,0
110.5,6.0,104.5,1100.0,0
124.5,34.5,90.0,1200.0,0
133.0,27.0,106.0,1000.0,0
144.5,7.0,137.5,1200.0,0
132.0,5.0,127.0,1000.0,0
146.5,3.0,143.5,1000.0,0
131.5,4.5,127.0,1100.0,0
122.0,41.0,81.0,1200.0,0
115.0,64.0,51.0,1200.0,0
148.0,84.5,63.5,1100.0,0
132.5,54.0,78.5,1100.0,0
121.0,52.0,69.0,1200.0,0
132.5,85.0,47.5,1600.0,0
136.0,116.5,19.5,1600.0,0
139.5,64.5,75.0,1100.0,0
136.5,39.0,97.5,1200.0,0
127.0,50.5,76.5,1300.0,0
127.5,58.0,69.5,1200.0,0
139.5,47.0,92.5,1400.0,0
125.0,58.0,67.0,1400.0,0
142.0,65.5,76.5,1400.0,0
138.5,31.0,107.5,1000.0,0
139.0,18.5,120.5,1100.0,0
138.0,16.5,121.5,1100.0,0
126.5,16.0,110.5,1100.0,0
123.5,54.0,69.5,1500.0,0
129.5,114.0,15.5,1600.0,0
146.0,36.0,110.0,1100.0,0
127.0,27.5,99.5,1200.0,0
118.5,71.0,47.5,1400.0,0
126.5,84.0,42.5,1100.0,0
133.5,37.0,96.5,1100.0,0
136.0,74.5,61.5,1500.0,0
143.5,70.0,73.5,1000.0,0
138.5,27.5,111.0,1500.0,0
129.0,99.0,30.0,1600.0,0
144.0,105.5,38.5,1100.0,0
147.0,25.5,121.5,1000.0,0
133.5,4.5,129.0,1100.0,0
134.5,43.0,91.5,1200.0,0
131.0,68.5,62.5,1500.0,0
134.5,72.5,62.0,1200.0,0
134.5,59.0,75.5,1100.0,0
103.5,62.5,41.0,1500.0,0
112.0,108.5,3.5,1600.0,0
135.5,107.0,28.5,1500.0,0
139.5,72.0,67.5,1500.0,0
134.0,20.5,113.5,1100.0,0
125.0,70.0,55.0,1500.0,0
120.0,102.5,17.5,1500.0,0
110.0,61.0,49.0,1500.0,0
128.0,109.5,18.5,1700.0,0
138.0,122.0,16.0,1200.0,0
149.5,58.5,91.0,1100.0,0
130.5,6.0,124.5,1400.0,0
132.0,17.5,114.5,1100.0,0
125.5,46.5,79.0,1200.0,0
115.0,85.0,30.0,1300.0,0
114.0,112.0,2.0,1300.0,0
120.5,119.0,1.5,1300.0,0
120.0,119.0,1.0,1300.0,0
124.0,122.5,1.5,1300.0,0
131.5,127.0,4.5,1300.0,0
139.0,108.5,30.5,1100.0,0
122.5,69.0,53.5,1200.0,0
113.0,93.5,19.5,1400.0,0
117.5,117.5,0.0,1400.0,0
111.5,103.0,8.5,1300.0,0
132.0,125.0,7.0,1200.0,0
124.0,117.5,6.5,1200.0,0
126.0,126.0,0.0,1300.0,0
130.5,128.5,2.0,1300.0,0
132.0,105.5,26.5,1200.0,0
133.0,89.5,43.5,1200.0,0
129.5,126.5,3.0,1200.0,0
114.5,99.5,15.0,1200.0,0
129.5,114.0,15.5,1200.0,0
118.0,99.0,19.0,1300.0,0
117.0,117.0,0.0,1300.0,0
129.0,105.0,24.0,1300.0,0
136.5,101.5,35.0,1300.0,0
132.0,117.5,14.5,1300.0,0
124.5,115.0,9.5,1200.0,0
127.0,117.0,10.0,1300.0,0
120.5,120.5,0.0,1300.0,0
111.0,111.0,0.0,1300.0,0
111.5,111.0,0.5,1300.0,0
116.0,115.5,0.5,1300.0,0
124.5,115.0,9.5,1200.0,0
115.5,114.0,1.5,1300.0,0
114.5,114.5,0.0,1400.0,0
123.0,122.5,0.5,1400.0,0
130.0,129.5,0.5,1300.0,0
114.0,113.5,0.5,1400.0,0
116.0,116.0,0.0,1400.0,0
118.5,117.0,1.5,1300.0,0
109.5,109.5,0.0,1400.0,0
108.5,106.5,2.0,1300.0,0
117.5,115.5,2.0,1400.0,0
138.5,94.5,44.0,1300.0,0
138.0,69.0,69.0,1200.0,0
123.5,105.5,18.0,1300.0,0
125.5,120.0,5.5,1300.0,0
111.5,105.5,6.0,1300.0,0
125.5,95.5,30.0,1400.0,0
127.0,72.0,55.0,1300.0,0
119.0,106.0,13.0,1300.0,0
132.5,85.0,47.5,1100.0,0
128.5,38.5,90.0,1200.0,0
130.0,117.0,13.0,1200.0,0
122.0,102.0,20.0,1300.0,0
139.0,123.0,16.0,1200.0,0
127.0,115.0,12.0,1200.0,0
118.5,118.0,0.5,1200.0,0
129.5,127.5,2.0,1200.0,0
130.0,91.0,39.0,1200.0,0
141.5,77.0,64.5,1100.0,0
127.0,65.5,61.5,1200.0,0
131.5,76.5,55.0,1100.0,0
121.5,55.0,66.5,1300.0,0
111.5,98.0,13.5,1400.0,0
135.0,109.5,25.5,1300.0,0
125.0,60.0,65.0,1200.0,0
133.0,123.0,10.0,1200.0,0
140.5,83.0,57.5,1200.0,0
135.0,22.5,112.5,1200.0,0
130.0,65.5,64.5,1200.0,0
132.5,119.5,13.0,1300.0,0
119.0,111.5,7.5,1300.0,0
119.5,118.0,1.5,1300.0,0
113.0,104.0,9.0,1300.0,0
125.5,93.0,32.5,1300.0,0
138.0,93.0,45.0,1200.0,0
115.5,87.0,28.5,1300.0,0
117.5,108.0,9.5,1300.0,0
121.5,121.5,0.0,1300.0,0
138.5,95.5,43.0,1200.0,0
132.0,104.5,27.5,1200.0,0
124.5,117.5,7.0,1200.0,0
130.0,106.5,23.5,1200.0,0
135.0,78.5,56.5,1200.0,0
133.5,56.5,77.0,1200.0,0
108.5,47.0,61.5,1300.0,0
139.0,131.0,8.0,1200.0,0
131.5,115.0,16.5,1300.0,0
120.5,116.5,4.0,1300.0,0
