RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,880.0,0
84.0,0.0,84.0,430.0,0
73.0,0.0,73.0,390.0,0
71.5,0.0,71.5,320.0,0
71.5,0.0,71.5,340.0,0
74.0,0.0,74.0,270.0,0
75.0,0.0,75.0,380.0,0
73.5,0.0,73.5,290.0,0
77.5,0.0,77.5,270.0,0
72.0,0.0,72.0,280.0,0
81.0,0.0,81.0,330.0,0
79.5,0.0,79.5,310.0,0
90.0,0.0,90.0,340.0,0
78.0,0.0,78.0,340.0,0
89.0,0.0,89.0,550.0,0
91.0,0.0,91.0,550.0,0
81.5,0.0,81.5,430.0,0
92.5,0.0,92.5,430.0,0
96.5,0.0,96.5,430.0,0
92.5,0.0,92.5,430.0,0
84.5,0.0,84.5,420.0,0
88.5,0.0,88.5,580.0,0
76.5,0.0,76.5,650.0,0
79.5,0.0,79.5,650.0,0
88.5,0.0,88.5,600.0,0
84.0,0.0,84.0,490.0,0
80.5,0.0,80.5,450.0,0
70.0,0.0,70.0,580.0,0
82.5,0.0,82.5,580.0,0
89.5,1.5,88.0,470.0,0
72.0,1.0,71.0,590.0,0
87.5,0.0,87.5,660.0,0
86.5,0.0,86.5,580.0,0
79.0,0.0,79.0,600.0,0
95.0,0.0,95.0,600.0,0
97.0,0.0,97.0,570.0,0
95.0,0.0,95.0,540.0,0
84.0,0.0,84.0,500.0,0
82.0,0.0,82.0,500.0,0
95.0,0.0,95.0,450.0,0
99.0,0.0,99.0,560.0,0
100.5,0.5,100.0,560.0,0
67.0,1.5,65.5,440.0,0
80.5,1.0,79.5,500.0,0
81.5,0.0,81.5,460.0,0
84.5,0.0,84.5,480.0,0
82.5,0.0,82.5,570.0,0
104.5,1.0,103.5,520.0,0
88.0,0.0,88.0,630.0,0
96.5,0.0,96.5,500.0,0
94.0,0.0,94.0,450.0,0
90.5,0.0,90.5,450.0,0
93.5,0.0,93.5,650.0,0
91.0,0.0,91.0,650.0,0
98.5,0.0,98.5,420.0,0
77.0,0.0,77.0,430.0,0
81.5,0.5,81.0,570.0,0
82.0,0.5,81.5,570.0,0
92.0,0.0,92.0,570.0,0
92.5,0.0,92.5,530.0,0
94.0,0.0,94.0,680.0,0
92.0,0.0,92.0,630.0,0
91.0,0.0,91.0,630.0,0
91.5,0.0,91.5,570.0,0
101.5,0.0,101.5,600.0,0
86.5,0.0,86.5,530.0,0
101.0,0.0,101.0,590.0,0
92.0,0.0,92.0,590.0,0
107.0,0.0,107.0,570.0,0
97.5,0.0,97.5,570.0,0
84.0,0.0,84.0,630.0,0
93.0,0.0,93.0,630.0,0
87.0,0.0,87.0,450.0,0
89.5,0.0,89.5,440.0,0
88.5,0.0,88.5,540.0,0
93.0,0.0,93.0,540.0,0
98.0,0.0,98.0,530.0,0
90.5,0.0,90.5,530.0,0
76.0,0.0,76.0,540.0,0
98.0,0.0,98.0,590.0,0
94.5,0.0,94.5,580.0,0
81.0,0.0,81.0,480.0,0
75.5,0.0,75.5,440.0,0
84.5,0.0,84.5,450.0,0
102.0,0.0,102.0,450.0,0
101.5,0.0,101.5,360.0,0
85.0,0.0,85.0,340.0,0
91.5,0.0,91.5,430.0,0
106.5,0.0,106.5,330.0,0
90.0,0.0,90.0,410.0,0
93.5,0.0,93.5,410.0,0
96.0,0.0,96.0,430.0,0
83.5,0.0,83.5,430.0,0
85.5,0.0,85.5,480.0,0
95.0,0.0,95.0,440.0,0
105.5,0.0,105.5,430.0,0
96.5,0.0,96.5,420.0,0
88.5,0.0,88.5,420.0,0
85.5,0.0,85.5,420.0,0
104.0,0.0,104.0,370.0,0
101.0,0.0,101.0,410.0,0
93.5,0.0,93.5,440.0,0
85.0,0.0,85.0,440.0,0
93.5,0.0,93.5,400.0,0
88.5,0.0,88.5,400.0,0
108.0,0.0,108.0,340.0,0
82.0,0.0,82.0,340.0,0
80.5,0.0,80.5,360.0,0
94.0,0.0,94.0,360.0,0
87.5,0.0,87.5,390.0,0
95.5,0.0,95.5,400.0,0
67.0,0.0,67.0,380.0,0
73.0,0.0,73.0,380.0,0
88.5,0.0,88.5,430.0,0
77.0,0.0,77.0,430.0,0
83.0,0.0,83.0,380.0,0
86.5,0.0,86.5,390.0,0
84.0,0.0,84.0,410.0,0
98.0,0.0,98.0,400.0,0
96.5,0.0,96.5,430.0,0
96.0,0.0,96.0,430.0,0
97.5,0.0,97.5,400.0,0
95.5,0.0,95.5,390.0,0
95.0,0.0,95.0,340.0,0
97.5,0.0,97.5,390.0,0
93.5,0.0,93.5,430.0,0
104.5,0.0,104.5,400.0,0
97.5,0.0,97.5,420.0,0
77.0,0.0,77.0,450.0,0
81.5,0.0,81.5,460.0,0
92.0,0.0,92.0,460.0,0
93.0,0.0,93.0,460.0,0
92.5,0.0,92.5,450.0,0
90.0,0.0,90.0,370.0,0
83.0,0.0,83.0,410.0,0
99.0,0.0,99.0,410.0,0
104.5,0.0,104.5,380.0,0
90.5,0.0,90.5,410.0,0
89.0,0.0,89.0,390.0,0
85.0,0.0,85.0,360.0,0
82.0,0.0,82.0,420.0,0
96.5,0.0,96.5,420.0,0
93.5,0.0,93.5,380.0,0
88.5,0.0,88.5,430.0,0
85.0,0.0,85.0,380.0,0
92.0,0.0,92.0,370.0,0
84.5,0.0,84.5,420.0,0
80.5,0.0,80.5,390.0,0
86.0,0.0,86.0,390.0,0
95.5,0.0,95.5,370.0,0
84.0,0.0,84.0,440.0,0
90.0,0.0,90.0,380.0,0
98.0,0.0,98.0,410.0,0
84.0,0.0,84.0,410.0,0
81.5,0.0,81.5,410.0,0
99.0,0.0,99.0,410.0,0
102.5,0.0,102.5,430.0,0
91.0,0.0,91.0,460.0,0
87.0,0.0,87.0,440.0,0
90.0,0.0,90.0,400.0,0
91.5,0.0,91.5,420.0,0
87.5,0.0,87.5,420.0,0
79.5,0.0,79.5,390.0,0
95.0,0.0,95.0,390.0,0
105.0,0.0,105.0,420.0,0
103.0,0.0,103.0,370.0,0
86.0,0.0,86.0,420.0,0
88.0,0.0,88.0,450.0,0
93.0,0.0,93.0,450.0,0
96.5,0.0,96.5,440.0,0
88.5,0.0,88.5,390.0,0
88.0,0.0,88.0,370.0,0
93.5,0.0,93.5,380.0,0
96.5,0.0,96.5,460.0,0
76.0,0.0,76.0,420.0,0
85.0,0.0,85.0,420.0,0
92.0,0.0,92.0,380.0,0
91.5,0.0,91.5,360.0,0
80.0,0.0,80.0,370.0,0
91.5,0.0,91.5,410.0,0
91.5,0.0,91.5,380.0,0
89.5,0.0,89.5,470.0,0
83.5,0.0,83.5,470.0,0
84.5,0.0,84.5,430.0,0
90.0,0.0,90.0,440.0,0
85.5,0.0,85.5,370.0,0
90.0,0.0,90.0,410.0,0
84.5,0.0,84.5,450.0,0
82.0,0.0,82.0,410.0,0
79.5,0.0,79.5,490.0,0
92.5,0.0,92.5,470.0,0
108.5,0.0,108.5,420.0,0
104.5,0.0,104.5,370.0,0
88.5,0.0,88.5,390.0,0
88.0,0.0,88.0,390.0,0
103.0,0.0,103.0,460.0,0
98.5,0.0,98.5,370.0,0
88.5,0.0,88.5,370.0,0
90.0,0.0,90.0,380.0,0
98.5,0.0,98.5,440.0,0
100.0,0.0,100.0,410.0,0
86.0,0.0,86.0,390.0,0
99.0,0.0,99.0,380.0,0
85.5,0.0,85.5,400.0,0
87.0,0.0,87.0,410.0,0
93.0,0.0,93.0,380.0,0
82.5,0.0,82.5,380.0,0
90.0,0.0,90.0,460.0,0
97.0,0.0,97.0,490.0,0
94.5,0.0,94.5,490.0,0
76.5,0.0,76.5,420.0,0
80.0,0.0,80.0,380.0,0
70.5,0.0,70.5,460.0,0
84.5,0.0,84.5,460.0,0
83.5,0.0,83.5,450.0,0
89.0,0.0,89.0,450.0,0
94.0,0.0,94.0,450.0,0
85.0,0.0,85.0,450.0,0
85.5,0.0,85.5,410.0,0
81.0,0.0,81.0,410.0,0
89.0,0.0,89.0,470.0,0
96.5,0.0,96.5,460.0,0
97.0,0.0,97.0,410.0,0
82.5,0.0,82.5,410.0,0
90.5,0.0,90.5,430.0,0
78.0,0.0,78.0,420.0,0
75.0,0.0,75.0,450.0,0
68.0,0.0,68.0,480.0,0
73.5,0.0,73.5,480.0,0
82.5,0.0,82.5,370.0,0
89.5,0.0,89.5,410.0,0
92.0,0.0,92.0,380.0,0
110.5,0.0,110.5,390.0,0
98.0,0.0,98.0,390.0,0
76.0,0.0,76.0,480.0,0
86.5,0.0,86.5,480.0,0
91.0,0.0,91.0,410.0,0
80.0,0.0,80.0,450.0,0
100.0,0.0,100.0,410.0,0
89.5,0.0,89.5,430.0,0
87.5,0.0,87.5,410.0,0
96.0,0.0,96.0,430.0,0
94.0,0.0,94.0,470.0,0
86.0,0.0,86.0,470.0,0
85.0,0.0,85.0,410.0,0
111.0,0.0,111.0,360.0,0
107.0,0.0,107.0,390.0,0
95.5,0.0,95.5,410.0,0
97.0,0.0,97.0,420.0,0
95.5,0.0,95.5,420.0,0
92.0,0.0,92.0,390.0,0
92.5,0.0,92.5,470.0,0
87.5,0.0,87.5,380.0,0
95.0,0.0,95.0,440.0,0
90.0,0.0,90.0,420.0,0
80.5,0.0,80.5,420.0,0
95.5,0.0,95.5,390.0,0
84.0,0.0,84.0,410.0,0
99.5,0.0,99.5,440.0,0
97.0,0.0,97.0,440.0,0
90.0,0.0,90.0,400.0,0
79.5,0.0,79.5,410.0,0
81.5,0.0,81.5,410.0,0
87.5,0.0,87.5,430.0,0
96.5,0.0,96.5,390.0,0
80.0,0.0,80.0,440.0,0
93.5,0.0,93.5,430.0,0
92.5,0.0,92.5,430.0,0
94.0,0.0,94.0,400.0,0
105.0,0.0,105.0,390.0,0
88.5,0.0,88.5,440.0,0
75.0,0.0,75.0,440.0,0
92.0,0.0,92.0,370.0,0
87.5,0.0,87.5,430.0,0
89.5,0.0,89.5,420.0,0
83.0,0.0,83.0,420.0,0
90.0,0.0,90.0,420.0,0
91.5,0.0,91.5,410.0,0
85.5,0.0,85.5,460.0,0
92.5,0.0,92.5,420.0,0
97.0,0.0,97.0,410.0,0
85.0,0.0,85.0,440.0,0
84.0,0.0,84.0,440.0,0
92.5,0.0,92.5,430.0,0
81.5,0.0,81.5,400.0,0
74.0,0.0,74.0,480.0,0
93.0,0.0,93.0,460.0,0
85.5,0.0,85.5,360.0,0
74.5,0.0,74.5,370.0,0
76.5,0.0,76.5,350.0,0
83.5,0.0,83.5,380.0,0
88.0,0.0,88.0,480.0,0
92.5,0.0,92.5,480.0,0
94.5,0.0,94.5,420.0,0
104.0,0.0,104.0,390.0,0
98.0,0.0,98.0,410.0,0
88.0,0.0,88.0,400.0,0
83.0,0.0,83.0,400.0,0
79.0,0.0,79.0,450.0,0
93.0,0.0,93.0,450.0,0
87.0,0.0,87.0,430.0,0
93.0,0.0,93.0,410.0,0
99.5,0.0,99.5,370.0,0
97.0,0.0,97.0,400.0,0
91.5,0.0,91.5,400.0,0
94.5,0.0,94.5,370.0,0
84.0,0.0,84.0,360.0,0
94.5,0.0,94.5,440.0,0
96.5,0.0,96.5,380.0,0
92.0,0.0,92.0,390.0,0
94.5,0.0,94.5,390.0,0
85.0,0.0,85.0,440.0,0
92.0,0.0,92.0,440.0,0
89.5,0.0,89.5,410.0,0
98.5,0.0,98.5,430.0,0
