RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,330.0,0
56.0,0.0,56.0,450.0,0
33.5,0.0,33.5,730.0,0
117.5,5.0,112.5,1000.0,0
157.5,5.0,152.5,1200.0,0
152.0,32.0,120.0,1100.0,0
162.5,15.5,147.0,920.0,0
157.0,0.0,157.0,910.0,0
178.0,0.0,178.0,1100.0,0
159.5,11.0,148.5,1100.0,0
171.5,9.5,162.0,1100.0,0
172.0,10.0,162.0,950.0,0
176.0,3.0,173.0,770.0,0
167.5,0.0,167.5,860.0,0
168.0,0.0,168.0,1100.0,0
176.0,4.5,171.5,990.0,0
183.0,1.0,182.0,860.0,0
159.0,0.5,158.5,880.0,0
182.5,0.5,182.0,970.0,0
171.5,0.5,171.0,990.0,0
189.5,1.0,188.5,990.0,0
195.5,0.0,195.5,810.0,0
176.5,0.5,176.0,1000.0,0
189.5,0.5,189.0,990.0,0
197.5,0.0,197.5,890.0,0
185.0,2.0,183.0,960.0,0
187.0,2.0,185.0,930.0,0
216.0,2.0,214.0,990.0,0
201.0,1.5,199.5,1000.0,0
212.0,9.0,203.0,1000.0,0
229.0,27.0,202.0,950.0,0
196.0,12.5,183.5,970.0,0
204.5,9.0,195.5,910.0,0
206.5,11.0,195.5,1000.0,0
209.5,19.0,190.5,1000.0,0
244.0,43.0,201.0,990.0,0
210.0,33.5,176.5,1000.0,0
225.0,35.5,189.5,1100.0,0
213.5,35.0,178.5,940.0,0
212.5,32.5,180.0,1000.0,0
208.0,39.0,169.0,710.0,0
208.0,34.0,174.0,1000.0,0
212.5,31.0,181.5,870.0,0
214.0,35.5,178.5,1000.0,0
215.5,15.5,200.0,810.0,0
228.5,39.0,189.5,1000.0,0
194.5,23.0,171.5,1000.0,0
211.5,31.0,180.5,1000.0,0
217.5,32.5,185.0,970.0,0
224.5,45.0,179.5,940.0,0
225.5,40.0,185.5,820.0,0
205.5,40.0,165.5,990.0,0
243.5,42.0,201.5,730.0,0
221.5,43.0,178.5,910.0,0
193.5,18.5,175.0,1000.0,0
230.5,31.5,199.0,1000.0,0
238.5,51.0,187.5,1000.0,0
204.5,36.0,168.5,1000.0,0
224.0,36.5,187.5,850.0,0
230.5,41.5,189.0,830.0,0
201.5,21.0,180.5,840.0,0
228.0,33.5,194.5,680.0,0
220.5,51.5,169.0,920.0,0
206.0,28.5,177.5,730.0,0
262.5,61.0,201.5,690.0,0
197.5,29.0,168.5,840.0,0
224.0,39.5,184.5,750.0,0
217.0,31.0,186.0,700.0,0
204.0,32.5,171.5,660.0,0
205.5,29.5,176.0,590.0,0
230.5,26.5,204.0,730.0,0
210.5,32.5,178.0,690.0,0
219.0,35.0,184.0,770.0,0
224.5,43.5,181.0,900.0,0
221.0,36.0,185.0,600.0,0
231.0,35.5,195.5,550.0,0
208.5,32.0,176.5,560.0,0
182.0,15.5,166.5,660.0,0
223.5,31.5,192.0,620.0,0
221.5,38.5,183.0,590.0,0
235.5,47.0,188.5,620.0,0
212.5,32.0,180.5,620.0,0
221.0,40.0,181.0,610.0,0
202.0,26.0,176.0,570.0,0
194.5,18.0,176.5,660.0,0
225.0,36.0,189.0,660.0,0
242.5,57.0,185.5,610.0,0
212.5,33.5,179.0,660.0,0
218.5,37.5,181.0,640.0,0
217.0,35.5,181.5,670.0,0
215.5,36.0,179.5,690.0,0
233.5,40.0,193.5,600.0,0
230.5,44.5,186.0,550.0,0
207.0,36.5,170.5,620.0,0
218.0,38.5,179.5,620.0,0
226.5,40.0,186.5,610.0,0
224.5,39.0,185.5,650.0,0
205.5,20.5,185.0,650.0,0
216.5,31.0,185.5,610.0,0
188.0,13.5,174.5,600.0,0
194.0,11.0,183.0,600.0,0
217.0,27.5,189.5,590.0,0
210.0,27.5,182.5,590.0,0
203.0,21.5,181.5,610.0,0
226.5,44.0,182.5,680.0,0
226.5,52.0,174.5,680.0,0
207.0,34.0,173.0,660.0,0
243.5,45.5,198.0,680.0,0
245.0,61.5,183.5,600.0,0
211.5,42.5,169.0,590.0,0
203.5,22.0,181.5,590.0,0
232.5,53.0,179.5,530.0,0
220.5,48.5,172.0,630.0,0
230.5,51.0,179.5,670.0,0
233.5,54.0,179.5,670.0,0
214.5,35.5,179.0,590.0,0
201.0,24.0,177.0,590.0,0
195.5,21.0,174.5,660.0,0
194.0,20.0,174.0,730.0,0
212.0,30.5,181.5,800.0,0
215.0,23.5,191.5,570.0,0
210.5,39.5,171.0,620.0,0
196.0,26.5,169.5,670.0,0
200.0,18.5,181.5,670.0,0
228.0,42.5,185.5,580.0,0
212.0,33.5,178.5,670.0,0
199.5,21.5,178.0,670.0,0
211.0,19.5,191.5,640.0,0
200.5,36.0,164.5,630.0,0
219.0,39.5,179.5,720.0,0
244.0,48.5,195.5,640.0,0
223.0,42.0,181.0,610.0,0
188.5,11.0,177.5,700.0,0
227.5,31.5,196.0,630.0,0
227.5,47.5,180.0,640.0,0
211.5,36.0,175.5,640.0,0
210.0,30.5,179.5,680.0,0
225.0,35.0,190.0,610.0,0
211.5,35.5,176.0,680.0,0
201.0,27.5,173.5,720.0,0
227.0,37.5,189.5,630.0,0
195.0,19.0,176.0,590.0,0
209.0,21.0,188.0,630.0,0
211.5,32.0,179.5,660.0,0
204.5,32.0,172.5,660.0,0
216.5,31.0,185.5,640.0,0
226.5,34.5,192.0,600.0,0
