RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,234.0,0.0
190.0,0.0,190.0,320.0,0.0
215.5,2.0,213.5,872.0,0.0
410.0,14.0,396.0,888.0,0.0
414.5,12.5,402.0,1030.0,0.0
447.0,47.0,400.0,892.0,0.0
439.5,29.5,410.0,868.0,0.0
430.0,15.5,414.5,890.0,0.0
443.0,18.0,425.0,926.0,0.0
436.0,21.5,414.5,1012.0,0.0
454.5,25.5,429.0,972.0,0.0
450.0,20.5,429.5,844.0,0.0
470.0,13.5,456.5,900.0,0.0
472.5,12.0,460.5,864.0,0.0
457.0,21.0,436.0,990.0,0.0
484.5,34.5,450.0,1006.0,0.0
491.0,43.0,448.0,928.0,0.0
498.5,48.5,450.0,998.0,0.0
482.0,31.5,450.5,1014.0,0.0
521.0,30.5,490.5,938.0,0.0
514.5,25.5,489.0,916.0,0.0
527.5,27.5,500.0,918.0,0.0
475.5,27.5,448.0,1038.0,0.0
515.5,32.0,483.5,1010.0,0.0
543.5,34.0,509.5,918.0,0.0
536.0,34.5,501.5,1034.0,0.0
528.5,31.0,497.5,952.0,0.0
536.0,28.5,507.5,1016.0,0.0
554.5,24.5,530.0,1074.0,0.0
558.5,54.5,504.0,968.0,0.0
580.5,71.5,509.0,894.0,0.0
559.5,60.5,499.0,994.0,0.0
581.5,66.0,515.5,942.0,0.0
574.0,65.5,508.5,914.0,0.0
563.5,60.5,503.0,1074.0,0.0
624.5,76.5,548.0,1050.0,0.0
596.0,72.0,524.0,998.0,0.0
562.5,62.5,500.0,1072.0,0.0
590.0,66.0,524.0,1044.0,0.0
537.0,61.5,475.5,986.0,0.0
634.0,74.0,560.0,920.0,0.0
582.5,66.0,516.5,1052.0,0.0
512.5,56.5,456.0,908.0,0.0
610.0,74.0,536.0,1014.0,0.0
564.5,50.5,514.0,924.0,0.0
595.0,71.5,523.5,990.0,0.0
558.5,59.0,499.5,952.0,0.0
644.0,84.5,559.5,940.0,0.0
574.0,70.0,504.0,1014.0,0.0
601.5,77.5,524.0,862.0,0.0
587.0,74.0,513.0,920.0,0.0
568.5,67.5,501.0,926.0,0.0
617.0,79.5,537.5,858.0,0.0
598.0,75.5,522.5,858.0,0.0
519.5,42.5,477.0,990.0,0.0
568.0,83.5,484.5,1026.0,0.0
657.0,100.0,557.0,1026.0,0.0
545.0,60.0,485.0,838.0,0.0
589.0,70.0,519.0,806.0,0.0
649.5,80.0,569.5,870.0,0.0
528.0,48.5,479.5,872.0,0.0
590.0,61.0,529.0,854.0,0.0
573.5,81.0,492.5,952.0,0.0
522.5,56.0,466.5,860.0,0.0
691.5,92.5,599.0,860.0,0.0
555.5,66.0,489.5,830.0,0.0
602.0,70.5,531.5,894.0,0.0
590.5,56.5,534.0,848.0,0.0
563.0,63.0,500.0,866.0,0.0
584.0,68.0,516.0,812.0,0.0
627.0,59.5,567.5,856.0,0.0
576.5,72.0,504.5,860.0,0.0
593.0,70.5,522.5,856.0,0.0
558.5,68.5,490.0,834.0,0.0
599.0,64.0,535.0,836.0,0.0
592.0,64.5,527.5,784.0,0.0
590.5,63.5,527.0,788.0,0.0
572.5,61.5,511.0,760.0,0.0
601.0,62.0,539.0,786.0,0.0
592.0,66.0,526.0,794.0,0.0
597.0,85.5,511.5,638.0,0.0
572.0,73.5,498.5,436.0,0.0
628.5,76.5,552.0,426.0,0.0
610.5,57.5,553.0,730.0,0.0
529.5,51.5,478.0,820.0,0.0
581.5,70.0,511.5,626.0,0.0
642.0,89.0,553.0,768.0,0.0
573.0,64.0,509.0,796.0,0.0
587.0,67.0,520.0,814.0,0.0
586.0,68.0,518.0,830.0,0.0
584.0,71.5,512.5,842.0,0.0
586.5,72.0,514.5,824.0,0.0
626.0,75.5,550.5,800.0,0.0
576.0,65.5,510.5,818.0,0.0
581.5,66.5,515.0,806.0,0.0
598.5,72.5,526.0,808.0,0.0
582.5,68.5,514.0,806.0,0.0
