timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T19:17:04Z,cartservice,326407,0,0,0
2026-09-05T19:17:04Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:04Z,paymentservice,163146,0,0,0
2026-09-05T19:17:10Z,cartservice,326407,0,0,0
2026-09-05T19:17:10Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:10Z,paymentservice,163146,0,0,0
2026-09-05T19:17:15Z,cartservice,326407,0,0,0
2026-09-05T19:17:15Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:15Z,paymentservice,163146,0,0,0
2026-09-05T19:17:20Z,cartservice,326407,0,0,0
2026-09-05T19:17:20Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:20Z,paymentservice,163146,0,0,0
2026-09-05T19:17:26Z,cartservice,326407,0,0,0
2026-09-05T19:17:26Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:26Z,paymentservice,163146,0,0,0
2026-09-05T19:17:31Z,cartservice,326407,0,0,0
2026-09-05T19:17:31Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:31Z,paymentservice,163146,0,0,0
2026-09-05T19:17:36Z,cartservice,326407,0,0,0
2026-09-05T19:17:36Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:36Z,paymentservice,163146,0,0,0
2026-09-05T19:17:42Z,cartservice,326407,0,0,0
2026-09-05T19:17:42Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:42Z,paymentservice,163146,0,0,0
2026-09-05T19:17:47Z,cartservice,326407,0,0,0
2026-09-05T19:17:47Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:47Z,paymentservice,163146,0,0,0
2026-09-05T19:17:53Z,cartservice,326407,0,0,0
2026-09-05T19:17:53Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:53Z,paymentservice,163146,0,0,0
2026-09-05T19:17:58Z,cartservice,326407,0,0,0
2026-09-05T19:17:58Z,productcatalogservice,0,0,0,0
2026-09-05T19:17:58Z,paymentservice,163146,0,0,0
2026-09-05T19:18:03Z,cartservice,326407,0,0,0
2026-09-05T19:18:03Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:03Z,paymentservice,163146,0,0,0
2026-09-05T19:18:09Z,cartservice,326407,0,0,0
2026-09-05T19:18:09Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:09Z,paymentservice,163146,0,0,0
2026-09-05T19:18:14Z,cartservice,326407,0,0,0
2026-09-05T19:18:14Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:14Z,paymentservice,163146,0,0,0
2026-09-05T19:18:19Z,cartservice,326482,0,0,0
2026-09-05T19:18:19Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:19Z,paymentservice,163182,0,0,0
2026-09-05T19:18:25Z,cartservice,326603,0,0,0
2026-09-05T19:18:25Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:25Z,paymentservice,163239,0,0,0
2026-09-05T19:18:30Z,cartservice,326720,0,0,0
2026-09-05T19:18:30Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:30Z,paymentservice,163302,0,0,0
2026-09-05T19:18:36Z,cartservice,326842,0,0,0
2026-09-05T19:18:36Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:36Z,paymentservice,163365,0,0,0
2026-09-05T19:18:41Z,cartservice,326953,0,0,0
2026-09-05T19:18:41Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:41Z,paymentservice,163415,0,0,0
2026-09-05T19:18:46Z,cartservice,327073,0,0,0
2026-09-05T19:18:46Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:46Z,paymentservice,163478,0,0,0
2026-09-05T19:18:52Z,cartservice,327187,0,0,0
2026-09-05T19:18:52Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:52Z,paymentservice,163537,0,0,0
2026-09-05T19:18:57Z,cartservice,327297,0,0,0
2026-09-05T19:18:57Z,productcatalogservice,0,0,0,0
2026-09-05T19:18:57Z,paymentservice,163590,0,0,0
2026-09-05T19:19:03Z,cartservice,327415,0,0,0
2026-09-05T19:19:03Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:03Z,paymentservice,163652,0,0,0
2026-09-05T19:19:08Z,cartservice,327543,0,0,0
2026-09-05T19:19:08Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:08Z,paymentservice,163714,0,0,0
2026-09-05T19:19:14Z,cartservice,327663,0,0,0
2026-09-05T19:19:14Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:14Z,paymentservice,163771,0,0,0
2026-09-05T19:19:19Z,cartservice,327770,0,0,0
2026-09-05T19:19:19Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:19Z,paymentservice,163827,0,0,0
2026-09-05T19:19:25Z,cartservice,327880,0,0,0
2026-09-05T19:19:25Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:25Z,paymentservice,163884,0,0,0
2026-09-05T19:19:30Z,cartservice,327987,0,0,0
2026-09-05T19:19:30Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:30Z,paymentservice,163938,0,0,0
2026-09-05T19:19:35Z,cartservice,328102,0,0,0
2026-09-05T19:19:35Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:35Z,paymentservice,163993,0,0,0
2026-09-05T19:19:41Z,cartservice,328196,0,0,0
2026-09-05T19:19:41Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:41Z,paymentservice,164038,0,0,0
2026-09-05T19:19:46Z,cartservice,328304,0,0,0
2026-09-05T19:19:46Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:46Z,paymentservice,164099,0,0,0
2026-09-05T19:19:52Z,cartservice,328408,0,0,0
2026-09-05T19:19:52Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:52Z,paymentservice,164149,0,0,0
2026-09-05T19:19:57Z,cartservice,328516,0,0,0
2026-09-05T19:19:57Z,productcatalogservice,0,0,0,0
2026-09-05T19:19:57Z,paymentservice,164203,0,0,0
2026-09-05T19:20:03Z,cartservice,328631,0,0,0
2026-09-05T19:20:03Z,productcatalogservice,0,0,0,0
2026-09-05T19:20:03Z,paymentservice,164261,0,0,0
2026-09-05T19:20:08Z,cartservice,328737,0,0,0
2026-09-05T19:20:08Z,productcatalogservice,0,0,0,0
