RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
37.5,0.0,37.5,300.0,0
60.5,0.0,60.5,330.0,0
70.0,0.0,70.0,340.0,0
72.5,0.0,72.5,370.0,0
73.5,0.0,73.5,320.0,0
75.5,0.0,75.5,330.0,0
79.5,0.0,79.5,320.0,0
76.0,0.0,76.0,320.0,0
78.0,0.0,78.0,300.0,0
90.5,0.0,90.5,270.0,0
89.0,0.0,89.0,310.0,0
81.5,0.0,81.5,300.0,0
89.5,0.0,89.5,300.0,0
84.5,0.0,84.5,300.0,0
85.5,0.0,85.5,290.0,0
76.0,0.0,76.0,330.0,0
84.5,0.0,84.5,280.0,0
86.5,0.0,86.5,270.0,0
83.0,0.0,83.0,280.0,0
94.5,0.0,94.5,330.0,0
88.0,0.0,88.0,280.0,0
86.5,0.0,86.5,280.0,0
103.0,0.0,103.0,280.0,0
95.0,0.0,95.0,270.0,0
97.5,0.0,97.5,280.0,0
103.0,0.0,103.0,270.0,0
101.5,0.0,101.5,250.0,0
105.0,0.0,105.0,270.0,0
106.5,0.0,106.5,290.0,0
99.0,0.0,99.0,260.0,0
93.5,0.0,93.5,260.0,0
101.0,0.0,101.0,230.0,0
98.0,0.0,98.0,200.0,0
96.0,0.0,96.0,220.0,0
106.5,0.0,106.5,250.0,0
100.5,0.0,100.5,250.0,0
92.5,0.0,92.5,250.0,0
92.5,0.0,92.5,350.0,0
107.5,0.0,107.5,350.0,0
112.5,0.0,112.5,210.0,0
97.0,0.0,97.0,260.0,0
95.0,0.0,95.0,270.0,0
103.0,0.0,103.0,270.0,0
103.0,0.0,103.0,330.0,0
99.0,0.0,99.0,330.0,0
104.5,0.0,104.5,220.0,0
101.0,0.0,101.0,240.0,0
105.0,0.0,105.0,220.0,0
109.5,0.0,109.5,210.0,0
102.5,0.0,102.5,220.0,0
99.5,0.0,99.5,220.0,0
85.5,0.0,85.5,300.0,0
92.5,0.0,92.5,270.0,0
97.5,0.0,97.5,270.0,0
97.5,0.0,97.5,270.0,0
96.0,0.0,96.0,200.0,0
95.0,0.0,95.0,280.0,0
93.0,0.0,93.0,260.0,0
86.5,0.0,86.5,290.0,0
101.0,0.0,101.0,300.0,0
102.5,0.0,102.5,300.0,0
108.0,0.0,108.0,240.0,0
101.5,0.0,101.5,220.0,0
100.0,0.0,100.0,230.0,0
91.5,0.0,91.5,280.0,0
92.0,0.0,92.0,280.0,0
96.5,0.0,96.5,300.0,0
102.0,0.0,102.0,230.0,0
100.5,0.0,100.5,280.0,0
87.5,0.0,87.5,280.0,0
98.5,0.0,98.5,320.0,0
102.5,0.0,102.5,260.0,0
106.5,0.0,106.5,240.0,0
88.0,0.0,88.0,240.0,0
96.5,0.0,96.5,230.0,0
101.0,0.0,101.0,240.0,0
105.5,0.0,105.5,330.0,0
91.0,0.0,91.0,330.0,0
92.0,0.0,92.0,300.0,0
101.5,0.0,101.5,270.0,0
96.5,0.0,96.5,180.0,0
84.0,0.0,84.0,240.0,0
91.0,0.0,91.0,230.0,0
102.5,0.0,102.5,290.0,0
107.0,0.0,107.0,260.0,0
105.0,0.0,105.0,260.0,0
100.5,0.0,100.5,230.0,0
96.0,0.0,96.0,200.0,0
102.5,0.0,102.5,230.0,0
100.5,0.0,100.5,270.0,0
108.0,0.0,108.0,210.0,0
98.5,0.0,98.5,160.0,0
88.0,0.0,88.0,180.0,0
95.0,0.0,95.0,200.0,0
93.0,0.0,93.0,200.0,0
90.0,0.0,90.0,190.0,0
94.0,0.0,94.0,190.0,0
103.0,0.0,103.0,190.0,0
107.0,0.0,107.0,180.0,0
86.5,0.0,86.5,200.0,0
83.0,0.0,83.0,200.0,0
98.5,0.0,98.5,180.0,0
102.5,0.0,102.5,220.0,0
108.0,0.0,108.0,180.0,0
90.0,0.0,90.0,190.0,0
86.0,0.0,86.0,230.0,0
92.5,0.0,92.5,230.0,0
102.5,0.0,102.5,170.0,0
116.5,0.0,116.5,180.0,0
102.0,0.0,102.0,210.0,0
82.0,0.0,82.0,210.0,0
77.5,0.0,77.5,190.0,0
81.5,0.0,81.5,250.0,0
69.5,0.0,69.5,250.0,0
82.0,0.0,82.0,270.0,0
95.5,0.0,95.5,210.0,0
93.5,0.0,93.5,220.0,0
100.5,0.0,100.5,220.0,0
100.5,0.0,100.5,180.0,0
115.5,0.0,115.5,250.0,0
99.0,0.0,99.0,210.0,0
92.0,0.0,92.0,190.0,0
96.5,0.0,96.5,160.0,0
101.0,0.0,101.0,160.0,0
93.0,0.0,93.0,180.0,0
94.5,0.0,94.5,200.0,0
102.5,0.0,102.5,230.0,0
107.0,0.0,107.0,190.0,0
91.0,0.0,91.0,190.0,0
97.5,0.0,97.5,180.0,0
99.5,0.0,99.5,210.0,0
103.0,0.0,103.0,180.0,0
99.5,0.0,99.5,180.0,0
92.0,0.0,92.0,170.0,0
105.0,0.0,105.0,190.0,0
90.0,0.0,90.0,240.0,0
100.5,0.0,100.5,210.0,0
108.0,0.0,108.0,220.0,0
89.5,0.0,89.5,230.0,0
97.0,0.0,97.0,180.0,0
99.0,0.0,99.0,210.0,0
94.5,0.0,94.5,230.0,0
103.5,0.0,103.5,210.0,0
113.5,0.0,113.5,210.0,0
99.5,0.0,99.5,190.0,0
101.5,0.0,101.5,210.0,0
105.0,0.0,105.0,210.0,0
92.5,0.0,92.5,200.0,0
91.5,0.0,91.5,210.0,0
89.5,0.0,89.5,210.0,0
110.5,0.0,110.5,170.0,0
105.0,0.0,105.0,180.0,0
92.5,0.0,92.5,170.0,0
97.0,0.0,97.0,180.0,0
94.0,0.0,94.0,230.0,0
103.0,0.0,103.0,210.0,0
104.0,0.0,104.0,190.0,0
92.5,0.0,92.5,200.0,0
93.5,0.0,93.5,170.0,0
105.5,0.0,105.5,210.0,0
94.0,0.0,94.0,180.0,0
108.5,0.0,108.5,180.0,0
92.0,0.0,92.0,180.0,0
98.5,0.0,98.5,160.0,0
105.5,0.0,105.5,160.0,0
91.5,0.0,91.5,210.0,0
98.5,0.0,98.5,200.0,0
105.0,0.0,105.0,160.0,0
99.5,0.0,99.5,230.0,0
90.5,0.0,90.5,300.0,0
87.5,0.0,87.5,240.0,0
99.0,0.0,99.0,210.0,0
106.0,0.0,106.0,200.0,0
105.0,0.0,105.0,210.0,0
105.5,0.0,105.5,150.0,0
93.5,0.0,93.5,160.0,0
97.0,0.0,97.0,220.0,0
93.0,0.0,93.0,220.0,0
91.0,0.0,91.0,190.0,0
99.0,0.0,99.0,180.0,0
86.5,0.0,86.5,200.0,0
90.5,0.0,90.5,190.0,0
91.5,0.0,91.5,210.0,0
82.5,0.0,82.5,210.0,0
91.0,0.0,91.0,200.0,0
74.0,0.0,74.0,160.0,0
91.0,0.0,91.0,190.0,0
90.0,0.0,90.0,200.0,0
97.5,0.0,97.5,210.0,0
94.5,0.0,94.5,220.0,0
92.0,0.0,92.0,230.0,0
82.5,0.0,82.5,230.0,0
92.0,0.0,92.0,170.0,0
93.0,0.0,93.0,150.0,0
106.0,0.0,106.0,180.0,0
104.5,0.0,104.5,190.0,0
99.5,0.0,99.5,160.0,0
102.0,0.0,102.0,190.0,0
90.0,0.0,90.0,190.0,0
95.0,0.0,95.0,190.0,0
91.5,0.0,91.5,230.0,0
92.5,0.0,92.5,230.0,0
102.5,0.0,102.5,210.0,0
109.0,0.0,109.0,190.0,0
77.5,0.0,77.5,210.0,0
75.0,0.0,75.0,240.0,0
90.0,0.0,90.0,200.0,0
103.0,0.0,103.0,250.0,0
95.0,0.0,95.0,170.0,0
100.0,0.0,100.0,190.0,0
105.0,0.0,105.0,220.0,0
103.0,0.0,103.0,210.0,0
104.0,0.0,104.0,230.0,0
101.0,0.0,101.0,270.0,0
96.5,0.0,96.5,270.0,0
100.5,0.0,100.5,230.0,0
83.0,0.0,83.0,180.0,0
85.5,0.0,85.5,200.0,0
98.0,0.0,98.0,200.0,0
100.0,0.0,100.0,170.0,0
89.5,0.0,89.5,190.0,0
90.5,0.0,90.5,250.0,0
90.5,0.0,90.5,250.0,0
95.0,0.0,95.0,190.0,0
95.0,0.0,95.0,210.0,0
85.0,0.0,85.0,210.0,0
82.5,0.0,82.5,180.0,0
86.0,0.0,86.0,170.0,0
95.0,0.0,95.0,210.0,0
88.0,0.0,88.0,190.0,0
99.0,0.0,99.0,210.0,0
101.0,0.0,101.0,180.0,0
99.5,0.0,99.5,220.0,0
99.0,0.0,99.0,220.0,0
99.5,0.0,99.5,210.0,0
92.0,0.0,92.0,170.0,0
92.0,0.0,92.0,180.0,0
96.5,0.0,96.5,180.0,0
97.0,0.0,97.0,230.0,0
90.5,0.0,90.5,230.0,0
86.5,0.0,86.5,230.0,0
89.5,0.0,89.5,200.0,0
91.5,0.0,91.5,210.0,0
91.5,0.0,91.5,170.0,0
86.5,0.0,86.5,220.0,0
87.5,0.0,87.5,220.0,0
86.0,0.0,86.0,220.0,0
91.0,0.0,91.0,210.0,0
92.0,0.0,92.0,220.0,0
81.0,0.0,81.0,200.0,0
92.5,0.0,92.5,230.0,0
104.0,0.0,104.0,230.0,0
93.5,0.0,93.5,230.0,0
83.0,0.0,83.0,210.0,0
92.5,0.0,92.5,180.0,0
87.0,0.0,87.0,200.0,0
96.0,0.0,96.0,190.0,0
103.0,0.0,103.0,170.0,0
89.0,0.0,89.0,170.0,0
73.5,0.0,73.5,190.0,0
81.5,0.0,81.5,270.0,0
86.5,0.0,86.5,270.0,0
81.0,0.0,81.0,200.0,0
95.5,0.0,95.5,200.0,0
90.0,0.0,90.0,160.0,0
89.5,0.0,89.5,210.0,0
106.0,0.0,106.0,190.0,0
109.0,0.0,109.0,270.0,0
100.5,0.0,100.5,160.0,0
97.0,0.0,97.0,160.0,0
94.0,0.0,94.0,210.0,0
86.5,0.0,86.5,210.0,0
92.0,0.0,92.0,170.0,0
83.0,0.0,83.0,200.0,0
88.0,0.0,88.0,240.0,0
98.5,0.0,98.5,180.0,0
85.5,0.0,85.5,230.0,0
81.5,0.0,81.5,230.0,0
86.5,0.0,86.5,200.0,0
92.5,0.0,92.5,220.0,0
93.0,0.0,93.0,210.0,0
96.0,0.0,96.0,190.0,0
102.0,0.0,102.0,170.0,0
91.5,0.0,91.5,300.0,0
76.5,0.0,76.5,210.0,0
86.0,0.0,86.0,250.0,0
81.0,0.0,81.0,210.0,0
93.0,0.0,93.0,200.0,0
101.5,0.0,101.5,200.0,0
97.0,0.0,97.0,230.0,0
105.5,0.0,105.5,230.0,0
90.5,0.0,90.5,210.0,0
84.0,0.0,84.0,220.0,0
79.5,0.0,79.5,230.0,0
94.0,0.0,94.0,230.0,0
93.5,0.0,93.5,170.0,0
90.5,0.0,90.5,180.0,0
