timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T20:15:31Z,cartservice,7987596,0,0,0
2026-09-05T20:15:31Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:31Z,checkoutservice,187620,737,15,340
2026-09-05T20:15:37Z,cartservice,7987596,0,0,0
2026-09-05T20:15:37Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:37Z,checkoutservice,187620,737,15,340
2026-09-05T20:15:42Z,cartservice,7987596,0,0,0
2026-09-05T20:15:42Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:42Z,checkoutservice,187620,737,15,340
2026-09-05T20:15:47Z,cartservice,7987596,0,0,0
2026-09-05T20:15:47Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:47Z,checkoutservice,187620,737,15,340
2026-09-05T20:15:53Z,cartservice,7987596,0,0,0
2026-09-05T20:15:53Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:53Z,checkoutservice,187620,737,15,340
2026-09-05T20:15:58Z,cartservice,7987596,0,0,0
2026-09-05T20:15:58Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:15:58Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:03Z,cartservice,7987596,0,0,0
2026-09-05T20:16:03Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:03Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:09Z,cartservice,7987596,0,0,0
2026-09-05T20:16:09Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:09Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:14Z,cartservice,7987596,0,0,0
2026-09-05T20:16:14Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:14Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:19Z,cartservice,7987596,0,0,0
2026-09-05T20:16:19Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:19Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:25Z,cartservice,7987596,0,0,0
2026-09-05T20:16:25Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:25Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:30Z,cartservice,7987596,0,0,0
2026-09-05T20:16:30Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:30Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:35Z,cartservice,7987596,0,0,0
2026-09-05T20:16:35Z,productcatalogservice,31904468,0,0,0
2026-09-05T20:16:35Z,checkoutservice,187620,737,15,340
2026-09-05T20:16:41Z,cartservice,7987598,0,0,0
2026-09-05T20:16:41Z,productcatalogservice,31904503,0,0,0
2026-09-05T20:16:41Z,checkoutservice,187623,737,15,340
2026-09-05T20:16:46Z,cartservice,7989493,0,0,0
2026-09-05T20:16:46Z,productcatalogservice,31911538,0,0,0
2026-09-05T20:16:46Z,checkoutservice,187668,737,15,340
2026-09-05T20:16:52Z,cartservice,7991906,0,0,0
2026-09-05T20:16:52Z,productcatalogservice,31920928,0,0,0
2026-09-05T20:16:52Z,checkoutservice,187735,737,15,340
2026-09-05T20:16:57Z,cartservice,7994178,0,0,0
2026-09-05T20:16:57Z,productcatalogservice,31930593,0,0,0
2026-09-05T20:16:57Z,checkoutservice,187794,737,15,340
2026-09-05T20:17:02Z,cartservice,7996983,0,0,0
2026-09-05T20:17:02Z,productcatalogservice,31940508,0,0,0
2026-09-05T20:17:02Z,checkoutservice,187844,737,15,340
2026-09-05T20:17:08Z,cartservice,7999490,0,0,0
2026-09-05T20:17:08Z,productcatalogservice,31950984,0,0,0
2026-09-05T20:17:08Z,checkoutservice,187908,737,15,340
2026-09-05T20:17:13Z,cartservice,8002279,0,0,0
2026-09-05T20:17:13Z,productcatalogservice,31962045,0,0,0
2026-09-05T20:17:13Z,checkoutservice,187969,737,15,340
2026-09-05T20:17:19Z,cartservice,8005279,0,0,0
2026-09-05T20:17:19Z,productcatalogservice,31973585,0,0,0
2026-09-05T20:17:19Z,checkoutservice,188035,737,15,340
2026-09-05T20:17:24Z,cartservice,8008040,0,0,0
2026-09-05T20:17:24Z,productcatalogservice,31985112,0,0,0
2026-09-05T20:17:24Z,checkoutservice,188119,777,15,360
2026-09-05T20:17:29Z,cartservice,8011068,0,0,0
2026-09-05T20:17:29Z,productcatalogservice,31996691,0,0,0
2026-09-05T20:17:29Z,checkoutservice,188182,777,15,360
2026-09-05T20:17:35Z,cartservice,8013935,0,0,0
2026-09-05T20:17:35Z,productcatalogservice,32008390,0,0,0
2026-09-05T20:17:35Z,checkoutservice,188229,777,15,360
2026-09-05T20:17:40Z,cartservice,8016851,0,0,0
2026-09-05T20:17:40Z,productcatalogservice,32020014,0,0,0
2026-09-05T20:17:40Z,checkoutservice,188286,777,15,360
2026-09-05T20:17:46Z,cartservice,8019813,0,0,0
2026-09-05T20:17:46Z,productcatalogservice,32031838,0,0,0
2026-09-05T20:17:46Z,checkoutservice,188347,777,15,360
2026-09-05T20:17:51Z,cartservice,8022638,0,0,0
2026-09-05T20:17:51Z,productcatalogservice,32043382,0,0,0
2026-09-05T20:17:51Z,checkoutservice,188411,777,15,360
2026-09-05T20:17:57Z,cartservice,8025727,0,0,0
2026-09-05T20:17:57Z,productcatalogservice,32054886,0,0,0
2026-09-05T20:17:57Z,checkoutservice,188471,777,15,360
2026-09-05T20:18:02Z,cartservice,8028490,0,0,0
2026-09-05T20:18:02Z,productcatalogservice,32066219,0,0,0
2026-09-05T20:18:02Z,checkoutservice,188523,777,15,360
2026-09-05T20:18:07Z,cartservice,8031475,0,0,0
