RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,590.0,0
80.5,2.0,78.5,1300.0,0
88.0,16.0,72.0,1300.0,0
104.5,2.5,102.0,1100.0,0
90.5,3.0,87.5,1200.0,0
90.0,12.5,77.5,1200.0,0
115.5,0.5,115.0,1100.0,0
98.5,2.0,96.5,1100.0,0
94.5,6.5,88.0,1100.0,0
138.5,1.5,137.0,1000.0,0
127.0,0.0,127.0,950.0,0
111.5,0.0,111.5,890.0,0
120.0,0.0,120.0,910.0,0
98.5,0.0,98.5,990.0,0
101.5,0.0,101.5,1100.0,0
106.5,16.0,90.5,1100.0,0
128.0,19.0,109.0,1000.0,0
113.0,0.5,112.5,1200.0,0
114.5,8.0,106.5,1200.0,0
118.5,18.5,100.0,1100.0,0
114.0,45.0,69.0,1400.0,0
108.0,59.5,48.5,1400.0,0
104.5,53.0,51.5,1700.0,0
123.5,87.0,36.5,1500.0,0
151.5,55.0,96.5,1200.0,0
142.0,25.5,116.5,1000.0,0
133.0,24.5,108.5,990.0,0
132.5,23.5,109.0,1000.0,0
138.0,27.0,111.0,920.0,0
135.0,27.0,108.0,1000.0,0
127.0,28.0,99.0,1000.0,0
145.5,30.5,115.0,1100.0,0
141.5,35.0,106.5,1100.0,0
161.5,32.0,129.5,930.0,0
134.0,34.0,100.0,930.0,0
140.5,35.0,105.5,900.0,0
146.0,36.5,109.5,900.0,0
139.5,39.5,100.0,1100.0,0
148.0,41.0,107.0,1000.0,0
153.5,42.5,111.0,990.0,0
158.0,44.0,114.0,1100.0,0
158.0,44.0,114.0,950.0,0
141.0,40.5,100.5,960.0,0
160.5,42.5,118.0,980.0,0
167.5,42.5,125.0,940.0,0
149.5,41.5,108.0,920.0,0
156.5,42.5,114.0,950.0,0
151.0,42.5,108.5,950.0,0
150.0,38.5,111.5,920.0,0
154.0,43.0,111.0,950.0,0
156.5,42.5,114.0,930.0,0
143.0,43.0,100.0,1000.0,0
153.0,42.5,110.5,970.0,0
154.0,42.5,111.5,1100.0,0
156.5,43.0,113.5,1100.0,0
152.0,42.5,109.5,1000.0,0
152.5,42.0,110.5,1000.0,0
149.5,41.0,108.5,1100.0,0
161.0,43.5,117.5,990.0,0
145.5,41.5,104.0,1100.0,0
155.5,44.0,111.5,1200.0,0
153.5,44.0,109.5,1200.0,0
157.0,42.5,114.5,1000.0,0
148.0,42.0,106.0,1000.0,0
152.0,44.0,108.0,970.0,0
138.5,39.5,99.0,1000.0,0
153.0,53.5,99.5,1100.0,0
160.5,41.0,119.5,990.0,0
153.0,42.0,111.0,880.0,0
157.0,42.5,114.5,960.0,0
143.0,42.5,100.5,1000.0,0
155.0,43.5,111.5,1000.0,0
156.0,40.0,116.0,940.0,0
151.5,42.5,109.0,970.0,0
163.5,42.0,121.5,930.0,0
169.0,42.5,126.5,480.0,0
153.5,41.5,112.0,420.0,0
157.0,41.0,116.0,470.0,0
152.5,44.0,108.5,360.0,0
153.5,42.5,111.0,400.0,0
149.5,41.5,108.0,380.0,0
153.0,42.0,111.0,470.0,0
155.0,42.5,112.5,420.0,0
154.0,42.0,112.0,450.0,0
146.0,43.5,102.5,390.0,0
152.0,43.0,109.0,460.0,0
155.0,39.5,115.5,390.0,0
153.0,42.0,111.0,410.0,0
157.0,42.5,114.5,410.0,0
153.0,42.0,111.0,450.0,0
149.0,42.0,107.0,520.0,0
153.0,43.0,110.0,510.0,0
161.0,42.0,119.0,340.0,0
157.5,42.0,115.5,470.0,0
146.0,42.0,104.0,480.0,0
154.5,42.5,112.0,350.0,0
150.0,43.5,106.5,500.0,0
157.5,41.5,116.0,370.0,0
151.0,43.5,107.5,490.0,0
149.5,40.5,109.0,400.0,0
154.0,42.0,112.0,450.0,0
150.5,42.5,108.0,530.0,0
159.0,44.0,115.0,460.0,0
153.0,41.0,112.0,460.0,0
145.5,43.0,102.5,420.0,0
149.0,42.5,106.5,470.0,0
156.0,42.5,113.5,500.0,0
158.5,42.0,116.5,400.0,0
147.5,45.0,102.5,480.0,0
152.0,43.0,109.0,410.0,0
153.0,41.0,112.0,450.0,0
156.5,43.0,113.5,450.0,0
153.0,42.5,110.5,430.0,0
153.5,42.5,111.0,420.0,0
152.5,42.5,110.0,430.0,0
147.5,42.5,105.0,530.0,0
152.0,41.5,110.5,480.0,0
154.0,41.5,112.5,480.0,0
160.5,42.0,118.5,410.0,0
160.5,42.5,118.0,460.0,0
145.5,43.5,102.0,480.0,0
155.5,42.0,113.5,440.0,0
154.5,45.5,109.0,430.0,0
153.5,42.5,111.0,500.0,0
139.0,41.0,98.0,670.0,0
121.5,42.5,79.0,840.0,0
158.5,42.0,116.5,840.0,0
169.0,43.0,126.0,520.0,0
153.0,42.5,110.5,500.0,0
155.0,41.0,114.0,380.0,0
157.0,43.0,114.0,460.0,0
149.5,42.5,107.0,400.0,0
149.5,43.0,106.5,410.0,0
153.0,42.0,111.0,470.0,0
160.5,41.0,119.5,370.0,0
153.5,41.5,112.0,400.0,0
153.5,42.5,111.0,400.0,0
148.5,42.0,106.5,460.0,0
153.0,43.5,109.5,370.0,0
158.5,42.5,116.0,370.0,0
152.5,42.0,110.5,390.0,0
146.5,44.0,102.5,430.0,0
152.0,41.0,111.0,440.0,0
153.0,43.0,110.0,430.0,0
149.0,41.0,108.0,510.0,0
149.0,42.5,106.5,500.0,0
148.0,43.0,105.0,600.0,0
152.0,41.5,110.5,450.0,0
161.0,42.5,118.5,390.0,0
160.5,41.5,119.0,370.0,0
157.0,42.0,115.0,440.0,0
145.5,43.0,102.5,440.0,0
152.0,44.0,108.0,510.0,0
155.0,40.0,115.0,480.0,0
155.5,43.0,112.5,430.0,0
150.0,41.0,109.0,430.0,0
153.0,41.5,111.5,490.0,0
152.0,42.5,109.5,390.0,0
151.0,42.5,108.5,500.0,0
158.0,42.5,115.5,400.0,0
145.5,41.5,104.0,490.0,0
149.0,43.5,105.5,390.0,0
156.5,41.5,115.0,450.0,0
159.5,42.0,117.5,440.0,0
150.0,42.5,107.5,430.0,0
145.5,42.5,103.0,480.0,0
160.0,42.0,118.0,490.0,0
153.0,43.0,110.0,510.0,0
152.0,41.5,110.5,410.0,0
157.5,42.5,115.0,390.0,0
149.5,42.0,107.5,420.0,0
156.0,42.5,113.5,350.0,0
153.0,43.5,109.5,410.0,0
153.0,43.0,110.0,380.0,0
145.5,41.5,104.0,490.0,0
150.0,42.0,108.0,490.0,0
153.5,43.0,110.5,460.0,0
149.0,42.0,107.0,450.0,0
152.0,42.5,109.5,540.0,0
154.5,43.5,111.0,450.0,0
149.0,41.5,107.5,430.0,0
151.5,43.0,108.5,550.0,0
153.0,40.5,112.5,510.0,0
150.5,42.5,108.0,470.0,0
158.5,42.5,116.0,450.0,0
154.5,43.0,111.5,510.0,0
155.5,42.0,113.5,420.0,0
153.0,43.5,109.5,440.0,0
151.5,42.0,109.5,430.0,0
151.0,41.0,110.0,510.0,0
160.0,41.5,118.5,400.0,0
155.0,42.0,113.0,400.0,0
156.5,43.0,113.5,440.0,0
150.5,43.5,107.0,520.0,0
149.0,42.5,106.5,480.0,0
155.5,42.5,113.0,440.0,0
156.0,42.5,113.5,420.0,0
155.5,43.0,112.5,380.0,0
146.5,42.0,104.5,410.0,0
153.0,43.0,110.0,440.0,0
150.0,42.5,107.5,420.0,0
156.0,41.5,114.5,390.0,0
153.0,42.0,111.0,530.0,0
153.5,43.0,110.5,420.0,0
160.5,43.0,117.5,440.0,0
129.5,42.0,87.5,780.0,0
164.0,42.0,122.0,780.0,0
153.5,42.5,111.0,610.0,0
137.0,41.5,95.5,610.0,0
154.0,41.5,112.5,570.0,0
151.5,42.5,109.0,570.0,0
153.0,42.5,110.5,620.0,0
145.5,42.5,103.0,620.0,0
150.0,40.5,109.5,650.0,0
154.0,42.5,111.5,610.0,0
166.5,43.5,123.0,540.0,0
149.5,42.0,107.5,540.0,0
153.0,42.5,110.5,500.0,0
133.0,42.5,90.5,740.0,0
152.5,41.5,111.0,740.0,0
145.0,41.5,103.5,770.0,0
150.0,40.5,109.5,700.0,0
165.5,42.0,123.5,640.0,0
161.0,43.0,118.0,550.0,0
153.5,42.0,111.5,520.0,0
138.0,42.0,96.0,770.0,0
139.0,45.0,94.0,880.0,0
158.5,40.5,118.0,880.0,0
162.0,41.5,120.5,750.0,0
161.5,41.5,120.0,710.0,0
171.5,42.5,129.0,570.0,0
158.5,41.5,117.0,540.0,0
150.0,43.0,107.0,490.0,0
142.0,41.5,100.5,670.0,0
149.0,44.5,104.5,680.0,0
182.0,40.5,141.5,460.0,0
150.5,41.5,109.0,540.0,0
138.5,42.0,96.5,750.0,0
141.0,42.0,99.0,750.0,0
158.5,43.0,115.5,650.0,0
170.5,43.5,127.0,650.0,0
157.5,40.5,117.0,380.0,0
149.0,42.5,106.5,370.0,0
145.0,43.5,101.5,530.0,0
150.0,42.0,108.0,460.0,0
157.0,43.0,114.0,440.0,0
153.0,42.5,110.5,450.0,0
154.0,43.0,111.0,360.0,0
144.0,41.5,102.5,510.0,0
133.5,43.0,90.5,710.0,0
146.0,43.0,103.0,710.0,0
173.5,42.0,131.5,590.0,0
167.0,42.5,124.5,370.0,0
148.5,45.5,103.0,430.0,0
150.5,42.0,108.5,400.0,0
152.5,43.0,109.5,430.0,0
158.0,42.0,116.0,370.0,0
150.5,42.5,108.0,440.0,0
148.0,42.0,106.0,410.0,0
152.5,42.0,110.5,430.0,0
155.5,44.0,111.5,410.0,0
158.0,40.5,117.5,380.0,0
156.5,43.5,113.0,340.0,0
148.0,41.0,107.0,450.0,0
149.5,42.5,107.0,440.0,0
157.5,42.5,115.0,340.0,0
160.0,42.0,118.0,390.0,0
150.0,42.5,107.5,370.0,0
156.0,42.5,113.5,350.0,0
148.5,41.5,107.0,400.0,0
148.0,43.5,104.5,370.0,0
157.0,42.0,115.0,420.0,0
151.0,42.5,108.5,470.0,0
150.0,42.5,107.5,410.0,0
159.5,41.5,118.0,390.0,0
157.0,42.5,114.5,360.0,0
148.0,44.0,104.0,440.0,0
149.5,41.5,108.0,480.0,0
151.0,42.5,108.5,450.0,0
149.0,43.0,106.0,480.0,0
150.5,42.0,108.5,540.0,0
152.5,43.0,109.5,490.0,0
162.5,43.5,119.0,410.0,0
151.0,41.0,110.0,410.0,0
152.5,42.5,110.0,420.0,0
153.0,42.5,110.5,470.0,0
156.0,42.0,114.0,410.0,0
150.0,42.0,108.0,410.0,0
154.5,43.5,111.0,350.0,0
149.0,41.0,108.0,440.0,0
148.5,42.5,106.0,490.0,0
156.5,43.0,113.5,400.0,0
153.0,41.5,111.5,440.0,0
151.0,42.5,108.5,370.0,0
154.5,41.0,113.5,410.0,0
146.5,44.0,102.5,360.0,0
150.5,41.0,109.5,520.0,0
154.0,42.0,112.0,440.0,0
147.0,43.0,104.0,480.0,0
152.5,42.0,110.5,460.0,0
163.0,42.5,120.5,450.0,0
148.0,43.0,105.0,520.0,0
157.0,43.0,114.0,390.0,0
149.5,42.0,107.5,450.0,0
149.5,43.0,106.5,450.0,0
161.5,42.5,119.0,390.0,0
158.5,42.5,116.0,360.0,0
149.0,42.5,106.5,460.0,0
157.5,43.5,114.0,430.0,0
143.0,42.5,100.5,440.0,0
144.0,42.0,102.0,450.0,0
167.5,43.5,124.0,330.0,0
153.0,42.0,111.0,530.0,0
151.0,42.5,108.5,380.0,0
158.5,42.5,116.0,420.0,0
149.0,43.0,106.0,420.0,0
157.5,40.5,117.0,370.0,0
155.5,44.0,111.5,360.0,0
149.5,41.5,108.0,420.0,0
149.0,42.5,106.5,440.0,0
156.5,43.0,113.5,390.0,0
157.0,42.0,115.0,450.0,0
154.5,41.5,113.0,370.0,0
157.5,43.0,114.5,450.0,0
152.0,42.5,109.5,400.0,0
156.5,42.5,114.0,390.0,0
148.0,41.5,106.5,400.0,0
145.5,41.5,104.0,430.0,0
157.0,42.0,115.0,400.0,0
152.0,41.5,110.5,440.0,0
157.5,44.0,113.5,430.0,0
154.0,42.0,112.0,430.0,0
152.0,43.0,109.0,420.0,0
149.0,42.5,106.5,460.0,0
154.5,41.5,113.0,450.0,0
155.0,42.0,113.0,430.0,0
157.5,41.5,116.0,470.0,0
160.0,43.0,117.0,370.0,0
150.0,43.0,107.0,410.0,0
150.5,42.5,108.0,380.0,0
154.5,42.5,112.0,380.0,0
153.5,42.5,111.0,390.0,0
147.0,42.5,104.5,390.0,0
150.0,42.5,107.5,530.0,0
145.5,41.0,104.5,450.0,0
162.0,43.5,118.5,470.0,0
149.0,43.5,105.5,440.0,0
153.0,42.5,110.5,520.0,0
154.0,41.5,112.5,440.0,0
159.5,41.0,118.5,460.0,0
149.0,42.5,106.5,470.0,0
155.0,42.5,112.5,410.0,0
156.5,42.5,114.0,400.0,0
150.5,43.5,107.0,370.0,0
146.0,42.0,104.0,490.0,0
155.0,42.0,113.0,470.0,0
160.0,42.5,117.5,450.0,0
149.0,42.5,106.5,480.0,0
154.0,42.5,111.5,380.0,0
141.5,43.0,98.5,680.0,0
122.0,42.0,80.0,850.0,0
142.5,42.0,100.5,850.0,0
157.5,42.0,115.5,840.0,0
171.5,43.0,128.5,820.0,0
155.5,42.5,113.0,560.0,0
161.5,42.5,119.0,400.0,0
152.5,42.5,110.0,530.0,0
132.0,41.5,90.5,830.0,0
135.5,42.5,93.0,830.0,0
151.5,42.5,109.0,820.0,0
171.5,43.0,128.5,750.0,0
153.0,43.0,110.0,410.0,0
153.0,40.5,112.5,460.0,0
152.5,43.0,109.5,410.0,0
153.0,42.0,111.0,380.0,0
150.0,42.5,107.5,520.0,0
157.5,42.5,115.0,470.0,0
138.0,40.5,97.5,680.0,0
135.5,43.5,92.0,680.0,0
163.5,42.5,121.0,630.0,0
149.5,41.0,108.5,630.0,0
169.0,42.0,127.0,410.0,0
144.5,42.5,102.0,540.0,0
142.0,42.5,99.5,640.0,0
169.0,43.5,125.5,520.0,0
142.0,41.5,100.5,630.0,0
132.5,40.5,92.0,740.0,0
147.5,42.0,105.5,740.0,0
138.0,42.5,95.5,770.0,0
142.0,42.0,100.0,830.0,0
149.5,43.0,106.5,930.0,0
168.5,41.5,127.0,820.0,0
164.0,42.5,121.5,800.0,0
124.0,40.0,84.0,860.0,0
133.0,62.0,71.0,1300.0,0
89.5,70.5,19.0,1600.0,0
92.0,92.0,0.0,1700.0,0
94.5,94.5,0.0,1700.0,0
90.0,90.0,0.0,1600.0,0
105.0,105.0,0.0,1600.0,0
136.0,131.0,5.0,1400.0,0
158.0,136.5,21.5,1300.0,0
167.0,125.5,41.5,1300.0,0
171.0,88.0,83.0,1100.0,0
192.5,42.0,150.5,690.0,0
163.0,42.0,121.0,290.0,0
145.0,42.0,103.0,310.0,0
160.0,43.0,117.0,250.0,0
155.5,42.5,113.0,260.0,0
155.0,42.5,112.5,280.0,0
151.5,42.5,109.0,280.0,0
149.5,42.0,107.5,310.0,0
154.5,43.5,111.0,290.0,0
158.0,41.5,116.5,210.0,0
150.0,43.0,107.0,280.0,0
143.0,42.5,100.5,370.0,0
150.0,42.5,107.5,370.0,0
152.0,40.5,111.5,330.0,0
156.5,42.5,114.0,330.0,0
152.5,44.5,108.0,320.0,0
137.0,40.5,96.5,540.0,0
143.0,42.5,100.5,540.0,0
149.0,41.5,107.5,540.0,0
159.5,43.0,116.5,600.0,0
160.5,40.5,120.0,520.0,0
144.5,41.5,103.0,550.0,0
161.0,42.0,119.0,440.0,0
166.5,42.0,124.5,370.0,0
159.0,42.0,117.0,420.0,0
133.0,42.5,90.5,560.0,0
160.0,41.5,118.5,500.0,0
167.5,42.0,125.5,330.0,0
156.0,43.5,112.5,290.0,0
158.0,42.0,116.0,320.0,0
149.0,42.5,106.5,350.0,0
146.0,42.0,104.0,410.0,0
145.0,43.5,101.5,500.0,0
123.5,41.0,82.5,690.0,0
136.0,42.0,94.0,790.0,0
165.0,42.5,122.5,790.0,0
177.0,42.5,134.5,510.0,0
167.0,42.0,125.0,510.0,0
154.5,41.5,113.0,340.0,0
148.0,42.0,106.0,290.0,0
159.5,42.5,117.0,290.0,0
149.0,43.0,106.0,370.0,0
142.0,41.5,100.5,540.0,0
134.0,42.0,92.0,650.0,0
154.5,42.5,112.0,560.0,0
155.0,42.0,113.0,480.0,0
159.0,41.0,118.0,440.0,0
165.0,44.0,121.0,310.0,0
