RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,112.0,0.0
142.5,16.5,126.0,1494.0,0.0
304.5,71.0,233.5,1916.0,0.0
320.0,43.0,277.0,2776.0,0.0
365.5,49.5,316.0,2570.0,0.0
286.0,74.0,212.0,1512.0,0.0
305.0,56.0,249.0,1580.0,0.0
384.5,19.5,365.0,1380.0,0.0
202.5,11.5,191.0,1734.0,0.0
387.0,91.5,295.5,1640.0,0.0
331.0,98.5,232.5,3040.0,0.0
616.5,164.5,452.0,1176.0,0.0
584.5,204.5,380.0,1448.0,0.0
636.0,257.0,379.0,1290.0,0.0
823.5,455.5,368.0,550.6,0.0
688.5,341.5,347.0,620.0,0.0
703.0,353.5,349.5,640.0,0.0
716.0,361.5,354.5,558.0,0.0
725.5,372.0,353.5,548.0,0.0
714.0,363.5,350.5,559.4,0.0
707.5,372.5,335.0,557.0,0.0
743.5,374.5,369.0,579.0,0.0
742.5,387.0,355.5,563.2,0.0
735.0,388.5,346.5,545.8,0.0
751.0,395.5,355.5,544.8,0.0
757.5,402.0,355.5,574.4,0.0
760.0,408.0,352.0,551.2,0.0
756.0,405.5,350.5,548.8,0.0
758.5,406.5,352.0,551.4,0.0
772.5,412.5,360.0,566.4,0.0
757.5,406.0,351.5,566.0,0.0
776.5,420.5,356.0,545.0,0.0
786.5,431.5,355.0,556.0,0.0
779.0,424.0,355.0,539.6,0.0
772.5,417.0,355.5,547.4,0.0
749.5,408.5,341.0,676.0,0.0
758.5,418.0,340.5,670.0,0.0
792.0,426.5,365.5,668.4,0.0
788.5,424.0,364.5,687.8,0.0
773.0,420.5,352.5,713.4,0.0
760.0,406.0,354.0,736.0,0.0
772.5,419.0,353.5,696.0,0.0
786.0,430.0,356.0,618.2,0.0
777.0,420.0,357.0,669.6,0.0
773.0,427.5,345.5,614.4,0.0
762.0,407.0,355.0,651.8,0.0
786.5,421.5,365.0,624.0,0.0
797.0,436.5,360.5,659.0,0.0
770.5,416.0,354.5,742.0,0.0
774.0,419.5,354.5,724.0,0.0
767.0,410.0,357.0,656.8,0.0
770.0,418.0,352.0,626.6,0.0
771.5,414.0,357.5,677.0,0.0
770.0,424.0,346.0,588.6,0.0
762.5,407.5,355.0,593.2,0.0
781.5,425.0,356.5,717.2,0.0
790.5,432.5,358.0,682.2,0.0
769.5,413.5,356.0,727.4,0.0
776.0,419.5,356.5,712.2,0.0
770.5,416.5,354.0,682.8,0.0
773.5,418.0,355.5,654.2,0.0
778.0,424.5,353.5,647.6,0.0
785.0,429.0,356.0,570.2,0.0
785.0,424.5,360.5,541.4,0.0
778.0,421.0,357.0,590.2,0.0
770.0,429.5,340.5,582.0,0.0
776.0,426.0,350.0,566.0,0.0
772.5,422.0,350.5,572.8,0.0
774.0,419.0,355.0,543.4,0.0
777.5,431.0,346.5,565.6,0.0
782.5,427.0,355.5,582.2,0.0
784.5,429.5,355.0,536.8,0.0
777.5,416.0,361.5,549.4,0.0
773.0,419.0,354.0,565.4,0.0
772.0,417.0,355.0,547.6,0.0
784.5,431.0,353.5,564.2,0.0
776.0,430.5,345.5,543.2,0.0
769.0,414.5,354.5,560.0,0.0
775.5,419.5,356.0,570.0,0.0
784.5,429.0,355.5,578.2,0.0
770.5,423.0,347.5,549.0,0.0
773.5,417.5,356.0,535.8,0.0
773.0,416.0,357.0,553.4,0.0
774.5,413.0,361.5,563.6,0.0
782.0,426.0,356.0,545.8,0.0
765.0,417.0,348.0,568.2,0.0
767.0,425.5,341.5,587.4,0.0
771.0,431.5,339.5,590.0,0.0
792.0,421.5,370.5,582.4,0.0
