RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,460.0,0
1.5,0.0,1.5,1200.0,0
0.0,0.0,0.0,1200.0,0
4.5,4.5,0.0,2300.0,0
9.0,9.0,0.0,2300.0,0
1.5,1.5,0.0,3100.0,0
6.0,6.0,0.0,3500.0,0
10.0,10.0,0.0,3100.0,0
3.0,3.0,0.0,3300.0,0
6.0,6.0,0.0,3900.0,0
11.0,11.0,0.0,3000.0,0
1.5,1.5,0.0,3700.0,0
6.0,6.0,0.0,4100.0,0
27.0,27.0,0.0,2900.0,0
20.0,20.0,0.0,2900.0,0
22.0,22.0,0.0,55.0,0
12.0,12.0,0.0,860.0,0
21.5,19.0,2.5,1600.0,0
13.0,12.0,1.0,1700.0,0
7.0,6.5,0.5,1700.0,0
6.0,5.5,0.5,2300.0,0
6.0,6.0,0.0,2500.0,0
0.0,0.0,0.0,3200.0,0
6.0,6.0,0.0,4100.0,0
6.0,6.0,0.0,4100.0,0
7.5,7.5,0.0,3600.0,0
4.0,4.0,0.0,3600.0,0
5.5,5.5,0.0,4000.0,0
8.0,8.0,0.0,3800.0,0
7.5,7.5,0.0,3400.0,0
8.0,8.0,0.0,4000.0,0
22.0,22.0,0.0,3500.0,0
18.0,17.0,1.0,540.0,0
20.0,18.0,2.0,1100.0,0
30.0,28.0,2.0,48.0,0
0.0,0.0,0.0,1700.0,0
7.5,7.0,0.5,2400.0,0
9.0,9.0,0.0,2600.0,0
3.5,3.5,0.0,3500.0,0
6.0,6.0,0.0,3500.0,0
7.0,7.0,0.0,3400.0,0
2.0,2.0,0.0,3900.0,0
6.0,6.0,0.0,4100.0,0
9.0,9.0,0.0,4100.0,0
4.0,4.0,0.0,4100.0,0
5.0,5.0,0.0,4000.0,0
18.5,18.5,0.0,4000.0,0
22.0,22.0,0.0,3200.0,0
22.5,22.5,0.0,260.0,0
15.0,13.5,1.5,1400.0,0
26.0,25.0,1.0,1400.0,0
17.0,16.5,0.5,950.0,0
6.0,5.0,1.0,1400.0,0
6.0,5.5,0.5,2500.0,0
5.5,5.5,0.0,2900.0,0
4.0,4.0,0.0,3500.0,0
5.0,5.0,0.0,3800.0,0
7.5,7.5,0.0,3900.0,0
7.5,7.5,0.0,3200.0,0
6.0,6.0,0.0,3600.0,0
5.0,5.0,0.0,4500.0,0
6.0,6.0,0.0,4500.0,0
8.0,8.0,0.0,3900.0,0
16.0,16.0,0.0,4000.0,0
22.0,22.0,0.0,3900.0,0
17.5,17.0,0.5,820.0,0
16.0,14.0,2.0,1400.0,0
21.5,21.5,0.0,54.0,0
20.0,20.0,0.0,55.0,0
20.5,20.5,0.0,71.0,0
19.5,19.5,0.0,69.0,0
20.0,20.0,0.0,61.0,0
19.5,19.5,0.0,58.0,0
20.0,20.0,0.0,55.0,0
20.5,20.5,0.0,55.0,0
19.5,19.5,0.0,54.0,0
20.0,20.0,0.0,64.0,0
19.5,19.5,0.0,51.0,0
20.0,20.0,0.0,54.0,0
20.5,20.5,0.0,56.0,0
19.5,19.5,0.0,58.0,0
20.0,20.0,0.0,58.0,0
20.5,20.5,0.0,56.0,0
19.5,19.5,0.0,53.0,0
20.5,20.5,0.0,50.0,0
19.5,19.5,0.0,52.0,0
20.0,20.0,0.0,55.0,0
20.5,20.5,0.0,55.0,0
19.5,19.5,0.0,52.0,0
20.0,20.0,0.0,55.0,0
20.5,20.5,0.0,56.0,0
20.0,20.0,0.0,53.0,0
20.5,20.5,0.0,61.0,0
19.5,19.5,0.0,57.0,0
20.0,20.0,0.0,54.0,0
20.5,20.5,0.0,56.0,0
19.5,19.5,0.0,56.0,0
20.0,20.0,0.0,62.0,0
19.5,19.5,0.0,52.0,0
20.0,20.0,0.0,57.0,0
20.5,20.5,0.0,58.0,0
19.5,19.5,0.0,55.0,0
20.0,20.0,0.0,60.0,0
20.5,20.5,0.0,60.0,0
18.5,18.5,0.0,790.0,0
2.0,1.0,1.0,1500.0,0
3.0,3.0,0.0,2800.0,0
9.0,9.0,0.0,2700.0,0
3.0,3.0,0.0,2900.0,0
2.0,2.0,0.0,3400.0,0
3.0,3.0,0.0,4300.0,0
4.0,4.0,0.0,4300.0,0
7.0,7.0,0.0,4300.0,0
3.0,3.0,0.0,3600.0,0
3.5,3.5,0.0,5100.0,0
5.0,5.0,0.0,5100.0,0
7.5,7.5,0.0,3300.0,0
2.5,2.5,0.0,3400.0,0
4.5,4.5,0.0,4300.0,0
15.0,15.0,0.0,4300.0,0
21.0,21.0,0.0,3800.0,0
16.0,15.0,1.0,530.0,0
20.0,19.0,1.0,1300.0,0
26.5,26.5,0.0,54.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,56.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,53.0,0
20.0,20.0,0.0,59.0,0
20.0,20.0,0.0,51.0,0
20.0,20.0,0.0,56.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,57.0,0
20.0,20.0,0.0,51.0,0
20.0,20.0,0.0,50.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,52.0,0
20.0,20.0,0.0,51.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,52.0,0
20.0,20.0,0.0,52.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,50.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,53.0,0
20.0,20.0,0.0,51.0,0
20.0,20.0,0.0,53.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,58.0,0
20.0,20.0,0.0,58.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,51.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,50.0,0
20.0,20.0,0.0,57.0,0
20.0,20.0,0.0,52.0,0
20.0,20.0,0.0,56.0,0
20.0,20.0,0.0,53.0,0
20.0,20.0,0.0,54.0,0
20.0,20.0,0.0,55.0,0
20.0,20.0,0.0,50.0,0
20.0,20.0,0.0,53.0,0
20.0,20.0,0.0,58.0,0
