RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,330.0,0
0.0,0.0,0.0,330.0,0
40.0,0.0,40.0,510.0,0
49.0,0.0,49.0,500.0,0
37.0,0.0,37.0,590.0,0
19.5,0.0,19.5,460.0,0
22.0,0.0,22.0,460.0,0
21.0,0.0,21.0,460.0,0
31.0,0.0,31.0,460.0,0
27.0,0.0,27.0,460.0,0
24.5,0.0,24.5,460.0,0
23.0,0.0,23.0,460.0,0
25.0,0.0,25.0,300.0,0
26.5,0.0,26.5,410.0,0
27.0,0.0,27.0,330.0,0
20.0,0.0,20.0,520.0,0
34.0,0.0,34.0,520.0,0
58.5,5.5,53.0,410.0,0
83.0,5.5,77.5,460.0,0
81.0,7.5,73.5,460.0,0
93.5,62.5,31.0,310.0,0
92.0,65.5,26.5,660.0,0
100.0,58.0,42.0,660.0,0
91.0,47.5,43.5,570.0,0
65.0,23.0,42.0,390.0,0
47.0,11.5,35.5,420.0,0
30.5,1.0,29.5,540.0,0
32.0,1.5,30.5,510.0,0
34.0,10.0,24.0,1100.0,0
34.5,18.5,16.0,1100.0,0
35.5,11.0,24.5,680.0,0
51.5,4.0,47.5,680.0,0
42.0,0.0,42.0,500.0,0
48.5,0.0,48.5,810.0,0
76.0,6.0,70.0,810.0,0
89.0,21.5,67.5,960.0,0
97.0,39.0,58.0,960.0,0
95.0,37.0,58.0,440.0,0
100.0,40.5,59.5,520.0,0
98.0,44.0,54.0,520.0,0
92.0,40.5,51.5,520.0,0
87.0,36.0,51.0,520.0,0
98.5,45.0,53.5,290.0,0
82.0,30.5,51.5,510.0,0
87.5,35.0,52.5,600.0,0
92.5,67.0,25.5,600.0,0
93.0,93.0,0.0,170.0,0
90.0,48.5,41.5,420.0,0
95.0,45.5,49.5,420.0,0
105.0,48.5,56.5,400.0,0
93.0,44.0,49.0,570.0,0
81.5,31.0,50.5,570.0,0
75.5,26.0,49.5,540.0,0
83.5,30.5,53.0,540.0,0
83.0,30.5,52.5,540.0,0
72.5,22.0,50.5,460.0,0
77.5,30.5,47.0,810.0,0
82.0,25.0,57.0,790.0,0
71.0,19.5,51.5,530.0,0
72.5,25.5,47.0,600.0,0
80.0,28.0,52.0,600.0,0
56.5,17.0,39.5,680.0,0
52.0,6.5,45.5,680.0,0
62.5,4.5,58.0,670.0,0
57.0,4.5,52.5,490.0,0
66.0,20.0,46.0,410.0,0
96.0,35.5,60.5,440.0,0
93.5,41.0,52.5,440.0,0
94.5,43.0,51.5,410.0,0
100.0,48.5,51.5,410.0,0
87.5,77.0,10.5,430.0,0
93.0,62.5,30.5,610.0,0
101.0,49.0,52.0,610.0,0
104.0,48.0,56.0,610.0,0
83.0,34.5,48.5,630.0,0
87.0,39.5,47.5,670.0,0
93.5,44.0,49.5,670.0,0
82.5,29.5,53.0,650.0,0
82.0,25.5,56.5,610.0,0
70.5,16.5,54.0,390.0,0
62.5,24.0,38.5,610.0,0
55.5,19.5,36.0,820.0,0
62.5,9.5,53.0,820.0,0
64.0,7.0,57.0,500.0,0
66.5,5.5,61.0,490.0,0
51.5,6.5,45.0,830.0,0
58.0,8.0,50.0,560.0,0
66.5,8.0,58.5,490.0,0
49.0,7.0,42.0,480.0,0
46.0,9.5,36.5,510.0,0
84.0,17.0,67.0,410.0,0
47.5,7.5,40.0,480.0,0
50.5,3.0,47.5,610.0,0
82.5,22.0,60.5,290.0,0
103.5,42.5,61.0,210.0,0
97.5,68.0,29.5,210.0,0
100.5,77.0,23.5,190.0,0
102.0,51.0,51.0,72.0,0
108.5,57.5,51.0,160.0,0
104.5,53.5,51.0,200.0,0
99.0,48.0,51.0,74.0,0
97.5,42.5,55.0,77.0,0
96.5,44.5,52.0,150.0,0
95.5,42.0,53.5,170.0,0
100.5,48.0,52.5,85.0,0
92.0,39.5,52.5,89.0,0
96.0,45.5,50.5,120.0,0
95.0,40.0,55.0,98.0,0
89.0,39.0,50.0,100.0,0
95.5,42.5,53.0,130.0,0
97.0,45.0,52.0,110.0,0
96.0,45.0,51.0,180.0,0
103.5,55.0,48.5,89.0,0
109.0,56.0,53.0,140.0,0
101.5,49.5,52.0,83.0,0
105.0,53.5,51.5,160.0,0
86.0,31.0,55.0,78.0,0
99.5,51.5,48.0,76.0,0
96.0,43.0,53.0,86.0,0
98.5,44.5,54.0,130.0,0
91.0,43.5,47.5,260.0,0
88.0,34.0,54.0,100.0,0
101.0,46.5,54.5,84.0,0
86.5,35.0,51.5,74.0,0
87.5,36.5,51.0,76.0,0
89.0,37.5,51.5,110.0,0
93.0,39.0,54.0,110.0,0
88.0,38.0,50.0,110.0,0
93.0,40.0,53.0,160.0,0
91.5,41.0,50.5,110.0,0
100.0,46.0,54.0,90.0,0
87.5,39.5,48.0,240.0,0
99.5,48.0,51.5,400.0,0
96.5,46.0,50.5,290.0,0
92.0,46.0,46.0,550.0,0
98.5,43.0,55.5,520.0,0
66.5,33.5,33.0,530.0,0
87.0,29.0,58.0,520.0,0
105.5,32.5,73.0,380.0,0
87.0,37.5,49.5,380.0,0
79.0,26.5,52.5,380.0,0
68.0,19.0,49.0,490.0,0
71.0,20.5,50.5,490.0,0
83.5,21.5,62.0,300.0,0
83.5,31.0,52.5,300.0,0
87.5,34.0,53.5,310.0,0
65.0,25.5,39.5,430.0,0
72.5,7.0,65.5,400.0,0
59.0,8.5,50.5,400.0,0
60.5,10.0,50.5,310.0,0
58.0,6.0,52.0,310.0,0
69.0,16.5,52.5,300.0,0
83.5,31.5,52.0,300.0,0
109.5,52.5,57.0,190.0,0
103.0,53.0,50.0,180.0,0
88.5,39.0,49.5,150.0,0
101.5,46.0,55.5,85.0,0
102.0,50.0,52.0,64.0,0
100.0,47.0,53.0,150.0,0
98.0,45.0,53.0,100.0,0
93.5,41.5,52.0,65.0,0
92.5,41.0,51.5,75.0,0
92.0,40.5,51.5,83.0,0
102.0,48.5,53.5,86.0,0
96.0,44.0,52.0,160.0,0
95.0,41.5,53.5,100.0,0
102.5,51.0,51.5,66.0,0
91.0,41.5,49.5,84.0,0
89.5,37.5,52.0,84.0,0
92.5,39.0,53.5,66.0,0
102.5,49.0,53.5,71.0,0
111.0,59.5,51.5,260.0,0
99.0,50.0,49.0,260.0,0
97.5,46.5,51.0,65.0,0
95.0,39.0,56.0,61.0,0
89.5,40.5,49.0,64.0,0
99.5,49.0,50.5,71.0,0
98.5,46.0,52.5,64.0,0
95.5,43.0,52.5,67.0,0
108.5,59.5,49.0,71.0,0
103.5,49.5,54.0,180.0,0
89.0,39.0,50.0,82.0,0
86.5,33.5,53.0,82.0,0
