RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,172.0,0.0
48.0,0.0,48.0,716.0,0.0
130.0,38.5,91.5,1342.0,0.0
156.5,59.5,97.0,1534.0,0.0
126.0,58.0,68.0,1920.0,0.0
89.0,54.5,34.5,2392.0,0.0
120.0,77.5,42.5,2965.2,0.0
119.0,68.5,50.5,3102.6,0.0
110.0,52.0,58.0,3122.6,0.0
128.0,76.0,52.0,3485.8,0.0
138.0,81.0,57.0,3383.0,0.0
114.5,65.0,49.5,3447.8,0.0
112.0,60.5,51.5,3464.0,0.0
113.0,58.0,55.0,3706.4,0.0
121.5,68.0,53.5,3734.4,0.0
146.5,102.0,44.5,3772.2,0.0
277.0,208.5,68.5,3516.0,0.0
338.0,237.0,101.0,3546.0,0.0
454.5,313.5,141.0,3572.0,0.0
544.0,377.5,166.5,3542.0,0.0
494.0,361.5,132.5,428.0,0.0
430.5,304.5,126.0,1040.0,0.0
409.0,283.0,126.0,1285.8,0.0
384.0,271.5,112.5,1641.0,0.0
231.5,128.0,103.5,2065.8,0.0
168.0,78.5,89.5,2410.4,0.0
140.0,66.0,74.0,2754.4,0.0
153.5,91.0,62.5,3147.2,0.0
118.5,78.5,40.0,3888.4,0.0
104.0,75.0,29.0,4384.0,0.0
155.0,112.5,42.5,4560.0,0.0
270.5,188.0,82.5,4506.0,0.0
298.5,210.0,88.5,4192.2,0.0
362.0,256.0,106.0,4638.0,0.0
436.0,296.5,139.5,4552.0,0.0
509.5,358.0,151.5,4176.0,0.0
545.0,393.5,151.5,3044.0,0.0
499.5,340.5,159.0,1048.0,0.0
508.0,346.5,161.5,1239.6,0.0
486.5,337.5,149.0,1317.4,0.0
446.0,299.5,146.5,1476.4,0.0
428.0,293.0,135.0,1576.0,0.0
458.0,314.0,144.0,1492.8,0.0
430.0,297.0,133.0,1680.4,0.0
419.5,287.5,132.0,1793.4,0.0
588.5,474.5,114.0,1631.2,0.0
642.5,546.0,96.5,297.8,0.0
499.5,335.5,164.0,659.0,0.0
510.5,308.0,202.5,712.2,0.0
518.5,322.5,196.0,1069.8,0.0
479.0,337.5,141.5,1223.8,0.0
436.0,307.5,128.5,1402.2,0.0
434.0,295.0,139.0,1536.2,0.0
431.5,293.0,138.5,1700.8,0.0
413.5,279.5,134.0,1833.8,0.0
402.5,268.0,134.5,1858.8,0.0
343.5,222.5,121.0,2188.0,0.0
364.0,237.0,127.0,2192.0,0.0
364.0,241.5,122.5,2220.0,0.0
350.5,232.0,118.5,2367.2,0.0
327.0,206.0,121.0,2427.6,0.0
283.0,190.5,92.5,2643.6,0.0
270.5,168.0,102.5,2722.0,0.0
282.0,155.5,126.5,2819.4,0.0
270.5,152.5,118.0,2886.8,0.0
378.5,274.5,104.0,2972.0,0.0
484.5,358.0,126.5,3092.0,0.0
533.0,402.0,131.0,3126.0,0.0
578.0,413.5,164.5,3040.0,0.0
559.0,391.5,167.5,674.0,0.0
533.5,424.5,109.0,610.0,0.0
486.0,344.5,141.5,992.0,0.0
504.5,327.5,177.0,1154.0,0.0
508.0,353.0,155.0,1148.8,0.0
477.0,339.5,137.5,1340.6,0.0
430.5,296.0,134.5,1580.6,0.0
442.0,304.0,138.0,1579.4,0.0
436.5,299.5,137.0,1763.6,0.0
373.5,242.0,131.5,1929.8,0.0
352.5,222.5,130.0,2209.6,0.0
335.5,225.0,110.5,2075.0,0.0
329.5,226.0,103.5,2337.4,0.0
316.0,196.5,119.5,2531.8,0.0
291.0,173.0,118.0,2651.4,0.0
312.0,182.0,130.0,2664.6,0.0
277.5,164.0,113.5,2933.2,0.0
265.0,157.0,108.0,2918.2,0.0
298.5,185.5,113.0,2784.6,0.0
231.0,140.0,91.0,2980.2,0.0
207.5,119.5,88.0,3067.4,0.0
317.5,190.5,127.0,2905.8,0.0
279.5,180.5,99.0,2799.6,0.0
215.5,119.0,96.5,3005.4,0.0
