timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T20:49:20Z,cartservice,8599110,0,0,0
2026-09-05T20:49:20Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:20Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:25Z,cartservice,8599110,0,0,0
2026-09-05T20:49:25Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:25Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:31Z,cartservice,8599110,0,0,0
2026-09-05T20:49:31Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:31Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:36Z,cartservice,8599110,0,0,0
2026-09-05T20:49:36Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:36Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:41Z,cartservice,8599110,0,0,0
2026-09-05T20:49:41Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:41Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:47Z,cartservice,8599110,0,0,0
2026-09-05T20:49:47Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:47Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:52Z,cartservice,8599110,0,0,0
2026-09-05T20:49:52Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:52Z,checkoutservice,193626,849,15,396
2026-09-05T20:49:57Z,cartservice,8599110,0,0,0
2026-09-05T20:49:57Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:49:57Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:03Z,cartservice,8599110,0,0,0
2026-09-05T20:50:03Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:03Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:08Z,cartservice,8599110,0,0,0
2026-09-05T20:50:08Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:08Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:13Z,cartservice,8599110,0,0,0
2026-09-05T20:50:13Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:13Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:19Z,cartservice,8599110,0,0,0
2026-09-05T20:50:19Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:19Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:24Z,cartservice,8599110,0,0,0
2026-09-05T20:50:24Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:24Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:29Z,cartservice,8599110,0,0,0
2026-09-05T20:50:29Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:29Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:35Z,cartservice,8599110,0,0,0
2026-09-05T20:50:35Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:35Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:40Z,cartservice,8599110,0,0,0
2026-09-05T20:50:40Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:40Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:45Z,cartservice,8599110,0,0,0
2026-09-05T20:50:45Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:45Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:51Z,cartservice,8599110,0,0,0
2026-09-05T20:50:51Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:51Z,checkoutservice,193626,849,15,396
2026-09-05T20:50:56Z,cartservice,8599110,0,0,0
2026-09-05T20:50:56Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:50:56Z,checkoutservice,193626,849,15,396
2026-09-05T20:51:02Z,cartservice,8599110,0,0,0
2026-09-05T20:51:02Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:51:02Z,checkoutservice,193626,849,15,396
2026-09-05T20:51:07Z,cartservice,8599110,0,0,0
2026-09-05T20:51:07Z,productcatalogservice,33388660,0,0,0
2026-09-05T20:51:07Z,checkoutservice,193626,849,15,396
2026-09-05T20:51:12Z,cartservice,8599576,0,0,0
2026-09-05T20:51:12Z,productcatalogservice,33389872,0,0,0
2026-09-05T20:51:12Z,checkoutservice,193629,849,15,396
2026-09-05T20:51:18Z,cartservice,8601001,0,0,0
2026-09-05T20:51:18Z,productcatalogservice,33394415,0,0,0
2026-09-05T20:51:18Z,checkoutservice,193659,849,15,396
2026-09-05T20:51:23Z,cartservice,8602402,0,0,0
2026-09-05T20:51:23Z,productcatalogservice,33399566,0,0,0
2026-09-05T20:51:23Z,checkoutservice,193702,849,15,396
2026-09-05T20:51:28Z,cartservice,8603693,0,0,0
2026-09-05T20:51:28Z,productcatalogservice,33404218,0,0,0
2026-09-05T20:51:28Z,checkoutservice,193733,849,15,396
2026-09-05T20:51:34Z,cartservice,8606137,0,0,0
2026-09-05T20:51:34Z,productcatalogservice,33407517,0,0,0
2026-09-05T20:51:34Z,checkoutservice,193748,849,15,396
2026-09-05T20:51:39Z,cartservice,8608061,0,0,0
2026-09-05T20:51:39Z,productcatalogservice,33412251,0,0,0
2026-09-05T20:51:39Z,checkoutservice,193789,849,15,396
2026-09-05T20:51:45Z,cartservice,8609308,0,0,0
2026-09-05T20:51:45Z,productcatalogservice,33416589,0,0,0
2026-09-05T20:51:45Z,checkoutservice,193812,849,15,396
2026-09-05T20:51:50Z,cartservice,8610836,0,0,0
2026-09-05T20:51:50Z,productcatalogservice,33421492,0,0,0
2026-09-05T20:51:50Z,checkoutservice,193844,849,15,396
2026-09-05T20:51:55Z,cartservice,8613740,0,0,0
2026-09-05T20:51:55Z,productcatalogservice,33423677,0,0,0
2026-09-05T20:51:55Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:01Z,cartservice,8616544,0,0,0
2026-09-05T20:52:01Z,productcatalogservice,33424926,0,0,0
2026-09-05T20:52:01Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:06Z,cartservice,8619446,0,0,0
2026-09-05T20:52:06Z,productcatalogservice,33426192,0,0,0
2026-09-05T20:52:06Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:12Z,cartservice,8622262,0,0,0
2026-09-05T20:52:12Z,productcatalogservice,33427424,0,0,0
2026-09-05T20:52:12Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:17Z,cartservice,8625098,0,0,0
2026-09-05T20:52:17Z,productcatalogservice,33428650,0,0,0
2026-09-05T20:52:17Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:22Z,cartservice,8627990,0,0,0
2026-09-05T20:52:22Z,productcatalogservice,33429907,0,0,0
2026-09-05T20:52:22Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:28Z,cartservice,8630762,0,0,0
2026-09-05T20:52:28Z,productcatalogservice,33431113,0,0,0
2026-09-05T20:52:28Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:33Z,cartservice,8633615,0,0,0
2026-09-05T20:52:33Z,productcatalogservice,33432386,0,0,0
2026-09-05T20:52:33Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:38Z,cartservice,8636461,0,0,0
2026-09-05T20:52:38Z,productcatalogservice,33433620,0,0,0
2026-09-05T20:52:38Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:44Z,cartservice,8639232,0,0,0
2026-09-05T20:52:44Z,productcatalogservice,33434836,0,0,0
2026-09-05T20:52:44Z,checkoutservice,193858,849,15,396
2026-09-05T20:52:49Z,cartservice,8642146,0,0,0
2026-09-05T20:52:49Z,productcatalogservice,33436114,0,0,0
