RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
24.0,0.0,24.0,320.0,0
33.5,0.0,33.5,330.0,0
55.5,0.0,55.5,120.0,0
51.5,0.0,51.5,230.0,0
50.0,0.0,50.0,190.0,0
50.5,0.0,50.5,190.0,0
53.0,0.0,53.0,120.0,0
55.0,0.0,55.0,120.0,0
42.5,0.0,42.5,130.0,0
41.0,0.0,41.0,46.0,0
42.5,0.0,42.5,58.0,0
42.0,0.0,42.0,170.0,0
40.5,0.0,40.5,78.0,0
48.5,0.0,48.5,42.0,0
54.0,0.0,54.0,120.0,0
51.5,0.0,51.5,360.0,0
63.5,0.0,63.5,360.0,0
82.5,0.0,82.5,360.0,0
96.5,0.0,96.5,130.0,0
93.5,0.0,93.5,210.0,0
89.5,0.0,89.5,110.0,0
77.5,0.0,77.5,420.0,0
62.0,0.0,62.0,420.0,0
54.0,0.0,54.0,160.0,0
54.0,0.0,54.0,69.0,0
46.0,0.0,46.0,66.0,0
46.0,0.0,46.0,46.0,0
44.0,0.0,44.0,55.0,0
50.5,0.0,50.5,180.0,0
42.0,2.5,39.5,85.0,0
43.0,3.0,40.0,270.0,0
41.5,2.0,39.5,54.0,0
58.5,0.0,58.5,170.0,0
110.5,0.0,110.5,180.0,0
100.0,0.0,100.0,170.0,0
88.5,0.0,88.5,150.0,0
97.0,0.0,97.0,94.0,0
100.5,0.0,100.5,73.0,0
102.0,0.0,102.0,120.0,0
112.0,0.0,112.0,89.0,0
98.5,0.0,98.5,180.0,0
91.5,0.0,91.5,160.0,0
107.5,0.0,107.5,120.0,0
105.0,0.0,105.0,100.0,0
96.5,0.0,96.5,72.0,0
96.0,0.0,96.0,130.0,0
99.0,0.0,99.0,380.0,0
99.0,0.0,99.0,82.0,0
101.0,0.0,101.0,95.0,0
104.0,0.0,104.0,230.0,0
97.5,0.0,97.5,84.0,0
94.5,0.0,94.5,63.0,0
98.5,0.0,98.5,130.0,0
100.0,0.0,100.0,140.0,0
88.5,0.0,88.5,84.0,0
104.5,0.0,104.5,89.0,0
