RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
24.0,0.0,24.0,360.0,0
34.5,0.0,34.5,400.0,0
50.0,0.0,50.0,440.0,0
73.5,0.0,73.5,270.0,0
53.0,0.0,53.0,370.0,0
45.5,0.0,45.5,280.0,0
55.0,0.0,55.0,190.0,0
49.0,0.0,49.0,160.0,0
42.0,0.0,42.0,220.0,0
42.0,0.0,42.0,210.0,0
39.0,0.0,39.0,210.0,0
47.5,0.0,47.5,390.0,0
43.0,0.0,43.0,410.0,0
41.5,0.0,41.5,460.0,0
49.0,0.0,49.0,500.0,0
56.0,0.0,56.0,500.0,0
84.0,0.0,84.0,540.0,0
105.0,0.0,105.0,410.0,0
85.0,0.0,85.0,370.0,0
83.5,0.0,83.5,460.0,0
81.0,0.0,81.0,480.0,0
80.0,0.0,80.0,420.0,0
64.0,0.0,64.0,370.0,0
52.0,0.0,52.0,430.0,0
36.0,0.0,36.0,380.0,0
43.0,0.0,43.0,390.0,0
49.5,0.0,49.5,410.0,0
56.5,0.0,56.5,410.0,0
50.0,1.0,49.0,500.0,0
46.0,4.0,42.0,500.0,0
47.0,4.5,42.5,500.0,0
49.0,3.5,45.5,320.0,0
58.5,0.0,58.5,480.0,0
93.0,0.0,93.0,480.0,0
98.0,0.0,98.0,420.0,0
106.5,0.0,106.5,440.0,0
112.5,0.0,112.5,240.0,0
106.5,0.0,106.5,120.0,0
88.5,0.0,88.5,410.0,0
101.5,0.0,101.5,120.0,0
105.5,0.0,105.5,420.0,0
114.0,0.0,114.0,400.0,0
94.5,0.0,94.5,430.0,0
95.0,0.0,95.0,300.0,0
89.5,0.0,89.5,85.0,0
101.0,0.0,101.0,440.0,0
102.0,0.0,102.0,440.0,0
103.0,0.0,103.0,120.0,0
105.0,0.0,105.0,150.0,0
101.0,0.0,101.0,220.0,0
100.5,0.0,100.5,410.0,0
103.5,0.0,103.5,110.0,0
105.0,0.0,105.0,140.0,0
94.5,0.0,94.5,180.0,0
100.5,0.0,100.5,110.0,0
93.5,0.0,93.5,130.0,0
90.0,0.0,90.0,160.0,0
99.5,0.0,99.5,100.0,0
93.5,0.0,93.5,140.0,0
96.0,0.0,96.0,110.0,0
97.0,0.0,97.0,350.0,0
93.0,0.0,93.0,96.0,0
97.5,0.0,97.5,160.0,0
101.0,0.0,101.0,120.0,0
95.5,0.0,95.5,150.0,0
88.5,0.0,88.5,100.0,0
90.5,0.0,90.5,110.0,0
103.0,0.0,103.0,140.0,0
100.5,0.0,100.5,290.0,0
93.0,0.0,93.0,250.0,0
111.5,0.0,111.5,230.0,0
