RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
12.0,0.0,12.0,550.0,0
89.5,0.0,89.5,780.0,0
117.0,17.5,99.5,1200.0,0
119.0,18.0,101.0,520.0,0
81.0,0.0,81.0,870.0,0
109.5,0.0,109.5,600.0,0
122.0,0.0,122.0,570.0,0
102.5,0.0,102.5,580.0,0
153.5,0.0,153.5,660.0,0
108.5,2.5,106.0,1000.0,0
91.5,4.0,87.5,980.0,0
95.0,0.0,95.0,1000.0,0
111.5,2.0,109.5,1000.0,0
126.0,1.0,125.0,1000.0,0
109.0,1.0,108.0,990.0,0
115.5,0.0,115.5,1000.0,0
121.5,0.5,121.0,1000.0,0
107.0,8.0,99.0,1000.0,0
120.0,2.0,118.0,1000.0,0
125.0,2.0,123.0,1000.0,0
121.5,4.5,117.0,1000.0,0
124.0,2.0,122.0,1000.0,0
118.0,2.0,116.0,1000.0,0
118.5,8.5,110.0,1200.0,0
109.0,15.0,94.0,1200.0,0
126.0,16.5,109.5,1200.0,0
92.0,4.5,87.5,1100.0,0
108.5,43.0,65.5,1200.0,0
120.0,49.5,70.5,1200.0,0
128.0,42.5,85.5,1200.0,0
126.0,62.5,63.5,1200.0,0
137.5,40.5,97.0,1100.0,0
140.0,35.5,104.5,1100.0,0
139.0,24.0,115.0,1000.0,0
132.5,52.5,80.0,1200.0,0
135.5,71.0,64.5,1600.0,0
133.5,28.5,105.0,1200.0,0
129.0,59.0,70.0,1600.0,0
125.5,61.0,64.5,1600.0,0
110.0,59.5,50.5,1200.0,0
135.0,49.0,86.0,1100.0,0
134.0,44.0,90.0,1200.0,0
125.0,76.0,49.0,1600.0,0
132.0,35.0,97.0,1200.0,0
138.0,54.0,84.0,1300.0,0
128.5,59.0,69.5,1500.0,0
119.0,73.5,45.5,1500.0,0
118.0,48.0,70.0,1500.0,0
141.5,78.5,63.0,1200.0,0
130.5,86.5,44.0,1700.0,0
130.5,72.5,58.0,1700.0,0
131.5,23.5,108.0,1100.0,0
134.5,47.5,87.0,1100.0,0
132.0,65.0,67.0,1500.0,0
139.5,52.0,87.5,1500.0,0
140.0,2.0,138.0,1000.0,0
139.5,0.0,139.5,1000.0,0
127.0,2.0,125.0,1000.0,0
126.0,1.0,125.0,1200.0,0
131.0,35.0,96.0,1200.0,0
135.0,42.5,92.5,1200.0,0
129.0,59.0,70.0,1500.0,0
116.5,45.0,71.5,1500.0,0
127.5,58.5,69.0,1400.0,0
141.0,27.5,113.5,1100.0,0
144.5,16.5,128.0,1100.0,0
134.5,22.0,112.5,1100.0,0
149.0,18.5,130.5,1000.0,0
157.0,2.0,155.0,1000.0,0
119.5,1.0,118.5,1000.0,0
127.5,8.5,119.0,1100.0,0
132.0,11.0,121.0,1000.0,0
146.5,10.0,136.5,1200.0,0
136.0,9.0,127.0,1100.0,0
135.0,17.5,117.5,1100.0,0
138.5,47.0,91.5,1100.0,0
136.5,44.0,92.5,1100.0,0
135.0,22.0,113.0,1200.0,0
137.5,45.0,92.5,1200.0,0
135.0,65.0,70.0,1500.0,0
132.5,40.5,92.0,1100.0,0
136.5,44.0,92.5,1100.0,0
141.5,11.0,130.5,1100.0,0
147.5,16.5,131.0,1100.0,0
150.0,13.0,137.0,900.0,0
132.5,0.0,132.5,1100.0,0
130.5,22.0,108.5,1100.0,0
154.0,16.0,138.0,1000.0,0
142.0,1.5,140.5,930.0,0
140.0,0.0,140.0,980.0,0
136.0,0.0,136.0,990.0,0
136.5,0.0,136.5,860.0,0
165.0,0.0,165.0,710.0,0
124.0,0.0,124.0,640.0,0
127.5,0.0,127.5,740.0,0
137.0,0.0,137.0,880.0,0
138.5,0.0,138.5,880.0,0
136.0,0.0,136.0,750.0,0
141.0,0.0,141.0,740.0,0
137.0,0.0,137.0,950.0,0
123.5,0.0,123.5,950.0,0
148.0,0.0,148.0,880.0,0
129.5,0.0,129.5,920.0,0
123.5,8.5,115.0,1100.0,0
132.0,28.0,104.0,1100.0,0
150.5,18.5,132.0,930.0,0
139.0,0.0,139.0,930.0,0
134.5,0.0,134.5,1100.0,0
143.0,18.5,124.5,1100.0,0
133.0,1.0,132.0,940.0,0
145.5,0.0,145.5,940.0,0
134.5,1.0,133.5,940.0,0
133.5,8.0,125.5,1100.0,0
139.0,19.5,119.5,1000.0,0
141.5,15.5,126.0,960.0,0
141.0,4.0,137.0,910.0,0
138.0,0.0,138.0,950.0,0
125.5,28.5,97.0,1200.0,0
132.5,46.0,86.5,1000.0,0
137.5,5.5,132.0,1000.0,0
136.5,4.5,132.0,1000.0,0
133.0,16.0,117.0,1100.0,0
130.0,44.0,86.0,1100.0,0
146.5,37.5,109.0,1100.0,0
134.0,2.0,132.0,1100.0,0
119.0,10.5,108.5,1300.0,0
118.0,55.0,63.0,1300.0,0
131.0,93.5,37.5,1200.0,0
147.5,55.0,92.5,1200.0,0
149.5,17.0,132.5,940.0,0
131.5,0.0,131.5,1000.0,0
154.0,0.0,154.0,1000.0,0
147.5,0.0,147.5,810.0,0
137.5,0.0,137.5,800.0,0
138.5,0.0,138.5,920.0,0
111.5,2.5,109.0,1100.0,0
122.0,3.0,119.0,950.0,0
144.5,0.5,144.0,900.0,0
155.0,0.0,155.0,860.0,0
135.0,1.5,133.5,990.0,0
133.5,1.5,132.0,920.0,0
132.0,0.0,132.0,890.0,0
126.5,0.0,126.5,1100.0,0
140.5,5.0,135.5,1100.0,0
135.0,11.0,124.0,1100.0,0
