RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,220.0,0
24.0,0.0,24.0,440.0,0
38.5,0.0,38.5,360.0,0
62.0,0.0,62.0,340.0,0
93.5,0.0,93.5,300.0,0
73.0,0.0,73.0,430.0,0
65.0,0.0,65.0,310.0,0
80.5,0.0,80.5,350.0,0
77.0,0.0,77.0,440.0,0
77.0,0.0,77.0,320.0,0
74.0,0.0,74.0,420.0,0
87.5,0.0,87.5,290.0,0
91.0,0.0,91.0,360.0,0
76.0,0.0,76.0,270.0,0
70.0,0.0,70.0,350.0,0
87.5,0.0,87.5,410.0,0
92.5,0.0,92.5,380.0,0
83.0,0.0,83.0,300.0,0
97.0,0.0,97.0,280.0,0
83.0,0.0,83.0,470.0,0
84.0,0.0,84.0,340.0,0
99.0,0.0,99.0,280.0,0
84.5,0.0,84.5,280.0,0
88.5,0.0,88.5,330.0,0
92.5,0.0,92.5,340.0,0
104.5,0.0,104.5,270.0,0
96.5,0.0,96.5,330.0,0
114.5,0.0,114.5,300.0,0
101.5,0.0,101.5,160.0,0
93.5,0.0,93.5,330.0,0
102.0,0.0,102.0,300.0,0
109.5,0.0,109.5,180.0,0
98.5,0.0,98.5,270.0,0
103.0,0.0,103.0,250.0,0
94.5,0.0,94.5,250.0,0
101.5,0.0,101.5,340.0,0
101.0,0.0,101.0,280.0,0
90.0,0.0,90.0,170.0,0
106.0,0.0,106.0,350.0,0
107.5,0.0,107.5,270.0,0
116.0,0.0,116.0,460.0,0
97.0,0.0,97.0,280.0,0
91.0,0.0,91.0,140.0,0
87.5,0.0,87.5,460.0,0
112.5,0.0,112.5,190.0,0
98.5,0.0,98.5,450.0,0
101.5,0.0,101.5,490.0,0
119.5,0.0,119.5,150.0,0
102.5,0.0,102.5,160.0,0
96.0,0.0,96.0,170.0,0
99.0,0.0,99.0,490.0,0
93.0,0.0,93.0,490.0,0
98.5,0.0,98.5,270.0,0
104.0,0.0,104.0,160.0,0
99.0,0.0,99.0,510.0,0
92.5,0.0,92.5,310.0,0
96.5,0.0,96.5,210.0,0
108.0,0.0,108.0,220.0,0
99.0,0.0,99.0,380.0,0
87.5,0.0,87.5,480.0,0
120.5,0.0,120.5,360.0,0
107.5,0.0,107.5,310.0,0
107.0,0.0,107.0,310.0,0
89.5,0.0,89.5,500.0,0
101.5,0.0,101.5,470.0,0
94.0,0.0,94.0,150.0,0
96.5,0.0,96.5,500.0,0
91.5,0.0,91.5,240.0,0
84.5,0.0,84.5,520.0,0
93.5,0.0,93.5,490.0,0
103.0,0.0,103.0,360.0,0
117.0,0.0,117.0,160.0,0
107.5,0.0,107.5,140.0,0
112.5,0.0,112.5,430.0,0
89.5,0.0,89.5,450.0,0
92.5,0.0,92.5,450.0,0
101.5,0.0,101.5,460.0,0
113.5,0.0,113.5,450.0,0
108.5,0.0,108.5,320.0,0
113.0,0.0,113.0,390.0,0
95.0,0.0,95.0,410.0,0
100.5,0.0,100.5,450.0,0
113.5,0.0,113.5,380.0,0
102.5,0.0,102.5,120.0,0
99.5,0.0,99.5,140.0,0
101.5,0.0,101.5,160.0,0
100.0,0.0,100.0,160.0,0
89.5,0.0,89.5,170.0,0
90.0,0.0,90.0,160.0,0
97.5,0.0,97.5,170.0,0
98.5,0.0,98.5,160.0,0
89.0,0.0,89.0,180.0,0
90.0,0.0,90.0,180.0,0
112.5,0.0,112.5,170.0,0
104.5,0.0,104.5,180.0,0
105.5,0.0,105.5,210.0,0
100.0,0.0,100.0,200.0,0
97.0,0.0,97.0,220.0,0
83.0,0.0,83.0,200.0,0
93.0,0.0,93.0,200.0,0
103.0,0.0,103.0,200.0,0
81.0,0.0,81.0,170.0,0
97.5,0.0,97.5,170.0,0
94.5,0.0,94.5,150.0,0
94.0,0.0,94.0,180.0,0
92.0,0.0,92.0,210.0,0
93.0,0.0,93.0,160.0,0
87.0,0.0,87.0,150.0,0
92.5,0.0,92.5,160.0,0
100.5,0.0,100.5,180.0,0
98.5,0.0,98.5,140.0,0
99.5,0.0,99.5,160.0,0
99.5,0.0,99.5,200.0,0
96.5,0.0,96.5,140.0,0
97.0,0.0,97.0,130.0,0
92.0,0.0,92.0,130.0,0
99.0,0.0,99.0,170.0,0
105.5,0.0,105.5,180.0,0
102.5,0.0,102.5,170.0,0
98.5,0.0,98.5,170.0,0
91.5,0.0,91.5,260.0,0
89.5,0.0,89.5,260.0,0
99.5,0.0,99.5,170.0,0
106.0,0.0,106.0,150.0,0
103.0,0.0,103.0,190.0,0
99.0,0.0,99.0,130.0,0
88.5,0.0,88.5,160.0,0
90.0,0.0,90.0,230.0,0
95.5,0.0,95.5,170.0,0
92.0,0.0,92.0,190.0,0
93.0,0.0,93.0,200.0,0
89.0,0.0,89.0,210.0,0
91.0,0.0,91.0,190.0,0
96.5,0.0,96.5,170.0,0
105.5,0.0,105.5,220.0,0
102.5,0.0,102.5,200.0,0
95.5,0.0,95.5,160.0,0
98.0,0.0,98.0,150.0,0
97.5,0.0,97.5,170.0,0
92.5,0.0,92.5,220.0,0
89.0,0.0,89.0,190.0,0
92.5,0.0,92.5,170.0,0
91.5,0.0,91.5,170.0,0
95.5,0.0,95.5,170.0,0
99.5,0.0,99.5,180.0,0
100.5,0.0,100.5,210.0,0
93.5,0.0,93.5,210.0,0
95.5,0.0,95.5,180.0,0
93.0,0.0,93.0,180.0,0
93.0,0.0,93.0,150.0,0
94.5,0.0,94.5,170.0,0
100.5,0.0,100.5,170.0,0
112.0,0.0,112.0,150.0,0
119.0,0.0,119.0,190.0,0
100.5,0.0,100.5,150.0,0
100.0,0.0,100.0,160.0,0
85.5,0.0,85.5,160.0,0
107.5,0.0,107.5,160.0,0
110.0,0.0,110.0,190.0,0
100.0,0.0,100.0,190.0,0
101.0,0.0,101.0,150.0,0
97.0,0.0,97.0,180.0,0
93.5,0.0,93.5,170.0,0
99.0,0.0,99.0,150.0,0
95.0,0.0,95.0,150.0,0
97.5,0.0,97.5,190.0,0
96.5,0.0,96.5,190.0,0
103.0,0.0,103.0,200.0,0
98.5,0.0,98.5,220.0,0
83.0,0.0,83.0,200.0,0
105.0,0.0,105.0,180.0,0
107.0,0.0,107.0,180.0,0
107.5,0.0,107.5,200.0,0
109.5,0.0,109.5,170.0,0
108.5,0.0,108.5,160.0,0
103.0,0.0,103.0,250.0,0
95.0,0.0,95.0,250.0,0
97.5,0.0,97.5,170.0,0
94.0,0.0,94.0,180.0,0
104.5,0.0,104.5,200.0,0
94.5,0.0,94.5,220.0,0
82.5,0.0,82.5,200.0,0
86.0,0.0,86.0,200.0,0
91.0,0.0,91.0,210.0,0
83.0,0.0,83.0,190.0,0
98.5,0.0,98.5,210.0,0
100.0,0.0,100.0,180.0,0
95.0,0.0,95.0,180.0,0
94.0,0.0,94.0,130.0,0
92.0,0.0,92.0,170.0,0
94.5,0.0,94.5,170.0,0
92.0,0.0,92.0,170.0,0
101.0,0.0,101.0,180.0,0
102.5,0.0,102.5,180.0,0
94.5,0.0,94.5,150.0,0
95.5,0.0,95.5,200.0,0
98.0,0.0,98.0,190.0,0
111.0,0.0,111.0,150.0,0
101.0,0.0,101.0,170.0,0
102.5,0.0,102.5,170.0,0
101.5,0.0,101.5,160.0,0
91.5,0.0,91.5,190.0,0
99.5,0.0,99.5,190.0,0
102.5,0.0,102.5,190.0,0
99.5,0.0,99.5,190.0,0
104.5,0.0,104.5,170.0,0
98.0,0.0,98.0,170.0,0
99.0,0.0,99.0,160.0,0
96.0,0.0,96.0,130.0,0
94.5,0.0,94.5,160.0,0
90.0,0.0,90.0,170.0,0
97.0,0.0,97.0,180.0,0
98.5,0.0,98.5,160.0,0
107.5,0.0,107.5,130.0,0
98.5,0.0,98.5,160.0,0
86.0,0.0,86.0,140.0,0
97.0,0.0,97.0,150.0,0
87.5,0.0,87.5,140.0,0
