RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,372.0,0.0
130.0,0.0,130.0,542.0,0.0
190.0,0.0,190.0,664.0,0.0
363.0,29.5,333.5,784.0,0.0
438.0,35.5,402.5,754.0,0.0
423.0,10.5,412.5,884.0,0.0
427.0,11.0,416.0,878.0,0.0
467.0,27.0,440.0,956.0,0.0
448.5,27.0,421.5,980.0,0.0
421.5,6.5,415.0,986.0,0.0
452.0,9.5,442.5,1000.0,0.0
471.0,13.0,458.0,932.0,0.0
444.0,13.0,431.0,962.0,0.0
479.5,11.5,468.0,916.0,0.0
461.0,10.0,451.0,1094.0,0.0
460.5,11.5,449.0,1148.0,0.0
474.5,13.0,461.5,1026.0,0.0
484.0,23.5,460.5,948.0,0.0
489.0,15.5,473.5,974.0,0.0
521.0,30.5,490.5,1030.0,0.0
485.5,18.0,467.5,970.0,0.0
469.5,12.5,457.0,1024.0,0.0
504.0,42.5,461.5,952.0,0.0
512.0,28.0,484.0,900.0,0.0
537.5,18.0,519.5,994.0,0.0
499.5,29.5,470.0,994.0,0.0
601.0,95.0,506.0,852.0,0.0
539.5,6.5,533.0,1014.0,0.0
529.0,22.0,507.0,860.0,0.0
493.0,43.5,449.5,978.0,0.0
555.5,86.5,469.0,1108.0,0.0
570.0,54.5,515.5,936.0,0.0
538.0,30.5,507.5,992.0,0.0
561.5,39.0,522.5,988.0,0.0
492.5,59.5,433.0,1034.0,0.0
564.0,152.0,412.0,1208.0,0.0
594.0,86.5,507.5,1056.0,0.0
528.0,59.5,468.5,1038.0,0.0
545.5,85.0,460.5,1122.0,0.0
558.5,39.5,519.0,972.0,0.0
550.0,24.5,525.5,978.0,0.0
548.5,29.5,519.0,1002.0,0.0
528.0,26.5,501.5,1006.0,0.0
540.5,49.0,491.5,1182.0,0.0
563.5,74.0,489.5,930.0,0.0
495.5,70.5,425.0,1092.0,0.0
559.5,76.0,483.5,1194.0,0.0
579.5,45.5,534.0,1056.0,0.0
516.5,28.5,488.0,944.0,0.0
520.0,47.0,473.0,1112.0,0.0
576.5,39.0,537.5,1334.0,0.0
494.0,66.0,428.0,1376.0,0.0
536.5,104.0,432.5,1138.0,0.0
498.5,150.0,348.5,1116.0,0.0
564.0,180.5,383.5,1326.0,0.0
600.0,144.0,456.0,1070.0,0.0
541.0,45.0,496.0,988.0,0.0
571.5,28.0,543.5,984.0,0.0
570.0,39.5,530.5,974.0,0.0
476.5,49.0,427.5,1240.0,0.0
637.5,98.0,539.5,1044.0,0.0
564.0,34.5,529.5,904.0,0.0
530.5,34.0,496.5,1076.0,0.0
509.5,63.5,446.0,1098.0,0.0
527.5,74.0,453.5,1162.0,0.0
547.0,91.5,455.5,1088.0,0.0
541.0,115.0,426.0,1174.0,0.0
532.5,134.5,398.0,1324.0,0.0
558.5,106.0,452.5,1394.0,0.0
544.5,59.0,485.5,1200.0,0.0
569.5,50.5,519.0,1064.0,0.0
616.5,36.5,580.0,1004.0,0.0
546.5,33.5,513.0,966.0,0.0
567.0,22.5,544.5,1076.0,0.0
509.0,13.0,496.0,1042.0,0.0
468.0,24.5,443.5,1044.0,0.0
531.5,43.0,488.5,1190.0,0.0
575.5,42.0,533.5,1154.0,0.0
544.5,65.0,479.5,1122.0,0.0
552.0,49.0,503.0,1136.0,0.0
555.5,71.0,484.5,1138.0,0.0
552.5,64.5,488.0,1080.0,0.0
569.5,70.5,499.0,1120.0,0.0
563.0,67.0,496.0,1036.0,0.0
521.5,32.0,489.5,1010.0,0.0
544.5,30.5,514.0,1008.0,0.0
508.0,73.5,434.5,1016.0,0.0
518.0,153.5,364.5,1120.0,0.0
555.0,152.5,402.5,1110.0,0.0
563.5,97.0,466.5,1114.0,0.0
532.0,102.5,429.5,1096.0,0.0
509.0,142.0,367.0,1200.0,0.0
539.0,172.0,367.0,1080.0,0.0
526.5,103.5,423.0,992.0,0.0
517.5,108.0,409.5,1114.0,0.0
537.5,122.0,415.5,1136.0,0.0
520.0,183.5,336.5,1160.0,0.0
548.0,183.5,364.5,1168.0,0.0
520.0,165.0,355.0,1096.0,0.0
573.0,192.5,380.5,1088.0,0.0
581.5,146.5,435.0,1036.0,0.0
527.5,100.0,427.5,1062.0,0.0
584.5,75.0,509.5,1010.0,0.0
526.0,48.5,477.5,926.0,0.0
523.5,65.0,458.5,1012.0,0.0
546.0,93.0,453.0,1036.0,0.0
576.5,86.5,490.0,1026.0,0.0
527.5,74.0,453.5,1082.0,0.0
536.5,111.5,425.0,1088.0,0.0
518.0,71.5,446.5,992.0,0.0
531.0,78.5,452.5,1036.0,0.0
543.0,122.5,420.5,1064.0,0.0
556.5,125.5,431.0,1138.0,0.0
495.5,105.0,390.5,1154.0,0.0
534.5,182.0,352.5,1126.0,0.0
551.0,151.0,400.0,1118.0,0.0
538.0,187.0,351.0,1152.0,0.0
540.0,141.5,398.5,1012.0,0.0
548.0,142.0,406.0,1148.0,0.0
527.0,90.0,437.0,1194.0,0.0
527.0,133.5,393.5,1146.0,0.0
530.0,118.5,411.5,1126.0,0.0
542.0,150.5,391.5,1192.0,0.0
518.5,201.5,317.0,1192.0,0.0
596.0,148.5,447.5,1050.0,0.0
525.0,129.0,396.0,1018.0,0.0
522.0,166.5,355.5,1132.0,0.0
503.0,167.0,336.0,1122.0,0.0
531.5,189.5,342.0,1196.0,0.0
536.0,173.5,362.5,1226.0,0.0
515.5,156.5,359.0,1200.0,0.0
505.0,198.5,306.5,1224.0,0.0
533.5,221.5,312.0,1130.0,0.0
552.0,202.5,349.5,1054.0,0.0
539.0,135.5,403.5,1138.0,0.0
531.0,146.0,385.0,1022.0,0.0
520.5,128.0,392.5,1148.0,0.0
550.0,152.0,398.0,1186.0,0.0
563.0,160.5,402.5,1086.0,0.0
505.0,149.5,355.5,996.0,0.0
528.5,177.0,351.5,1164.0,0.0
545.5,130.5,415.0,1172.0,0.0
550.5,118.0,432.5,1074.0,0.0
568.5,120.0,448.5,1090.0,0.0
524.0,107.5,416.5,1072.0,0.0
520.0,129.5,390.5,1228.0,0.0
553.5,138.0,415.5,1168.0,0.0
525.0,151.5,373.5,1094.0,0.0
535.0,185.5,349.5,1170.0,0.0
523.0,174.5,348.5,1132.0,0.0
532.5,158.5,374.0,1110.0,0.0
545.5,195.5,350.0,1138.0,0.0
567.0,207.5,359.5,1126.0,0.0
571.5,98.5,473.0,1040.0,0.0
520.0,37.0,483.0,986.0,0.0
499.0,46.5,452.5,1106.0,0.0
499.0,100.0,399.0,1014.0,0.0
576.0,164.5,411.5,1048.0,0.0
573.0,143.0,430.0,822.0,0.0
532.0,89.5,442.5,1174.0,0.0
533.5,148.0,385.5,1224.0,0.0
480.0,203.0,277.0,1178.0,0.0
571.0,217.5,353.5,986.0,0.0
541.0,113.0,428.0,1148.0,0.0
538.0,143.5,394.5,1006.0,0.0
534.0,185.5,348.5,1114.0,0.0
521.0,135.5,385.5,994.0,0.0
523.5,112.0,411.5,1204.0,0.0
553.5,109.5,444.0,1190.0,0.0
512.0,150.0,362.0,1066.0,0.0
584.0,90.0,494.0,1032.0,0.0
508.5,84.0,424.5,1100.0,0.0
514.0,128.0,386.0,1126.0,0.0
555.5,145.0,410.5,1020.0,0.0
563.0,110.5,452.5,1168.0,0.0
534.5,93.0,441.5,1220.0,0.0
516.0,145.5,370.5,1226.0,0.0
554.0,209.0,345.0,978.0,0.0
508.5,156.5,352.0,1018.0,0.0
532.5,151.5,381.0,1168.0,0.0
534.5,184.5,350.0,1088.0,0.0
481.5,166.5,315.0,1244.0,0.0
511.5,223.0,288.5,1234.0,0.0
536.0,231.5,304.5,1190.0,0.0
487.0,213.5,273.5,1226.0,0.0
555.0,243.0,312.0,1282.0,0.0
570.5,186.5,384.0,1060.0,0.0
509.0,139.0,370.0,1100.0,0.0
490.0,165.5,324.5,1156.0,0.0
473.0,229.0,244.0,1238.0,0.0
552.5,265.0,287.5,1334.0,0.0
543.5,190.0,353.5,1276.0,0.0
553.5,82.5,471.0,1160.0,0.0
523.0,77.0,446.0,870.0,0.0
544.0,109.5,434.5,1108.0,0.0
531.0,136.5,394.5,1142.0,0.0
514.0,157.5,356.5,1200.0,0.0
585.5,131.5,454.0,1158.0,0.0
564.0,60.0,504.0,1028.0,0.0
565.0,44.5,520.5,1084.0,0.0
508.5,54.5,454.0,1136.0,0.0
501.0,143.5,357.5,1064.0,0.0
572.5,135.0,437.5,1172.0,0.0
545.0,109.0,436.0,1242.0,0.0
506.5,136.0,370.5,1118.0,0.0
530.0,151.0,379.0,1134.0,0.0
531.0,202.0,329.0,1174.0,0.0
540.5,192.5,348.0,1130.0,0.0
539.5,81.5,458.0,1032.0,0.0
507.0,110.5,396.5,1108.0,0.0
518.5,178.0,340.5,1118.0,0.0
544.5,166.5,378.0,1176.0,0.0
557.5,152.0,405.5,1066.0,0.0
546.5,107.0,439.5,1080.0,0.0
521.0,127.0,394.0,1114.0,0.0
523.5,199.5,324.0,1110.0,0.0
585.0,134.0,451.0,1182.0,0.0
521.5,101.0,420.5,1218.0,0.0
459.5,145.5,314.0,1100.0,0.0
484.0,231.0,253.0,1180.0,0.0
552.0,257.0,295.0,1144.0,0.0
523.5,203.5,320.0,1146.0,0.0
532.5,161.0,371.5,1172.0,0.0
499.0,94.0,405.0,1068.0,0.0
508.0,183.5,324.5,986.0,0.0
517.0,232.0,285.0,1244.0,0.0
560.0,140.0,420.0,1286.0,0.0
517.5,119.5,398.0,1046.0,0.0
484.0,183.5,300.5,1174.0,0.0
525.0,228.0,297.0,1176.0,0.0
556.5,227.0,329.5,1186.0,0.0
459.0,186.0,273.0,1086.0,0.0
499.5,242.5,257.0,1176.0,0.0
535.0,174.5,360.5,1132.0,0.0
595.0,125.0,470.0,1082.0,0.0
521.0,133.0,388.0,1062.0,0.0
493.5,218.5,275.0,1242.0,0.0
529.5,214.5,315.0,1214.0,0.0
497.0,192.0,305.0,1194.0,0.0
508.0,241.5,266.5,1168.0,0.0
491.0,256.0,235.0,1172.0,0.0
513.5,251.0,262.5,1344.0,0.0
514.5,249.0,265.5,1208.0,0.0
521.0,202.5,318.5,1242.0,0.0
481.5,219.0,262.5,1292.0,0.0
491.5,230.0,261.5,1212.0,0.0
485.0,228.0,257.0,1232.0,0.0
492.5,240.0,252.5,1272.0,0.0
527.5,225.5,302.0,1320.0,0.0
495.5,225.5,270.0,1160.0,0.0
530.5,207.0,323.5,1184.0,0.0
539.5,205.0,334.5,1164.0,0.0
553.0,172.0,381.0,1284.0,0.0
483.0,215.5,267.5,1330.0,0.0
490.5,285.0,205.5,1362.0,0.0
530.0,303.0,227.0,1266.0,0.0
528.0,254.0,274.0,1138.0,0.0
493.5,183.5,310.0,1264.0,0.0
498.0,212.0,286.0,1164.0,0.0
524.0,247.5,276.5,1206.0,0.0
470.5,236.0,234.5,1186.0,0.0
529.5,288.5,241.0,1320.0,0.0
