RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,470.0,0
27.5,0.0,27.5,550.0,0
61.0,0.0,61.0,1100.0,0
132.5,10.5,122.0,1100.0,0
150.5,13.5,137.0,960.0,0
157.0,0.0,157.0,1100.0,0
146.5,14.0,132.5,1100.0,0
140.0,20.0,120.0,1100.0,0
151.5,18.5,133.0,1100.0,0
166.5,32.5,134.0,1300.0,0
161.5,34.5,127.0,1200.0,0
155.0,36.5,118.5,1200.0,0
162.5,60.5,102.0,1300.0,0
162.5,63.5,99.0,1300.0,0
169.0,84.0,85.0,1700.0,0
175.5,90.0,85.5,1200.0,0
167.0,73.5,93.5,1400.0,0
153.0,120.5,32.5,1600.0,0
163.5,134.5,29.0,1600.0,0
167.5,126.5,41.0,1600.0,0
165.5,123.0,42.5,2000.0,0
161.0,109.0,52.0,1400.0,0
159.0,132.0,27.0,1700.0,0
182.5,174.5,8.0,1700.0,0
170.5,155.0,15.5,1800.0,0
162.5,145.5,17.0,1800.0,0
181.0,153.0,28.0,1800.0,0
177.0,152.5,24.5,2000.0,0
173.0,161.0,12.0,2000.0,0
175.5,169.5,6.0,2000.0,0
166.0,165.5,0.5,2000.0,0
174.0,161.0,13.0,1900.0,0
177.0,160.5,16.5,2000.0,0
174.5,156.5,18.0,2000.0,0
153.5,150.5,3.0,1800.0,0
164.5,164.0,0.5,2000.0,0
189.0,184.5,4.5,1900.0,0
175.5,167.0,8.5,2000.0,0
193.5,172.0,21.5,1500.0,0
148.5,129.0,19.5,2000.0,0
168.0,161.5,6.5,2000.0,0
175.5,167.0,8.5,2000.0,0
175.0,169.5,5.5,2000.0,0
160.5,156.0,4.5,2000.0,0
159.5,157.0,2.5,1800.0,0
170.0,168.0,2.0,1900.0,0
180.0,176.5,3.5,2400.0,0
165.0,163.5,1.5,2000.0,0
168.0,166.0,2.0,1900.0,0
172.5,165.5,7.0,2000.0,0
170.5,165.5,5.0,2000.0,0
173.0,164.5,8.5,2000.0,0
178.5,175.0,3.5,2000.0,0
179.5,166.0,13.5,1900.0,0
181.5,173.0,8.5,1800.0,0
191.0,182.5,8.5,2100.0,0
183.5,173.0,10.5,2000.0,0
167.5,149.5,18.0,2000.0,0
180.5,176.0,4.5,1900.0,0
181.5,172.0,9.5,2000.0,0
178.0,168.5,9.5,2000.0,0
186.5,174.0,12.5,2000.0,0
185.5,170.5,15.0,1800.0,0
167.5,160.5,7.0,1900.0,0
167.5,163.0,4.5,2000.0,0
180.5,176.0,4.5,2000.0,0
159.0,155.0,4.0,1900.0,0
188.5,183.0,5.5,2100.0,0
149.0,148.5,0.5,2000.0,0
178.5,172.0,6.5,2000.0,0
171.0,146.0,25.0,1900.0,0
178.5,140.5,38.0,1700.0,0
180.5,170.5,10.0,1800.0,0
172.0,165.0,7.0,1800.0,0
165.5,164.0,1.5,2000.0,0
165.0,164.0,1.0,1900.0,0
174.0,174.0,0.0,2100.0,0
180.5,173.0,7.5,2000.0,0
180.0,167.0,13.0,1700.0,0
193.0,188.0,5.0,1900.0,0
163.0,158.0,5.0,2000.0,0
156.5,156.5,0.0,2000.0,0
183.5,179.0,4.5,1900.0,0
168.0,168.0,0.0,2200.0,0
179.0,178.0,1.0,2200.0,0
