RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,270.0,0
24.0,0.0,24.0,260.0,0
62.0,0.0,62.0,410.0,0
81.0,0.0,81.0,300.0,0
79.0,0.0,79.0,270.0,0
67.5,0.0,67.5,460.0,0
85.0,0.0,85.0,410.0,0
94.5,0.0,94.5,400.0,0
75.5,0.0,75.5,350.0,0
67.0,0.0,67.0,350.0,0
81.0,0.0,81.0,340.0,0
80.0,0.0,80.0,370.0,0
65.0,0.0,65.0,380.0,0
91.5,0.0,91.5,340.0,0
77.0,0.0,77.0,350.0,0
78.5,0.0,78.5,330.0,0
89.0,0.0,89.0,370.0,0
78.5,0.0,78.5,320.0,0
79.5,0.0,79.5,450.0,0
84.5,0.0,84.5,400.0,0
89.5,0.0,89.5,410.0,0
97.0,0.0,97.0,380.0,0
90.0,0.0,90.0,420.0,0
83.5,0.0,83.5,520.0,0
82.0,0.0,82.0,450.0,0
89.5,0.0,89.5,570.0,0
85.5,0.0,85.5,570.0,0
83.0,0.0,83.0,590.0,0
84.5,0.0,84.5,520.0,0
87.5,2.0,85.5,620.0,0
99.5,1.5,98.0,500.0,0
81.5,1.5,80.0,640.0,0
87.5,0.0,87.5,640.0,0
96.0,0.0,96.0,560.0,0
81.0,0.0,81.0,520.0,0
88.0,1.0,87.0,560.0,0
96.0,2.5,93.5,500.0,0
88.5,0.5,88.0,530.0,0
85.5,0.5,85.0,500.0,0
89.0,0.0,89.0,500.0,0
87.5,0.0,87.5,620.0,0
98.5,0.5,98.0,640.0,0
87.5,0.0,87.5,620.0,0
97.5,0.0,97.5,660.0,0
98.5,1.5,97.0,660.0,0
71.5,0.5,71.0,720.0,0
83.0,0.0,83.0,480.0,0
95.0,0.0,95.0,650.0,0
88.5,1.0,87.5,650.0,0
93.5,0.0,93.5,690.0,0
89.0,4.5,84.5,640.0,0
75.0,1.0,74.0,640.0,0
85.0,0.0,85.0,520.0,0
84.0,0.0,84.0,590.0,0
79.5,0.0,79.5,640.0,0
81.0,0.5,80.5,640.0,0
77.0,0.5,76.5,640.0,0
85.0,0.0,85.0,550.0,0
86.0,0.0,86.0,580.0,0
74.0,0.0,74.0,610.0,0
74.0,0.0,74.0,630.0,0
88.5,0.0,88.5,570.0,0
83.5,0.5,83.0,510.0,0
81.0,0.5,80.5,440.0,0
96.5,0.0,96.5,500.0,0
83.5,2.0,81.5,510.0,0
93.5,0.0,93.5,690.0,0
84.5,0.0,84.5,640.0,0
89.5,2.0,87.5,520.0,0
85.5,2.5,83.0,520.0,0
90.5,1.0,89.5,380.0,0
89.5,0.0,89.5,610.0,0
74.0,0.5,73.5,630.0,0
79.5,1.0,78.5,630.0,0
95.0,2.5,92.5,540.0,0
86.0,4.0,82.0,770.0,0
88.5,1.0,87.5,590.0,0
80.0,0.0,80.0,590.0,0
68.5,0.0,68.5,580.0,0
81.5,0.0,81.5,540.0,0
92.5,0.0,92.5,570.0,0
75.5,0.0,75.5,570.0,0
92.5,0.0,92.5,400.0,0
75.0,0.0,75.0,420.0,0
89.0,0.0,89.0,420.0,0
96.5,0.0,96.5,440.0,0
96.5,0.0,96.5,350.0,0
90.0,0.0,90.0,400.0,0
72.5,0.0,72.5,420.0,0
100.0,0.0,100.0,420.0,0
94.5,0.0,94.5,360.0,0
69.0,1.0,68.0,420.0,0
69.5,1.0,68.5,460.0,0
82.5,0.0,82.5,490.0,0
87.5,0.0,87.5,490.0,0
89.0,0.0,89.0,440.0,0
86.0,0.0,86.0,420.0,0
84.5,0.0,84.5,470.0,0
89.0,0.0,89.0,410.0,0
84.0,0.0,84.0,410.0,0
90.0,0.0,90.0,370.0,0
82.0,0.0,82.0,440.0,0
89.0,0.0,89.0,350.0,0
79.0,0.0,79.0,330.0,0
71.5,0.0,71.5,390.0,0
70.0,0.0,70.0,390.0,0
87.0,0.0,87.0,430.0,0
94.5,0.0,94.5,430.0,0
94.5,0.0,94.5,430.0,0
91.0,0.0,91.0,490.0,0
77.5,0.0,77.5,490.0,0
79.0,0.0,79.0,400.0,0
84.0,0.0,84.0,470.0,0
84.5,0.0,84.5,470.0,0
88.0,0.0,88.0,470.0,0
94.0,0.0,94.0,440.0,0
78.0,0.0,78.0,440.0,0
86.0,0.0,86.0,470.0,0
92.5,0.0,92.5,400.0,0
103.0,0.0,103.0,440.0,0
95.0,0.0,95.0,420.0,0
79.0,0.0,79.0,400.0,0
89.0,0.0,89.0,400.0,0
82.5,0.0,82.5,410.0,0
101.0,0.0,101.0,370.0,0
86.5,0.0,86.5,400.0,0
85.5,0.0,85.5,470.0,0
83.5,0.0,83.5,470.0,0
85.0,0.0,85.0,410.0,0
