RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,220.0,0
37.0,0.0,37.0,380.0,0
65.0,0.0,65.0,400.0,0
83.0,0.0,83.0,360.0,0
79.0,0.0,79.0,440.0,0
91.0,0.0,91.0,430.0,0
79.5,0.0,79.5,310.0,0
78.5,0.0,78.5,370.0,0
88.0,0.0,88.0,350.0,0
78.0,0.0,78.0,370.0,0
91.5,0.0,91.5,220.0,0
85.5,0.0,85.5,260.0,0
86.5,0.0,86.5,330.0,0
94.0,0.0,94.0,250.0,0
81.5,0.0,81.5,340.0,0
86.5,0.0,86.5,310.0,0
88.5,0.0,88.5,310.0,0
80.0,0.0,80.0,390.0,0
89.0,0.0,89.0,280.0,0
91.0,0.0,91.0,320.0,0
95.0,0.0,95.0,340.0,0
89.5,0.0,89.5,310.0,0
93.0,0.0,93.0,150.0,0
101.5,0.0,101.5,270.0,0
102.0,0.0,102.0,230.0,0
90.5,0.0,90.5,260.0,0
85.5,0.0,85.5,220.0,0
100.0,0.0,100.0,290.0,0
106.0,0.0,106.0,330.0,0
99.0,0.0,99.0,280.0,0
92.0,0.0,92.0,270.0,0
92.0,0.0,92.0,270.0,0
104.0,0.0,104.0,300.0,0
109.0,0.0,109.0,160.0,0
105.5,0.0,105.5,300.0,0
98.5,0.0,98.5,240.0,0
109.0,0.0,109.0,230.0,0
108.5,0.0,108.5,190.0,0
108.5,0.0,108.5,230.0,0
103.0,0.0,103.0,250.0,0
94.0,0.0,94.0,400.0,0
97.5,0.0,97.5,320.0,0
85.0,0.0,85.0,200.0,0
95.5,0.0,95.5,170.0,0
90.0,0.0,90.0,120.0,0
101.0,0.0,101.0,300.0,0
107.5,0.0,107.5,210.0,0
100.0,0.0,100.0,290.0,0
103.5,0.0,103.5,150.0,0
102.0,0.0,102.0,310.0,0
101.0,0.0,101.0,350.0,0
109.5,0.0,109.5,290.0,0
98.5,0.0,98.5,240.0,0
84.5,0.0,84.5,170.0,0
93.5,0.0,93.5,170.0,0
99.0,0.0,99.0,280.0,0
107.5,0.0,107.5,220.0,0
91.5,0.0,91.5,180.0,0
92.0,0.0,92.0,160.0,0
97.5,0.0,97.5,360.0,0
101.5,0.0,101.5,360.0,0
94.0,0.0,94.0,360.0,0
90.0,0.0,90.0,140.0,0
104.0,0.0,104.0,180.0,0
106.5,0.0,106.5,360.0,0
99.0,0.0,99.0,360.0,0
101.5,0.0,101.5,370.0,0
90.0,0.0,90.0,140.0,0
98.0,0.0,98.0,330.0,0
102.5,0.0,102.5,120.0,0
103.5,0.0,103.5,380.0,0
110.5,0.0,110.5,260.0,0
107.0,0.0,107.0,410.0,0
110.0,0.0,110.0,140.0,0
112.0,0.0,112.0,140.0,0
103.5,0.0,103.5,130.0,0
111.5,0.0,111.5,290.0,0
118.0,0.0,118.0,400.0,0
105.5,0.0,105.5,410.0,0
99.0,0.0,99.0,410.0,0
101.5,0.0,101.5,290.0,0
96.0,0.0,96.0,190.0,0
97.5,0.0,97.5,130.0,0
98.0,0.0,98.0,120.0,0
86.5,0.0,86.5,150.0,0
85.0,0.0,85.0,120.0,0
106.0,0.0,106.0,110.0,0
94.0,0.0,94.0,180.0,0
92.0,0.0,92.0,150.0,0
92.5,0.0,92.5,150.0,0
103.5,0.0,103.5,150.0,0
99.5,0.0,99.5,130.0,0
98.5,0.0,98.5,130.0,0
110.5,0.0,110.5,95.0,0
94.0,0.0,94.0,150.0,0
98.0,0.0,98.0,140.0,0
83.5,0.0,83.5,110.0,0
85.0,0.0,85.0,130.0,0
91.0,0.0,91.0,160.0,0
105.5,0.0,105.5,150.0,0
112.5,0.0,112.5,97.0,0
101.0,0.0,101.0,97.0,0
105.0,0.0,105.0,120.0,0
101.5,0.0,101.5,140.0,0
91.0,0.0,91.0,140.0,0
100.5,0.0,100.5,140.0,0
102.5,0.0,102.5,130.0,0
84.5,0.0,84.5,130.0,0
85.0,0.0,85.0,110.0,0
93.5,0.0,93.5,140.0,0
94.0,0.0,94.0,140.0,0
89.0,0.0,89.0,100.0,0
84.0,0.0,84.0,130.0,0
92.0,0.0,92.0,130.0,0
109.0,0.0,109.0,140.0,0
115.0,0.0,115.0,120.0,0
114.0,0.0,114.0,81.0,0
115.5,0.0,115.5,90.0,0
85.5,0.0,85.5,100.0,0
84.5,0.0,84.5,100.0,0
89.0,0.0,89.0,190.0,0
97.5,0.0,97.5,140.0,0
108.5,0.0,108.5,140.0,0
92.5,0.0,92.5,140.0,0
99.0,0.0,99.0,120.0,0
115.0,0.0,115.0,94.0,0
85.5,0.0,85.5,110.0,0
95.0,0.0,95.0,120.0,0
113.0,0.0,113.0,89.0,0
112.0,0.0,112.0,94.0,0
100.5,0.0,100.5,100.0,0
97.5,0.0,97.5,100.0,0
93.0,0.0,93.0,110.0,0
93.0,0.0,93.0,150.0,0
98.5,0.0,98.5,110.0,0
93.5,0.0,93.5,150.0,0
100.0,0.0,100.0,140.0,0
89.0,0.0,89.0,150.0,0
90.5,0.0,90.5,130.0,0
105.0,0.0,105.0,110.0,0
106.0,0.0,106.0,110.0,0
104.5,0.0,104.5,88.0,0
107.0,0.0,107.0,110.0,0
90.5,0.0,90.5,100.0,0
92.0,0.0,92.0,84.0,0
108.0,0.0,108.0,140.0,0
101.0,0.0,101.0,140.0,0
103.0,0.0,103.0,98.0,0
94.5,0.0,94.5,110.0,0
88.5,0.0,88.5,130.0,0
87.5,0.0,87.5,150.0,0
85.5,0.0,85.5,140.0,0
94.0,0.0,94.0,150.0,0
91.0,0.0,91.0,150.0,0
85.5,0.0,85.5,150.0,0
94.0,0.0,94.0,130.0,0
96.5,0.0,96.5,140.0,0
106.0,0.0,106.0,130.0,0
93.5,0.0,93.5,140.0,0
85.0,0.0,85.0,120.0,0
91.0,0.0,91.0,100.0,0
101.0,0.0,101.0,150.0,0
104.0,0.0,104.0,150.0,0
102.0,0.0,102.0,120.0,0
91.5,0.0,91.5,130.0,0
95.0,0.0,95.0,86.0,0
99.0,0.0,99.0,110.0,0
98.0,0.0,98.0,110.0,0
104.0,0.0,104.0,97.0,0
99.0,0.0,99.0,140.0,0
99.5,0.0,99.5,140.0,0
94.0,0.0,94.0,120.0,0
103.5,0.0,103.5,130.0,0
100.5,0.0,100.5,130.0,0
101.5,0.0,101.5,160.0,0
99.0,0.0,99.0,220.0,0
104.0,0.0,104.0,130.0,0
109.0,0.0,109.0,120.0,0
101.0,0.0,101.0,130.0,0
101.0,0.0,101.0,110.0,0
94.0,0.0,94.0,110.0,0
93.0,0.0,93.0,95.0,0
92.5,0.0,92.5,150.0,0
92.5,0.0,92.5,110.0,0
92.0,0.0,92.0,110.0,0
100.0,0.0,100.0,110.0,0
99.5,0.0,99.5,100.0,0
90.0,0.0,90.0,82.0,0
89.5,0.0,89.5,93.0,0
100.5,0.0,100.5,100.0,0
107.5,0.0,107.5,100.0,0
101.5,0.0,101.5,100.0,0
97.5,0.0,97.5,110.0,0
99.0,0.0,99.0,99.0,0
100.5,0.0,100.5,86.0,0
108.0,0.0,108.0,120.0,0
92.5,0.0,92.5,94.0,0
96.0,0.0,96.0,94.0,0
105.5,0.0,105.5,96.0,0
100.0,0.0,100.0,130.0,0
95.5,0.0,95.5,130.0,0
98.0,0.0,98.0,120.0,0
97.0,0.0,97.0,130.0,0
110.0,0.0,110.0,120.0,0
113.0,0.0,113.0,150.0,0
93.5,0.0,93.5,110.0,0
97.0,0.0,97.0,97.0,0
109.5,0.0,109.5,98.0,0
95.0,0.0,95.0,120.0,0
99.5,0.0,99.5,130.0,0
100.5,0.0,100.5,120.0,0
109.0,0.0,109.0,110.0,0
99.0,0.0,99.0,90.0,0
105.0,0.0,105.0,120.0,0
99.5,0.0,99.5,120.0,0
98.0,0.0,98.0,100.0,0
102.5,0.0,102.5,110.0,0
107.0,0.0,107.0,110.0,0
