RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,510.0,0
59.0,0.0,59.0,780.0,0
81.5,0.0,81.5,760.0,0
98.0,0.0,98.0,1100.0,0
113.0,7.5,105.5,990.0,0
126.0,0.0,126.0,660.0,0
122.0,0.0,122.0,670.0,0
107.5,0.0,107.5,1000.0,0
77.0,0.0,77.0,1000.0,0
128.5,0.0,128.5,710.0,0
82.0,0.0,82.0,750.0,0
100.0,0.0,100.0,980.0,0
122.5,0.0,122.5,980.0,0
96.5,0.0,96.5,930.0,0
95.5,0.0,95.5,1000.0,0
117.0,1.0,116.0,1000.0,0
112.0,11.5,100.5,1000.0,0
116.5,0.0,116.5,950.0,0
123.0,0.0,123.0,960.0,0
111.0,0.0,111.0,980.0,0
127.5,0.0,127.5,1000.0,0
93.5,0.5,93.0,1100.0,0
111.5,34.0,77.5,1100.0,0
127.5,6.5,121.0,1100.0,0
141.5,6.5,135.0,1100.0,0
127.5,8.0,119.5,1100.0,0
96.5,0.5,96.0,1000.0,0
141.0,21.5,119.5,1000.0,0
140.0,15.5,124.5,1100.0,0
135.5,20.0,115.5,1100.0,0
96.5,25.0,71.5,1100.0,0
167.0,1.0,166.0,1000.0,0
125.0,0.5,124.5,1000.0,0
129.5,1.0,128.5,1000.0,0
134.0,1.5,132.5,1000.0,0
119.0,1.0,118.0,1000.0,0
111.0,0.0,111.0,980.0,0
139.5,7.0,132.5,1100.0,0
124.0,18.5,105.5,1100.0,0
172.0,2.5,169.5,1000.0,0
111.5,28.5,83.0,1200.0,0
115.5,47.5,68.0,1000.0,0
137.5,25.0,112.5,1000.0,0
130.5,63.0,67.5,1200.0,0
146.0,29.0,117.0,1000.0,0
142.0,5.0,137.0,1000.0,0
125.5,3.0,122.5,1000.0,0
130.5,3.5,127.0,1000.0,0
136.5,4.5,132.0,1000.0,0
129.5,0.0,129.5,1000.0,0
147.0,0.5,146.5,960.0,0
148.0,0.0,148.0,960.0,0
134.0,0.0,134.0,960.0,0
113.5,0.0,113.5,970.0,0
136.0,6.5,129.5,1100.0,0
146.5,8.5,138.0,1000.0,0
134.0,0.5,133.5,1000.0,0
