RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,510.0,0
31.0,0.0,31.0,680.0,0
50.5,0.0,50.5,1000.0,0
160.0,5.0,155.0,1100.0,0
159.5,18.5,141.0,860.0,0
161.5,25.0,136.5,1100.0,0
173.0,28.5,144.5,1000.0,0
166.5,3.5,163.0,1100.0,0
154.5,21.0,133.5,940.0,0
140.5,0.5,140.0,1000.0,0
176.0,2.5,173.5,1000.0,0
179.5,3.5,176.0,920.0,0
164.5,1.5,163.0,920.0,0
171.0,1.5,169.5,950.0,0
166.5,4.0,162.5,960.0,0
182.0,2.5,179.5,980.0,0
175.0,6.0,169.0,1000.0,0
157.5,15.0,142.5,1000.0,0
163.5,5.0,158.5,1200.0,0
175.0,19.5,155.5,1000.0,0
177.0,3.0,174.0,940.0,0
171.5,1.5,170.0,970.0,0
181.0,3.0,178.0,1000.0,0
181.0,19.0,162.0,1200.0,0
194.5,19.5,175.0,1100.0,0
181.5,8.5,173.0,1100.0,0
170.0,17.0,153.0,1200.0,0
181.5,26.0,155.5,1100.0,0
187.5,29.0,158.5,1300.0,0
198.0,33.5,164.5,1200.0,0
196.5,75.5,121.0,1300.0,0
175.5,74.5,101.0,1600.0,0
172.0,65.5,106.5,1600.0,0
239.0,49.5,189.5,1100.0,0
205.0,17.5,187.5,1200.0,0
207.0,26.0,181.0,1200.0,0
219.0,25.5,193.5,1200.0,0
203.5,31.5,172.0,1100.0,0
174.5,50.5,124.0,1500.0,0
173.0,94.5,78.5,1600.0,0
205.0,90.0,115.0,1400.0,0
196.0,51.5,144.5,1300.0,0
204.5,33.5,171.0,1200.0,0
176.0,42.0,134.0,1300.0,0
213.5,70.0,143.5,1300.0,0
227.0,52.0,175.0,1300.0,0
187.0,32.0,155.0,1500.0,0
209.5,85.0,124.5,1400.0,0
188.5,60.0,128.5,1400.0,0
205.0,60.5,144.5,1500.0,0
211.0,55.0,156.0,1500.0,0
200.5,36.5,164.0,1500.0,0
182.0,44.5,137.5,1300.0,0
191.0,57.5,133.5,1500.0,0
198.5,66.5,132.0,1500.0,0
196.5,91.5,105.0,1700.0,0
