RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,190.0,0
28.0,0.0,28.0,430.0,0
41.0,0.0,41.0,400.0,0
91.0,0.0,91.0,400.0,0
67.0,0.0,67.0,330.0,0
81.5,0.0,81.5,420.0,0
84.5,0.0,84.5,400.0,0
84.0,0.0,84.0,390.0,0
64.0,0.0,64.0,390.0,0
75.0,0.0,75.0,380.0,0
88.5,0.0,88.5,360.0,0
89.5,0.0,89.5,350.0,0
85.5,0.0,85.5,310.0,0
83.0,0.0,83.0,340.0,0
82.0,0.0,82.0,370.0,0
78.5,0.0,78.5,330.0,0
80.0,0.0,80.0,450.0,0
88.0,0.0,88.0,400.0,0
98.0,0.0,98.0,420.0,0
91.0,0.0,91.0,340.0,0
91.5,0.0,91.5,270.0,0
89.0,0.0,89.0,420.0,0
89.0,0.0,89.0,280.0,0
95.0,0.0,95.0,250.0,0
99.0,0.0,99.0,260.0,0
86.5,0.0,86.5,230.0,0
94.5,0.0,94.5,230.0,0
106.0,0.0,106.0,260.0,0
96.5,0.0,96.5,260.0,0
90.5,0.0,90.5,240.0,0
111.5,0.0,111.5,150.0,0
109.0,0.0,109.0,290.0,0
104.0,0.0,104.0,160.0,0
104.0,0.0,104.0,160.0,0
99.0,0.0,99.0,260.0,0
99.0,0.0,99.0,190.0,0
102.5,0.0,102.5,240.0,0
99.5,0.0,99.5,230.0,0
84.5,0.0,84.5,380.0,0
94.5,0.0,94.5,310.0,0
89.0,0.0,89.0,280.0,0
88.5,0.0,88.5,260.0,0
97.0,0.0,97.0,160.0,0
98.0,0.0,98.0,160.0,0
96.0,0.0,96.0,340.0,0
100.5,0.0,100.5,400.0,0
111.0,0.0,111.0,280.0,0
119.0,0.0,119.0,260.0,0
98.5,0.0,98.5,280.0,0
83.5,0.0,83.5,360.0,0
90.5,0.0,90.5,310.0,0
97.5,0.0,97.5,310.0,0
97.0,0.0,97.0,300.0,0
96.5,0.0,96.5,300.0,0
88.5,0.0,88.5,150.0,0
100.5,0.0,100.5,380.0,0
103.5,0.0,103.5,380.0,0
99.0,0.0,99.0,380.0,0
87.0,0.0,87.0,140.0,0
90.5,0.0,90.5,140.0,0
95.0,0.0,95.0,320.0,0
93.0,0.0,93.0,320.0,0
99.5,0.0,99.5,250.0,0
92.5,0.0,92.5,240.0,0
95.5,0.0,95.5,310.0,0
96.0,0.0,96.0,310.0,0
95.5,0.0,95.5,260.0,0
98.0,0.0,98.0,230.0,0
90.0,0.0,90.0,390.0,0
96.0,0.0,96.0,350.0,0
100.0,0.0,100.0,360.0,0
92.5,0.0,92.5,410.0,0
99.5,0.0,99.5,320.0,0
92.0,0.0,92.0,140.0,0
92.5,0.0,92.5,240.0,0
91.5,0.0,91.5,360.0,0
84.5,0.0,84.5,440.0,0
112.5,0.0,112.5,420.0,0
117.0,0.0,117.0,390.0,0
96.5,0.0,96.5,440.0,0
96.0,0.0,96.0,440.0,0
87.0,0.0,87.0,340.0,0
89.5,0.0,89.5,410.0,0
86.5,0.0,86.5,410.0,0
91.0,0.0,91.0,110.0,0
90.5,0.0,90.5,130.0,0
87.0,0.0,87.0,120.0,0
90.0,0.0,90.0,110.0,0
91.0,0.0,91.0,160.0,0
96.5,0.0,96.5,120.0,0
92.5,0.0,92.5,100.0,0
87.0,0.0,87.0,150.0,0
98.0,0.0,98.0,92.0,0
88.0,0.0,88.0,100.0,0
85.5,0.0,85.5,110.0,0
84.0,0.0,84.0,110.0,0
97.0,0.0,97.0,110.0,0
98.5,0.0,98.5,100.0,0
