timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T13:03:02Z,cartservice,1502695,0,0,0
2026-09-05T13:03:02Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:02Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:07Z,cartservice,1502695,0,0,0
2026-09-05T13:03:07Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:07Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:13Z,cartservice,1502695,0,0,0
2026-09-05T13:03:13Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:13Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:18Z,cartservice,1502695,0,0,0
2026-09-05T13:03:18Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:18Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:23Z,cartservice,1502695,0,0,0
2026-09-05T13:03:23Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:23Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:29Z,cartservice,1502695,0,0,0
2026-09-05T13:03:29Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:29Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:34Z,cartservice,1502695,0,0,0
2026-09-05T13:03:34Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:34Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:39Z,cartservice,1502695,0,0,0
2026-09-05T13:03:39Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:39Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:45Z,cartservice,1502695,0,0,0
2026-09-05T13:03:45Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:45Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:50Z,cartservice,1502695,0,0,0
2026-09-05T13:03:50Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:50Z,checkoutservice,40362,140,0,52
2026-09-05T13:03:55Z,cartservice,1502695,0,0,0
2026-09-05T13:03:55Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:03:55Z,checkoutservice,40362,140,0,52
2026-09-05T13:04:01Z,cartservice,1502695,0,0,0
2026-09-05T13:04:01Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:04:01Z,checkoutservice,40362,140,0,52
2026-09-05T13:04:06Z,cartservice,1502695,0,0,0
2026-09-05T13:04:06Z,productcatalogservice,6037825,0,0,0
2026-09-05T13:04:06Z,checkoutservice,40362,140,0,52
2026-09-05T13:04:11Z,cartservice,1502885,0,0,0
2026-09-05T13:04:11Z,productcatalogservice,6038251,0,0,0
2026-09-05T13:04:11Z,checkoutservice,40365,140,0,52
2026-09-05T13:04:17Z,cartservice,1504845,0,0,0
2026-09-05T13:04:17Z,productcatalogservice,6045658,0,0,0
2026-09-05T13:04:17Z,checkoutservice,40410,140,0,52
2026-09-05T13:04:22Z,cartservice,1507018,0,0,0
2026-09-05T13:04:22Z,productcatalogservice,6054954,0,0,0
2026-09-05T13:04:22Z,checkoutservice,40475,140,0,52
2026-09-05T13:04:27Z,cartservice,1509689,0,0,0
2026-09-05T13:04:27Z,productcatalogservice,6064577,0,0,0
2026-09-05T13:04:27Z,checkoutservice,40536,140,0,52
2026-09-05T13:04:33Z,cartservice,1512110,0,0,0
2026-09-05T13:04:33Z,productcatalogservice,6074407,0,0,0
2026-09-05T13:04:33Z,checkoutservice,40581,140,0,52
2026-09-05T13:04:38Z,cartservice,1514839,0,0,0
2026-09-05T13:04:38Z,productcatalogservice,6084945,0,0,0
2026-09-05T13:04:38Z,checkoutservice,40655,140,0,52
2026-09-05T13:04:44Z,cartservice,1517540,0,0,0
2026-09-05T13:04:44Z,productcatalogservice,6095667,0,0,0
2026-09-05T13:04:44Z,checkoutservice,40714,140,0,52
2026-09-05T13:04:49Z,cartservice,1520331,0,0,0
2026-09-05T13:04:49Z,productcatalogservice,6106705,0,0,0
2026-09-05T13:04:49Z,checkoutservice,40769,140,0,52
2026-09-05T13:04:54Z,cartservice,1523219,0,0,0
2026-09-05T13:04:54Z,productcatalogservice,6118143,0,0,0
2026-09-05T13:04:54Z,checkoutservice,40822,140,0,52
2026-09-05T13:05:00Z,cartservice,1526085,0,0,0
2026-09-05T13:05:00Z,productcatalogservice,6129677,0,0,0
2026-09-05T13:05:00Z,checkoutservice,40874,140,0,52
2026-09-05T13:05:05Z,cartservice,1528795,0,0,0
2026-09-05T13:05:05Z,productcatalogservice,6140340,0,0,0
2026-09-05T13:05:05Z,checkoutservice,40928,140,0,52
2026-09-05T13:05:11Z,cartservice,1531559,0,0,0
2026-09-05T13:05:11Z,productcatalogservice,6151393,0,0,0
2026-09-05T13:05:11Z,checkoutservice,40977,140,0,52
2026-09-05T13:05:16Z,cartservice,1534349,0,0,0
2026-09-05T13:05:16Z,productcatalogservice,6162393,0,0,0
2026-09-05T13:05:16Z,checkoutservice,41029,140,0,52
2026-09-05T13:05:21Z,cartservice,1537189,0,0,0
2026-09-05T13:05:21Z,productcatalogservice,6173699,0,0,0
2026-09-05T13:05:21Z,checkoutservice,41086,140,0,52
2026-09-05T13:05:27Z,cartservice,1539884,0,0,0
2026-09-05T13:05:27Z,productcatalogservice,6184641,0,0,0
2026-09-05T13:05:27Z,checkoutservice,41139,140,0,52
2026-09-05T13:05:32Z,cartservice,1542700,0,0,0
2026-09-05T13:05:32Z,productcatalogservice,6196156,0,0,0
2026-09-05T13:05:32Z,checkoutservice,41193,140,0,52
2026-09-05T13:05:38Z,cartservice,1545653,0,0,0
2026-09-05T13:05:38Z,productcatalogservice,6207664,0,0,0
2026-09-05T13:05:38Z,checkoutservice,41242,140,0,52
2026-09-05T13:05:43Z,cartservice,1548511,0,0,0
2026-09-05T13:05:43Z,productcatalogservice,6219415,0,0,0
2026-09-05T13:05:43Z,checkoutservice,41305,140,0,52
2026-09-05T13:05:49Z,cartservice,1551352,0,0,0
2026-09-05T13:05:49Z,productcatalogservice,6230909,0,0,0
2026-09-05T13:05:49Z,checkoutservice,41355,140,0,52
2026-09-05T13:05:54Z,cartservice,1554234,0,0,0
2026-09-05T13:05:54Z,productcatalogservice,6242003,0,0,0
2026-09-05T13:05:54Z,checkoutservice,41403,140,0,52
2026-09-05T13:05:59Z,cartservice,1557023,0,0,0
2026-09-05T13:05:59Z,productcatalogservice,6253143,0,0,0
2026-09-05T13:05:59Z,checkoutservice,41455,140,0,52
2026-09-05T13:06:05Z,cartservice,1559846,0,0,0
2026-09-05T13:06:05Z,productcatalogservice,6264371,0,0,0
2026-09-05T13:06:05Z,checkoutservice,41513,140,0,52
2026-09-05T13:06:10Z,cartservice,1562588,0,0,0
2026-09-05T13:06:10Z,productcatalogservice,6275560,0,0,0
2026-09-05T13:06:10Z,checkoutservice,41565,140,0,52
2026-09-05T13:06:16Z,cartservice,1565456,0,0,0
2026-09-05T13:06:16Z,productcatalogservice,6286904,0,0,0
2026-09-05T13:06:16Z,checkoutservice,41622,140,0,52
2026-09-05T13:06:21Z,cartservice,1568326,0,0,0
2026-09-05T13:06:21Z,productcatalogservice,6298487,0,0,0
2026-09-05T13:06:21Z,checkoutservice,41681,140,0,52
