RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,530.0,0
52.0,0.0,52.0,670.0,0
65.0,0.0,65.0,890.0,0
120.5,37.0,83.5,1200.0,0
169.0,38.0,131.0,1000.0,0
141.5,9.0,132.5,1000.0,0
178.5,6.0,172.5,940.0,0
173.0,1.0,172.0,940.0,0
162.0,0.0,162.0,960.0,0
147.5,0.5,147.0,960.0,0
161.5,0.5,161.0,960.0,0
149.0,0.0,149.0,990.0,0
171.0,10.0,161.0,1100.0,0
168.5,17.5,151.0,1000.0,0
174.5,23.0,151.5,1100.0,0
172.5,30.0,142.5,1200.0,0
183.5,40.5,143.0,1200.0,0
167.0,40.0,127.0,1100.0,0
181.0,37.0,144.0,1100.0,0
172.0,31.0,141.0,1100.0,0
171.0,5.5,165.5,1100.0,0
171.0,16.5,154.5,1300.0,0
176.5,41.0,135.5,1200.0,0
164.0,45.0,119.0,1300.0,0
196.0,65.0,131.0,1400.0,0
181.0,55.5,125.5,1400.0,0
182.0,63.5,118.5,1600.0,0
188.0,69.5,118.5,1600.0,0
208.5,73.5,135.0,1600.0,0
200.0,52.5,147.5,1100.0,0
180.5,33.5,147.0,1700.0,0
181.0,116.5,64.5,2000.0,0
214.0,141.0,73.0,1500.0,0
193.5,105.5,88.0,1600.0,0
203.0,98.0,105.0,1600.0,0
202.5,118.5,84.0,1500.0,0
194.0,163.5,30.5,1700.0,0
187.5,149.0,38.5,1700.0,0
193.5,97.5,96.0,1400.0,0
187.0,50.0,137.0,1400.0,0
181.0,102.5,78.5,1800.0,0
176.5,152.5,24.0,2000.0,0
217.0,166.5,50.5,2000.0,0
208.5,111.5,97.0,1700.0,0
192.5,161.0,31.5,1900.0,0
206.5,166.5,40.0,1900.0,0
179.5,126.0,53.5,1800.0,0
228.0,187.0,41.0,1600.0,0
207.0,115.5,91.5,1500.0,0
172.5,105.5,67.0,1800.0,0
212.0,154.0,58.0,1800.0,0
208.5,97.5,111.0,1500.0,0
219.0,99.0,120.0,1500.0,0
212.5,86.0,126.5,1400.0,0
182.5,123.5,59.0,1500.0,0
193.0,141.5,51.5,1700.0,0
194.0,128.0,66.0,1600.0,0
192.5,141.0,51.5,1600.0,0
198.0,146.5,51.5,1600.0,0
205.0,94.0,111.0,1400.0,0
192.5,72.0,120.5,1500.0,0
212.5,108.0,104.5,1500.0,0
176.0,108.5,67.5,1700.0,0
178.5,154.5,24.0,1700.0,0
208.0,195.5,12.5,1600.0,0
192.0,177.0,15.0,1600.0,0
198.0,104.5,93.5,1700.0,0
191.0,126.5,64.5,1800.0,0
211.0,120.5,90.5,1800.0,0
212.0,110.0,102.0,1600.0,0
193.5,113.5,80.0,1800.0,0
181.5,132.5,49.0,1800.0,0
192.0,148.5,43.5,1500.0,0
190.5,137.5,53.0,1500.0,0
186.0,125.0,61.0,1600.0,0
191.0,135.0,56.0,1600.0,0
186.5,148.5,38.0,1600.0,0
203.0,126.0,77.0,1600.0,0
195.0,122.0,73.0,1600.0,0
187.5,145.5,42.0,1700.0,0
186.5,155.5,31.0,1800.0,0
206.5,146.0,60.5,1600.0,0
182.5,132.0,50.5,1600.0,0
183.5,161.0,22.5,1500.0,0
187.0,164.5,22.5,1500.0,0
200.5,191.5,9.0,1500.0,0
218.0,167.5,50.5,1300.0,0
209.0,139.5,69.5,1500.0,0
194.0,164.0,30.0,1700.0,0
192.0,183.5,8.5,1600.0,0
198.0,163.5,34.5,1500.0,0
211.5,128.5,83.0,1300.0,0
184.0,125.5,58.5,1400.0,0
183.5,171.0,12.5,1600.0,0
191.0,189.5,1.5,1600.0,0
201.0,200.0,1.0,1600.0,0
201.0,181.0,20.0,1600.0,0
206.0,177.5,28.5,1500.0,0
206.0,147.0,59.0,1400.0,0
197.0,78.5,118.5,1300.0,0
176.0,96.5,79.5,1600.0,0
204.0,152.0,52.0,1600.0,0
224.0,115.5,108.5,1300.0,0
165.0,148.0,17.0,1600.0,0
190.5,187.0,3.5,1600.0,0
216.0,152.0,64.0,1600.0,0
198.5,88.0,110.5,1400.0,0
193.5,110.5,83.0,1400.0,0
219.0,140.5,78.5,1400.0,0
185.5,127.5,58.0,1400.0,0
199.5,162.5,37.0,1400.0,0
200.0,147.0,53.0,1500.0,0
211.5,121.0,90.5,1300.0,0
179.5,117.5,62.0,1600.0,0
191.5,173.0,18.5,1700.0,0
221.0,152.0,69.0,1300.0,0
184.5,97.0,87.5,1400.0,0
187.0,164.0,23.0,1400.0,0
198.0,130.0,68.0,1500.0,0
213.5,121.0,92.5,1400.0,0
178.0,125.0,53.0,1400.0,0
176.0,150.5,25.5,1500.0,0
206.0,166.0,40.0,1500.0,0
207.0,158.0,49.0,1400.0,0
210.5,158.0,52.5,1400.0,0
193.0,159.5,33.5,1400.0,0
198.0,179.0,19.0,1500.0,0
185.0,156.0,29.0,1500.0,0
189.0,160.0,29.0,1500.0,0
196.0,184.0,12.0,1600.0,0
176.5,159.5,17.0,1700.0,0
213.0,209.0,4.0,1700.0,0
196.5,162.5,34.0,1400.0,0
209.0,139.0,70.0,1300.0,0
186.0,143.0,43.0,1500.0,0
191.0,189.0,2.0,1700.0,0
201.5,191.5,10.0,1500.0,0
191.0,175.5,15.5,1500.0,0
195.0,184.0,11.0,1600.0,0
183.5,183.5,0.0,1600.0,0
197.0,186.0,11.0,1500.0,0
191.0,178.0,13.0,1800.0,0
187.0,184.5,2.5,1800.0,0
197.5,195.0,2.5,1700.0,0
182.0,147.5,34.5,1600.0,0
209.5,157.0,52.5,1600.0,0
191.0,138.5,52.5,1500.0,0
186.5,144.5,42.0,1500.0,0
186.0,149.0,37.0,1500.0,0
186.5,172.5,14.0,1500.0,0
183.0,168.0,15.0,1600.0,0
189.0,180.0,9.0,1700.0,0
191.5,185.0,6.5,1700.0,0
210.0,203.5,6.5,1400.0,0
189.5,182.5,7.0,1500.0,0
183.0,167.0,16.0,1400.0,0
183.0,168.0,15.0,1600.0,0
188.0,186.0,2.0,1600.0,0
191.5,189.5,2.0,1600.0,0
184.0,182.0,2.0,1600.0,0
207.5,207.5,0.0,1600.0,0
191.0,164.0,27.0,1500.0,0
178.5,168.5,10.0,1400.0,0
177.0,163.5,13.5,1500.0,0
177.0,175.5,1.5,1600.0,0
179.5,179.5,0.0,1700.0,0
169.5,169.5,0.0,1800.0,0
185.0,185.0,0.0,1800.0,0
187.5,187.0,0.5,1700.0,0
187.5,187.0,0.5,1600.0,0
194.0,191.0,3.0,1600.0,0
183.5,180.0,3.5,1700.0,0
183.0,182.5,0.5,1700.0,0
203.0,202.5,0.5,1500.0,0
192.5,191.0,1.5,1500.0,0
204.0,178.5,25.5,1400.0,0
203.0,165.0,38.0,1400.0,0
204.5,151.5,53.0,1300.0,0
199.5,104.5,95.0,1300.0,0
198.5,130.0,68.5,1500.0,0
200.0,164.0,36.0,1500.0,0
183.0,129.5,53.5,1500.0,0
174.0,170.0,4.0,1600.0,0
201.0,186.0,15.0,1600.0,0
215.5,165.0,50.5,1400.0,0
205.5,99.5,106.0,1400.0,0
189.5,60.5,129.0,1400.0,0
168.5,96.5,72.0,1800.0,0
193.0,146.5,46.5,1800.0,0
191.5,36.0,155.5,1200.0,0
180.5,87.5,93.0,1500.0,0
180.0,152.0,28.0,1500.0,0
200.5,182.5,18.0,1700.0,0
210.0,152.5,57.5,1400.0,0
183.5,137.0,46.5,1600.0,0
196.0,191.5,4.5,1600.0,0
199.5,184.5,15.0,1500.0,0
190.0,144.0,46.0,1500.0,0
195.0,139.5,55.5,1500.0,0
194.5,156.0,38.5,1600.0,0
202.5,171.5,31.0,1600.0,0
202.5,148.5,54.0,1400.0,0
184.5,157.0,27.5,1400.0,0
193.5,190.5,3.0,1600.0,0
177.5,140.5,37.0,1600.0,0
182.0,171.0,11.0,1600.0,0
212.0,193.5,18.5,1700.0,0
213.0,156.0,57.0,1400.0,0
193.5,114.5,79.0,1400.0,0
166.0,138.0,28.0,1600.0,0
174.0,169.0,5.0,1700.0,0
193.5,169.5,24.0,1700.0,0
184.5,159.5,25.0,1500.0,0
177.5,171.5,6.0,1500.0,0
181.0,172.5,8.5,1400.0,0
169.5,161.5,8.0,1600.0,0
185.5,185.5,0.0,1600.0,0
204.0,203.0,1.0,1600.0,0
202.0,198.5,3.5,1600.0,0
196.0,196.0,0.0,1500.0,0
194.0,185.5,8.5,1400.0,0
185.5,173.5,12.0,1600.0,0
193.5,182.0,11.5,1600.0,0
200.5,173.0,27.5,1500.0,0
197.5,155.0,42.5,1500.0,0
208.0,131.0,77.0,1500.0,0
194.5,121.5,73.0,1500.0,0
172.0,171.0,1.0,1600.0,0
206.0,189.0,17.0,1600.0,0
205.5,161.0,44.5,1500.0,0
173.5,140.5,33.0,1700.0,0
206.5,153.0,53.5,1700.0,0
225.0,102.5,122.5,1300.0,0
177.0,93.0,84.0,1600.0,0
214.0,137.5,76.5,1200.0,0
186.5,132.0,54.5,1500.0,0
191.5,189.0,2.5,1500.0,0
203.0,192.5,10.5,1600.0,0
208.5,157.5,51.0,1500.0,0
189.5,105.5,84.0,1600.0,0
194.0,131.0,63.0,1600.0,0
186.5,154.0,32.5,1600.0,0
200.0,145.0,55.0,1500.0,0
199.5,116.5,83.0,1400.0,0
206.5,131.5,75.0,1500.0,0
206.0,105.5,100.5,1300.0,0
207.0,81.0,126.0,1300.0,0
199.0,62.5,136.5,1300.0,0
191.5,91.0,100.5,1300.0,0
186.0,136.5,49.5,1500.0,0
198.0,152.5,45.5,1400.0,0
200.5,119.0,81.5,1500.0,0
185.5,136.5,49.0,1500.0,0
201.5,171.5,30.0,1400.0,0
205.5,180.5,25.0,1300.0,0
207.0,189.0,18.0,1400.0,0
194.0,160.0,34.0,1400.0,0
194.5,154.0,40.5,1500.0,0
188.0,184.0,4.0,1600.0,0
196.0,188.5,7.5,1500.0,0
184.5,177.0,7.5,1700.0,0
186.0,158.0,28.0,1700.0,0
211.0,152.5,58.5,1600.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,290.0,0
39.0,0.0,39.0,260.0,0
37.0,0.0,37.0,270.0,0
45.0,0.0,45.0,240.0,0
37.5,0.0,37.5,270.0,0
36.5,0.0,36.5,250.0,0
34.5,0.0,34.5,240.0,0
33.5,0.0,33.5,270.0,0
32.5,0.0,32.5,270.0,0
30.0,0.0,30.0,220.0,0
40.0,0.0,40.0,280.0,0
43.5,0.0,43.5,280.0,0
39.0,0.0,39.0,340.0,0
35.5,0.0,35.5,290.0,0
40.0,0.0,40.0,290.0,0
32.0,0.0,32.0,280.0,0
40.0,0.0,40.0,300.0,0
40.5,0.0,40.5,300.0,0
38.5,0.0,38.5,240.0,0
37.0,0.0,37.0,270.0,0
40.0,0.0,40.0,260.0,0
37.0,0.0,37.0,250.0,0
37.0,0.0,37.0,290.0,0
41.0,0.0,41.0,280.0,0
40.0,0.0,40.0,270.0,0
39.5,0.0,39.5,280.0,0
37.0,0.0,37.0,270.0,0
37.0,0.0,37.0,270.0,0
37.5,0.0,37.5,300.0,0
36.0,0.0,36.0,280.0,0
35.0,0.0,35.0,260.0,0
42.5,0.0,42.5,310.0,0
41.5,0.0,41.5,250.0,0
37.0,0.0,37.0,270.0,0
33.0,0.0,33.0,270.0,0
32.5,0.0,32.5,270.0,0
35.5,0.0,35.5,270.0,0
43.0,0.0,43.0,200.0,0
33.5,0.0,33.5,270.0,0
36.5,0.0,36.5,270.0,0
37.0,0.0,37.0,280.0,0
39.0,0.0,39.0,270.0,0
34.0,0.0,34.0,230.0,0
32.0,0.0,32.0,280.0,0
46.0,0.0,46.0,260.0,0
31.0,0.0,31.0,320.0,0
33.0,0.0,33.0,260.0,0
39.5,0.0,39.5,290.0,0
38.5,0.0,38.5,280.0,0
36.5,0.0,36.5,280.0,0
30.0,0.0,30.0,290.0,0
43.0,0.0,43.0,260.0,0
36.0,0.0,36.0,270.0,0
36.0,0.0,36.0,290.0,0
38.5,0.0,38.5,290.0,0
39.5,0.0,39.5,260.0,0
37.0,0.0,37.0,300.0,0
47.0,0.0,47.0,310.0,0
40.0,0.0,40.0,280.0,0
42.0,0.0,42.0,280.0,0
40.5,0.0,40.5,280.0,0
36.0,0.0,36.0,240.0,0
39.0,0.0,39.0,240.0,0
30.0,0.0,30.0,250.0,0
40.5,0.0,40.5,320.0,0
38.0,0.0,38.0,280.0,0
39.5,0.0,39.5,290.0,0
41.5,0.0,41.5,290.0,0
38.0,0.0,38.0,260.0,0
29.0,0.0,29.0,240.0,0
34.0,0.0,34.0,300.0,0
38.5,0.0,38.5,260.0,0
36.5,0.0,36.5,270.0,0
37.5,0.0,37.5,280.0,0
40.0,0.0,40.0,280.0,0
38.5,0.0,38.5,260.0,0
36.0,0.0,36.0,300.0,0
40.0,0.0,40.0,290.0,0
38.0,0.0,38.0,270.0,0
38.0,0.0,38.0,250.0,0
37.5,0.0,37.5,250.0,0
36.5,0.0,36.5,300.0,0
38.0,0.0,38.0,300.0,0
38.0,0.0,38.0,280.0,0
41.0,0.0,41.0,290.0,0
38.5,0.0,38.5,280.0,0
38.0,0.0,38.0,270.0,0
37.0,0.0,37.0,270.0,0
39.5,0.0,39.5,280.0,0
40.0,0.0,40.0,260.0,0
35.0,0.0,35.0,240.0,0
35.5,0.0,35.5,270.0,0
36.5,0.0,36.5,280.0,0
34.5,0.0,34.5,330.0,0
37.5,0.0,37.5,330.0,0
38.0,0.0,38.0,290.0,0
38.0,0.0,38.0,270.0,0
40.0,0.0,40.0,250.0,0
35.0,0.0,35.0,290.0,0
33.5,0.0,33.5,250.0,0
34.0,0.0,34.0,280.0,0
37.0,0.0,37.0,280.0,0
32.0,0.0,32.0,260.0,0
34.0,0.0,34.0,280.0,0
38.0,0.0,38.0,280.0,0
38.5,0.0,38.5,270.0,0
34.5,0.0,34.5,300.0,0
39.5,0.0,39.5,310.0,0
43.0,0.0,43.0,310.0,0
36.5,0.0,36.5,270.0,0
43.0,0.0,43.0,310.0,0
33.0,0.0,33.0,270.0,0
36.0,0.0,36.0,290.0,0
36.5,0.0,36.5,290.0,0
39.0,0.0,39.0,320.0,0
40.0,0.0,40.0,320.0,0
43.0,0.0,43.0,290.0,0
33.0,0.0,33.0,280.0,0
37.0,0.0,37.0,310.0,0
41.5,0.0,41.5,290.0,0
