RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,210.0,0
24.0,0.0,24.0,380.0,0
60.0,0.0,60.0,450.0,0
62.0,0.0,62.0,450.0,0
77.0,0.0,77.0,370.0,0
76.5,0.0,76.5,450.0,0
82.0,0.0,82.0,330.0,0
74.0,0.0,74.0,430.0,0
71.0,0.0,71.0,250.0,0
68.5,0.0,68.5,340.0,0
80.0,0.0,80.0,330.0,0
77.5,0.0,77.5,320.0,0
82.0,0.0,82.0,280.0,0
73.0,0.0,73.0,400.0,0
79.5,0.0,79.5,340.0,0
74.0,0.0,74.0,320.0,0
85.0,0.0,85.0,320.0,0
68.5,0.0,68.5,410.0,0
87.0,0.0,87.0,320.0,0
102.5,0.0,102.5,270.0,0
85.5,0.0,85.5,390.0,0
85.0,0.0,85.0,380.0,0
94.5,0.0,94.5,370.0,0
95.5,0.0,95.5,280.0,0
78.5,0.0,78.5,330.0,0
85.0,0.0,85.0,230.0,0
91.5,0.0,91.5,270.0,0
99.5,0.0,99.5,280.0,0
98.5,0.0,98.5,280.0,0
88.5,0.0,88.5,350.0,0
84.5,0.0,84.5,250.0,0
95.0,0.0,95.0,220.0,0
94.0,0.0,94.0,310.0,0
93.5,0.0,93.5,300.0,0
89.5,0.0,89.5,210.0,0
94.0,0.0,94.0,270.0,0
85.5,0.0,85.5,290.0,0
96.0,0.0,96.0,340.0,0
94.0,0.0,94.0,330.0,0
103.0,0.0,103.0,300.0,0
87.0,0.0,87.0,340.0,0
98.0,0.0,98.0,350.0,0
105.0,0.0,105.0,420.0,0
89.0,0.0,89.0,420.0,0
95.5,0.0,95.5,370.0,0
116.5,0.0,116.5,410.0,0
91.0,0.0,91.0,420.0,0
72.0,0.0,72.0,440.0,0
105.5,0.0,105.5,320.0,0
100.0,0.0,100.0,470.0,0
98.0,0.0,98.0,310.0,0
88.0,0.0,88.0,340.0,0
87.5,0.0,87.5,330.0,0
85.5,0.0,85.5,300.0,0
95.0,0.0,95.0,460.0,0
100.0,0.0,100.0,420.0,0
93.0,0.0,93.0,320.0,0
105.5,0.0,105.5,320.0,0
101.0,0.0,101.0,250.0,0
91.0,0.0,91.0,290.0,0
90.5,0.0,90.5,320.0,0
89.0,0.0,89.0,320.0,0
67.0,0.0,67.0,340.0,0
96.5,0.0,96.5,300.0,0
98.0,0.0,98.0,330.0,0
94.0,0.0,94.0,310.0,0
92.0,0.0,92.0,340.0,0
83.5,0.0,83.5,290.0,0
86.5,0.0,86.5,310.0,0
91.5,0.0,91.5,390.0,0
99.5,0.0,99.5,390.0,0
81.5,0.0,81.5,370.0,0
84.5,0.0,84.5,280.0,0
87.0,0.0,87.0,260.0,0
96.5,0.0,96.5,300.0,0
103.0,0.0,103.0,430.0,0
100.5,0.0,100.5,350.0,0
109.0,0.0,109.0,290.0,0
108.0,0.0,108.0,370.0,0
101.0,0.0,101.0,380.0,0
89.5,0.0,89.5,340.0,0
98.5,0.0,98.5,410.0,0
92.5,0.0,92.5,380.0,0
87.5,0.0,87.5,340.0,0
100.5,0.0,100.5,230.0,0
109.5,0.0,109.5,190.0,0
96.0,0.0,96.0,180.0,0
95.5,0.0,95.5,180.0,0
104.5,0.0,104.5,210.0,0
109.0,0.0,109.0,240.0,0
91.5,0.0,91.5,210.0,0
88.0,0.0,88.0,210.0,0
91.0,0.0,91.0,230.0,0
96.5,0.0,96.5,180.0,0
88.5,0.0,88.5,180.0,0
82.0,0.0,82.0,210.0,0
99.0,0.0,99.0,180.0,0
89.5,0.0,89.5,190.0,0
91.5,0.0,91.5,190.0,0
92.5,0.0,92.5,210.0,0
97.5,0.0,97.5,210.0,0
104.5,0.0,104.5,180.0,0
109.0,0.0,109.0,180.0,0
94.0,0.0,94.0,220.0,0
73.0,0.0,73.0,190.0,0
91.5,0.0,91.5,220.0,0
111.5,0.0,111.5,180.0,0
102.0,0.0,102.0,200.0,0
96.5,0.0,96.5,200.0,0
89.5,0.0,89.5,220.0,0
99.0,0.0,99.0,220.0,0
98.5,0.0,98.5,220.0,0
92.5,0.0,92.5,200.0,0
94.5,0.0,94.5,190.0,0
93.5,0.0,93.5,220.0,0
92.0,0.0,92.0,210.0,0
92.0,0.0,92.0,220.0,0
104.0,0.0,104.0,160.0,0
82.0,0.0,82.0,130.0,0
77.0,0.0,77.0,190.0,0
85.5,0.0,85.5,210.0,0
97.0,0.0,97.0,190.0,0
100.0,0.0,100.0,170.0,0
86.0,0.0,86.0,170.0,0
90.0,0.0,90.0,210.0,0
91.0,0.0,91.0,190.0,0
92.0,0.0,92.0,190.0,0
93.0,0.0,93.0,180.0,0
86.0,0.0,86.0,200.0,0
86.0,0.0,86.0,200.0,0
80.0,0.0,80.0,220.0,0
76.5,0.0,76.5,260.0,0
80.0,0.0,80.0,260.0,0
86.5,0.0,86.5,230.0,0
80.5,0.0,80.5,180.0,0
90.5,0.0,90.5,170.0,0
104.5,0.0,104.5,170.0,0
95.0,0.0,95.0,180.0,0
86.0,0.0,86.0,220.0,0
97.0,0.0,97.0,220.0,0
89.5,0.0,89.5,160.0,0
83.0,0.0,83.0,210.0,0
87.5,0.0,87.5,190.0,0
90.0,0.0,90.0,180.0,0
98.5,0.0,98.5,190.0,0
95.5,0.0,95.5,190.0,0
90.0,0.0,90.0,190.0,0
82.5,0.0,82.5,190.0,0
89.5,0.0,89.5,160.0,0
83.0,0.0,83.0,190.0,0
88.5,0.0,88.5,200.0,0
101.0,0.0,101.0,220.0,0
97.0,0.0,97.0,160.0,0
83.0,0.0,83.0,220.0,0
79.0,0.0,79.0,230.0,0
93.5,0.0,93.5,160.0,0
89.5,0.0,89.5,150.0,0
87.5,0.0,87.5,190.0,0
99.0,0.0,99.0,170.0,0
88.5,0.0,88.5,220.0,0
83.5,0.0,83.5,320.0,0
76.5,0.0,76.5,320.0,0
72.5,0.0,72.5,200.0,0
85.5,0.0,85.5,190.0,0
86.5,0.0,86.5,190.0,0
79.5,0.0,79.5,170.0,0
81.0,0.0,81.0,180.0,0
87.0,0.0,87.0,190.0,0
84.0,0.0,84.0,180.0,0
78.0,0.0,78.0,210.0,0
83.5,0.0,83.5,200.0,0
102.5,0.0,102.5,220.0,0
97.5,0.0,97.5,220.0,0
97.0,0.0,97.0,220.0,0
100.0,0.0,100.0,170.0,0
100.5,0.0,100.5,210.0,0
99.0,0.0,99.0,270.0,0
87.5,0.0,87.5,270.0,0
92.0,0.0,92.0,250.0,0
97.0,0.0,97.0,200.0,0
95.5,0.0,95.5,260.0,0
93.0,0.0,93.0,240.0,0
104.5,0.0,104.5,230.0,0
93.5,0.0,93.5,260.0,0
88.0,0.0,88.0,230.0,0
86.0,0.0,86.0,190.0,0
69.5,0.0,69.5,240.0,0
86.0,0.0,86.0,250.0,0
89.0,0.0,89.0,190.0,0
87.0,0.0,87.0,170.0,0
88.0,0.0,88.0,190.0,0
94.5,0.0,94.5,190.0,0
110.0,0.0,110.0,190.0,0
89.0,0.0,89.0,170.0,0
106.0,0.0,106.0,220.0,0
96.0,0.0,96.0,240.0,0
94.0,0.0,94.0,250.0,0
95.0,0.0,95.0,170.0,0
93.0,0.0,93.0,210.0,0
87.0,0.0,87.0,210.0,0
80.0,0.0,80.0,170.0,0
82.0,0.0,82.0,260.0,0
90.0,0.0,90.0,200.0,0
94.0,0.0,94.0,190.0,0
95.0,0.0,95.0,200.0,0
93.0,0.0,93.0,180.0,0
90.5,0.0,90.5,210.0,0
96.5,0.0,96.5,210.0,0
95.0,0.0,95.0,190.0,0
81.5,0.0,81.5,310.0,0
90.0,0.0,90.0,160.0,0
87.5,0.0,87.5,250.0,0
89.0,0.0,89.0,220.0,0
97.0,0.0,97.0,190.0,0
94.0,0.0,94.0,200.0,0
91.5,0.0,91.5,200.0,0
84.5,0.0,84.5,230.0,0
91.0,0.0,91.0,210.0,0
93.5,0.0,93.5,190.0,0
92.5,0.0,92.5,200.0,0
97.0,0.0,97.0,200.0,0
95.5,0.0,95.5,200.0,0
93.0,0.0,93.0,190.0,0
86.5,0.0,86.5,170.0,0
100.5,0.0,100.5,180.0,0
95.5,0.0,95.5,150.0,0
90.0,0.0,90.0,170.0,0
87.0,0.0,87.0,220.0,0
96.0,0.0,96.0,200.0,0
91.0,0.0,91.0,200.0,0
89.5,0.0,89.5,190.0,0
89.5,0.0,89.5,180.0,0
95.5,0.0,95.5,190.0,0
100.0,0.0,100.0,160.0,0
87.0,0.0,87.0,210.0,0
87.0,0.0,87.0,200.0,0
95.0,0.0,95.0,200.0,0
93.0,0.0,93.0,260.0,0
96.5,0.0,96.5,210.0,0
95.5,0.0,95.5,210.0,0
89.5,0.0,89.5,200.0,0
92.0,0.0,92.0,180.0,0
91.0,0.0,91.0,190.0,0
87.5,0.0,87.5,230.0,0
94.5,0.0,94.5,240.0,0
91.0,0.0,91.0,220.0,0
97.0,0.0,97.0,180.0,0
102.5,0.0,102.5,160.0,0
95.5,0.0,95.5,180.0,0
87.5,0.0,87.5,170.0,0
94.5,0.0,94.5,180.0,0
100.5,0.0,100.5,180.0,0
106.5,0.0,106.5,190.0,0
110.0,0.0,110.0,190.0,0
94.0,0.0,94.0,170.0,0
85.0,0.0,85.0,170.0,0
89.5,0.0,89.5,180.0,0
102.5,0.0,102.5,170.0,0
99.5,0.0,99.5,180.0,0
81.0,0.0,81.0,200.0,0
96.0,0.0,96.0,180.0,0
95.5,0.0,95.5,190.0,0
86.0,0.0,86.0,210.0,0
84.5,0.0,84.5,220.0,0
94.5,0.0,94.5,210.0,0
99.0,0.0,99.0,230.0,0
82.5,0.0,82.5,230.0,0
0.0,0.0,0.0,110.0,0
25.0,0.0,25.0,94.0,0
17.0,0.0,17.0,77.0,0
21.0,0.0,21.0,80.0,0
18.0,0.0,18.0,86.0,0
20.5,0.0,20.5,95.0,0
19.0,0.0,19.0,97.0,0
18.5,0.0,18.5,100.0,0
18.0,0.0,18.0,97.0,0
18.0,0.0,18.0,89.0,0
23.0,0.0,23.0,96.0,0
12.0,0.0,12.0,86.0,0
19.0,0.0,19.0,130.0,0
16.5,0.0,16.5,94.0,0
22.5,0.0,22.5,91.0,0
22.5,0.0,22.5,94.0,0
23.0,0.0,23.0,96.0,0
20.0,0.0,20.0,87.0,0
19.5,0.0,19.5,99.0,0
21.0,0.0,21.0,99.0,0
18.5,0.0,18.5,95.0,0
14.0,0.0,14.0,99.0,0
14.5,0.0,14.5,99.0,0
16.0,0.0,16.0,81.0,0
20.0,0.0,20.0,96.0,0
17.0,0.0,17.0,70.0,0
20.0,0.0,20.0,94.0,0
20.0,0.0,20.0,94.0,0
22.5,0.0,22.5,98.0,0
21.0,0.0,21.0,110.0,0
6.0,0.0,6.0,99.0,0
11.0,0.0,11.0,100.0,0
18.0,0.0,18.0,97.0,0
18.0,0.0,18.0,110.0,0
18.0,0.0,18.0,110.0,0
18.0,0.0,18.0,97.0,0
20.5,0.0,20.5,97.0,0
14.0,0.0,14.0,85.0,0
16.0,0.0,16.0,86.0,0
18.0,0.0,18.0,92.0,0
21.5,0.0,21.5,110.0,0
22.0,0.0,22.0,110.0,0
17.5,0.0,17.5,100.0,0
17.5,0.0,17.5,110.0,0
13.0,0.0,13.0,130.0,0
