RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,560.0,0
82.5,0.0,82.5,1100.0,0
101.5,6.0,95.5,1100.0,0
115.0,6.0,109.0,570.0,0
103.0,0.0,103.0,940.0,0
86.0,0.0,86.0,1100.0,0
109.0,2.5,106.5,1100.0,0
108.0,14.5,93.5,1100.0,0
102.5,1.5,101.0,1000.0,0
103.5,1.5,102.0,1000.0,0
122.0,3.5,118.5,1000.0,0
140.5,3.5,137.0,990.0,0
93.0,0.0,93.0,1100.0,0
113.5,0.5,113.0,1100.0,0
107.5,1.0,106.5,1100.0,0
100.5,16.5,84.0,1200.0,0
109.0,30.5,78.5,1200.0,0
135.5,16.0,119.5,1000.0,0
130.0,1.5,128.5,970.0,0
100.5,1.0,99.5,1000.0,0
111.0,1.5,109.5,1000.0,0
133.5,6.5,127.0,1200.0,0
142.0,5.5,136.5,1100.0,0
122.5,14.5,108.0,1100.0,0
130.5,19.5,111.0,1200.0,0
134.5,23.0,111.5,1200.0,0
138.5,21.5,117.0,1100.0,0
126.0,37.5,88.5,1300.0,0
129.5,9.5,120.0,1000.0,0
135.5,8.0,127.5,1100.0,0
108.0,26.5,81.5,1300.0,0
122.0,52.0,70.0,1700.0,0
127.5,71.5,56.0,1800.0,0
145.0,45.5,99.5,1700.0,0
121.0,51.0,70.0,1700.0,0
146.0,29.5,116.5,1600.0,0
128.0,16.0,112.0,1100.0,0
148.5,5.5,143.0,1100.0,0
143.0,8.5,134.5,1100.0,0
96.0,12.5,83.5,1600.0,0
165.0,30.0,135.0,1000.0,0
131.5,2.0,129.5,1000.0,0
141.0,5.5,135.5,1100.0,0
131.0,12.0,119.0,980.0,0
129.5,1.5,128.0,1100.0,0
138.0,1.5,136.5,950.0,0
130.5,1.5,129.0,1000.0,0
142.5,3.0,139.5,950.0,0
129.5,0.0,129.5,1000.0,0
129.5,10.0,119.5,1100.0,0
147.0,24.5,122.5,1200.0,0
151.5,20.5,131.0,1100.0,0
122.0,1.5,120.5,940.0,0
112.0,11.5,100.5,1600.0,0
120.5,50.5,70.0,1600.0,0
142.0,16.0,126.0,1100.0,0
125.5,3.5,122.0,1000.0,0
122.0,12.0,110.0,1700.0,0
128.0,29.5,98.5,1700.0,0
126.0,19.0,107.0,1100.0,0
121.5,36.0,85.5,1200.0,0
126.5,66.5,60.0,1600.0,0
144.5,13.5,131.0,1500.0,0
137.5,13.5,124.0,1100.0,0
121.0,29.0,92.0,1200.0,0
156.0,8.5,147.5,1000.0,0
117.5,7.5,110.0,1500.0,0
130.5,39.5,91.0,1700.0,0
165.0,30.5,134.5,1100.0,0
123.0,8.0,115.0,1000.0,0
118.0,4.5,113.5,950.0,0
140.0,0.0,140.0,890.0,0
144.5,0.0,144.5,890.0,0
141.5,0.0,141.5,890.0,0
125.5,0.0,125.5,1000.0,0
121.0,9.5,111.5,1100.0,0
141.0,22.0,119.0,1200.0,0
148.0,18.0,130.0,870.0,0
133.5,0.0,133.5,1000.0,0
118.5,10.5,108.0,1100.0,0
130.5,47.0,83.5,1100.0,0
163.5,13.0,150.5,990.0,0
163.0,0.0,163.0,740.0,0
135.0,0.0,135.0,800.0,0
138.5,0.0,138.5,840.0,0
