timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-05T14:43:04Z,frontend,0,44363776,1
2026-09-05T14:43:04Z,cartservice,4,80093184,1
2026-09-05T14:43:04Z,checkoutservice,3,18829312,1
2026-09-05T14:43:04Z,productcatalogservice,3,32509952,1
2026-09-05T14:43:04Z,paymentservice,3,39944192,1
2026-09-05T14:43:04Z,recommendationservice,7,105345024,1
2026-09-05T14:43:04Z,shippingservice,4,32813056,1
2026-09-05T14:43:04Z,currencyservice,3,88854528,1
2026-09-05T14:43:04Z,emailservice,7,92557312,1
2026-09-05T14:43:04Z,adservice,23,278323200,1
2026-09-05T14:43:04Z,redis-cart,4,35160064,1
2026-09-05T14:43:10Z,frontend,0,44363776,1
2026-09-05T14:43:10Z,cartservice,4,80093184,1
2026-09-05T14:43:10Z,checkoutservice,3,18829312,1
2026-09-05T14:43:10Z,productcatalogservice,3,32509952,1
2026-09-05T14:43:10Z,paymentservice,3,39944192,1
2026-09-05T14:43:10Z,recommendationservice,7,105345024,1
2026-09-05T14:43:10Z,shippingservice,4,32813056,1
2026-09-05T14:43:10Z,currencyservice,3,88854528,1
2026-09-05T14:43:10Z,emailservice,7,92557312,1
2026-09-05T14:43:10Z,adservice,23,278323200,1
2026-09-05T14:43:10Z,redis-cart,4,35160064,1
2026-09-05T14:43:15Z,frontend,0,44363776,1
2026-09-05T14:43:15Z,cartservice,5,80093184,1
2026-09-05T14:43:15Z,checkoutservice,3,18829312,1
2026-09-05T14:43:15Z,productcatalogservice,6,32509952,1
2026-09-05T14:43:15Z,paymentservice,3,39976960,1
2026-09-05T14:43:15Z,recommendationservice,7,105345024,1
2026-09-05T14:43:15Z,shippingservice,5,32813056,1
2026-09-05T14:43:15Z,currencyservice,3,88870912,1
2026-09-05T14:43:15Z,emailservice,7,92557312,1
2026-09-05T14:43:15Z,adservice,26,278323200,1
2026-09-05T14:43:15Z,redis-cart,4,35160064,1
2026-09-05T14:43:20Z,frontend,0,44363776,1
2026-09-05T14:43:20Z,cartservice,5,80093184,1
2026-09-05T14:43:20Z,checkoutservice,3,18829312,1
2026-09-05T14:43:20Z,productcatalogservice,6,32509952,1
2026-09-05T14:43:20Z,paymentservice,3,39976960,1
2026-09-05T14:43:20Z,recommendationservice,7,105345024,1
2026-09-05T14:43:20Z,shippingservice,5,32813056,1
2026-09-05T14:43:20Z,currencyservice,3,88870912,1
2026-09-05T14:43:20Z,emailservice,7,92557312,1
2026-09-05T14:43:20Z,adservice,26,278323200,1
2026-09-05T14:43:20Z,redis-cart,4,35201024,1
2026-09-05T14:43:25Z,frontend,0,44363776,1
2026-09-05T14:43:25Z,cartservice,4,80093184,1
2026-09-05T14:43:25Z,checkoutservice,3,18829312,1
2026-09-05T14:43:25Z,productcatalogservice,3,32514048,1
2026-09-05T14:43:25Z,paymentservice,3,40001536,1
2026-09-05T14:43:25Z,recommendationservice,7,105345024,1
2026-09-05T14:43:25Z,shippingservice,4,32813056,1
2026-09-05T14:43:25Z,currencyservice,3,88895488,1
2026-09-05T14:43:25Z,emailservice,7,92561408,1
2026-09-05T14:43:25Z,adservice,25,278323200,1
2026-09-05T14:43:25Z,redis-cart,8,35201024,1
2026-09-05T14:43:31Z,frontend,1,43474944,1
2026-09-05T14:43:31Z,cartservice,4,80093184,1
2026-09-05T14:43:31Z,checkoutservice,3,18829312,1
2026-09-05T14:43:31Z,productcatalogservice,3,32522240,1
2026-09-05T14:43:31Z,paymentservice,3,40001536,1
2026-09-05T14:43:31Z,recommendationservice,7,105345024,1
2026-09-05T14:43:31Z,shippingservice,4,32813056,1
2026-09-05T14:43:31Z,currencyservice,3,88895488,1
2026-09-05T14:43:31Z,emailservice,7,92561408,1
2026-09-05T14:43:31Z,adservice,23,278323200,1
