RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,390.0,0.0
185.5,0.0,185.5,696.0,0.0
310.0,27.5,282.5,930.0,0.0
393.5,45.5,348.0,812.0,0.0
394.5,46.0,348.5,986.0,0.0
419.5,28.0,391.5,1102.0,0.0
411.0,18.0,393.0,1002.0,0.0
424.0,31.5,392.5,1044.0,0.0
438.0,12.5,425.5,1062.0,0.0
443.5,20.5,423.0,1004.0,0.0
476.0,22.5,453.5,1056.0,0.0
503.0,18.0,485.0,972.0,0.0
423.5,29.5,394.0,1210.0,0.0
456.5,20.5,436.0,1308.0,0.0
369.5,45.5,324.0,1360.0,0.0
495.0,128.0,367.0,1130.0,0.0
504.0,119.0,385.0,1090.0,0.0
530.5,42.0,488.5,1064.0,0.0
509.0,11.0,498.0,992.0,0.0
443.0,26.0,417.0,1146.0,0.0
474.0,35.5,438.5,1164.0,0.0
532.5,49.0,483.5,1164.0,0.0
543.0,42.0,501.0,1002.0,0.0
514.0,56.5,457.5,1014.0,0.0
533.5,67.5,466.0,1166.0,0.0
516.5,90.0,426.5,1254.0,0.0
534.0,98.0,436.0,1170.0,0.0
501.5,134.5,367.0,1190.0,0.0
520.5,64.5,456.0,1280.0,0.0
526.0,59.5,466.5,1290.0,0.0
492.0,127.5,364.5,1138.0,0.0
515.5,139.5,376.0,1182.0,0.0
460.5,212.0,248.5,1488.0,0.0
491.5,168.0,323.5,1390.0,0.0
522.0,165.0,357.0,1400.0,0.0
489.0,126.0,363.0,1578.0,0.0
537.5,105.5,432.0,1232.0,0.0
541.0,77.5,463.5,1414.0,0.0
557.5,89.5,468.0,1174.0,0.0
447.5,114.5,333.0,1444.0,0.0
493.5,109.5,384.0,1394.0,0.0
507.5,76.0,431.5,1320.0,0.0
539.5,52.0,487.5,1278.0,0.0
540.5,68.5,472.0,1166.0,0.0
582.0,40.0,542.0,1168.0,0.0
556.0,38.5,517.5,1090.0,0.0
528.5,39.5,489.0,1066.0,0.0
539.5,43.0,496.5,1158.0,0.0
536.0,32.0,504.0,1168.0,0.0
538.5,69.0,469.5,1212.0,0.0
517.5,76.0,441.5,1116.0,0.0
533.5,77.5,456.0,1238.0,0.0
508.5,81.0,427.5,1158.0,0.0
489.5,84.5,405.0,1330.0,0.0
525.5,170.5,355.0,1418.0,0.0
565.5,99.5,466.0,1252.0,0.0
519.0,60.0,459.0,1228.0,0.0
526.5,85.0,441.5,1258.0,0.0
553.0,128.5,424.5,1366.0,0.0
517.5,85.5,432.0,1052.0,0.0
513.0,122.0,391.0,1268.0,0.0
480.0,175.0,305.0,1360.0,0.0
545.0,114.5,430.5,1464.0,0.0
537.0,113.5,423.5,1198.0,0.0
510.5,86.0,424.5,1192.0,0.0
541.5,93.0,448.5,1176.0,0.0
546.5,65.0,481.5,1278.0,0.0
480.5,144.5,336.0,1576.0,0.0
551.0,134.0,417.0,1406.0,0.0
527.5,61.0,466.5,990.0,0.0
523.0,69.0,454.0,946.0,0.0
531.5,23.5,508.0,916.0,0.0
554.5,26.0,528.5,846.0,0.0
572.5,25.5,547.0,952.0,0.0
540.0,24.5,515.5,932.0,0.0
531.0,63.0,468.0,944.0,0.0
545.0,89.5,455.5,1090.0,0.0
548.0,79.0,469.0,1022.0,0.0
549.0,29.5,519.5,926.0,0.0
518.5,54.0,464.5,946.0,0.0
523.5,124.5,399.0,998.0,0.0
603.5,67.0,536.5,960.0,0.0
589.0,27.5,561.5,848.0,0.0
549.5,14.0,535.5,808.0,0.0
559.0,8.0,551.0,1002.0,0.0
524.0,16.5,507.5,1062.0,0.0
542.0,33.5,508.5,940.0,0.0
537.0,34.5,502.5,966.0,0.0
511.0,49.5,461.5,947.6,0.0
522.5,121.0,401.5,947.2,0.0
533.0,137.0,396.0,950.4,0.0
530.0,133.0,397.0,940.0,0.0
554.5,78.0,476.5,974.0,0.0
509.5,111.5,398.0,1002.4,0.0
541.5,215.0,326.5,1083.6,0.0
555.5,179.0,376.5,1036.4,0.0
495.5,121.0,374.5,1188.0,0.0
522.0,235.5,286.5,1128.0,0.0
542.0,103.0,439.0,1040.0,0.0
559.0,63.5,495.5,956.4,0.0
523.0,46.5,476.5,978.0,0.0
479.5,112.5,367.0,1176.0,0.0
511.0,222.0,289.0,1260.0,0.0
553.5,169.5,384.0,1058.0,0.0
561.5,129.0,432.5,1045.6,0.0
571.5,51.0,520.5,900.2,0.0
515.5,26.0,489.5,909.0,0.0
505.0,101.0,404.0,1044.0,0.0
490.0,234.0,256.0,1072.0,0.0
540.0,254.5,285.5,1194.0,0.0
575.5,108.0,467.5,1176.0,0.0
498.0,63.0,435.0,895.8,0.0
462.5,182.5,280.0,1102.0,0.0
477.5,281.5,196.0,1212.0,0.0
533.5,266.5,267.0,1174.0,0.0
564.0,210.0,354.0,998.0,0.0
495.5,115.0,380.5,1017.8,0.0
530.5,274.0,256.5,1090.0,0.0
555.0,184.5,370.5,1052.0,0.0
505.5,177.5,328.0,1066.0,0.0
541.0,198.0,343.0,1024.0,0.0
551.0,190.0,361.0,1022.0,0.0
558.0,138.0,420.0,982.0,0.0
496.5,190.0,306.5,980.4,0.0
558.5,143.5,415.0,960.8,0.0
546.5,68.5,478.0,1020.0,0.0
541.5,73.0,468.5,1000.0,0.0
561.0,63.5,497.5,976.0,0.0
538.5,42.5,496.0,1073.4,0.0
551.0,67.0,484.0,918.4,0.0
569.5,33.5,536.0,972.0,0.0
533.5,43.0,490.5,902.0,0.0
545.5,49.5,496.0,909.6,0.0
564.5,40.0,524.5,972.4,0.0
520.0,31.5,488.5,1019.6,0.0
540.5,35.0,505.5,955.4,0.0
489.5,121.5,368.0,918.0,0.0
503.0,225.5,277.5,1142.0,0.0
524.5,261.0,263.5,976.6,0.0
492.5,272.0,220.5,1115.0,0.0
494.5,305.5,189.0,1110.0,0.0
560.0,206.5,353.5,1034.0,0.0
506.0,94.5,411.5,898.8,0.0
513.5,199.5,314.0,1168.0,0.0
582.0,166.0,416.0,1120.4,0.0
542.0,35.5,506.5,1050.4,0.0
518.0,44.0,474.0,1118.0,0.0
527.5,81.0,446.5,1110.0,0.0
517.0,110.0,407.0,1206.0,0.0
560.5,185.0,375.5,1104.0,0.0
511.5,55.0,456.5,1090.0,0.0
526.5,66.0,460.5,1012.0,0.0
523.5,112.0,411.5,1070.0,0.0
517.5,172.0,345.5,1090.0,0.0
523.0,174.0,349.0,1204.0,0.0
496.5,280.5,216.0,958.0,0.0
551.5,172.0,379.5,1140.0,0.0
536.5,80.5,456.0,917.4,0.0
576.0,75.5,500.5,1013.6,0.0
588.5,34.5,554.0,930.0,0.0
545.5,15.5,530.0,854.0,0.0
571.0,18.0,553.0,854.0,0.0
504.0,24.0,480.0,1062.0,0.0
559.0,38.5,520.5,930.0,0.0
