timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T13:42:46Z,cartservice,104825,0,0,0
2026-09-05T13:42:46Z,productcatalogservice,0,0,0,0
2026-09-05T13:42:46Z,paymentservice,52405,0,0,0
2026-09-05T13:42:51Z,cartservice,104825,0,0,0
2026-09-05T13:42:51Z,productcatalogservice,0,0,0,0
2026-09-05T13:42:51Z,paymentservice,52405,0,0,0
2026-09-05T13:42:56Z,cartservice,104825,0,0,0
2026-09-05T13:42:56Z,productcatalogservice,0,0,0,0
2026-09-05T13:42:56Z,paymentservice,52405,0,0,0
2026-09-05T13:43:02Z,cartservice,104825,0,0,0
2026-09-05T13:43:02Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:02Z,paymentservice,52405,0,0,0
2026-09-05T13:43:07Z,cartservice,104825,0,0,0
2026-09-05T13:43:07Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:07Z,paymentservice,52405,0,0,0
2026-09-05T13:43:13Z,cartservice,104825,0,0,0
2026-09-05T13:43:13Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:13Z,paymentservice,52405,0,0,0
2026-09-05T13:43:18Z,cartservice,104825,0,0,0
2026-09-05T13:43:18Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:18Z,paymentservice,52405,0,0,0
2026-09-05T13:43:23Z,cartservice,104825,0,0,0
2026-09-05T13:43:23Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:23Z,paymentservice,52405,0,0,0
2026-09-05T13:43:29Z,cartservice,104825,0,0,0
2026-09-05T13:43:29Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:29Z,paymentservice,52405,0,0,0
2026-09-05T13:43:34Z,cartservice,104825,0,0,0
2026-09-05T13:43:34Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:34Z,paymentservice,52405,0,0,0
2026-09-05T13:43:39Z,cartservice,104825,0,0,0
2026-09-05T13:43:39Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:39Z,paymentservice,52405,0,0,0
2026-09-05T13:43:45Z,cartservice,104825,0,0,0
2026-09-05T13:43:45Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:45Z,paymentservice,52405,0,0,0
2026-09-05T13:43:50Z,cartservice,104825,0,0,0
2026-09-05T13:43:50Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:50Z,paymentservice,52405,0,0,0
2026-09-05T13:43:55Z,cartservice,104825,0,0,0
2026-09-05T13:43:55Z,productcatalogservice,0,0,0,0
2026-09-05T13:43:55Z,paymentservice,52405,0,0,0
2026-09-05T13:44:01Z,cartservice,104884,0,0,0
2026-09-05T13:44:01Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:01Z,paymentservice,52438,0,0,0
2026-09-05T13:44:06Z,cartservice,104999,0,0,0
2026-09-05T13:44:06Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:06Z,paymentservice,52486,0,0,0
2026-09-05T13:44:12Z,cartservice,105121,0,0,0
2026-09-05T13:44:12Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:12Z,paymentservice,52550,0,0,0
2026-09-05T13:44:17Z,cartservice,105238,0,0,0
2026-09-05T13:44:17Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:17Z,paymentservice,52616,0,0,0
2026-09-05T13:44:22Z,cartservice,105352,0,0,0
2026-09-05T13:44:22Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:22Z,paymentservice,52667,0,0,0
2026-09-05T13:44:28Z,cartservice,105465,0,0,0
2026-09-05T13:44:28Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:28Z,paymentservice,52719,0,0,0
2026-09-05T13:44:33Z,cartservice,105580,0,0,0
2026-09-05T13:44:33Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:33Z,paymentservice,52780,0,0,0
2026-09-05T13:44:39Z,cartservice,105685,0,0,0
2026-09-05T13:44:39Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:39Z,paymentservice,52836,0,0,0
2026-09-05T13:44:44Z,cartservice,105797,0,0,0
2026-09-05T13:44:44Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:44Z,paymentservice,52887,0,0,0
2026-09-05T13:44:50Z,cartservice,105904,0,0,0
2026-09-05T13:44:50Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:50Z,paymentservice,52946,0,0,0
2026-09-05T13:44:55Z,cartservice,106010,0,0,0
2026-09-05T13:44:55Z,productcatalogservice,0,0,0,0
2026-09-05T13:44:55Z,paymentservice,52996,0,0,0
2026-09-05T13:45:00Z,cartservice,106111,0,0,0
2026-09-05T13:45:00Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:00Z,paymentservice,53046,0,0,0
2026-09-05T13:45:06Z,cartservice,106224,0,0,0
2026-09-05T13:45:06Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:06Z,paymentservice,53105,0,0,0
2026-09-05T13:45:11Z,cartservice,106337,0,0,0
2026-09-05T13:45:11Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:11Z,paymentservice,53160,0,0,0
2026-09-05T13:45:17Z,cartservice,106438,0,0,0
2026-09-05T13:45:17Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:17Z,paymentservice,53208,0,0,0
2026-09-05T13:45:22Z,cartservice,106539,0,0,0
2026-09-05T13:45:22Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:22Z,paymentservice,53262,0,0,0
2026-09-05T13:45:27Z,cartservice,106634,0,0,0
2026-09-05T13:45:27Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:27Z,paymentservice,53309,0,0,0
2026-09-05T13:45:33Z,cartservice,106731,0,0,0
2026-09-05T13:45:33Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:33Z,paymentservice,53361,0,0,0
2026-09-05T13:45:38Z,cartservice,106836,0,0,0
2026-09-05T13:45:38Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:38Z,paymentservice,53409,0,0,0
2026-09-05T13:45:44Z,cartservice,106931,0,0,0
2026-09-05T13:45:44Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:44Z,paymentservice,53456,0,0,0
2026-09-05T13:45:49Z,cartservice,107036,0,0,0
2026-09-05T13:45:49Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:49Z,paymentservice,53508,0,0,0
2026-09-05T13:45:55Z,cartservice,107139,0,0,0
2026-09-05T13:45:55Z,productcatalogservice,0,0,0,0
2026-09-05T13:45:55Z,paymentservice,53557,0,0,0
2026-09-05T13:46:00Z,cartservice,107238,0,0,0
2026-09-05T13:46:00Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:00Z,paymentservice,53613,0,0,0
2026-09-05T13:46:05Z,cartservice,107342,0,0,0
2026-09-05T13:46:05Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:05Z,paymentservice,53662,0,0,0
2026-09-05T13:46:11Z,cartservice,107439,0,0,0
2026-09-05T13:46:11Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:11Z,paymentservice,53712,0,0,0
2026-09-05T13:46:16Z,cartservice,107531,0,0,0
2026-09-05T13:46:16Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:16Z,paymentservice,53758,0,0,0
2026-09-05T13:46:22Z,cartservice,107625,0,0,0
2026-09-05T13:46:22Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:22Z,paymentservice,53805,0,0,0
2026-09-05T13:46:27Z,cartservice,107722,0,0,0
2026-09-05T13:46:27Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:27Z,paymentservice,53853,0,0,0
2026-09-05T13:46:33Z,cartservice,107818,0,0,0
2026-09-05T13:46:33Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:33Z,paymentservice,53902,0,0,0
2026-09-05T13:46:38Z,cartservice,107923,0,0,0
2026-09-05T13:46:38Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:38Z,paymentservice,53954,0,0,0
2026-09-05T13:46:43Z,cartservice,108014,0,0,0
2026-09-05T13:46:43Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:43Z,paymentservice,53999,0,0,0
2026-09-05T13:46:49Z,cartservice,108108,0,0,0
2026-09-05T13:46:49Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:49Z,paymentservice,54045,0,0,0
2026-09-05T13:46:54Z,cartservice,108214,0,0,0
2026-09-05T13:46:54Z,productcatalogservice,0,0,0,0
2026-09-05T13:46:54Z,paymentservice,54094,0,0,0
2026-09-05T13:47:00Z,cartservice,108309,0,0,0
2026-09-05T13:47:00Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:00Z,paymentservice,54142,0,0,0
2026-09-05T13:47:05Z,cartservice,108407,0,0,0
2026-09-05T13:47:05Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:05Z,paymentservice,54192,0,0,0
2026-09-05T13:47:11Z,cartservice,108505,0,0,0
2026-09-05T13:47:11Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:11Z,paymentservice,54245,0,0,0
2026-09-05T13:47:16Z,cartservice,108599,0,0,0
2026-09-05T13:47:16Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:16Z,paymentservice,54292,0,0,0
2026-09-05T13:47:22Z,cartservice,108695,0,0,0
2026-09-05T13:47:22Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:22Z,paymentservice,54337,0,0,0
2026-09-05T13:47:27Z,cartservice,108793,0,0,0
2026-09-05T13:47:27Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:27Z,paymentservice,54389,0,0,0
2026-09-05T13:47:33Z,cartservice,108893,0,0,0
2026-09-05T13:47:33Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:33Z,paymentservice,54439,0,0,0
2026-09-05T13:47:38Z,cartservice,108990,0,0,0
2026-09-05T13:47:38Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:38Z,paymentservice,54487,0,0,0
2026-09-05T13:47:43Z,cartservice,109082,0,0,0
2026-09-05T13:47:43Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:43Z,paymentservice,54534,0,0,0
2026-09-05T13:47:49Z,cartservice,109182,0,0,0
2026-09-05T13:47:49Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:49Z,paymentservice,54584,0,0,0
2026-09-05T13:47:54Z,cartservice,109285,0,0,0
2026-09-05T13:47:54Z,productcatalogservice,0,0,0,0
2026-09-05T13:47:54Z,paymentservice,54633,0,0,0
2026-09-05T13:48:00Z,cartservice,109391,0,0,0
2026-09-05T13:48:00Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:00Z,paymentservice,54686,0,0,0
2026-09-05T13:48:05Z,cartservice,109499,0,0,0
2026-09-05T13:48:05Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:05Z,paymentservice,54742,0,0,0
2026-09-05T13:48:11Z,cartservice,109610,0,0,0
2026-09-05T13:48:11Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:11Z,paymentservice,54793,0,0,0
2026-09-05T13:48:16Z,cartservice,109714,0,0,0
2026-09-05T13:48:16Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:16Z,paymentservice,54850,0,0,0
2026-09-05T13:48:22Z,cartservice,109819,0,0,0
2026-09-05T13:48:22Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:22Z,paymentservice,54903,0,0,0
2026-09-05T13:48:27Z,cartservice,109927,0,0,0
2026-09-05T13:48:27Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:27Z,paymentservice,54954,0,0,0
2026-09-05T13:48:33Z,cartservice,110032,0,0,0
2026-09-05T13:48:33Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:33Z,paymentservice,55007,0,0,0
2026-09-05T13:48:38Z,cartservice,110137,0,0,0
2026-09-05T13:48:38Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:38Z,paymentservice,55060,0,0,0
2026-09-05T13:48:43Z,cartservice,110237,0,0,0
2026-09-05T13:48:43Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:43Z,paymentservice,55111,0,0,0
2026-09-05T13:48:49Z,cartservice,110331,0,0,0
2026-09-05T13:48:49Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:49Z,paymentservice,55158,0,0,0
2026-09-05T13:48:54Z,cartservice,110433,0,0,0
2026-09-05T13:48:54Z,productcatalogservice,0,0,0,0
2026-09-05T13:48:54Z,paymentservice,55207,0,0,0
2026-09-05T13:49:00Z,cartservice,110539,0,0,0
