timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-04T10:19:46Z,cartservice,0,0,0,0
2026-09-04T10:19:46Z,productcatalogservice,0,0,0,0
2026-09-04T10:19:46Z,checkoutservice,0,0,0,0
2026-09-04T10:19:52Z,cartservice,0,0,0,0
2026-09-04T10:19:52Z,productcatalogservice,0,0,0,0
2026-09-04T10:19:52Z,checkoutservice,0,0,0,0
2026-09-04T10:19:57Z,cartservice,0,0,0,0
2026-09-04T10:19:57Z,productcatalogservice,0,0,0,0
2026-09-04T10:19:57Z,checkoutservice,0,0,0,0
2026-09-04T10:20:03Z,cartservice,0,0,0,0
2026-09-04T10:20:03Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:03Z,checkoutservice,0,0,0,0
2026-09-04T10:20:08Z,cartservice,0,0,0,0
2026-09-04T10:20:08Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:08Z,checkoutservice,0,0,0,0
2026-09-04T10:20:13Z,cartservice,0,0,0,0
2026-09-04T10:20:13Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:13Z,checkoutservice,0,0,0,0
2026-09-04T10:20:19Z,cartservice,0,0,0,0
2026-09-04T10:20:19Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:19Z,checkoutservice,0,0,0,0
2026-09-04T10:20:24Z,cartservice,0,0,0,0
2026-09-04T10:20:24Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:24Z,checkoutservice,0,0,0,0
2026-09-04T10:20:29Z,cartservice,0,0,0,0
2026-09-04T10:20:29Z,productcatalogservice,0,0,0,0
2026-09-04T10:20:29Z,checkoutservice,0,0,0,0
2026-09-04T10:20:35Z,cartservice,1938,0,0,0
2026-09-04T10:20:35Z,productcatalogservice,6552,0,0,0
2026-09-04T10:20:35Z,checkoutservice,38,0,0,0
2026-09-04T10:20:40Z,cartservice,4080,0,0,0
2026-09-04T10:20:40Z,productcatalogservice,14567,0,0,0
2026-09-04T10:20:40Z,checkoutservice,81,0,0,0
2026-09-04T10:20:46Z,cartservice,5992,0,0,0
2026-09-04T10:20:46Z,productcatalogservice,22682,0,0,0
2026-09-04T10:20:46Z,checkoutservice,128,0,0,0
2026-09-04T10:20:51Z,cartservice,8252,0,0,0
2026-09-04T10:20:51Z,productcatalogservice,31216,0,0,0
2026-09-04T10:20:51Z,checkoutservice,172,0,0,0
2026-09-04T10:20:57Z,cartservice,10219,0,0,0
2026-09-04T10:20:57Z,productcatalogservice,39271,0,0,0
2026-09-04T10:20:57Z,checkoutservice,214,0,0,0
2026-09-04T10:21:02Z,cartservice,12536,0,0,0
2026-09-04T10:21:02Z,productcatalogservice,47848,0,0,0
2026-09-04T10:21:02Z,checkoutservice,244,0,0,0
2026-09-04T10:21:08Z,cartservice,14655,0,0,0
2026-09-04T10:21:08Z,productcatalogservice,56634,0,0,0
2026-09-04T10:21:08Z,checkoutservice,290,0,0,0
2026-09-04T10:21:13Z,cartservice,16629,0,0,0
2026-09-04T10:21:13Z,productcatalogservice,64079,0,0,0
2026-09-04T10:21:13Z,checkoutservice,331,0,0,0
2026-09-04T10:21:18Z,cartservice,18561,0,0,0
2026-09-04T10:21:18Z,productcatalogservice,71790,0,0,0
2026-09-04T10:21:18Z,checkoutservice,367,0,0,0
2026-09-04T10:21:24Z,cartservice,20521,0,0,0
2026-09-04T10:21:24Z,productcatalogservice,79615,0,0,0
2026-09-04T10:21:24Z,checkoutservice,405,0,0,0
2026-09-04T10:21:30Z,cartservice,22390,0,0,0
2026-09-04T10:21:30Z,productcatalogservice,87059,0,0,0
2026-09-04T10:21:30Z,checkoutservice,440,0,0,0
2026-09-04T10:21:35Z,cartservice,24269,0,0,0
2026-09-04T10:21:35Z,productcatalogservice,94035,0,0,0
2026-09-04T10:21:35Z,checkoutservice,477,0,0,0
2026-09-04T10:21:40Z,cartservice,26243,0,0,0
2026-09-04T10:21:40Z,productcatalogservice,101892,0,0,0
2026-09-04T10:21:40Z,checkoutservice,545,34,0,17
2026-09-04T10:21:46Z,cartservice,28235,0,0,0
2026-09-04T10:21:46Z,productcatalogservice,109589,0,0,0
2026-09-04T10:21:46Z,checkoutservice,583,34,0,17
2026-09-04T10:21:51Z,cartservice,30152,0,0,0
2026-09-04T10:21:51Z,productcatalogservice,117284,0,0,0
2026-09-04T10:21:51Z,checkoutservice,610,34,0,17
2026-09-04T10:21:57Z,cartservice,31990,0,0,0
2026-09-04T10:21:57Z,productcatalogservice,124682,0,0,0
2026-09-04T10:21:57Z,checkoutservice,654,34,0,17
2026-09-04T10:22:02Z,cartservice,34077,0,0,0
2026-09-04T10:22:02Z,productcatalogservice,132754,0,0,0
2026-09-04T10:22:02Z,checkoutservice,695,34,0,17
2026-09-04T10:22:08Z,cartservice,35939,0,0,0
2026-09-04T10:22:08Z,productcatalogservice,140388,0,0,0
2026-09-04T10:22:08Z,checkoutservice,726,34,0,17
2026-09-04T10:22:13Z,cartservice,38058,0,0,0
2026-09-04T10:22:13Z,productcatalogservice,148378,0,0,0
2026-09-04T10:22:13Z,checkoutservice,767,34,0,17
2026-09-04T10:22:19Z,cartservice,39997,0,0,0
