RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
50.0,45.0,5.0,1700.0,0
101.0,45.0,56.0,980.0,0
51.0,1.0,50.0,1400.0,0
71.5,52.0,19.5,1600.0,0
119.5,74.5,45.0,1100.0,0
90.0,39.5,50.5,1400.0,0
77.0,59.0,18.0,1500.0,0
101.5,101.0,0.5,1400.0,0
106.5,59.5,47.0,1300.0,0
64.5,41.5,23.0,1700.0,0
74.5,69.5,5.0,1800.0,0
85.0,85.0,0.0,1800.0,0
68.5,66.0,2.5,1600.0,0
96.5,96.5,0.0,1500.0,0
93.5,87.0,6.5,1600.0,0
91.0,78.5,12.5,1400.0,0
95.0,91.0,4.0,1500.0,0
89.5,89.5,0.0,1800.0,0
55.0,55.0,0.0,2000.0,0
63.5,63.5,0.0,2100.0,0
93.5,93.5,0.0,2300.0,0
95.5,92.5,3.0,1600.0,0
87.5,87.5,0.0,1600.0,0
86.0,86.0,0.0,1700.0,0
109.0,109.0,0.0,1500.0,0
92.0,91.5,0.5,1800.0,0
84.0,83.5,0.5,1800.0,0
84.5,84.0,0.5,1800.0,0
63.0,63.0,0.0,2100.0,0
104.0,104.0,0.0,2100.0,0
87.0,83.5,3.5,1700.0,0
93.5,90.0,3.5,1700.0,0
91.5,91.5,0.0,1800.0,0
74.0,74.0,0.0,2000.0,0
47.5,47.5,0.0,2300.0,0
60.5,60.5,0.0,2500.0,0
67.0,67.0,0.0,2500.0,0
61.5,61.5,0.0,2300.0,0
26.5,26.5,0.0,2100.0,0
86.5,86.5,0.0,2100.0,0
68.0,68.0,0.0,2100.0,0
64.5,64.5,0.0,2300.0,0
90.0,90.0,0.0,2300.0,0
82.5,82.5,0.0,2000.0,0
74.5,74.5,0.0,2100.0,0
73.5,73.5,0.0,2100.0,0
72.5,72.5,0.0,2100.0,0
67.5,67.5,0.0,2100.0,0
73.5,73.5,0.0,2100.0,0
69.5,69.5,0.0,2100.0,0
72.5,72.5,0.0,2100.0,0
77.5,77.5,0.0,2100.0,0
65.5,65.5,0.0,2500.0,0
59.5,59.5,0.0,2300.0,0
88.0,88.0,0.0,2000.0,0
77.5,77.5,0.0,2100.0,0
67.0,67.0,0.0,2100.0,0
69.5,69.5,0.0,2100.0,0
67.5,67.5,0.0,2000.0,0
65.0,65.0,0.0,2100.0,0
86.5,86.5,0.0,2300.0,0
78.0,78.0,0.0,2300.0,0
87.0,87.0,0.0,2100.0,0
63.5,63.5,0.0,2100.0,0
67.5,67.5,0.0,2100.0,0
78.5,78.5,0.0,2100.0,0
81.0,81.0,0.0,2100.0,0
92.0,92.0,0.0,2100.0,0
54.0,54.0,0.0,2000.0,0
51.5,51.5,0.0,2600.0,0
65.0,65.0,0.0,2600.0,0
87.5,87.5,0.0,2100.0,0
92.5,92.5,0.0,2100.0,0
87.0,87.0,0.0,1700.0,0
78.0,78.0,0.0,1800.0,0
76.5,76.5,0.0,2000.0,0
81.0,81.0,0.0,2000.0,0
83.5,83.5,0.0,2000.0,0
70.5,70.5,0.0,2000.0,0
81.5,81.5,0.0,2000.0,0
77.0,77.0,0.0,2200.0,0
64.5,64.5,0.0,2300.0,0
51.5,51.5,0.0,2300.0,0
86.5,86.5,0.0,2100.0,0
70.5,70.5,0.0,1600.0,0
95.5,95.5,0.0,1900.0,0
69.5,69.5,0.0,2000.0,0
45.5,45.5,0.0,2200.0,0
83.0,83.0,0.0,2200.0,0
99.0,99.0,0.0,1900.0,0
73.0,73.0,0.0,2100.0,0
69.5,69.5,0.0,2100.0,0
88.5,88.5,0.0,1800.0,0
96.0,96.0,0.0,1800.0,0
66.5,66.5,0.0,1800.0,0
68.0,68.0,0.0,2000.0,0
69.0,69.0,0.0,2200.0,0
76.5,76.5,0.0,2200.0,0
79.5,79.5,0.0,1900.0,0
79.0,79.0,0.0,1900.0,0
100.0,100.0,0.0,1900.0,0
81.5,81.5,0.0,1700.0,0
74.0,74.0,0.0,1900.0,0
90.0,90.0,0.0,1900.0,0
78.5,78.5,0.0,1800.0,0
87.5,87.5,0.0,1800.0,0
59.0,59.0,0.0,2000.0,0
84.5,84.5,0.0,2000.0,0
82.0,82.0,0.0,1700.0,0
98.5,98.5,0.0,1600.0,0
76.5,76.5,0.0,1900.0,0
73.0,73.0,0.0,1900.0,0
102.0,101.0,1.0,1700.0,0
56.5,56.5,0.0,2000.0,0
75.5,75.5,0.0,2000.0,0
68.5,68.5,0.0,1900.0,0
92.0,92.0,0.0,1700.0,0
92.0,92.0,0.0,2000.0,0
62.0,62.0,0.0,2300.0,0
76.0,76.0,0.0,2300.0,0
86.5,86.5,0.0,1800.0,0
71.5,71.5,0.0,2000.0,0
78.0,78.0,0.0,2000.0,0
67.5,67.5,0.0,2000.0,0
84.0,84.0,0.0,2000.0,0
68.0,68.0,0.0,2100.0,0
70.0,70.0,0.0,2200.0,0
66.5,66.5,0.0,2200.0,0
86.0,86.0,0.0,2100.0,0
62.5,62.5,0.0,2200.0,0
75.0,75.0,0.0,2200.0,0
66.0,66.0,0.0,2100.0,0
89.0,89.0,0.0,2000.0,0
67.5,67.5,0.0,1900.0,0
74.0,74.0,0.0,2000.0,0
70.5,70.5,0.0,2000.0,0
67.5,67.5,0.0,2000.0,0
64.0,64.0,0.0,2000.0,0
66.0,66.0,0.0,2000.0,0
69.0,69.0,0.0,2000.0,0
62.5,62.5,0.0,2200.0,0
77.5,77.5,0.0,2200.0,0
82.0,82.0,0.0,2200.0,0
91.0,91.0,0.0,1900.0,0
62.0,62.0,0.0,2000.0,0
86.0,86.0,0.0,2200.0,0
57.0,57.0,0.0,2200.0,0
62.0,62.0,0.0,2200.0,0
72.5,72.5,0.0,2200.0,0
64.5,64.5,0.0,2200.0,0
69.5,69.5,0.0,2200.0,0
67.0,67.0,0.0,2200.0,0
55.5,55.5,0.0,2200.0,0
90.0,90.0,0.0,1900.0,0
66.0,66.0,0.0,2000.0,0
63.0,63.0,0.0,2000.0,0
61.5,61.5,0.0,2000.0,0
50.0,50.0,0.0,2500.0,0
58.0,58.0,0.0,2500.0,0
71.0,71.0,0.0,2500.0,0
60.5,60.5,0.0,2300.0,0
59.0,59.0,0.0,2200.0,0
65.0,65.0,0.0,2100.0,0
72.0,72.0,0.0,2200.0,0
64.5,64.5,0.0,2200.0,0
63.0,63.0,0.0,2100.0,0
62.5,62.5,0.0,2400.0,0
50.5,50.5,0.0,2600.0,0
75.0,75.0,0.0,2600.0,0
67.0,67.0,0.0,2300.0,0
79.0,79.0,0.0,2300.0,0
102.5,102.5,0.0,1400.0,0
128.5,121.5,7.0,1300.0,0
122.5,103.0,19.5,1300.0,0
122.5,106.0,16.5,1300.0,0
124.0,110.5,13.5,1400.0,0
101.5,100.0,1.5,1400.0,0
116.0,110.5,5.5,1600.0,0
75.0,74.5,0.5,1600.0,0
99.0,98.5,0.5,1600.0,0
121.0,121.0,0.0,1500.0,0
76.0,75.5,0.5,1800.0,0
79.5,79.0,0.5,1800.0,0
87.0,87.0,0.0,1800.0,0
102.5,102.5,0.0,1400.0,0
131.0,123.5,7.5,1300.0,0
107.5,93.0,14.5,1400.0,0
105.5,99.0,6.5,1500.0,0
121.0,114.0,7.0,1400.0,0
116.0,106.0,10.0,1300.0,0
129.5,112.5,17.0,1200.0,0
94.0,88.0,6.0,1200.0,0
122.0,114.0,8.0,1300.0,0
122.0,103.0,19.0,1300.0,0
123.5,87.5,36.0,1400.0,0
126.5,102.0,24.5,1400.0,0
123.0,108.0,15.0,1300.0,0
109.5,95.5,14.0,1400.0,0
114.5,99.0,15.5,1400.0,0
119.5,104.0,15.5,1300.0,0
108.0,96.5,11.5,1300.0,0
123.0,115.5,7.5,1400.0,0
103.5,95.5,8.0,1400.0,0
110.5,93.0,17.5,1300.0,0
123.5,113.5,10.0,1600.0,0
89.5,88.5,1.0,1700.0,0
83.5,83.5,0.0,1700.0,0
108.0,108.0,0.0,1600.0,0
120.0,111.5,8.5,1300.0,0
115.5,97.5,18.0,1300.0,0
113.5,89.5,24.0,1300.0,0
118.0,95.0,23.0,1300.0,0
122.0,114.5,7.5,1400.0,0
109.5,109.5,0.0,1400.0,0
124.0,115.0,9.0,1300.0,0
107.0,98.0,9.0,1300.0,0
116.5,104.0,12.5,1300.0,0
122.0,110.0,12.0,1300.0,0
127.0,100.5,26.5,1400.0,0
121.5,96.0,25.5,1300.0,0
114.5,91.0,23.5,1300.0,0
125.0,111.5,13.5,1300.0,0
110.0,95.0,15.0,1400.0,0
116.5,107.5,9.0,1300.0,0
120.0,108.0,12.0,1200.0,0
130.0,99.0,31.0,1200.0,0
119.0,84.5,34.5,1400.0,0
109.5,99.0,10.5,1400.0,0
125.5,116.5,9.0,1300.0,0
119.5,109.0,10.5,1400.0,0
92.5,80.0,12.5,1400.0,0
115.0,95.5,19.5,1400.0,0
126.0,112.0,14.0,1200.0,0
124.0,118.0,6.0,1300.0,0
120.0,111.0,9.0,1300.0,0
121.0,104.5,16.5,1300.0,0
119.0,100.0,19.0,1400.0,0
107.5,92.0,15.5,1400.0,0
126.0,111.0,15.0,1400.0,0
133.0,101.5,31.5,1200.0,0
119.0,82.5,36.5,1300.0,0
101.0,87.5,13.5,1400.0,0
116.0,116.0,0.0,1400.0,0
104.0,103.0,1.0,1500.0,0
116.5,113.5,3.0,1500.0,0
91.0,89.5,1.5,1500.0,0
101.5,100.0,1.5,1600.0,0
108.0,105.5,2.5,1600.0,0
109.0,100.5,8.5,1300.0,0
124.0,110.5,13.5,1300.0,0
108.5,100.0,8.5,1500.0,0
92.5,89.5,3.0,1500.0,0
123.0,113.5,9.5,1400.0,0
123.0,104.0,19.0,1300.0,0
124.5,111.5,13.0,1300.0,0
124.0,106.5,17.5,1300.0,0
115.5,100.5,15.0,1400.0,0
116.0,97.5,18.5,1400.0,0
110.0,95.0,15.0,1300.0,0
121.0,120.5,0.5,1400.0,0
107.5,106.5,1.0,1400.0,0
95.5,91.5,4.0,1400.0,0
118.5,115.5,3.0,1400.0,0
121.5,121.5,0.0,1300.0,0
123.0,116.5,6.5,1300.0,0
109.0,100.0,9.0,1500.0,0
80.0,80.0,0.0,1700.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
25.0,0.0,25.0,270.0,0
25.0,0.0,25.0,290.0,0
25.0,0.0,25.0,320.0,0
25.0,0.0,25.0,290.0,0
25.0,0.0,25.0,260.0,0
25.0,0.0,25.0,380.0,0
25.0,0.0,25.0,300.0,0
25.0,0.0,25.0,270.0,0
25.0,0.0,25.0,340.0,0
25.0,0.0,25.0,350.0,0
25.0,0.0,25.0,390.0,0
25.0,0.0,25.0,300.0,0
25.0,0.0,25.0,330.0,0
25.0,0.0,25.0,310.0,0
25.0,0.0,25.0,310.0,0
25.0,0.0,25.0,280.0,0
25.0,0.0,25.0,320.0,0
25.0,0.0,25.0,380.0,0
25.0,0.0,25.0,310.0,0
25.0,0.0,25.0,310.0,0
25.0,0.0,25.0,320.0,0
25.0,0.0,25.0,330.0,0
25.0,0.0,25.0,350.0,0
25.0,0.0,25.0,350.0,0
25.0,0.0,25.0,210.0,0
25.0,0.0,25.0,250.0,0
25.0,0.0,25.0,250.0,0
25.0,0.0,25.0,260.0,0
25.0,0.0,25.0,260.0,0
25.0,0.0,25.0,240.0,0
25.0,0.0,25.0,280.0,0
25.0,0.0,25.0,240.0,0
