timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-04T10:38:36Z,cartservice,185283,0,0,0
2026-09-04T10:38:36Z,productcatalogservice,739558,0,0,0
2026-09-04T10:38:36Z,checkoutservice,4742,120,0,44
2026-09-04T10:38:41Z,cartservice,185283,0,0,0
2026-09-04T10:38:41Z,productcatalogservice,739558,0,0,0
2026-09-04T10:38:41Z,checkoutservice,4742,120,0,44
2026-09-04T10:38:47Z,cartservice,185283,0,0,0
2026-09-04T10:38:47Z,productcatalogservice,739558,0,0,0
2026-09-04T10:38:47Z,checkoutservice,4742,120,0,44
2026-09-04T10:38:52Z,cartservice,185283,0,0,0
2026-09-04T10:38:52Z,productcatalogservice,739558,0,0,0
2026-09-04T10:38:52Z,checkoutservice,4742,120,0,44
2026-09-04T10:38:57Z,cartservice,185283,0,0,0
2026-09-04T10:38:57Z,productcatalogservice,739558,0,0,0
2026-09-04T10:38:57Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:03Z,cartservice,185283,0,0,0
2026-09-04T10:39:03Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:03Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:08Z,cartservice,185283,0,0,0
2026-09-04T10:39:08Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:08Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:13Z,cartservice,185283,0,0,0
2026-09-04T10:39:13Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:13Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:19Z,cartservice,185283,0,0,0
2026-09-04T10:39:19Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:19Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:24Z,cartservice,185283,0,0,0
2026-09-04T10:39:24Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:24Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:29Z,cartservice,185283,0,0,0
2026-09-04T10:39:29Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:29Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:35Z,cartservice,185283,0,0,0
2026-09-04T10:39:35Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:35Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:40Z,cartservice,185283,0,0,0
2026-09-04T10:39:40Z,productcatalogservice,739558,0,0,0
2026-09-04T10:39:40Z,checkoutservice,4742,120,0,44
2026-09-04T10:39:45Z,cartservice,185473,0,0,0
2026-09-04T10:39:45Z,productcatalogservice,739847,0,0,0
2026-09-04T10:39:45Z,checkoutservice,4745,120,0,44
2026-09-04T10:39:51Z,cartservice,187433,0,0,0
2026-09-04T10:39:51Z,productcatalogservice,747545,0,0,0
2026-09-04T10:39:51Z,checkoutservice,4796,120,0,44
2026-09-04T10:39:56Z,cartservice,189606,0,0,0
2026-09-04T10:39:56Z,productcatalogservice,756650,0,0,0
2026-09-04T10:39:56Z,checkoutservice,4867,120,0,44
2026-09-04T10:40:01Z,cartservice,192226,0,0,0
2026-09-04T10:40:01Z,productcatalogservice,765955,0,0,0
2026-09-04T10:40:01Z,checkoutservice,4913,120,0,44
2026-09-04T10:40:07Z,cartservice,194667,0,0,0
2026-09-04T10:40:07Z,productcatalogservice,776078,0,0,0
2026-09-04T10:40:07Z,checkoutservice,4977,120,0,44
2026-09-04T10:40:12Z,cartservice,197202,0,0,0
2026-09-04T10:40:12Z,productcatalogservice,786638,0,0,0
2026-09-04T10:40:12Z,checkoutservice,5024,120,0,44
2026-09-04T10:40:17Z,cartservice,199930,0,0,0
2026-09-04T10:40:17Z,productcatalogservice,796887,0,0,0
2026-09-04T10:40:17Z,checkoutservice,5092,120,0,44
2026-09-04T10:40:23Z,cartservice,202528,0,0,0
2026-09-04T10:40:23Z,productcatalogservice,807112,0,0,0
2026-09-04T10:40:23Z,checkoutservice,5142,120,0,44
2026-09-04T10:40:28Z,cartservice,205166,0,0,0
2026-09-04T10:40:28Z,productcatalogservice,817646,0,0,0
2026-09-04T10:40:28Z,checkoutservice,5200,120,0,44
2026-09-04T10:40:34Z,cartservice,207914,0,0,0
2026-09-04T10:40:34Z,productcatalogservice,828040,0,0,0
2026-09-04T10:40:34Z,checkoutservice,5262,120,0,44
2026-09-04T10:40:39Z,cartservice,210479,0,0,0
2026-09-04T10:40:39Z,productcatalogservice,838972,0,0,0
2026-09-04T10:40:39Z,checkoutservice,5310,120,0,44
2026-09-04T10:40:44Z,cartservice,213214,0,0,0
2026-09-04T10:40:44Z,productcatalogservice,849593,0,0,0
2026-09-04T10:40:44Z,checkoutservice,5375,120,0,44
2026-09-04T10:40:50Z,cartservice,215822,0,0,0
2026-09-04T10:40:50Z,productcatalogservice,860186,0,0,0
