RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,540.0,0
90.0,0.0,90.0,540.0,0
100.5,0.0,100.5,610.0,0
102.5,0.0,102.5,630.0,0
79.5,0.0,79.5,1000.0,0
104.5,1.0,103.5,970.0,0
129.0,1.0,128.0,640.0,0
87.0,0.0,87.0,1000.0,0
86.5,8.5,78.0,1000.0,0
102.0,8.5,93.5,1000.0,0
101.0,4.5,96.5,1100.0,0
124.5,23.5,101.0,1100.0,0
93.0,0.0,93.0,1000.0,0
118.5,2.0,116.5,1000.0,0
120.0,5.5,114.5,1000.0,0
114.0,5.5,108.5,940.0,0
112.5,2.0,110.5,970.0,0
114.0,18.0,96.0,1200.0,0
103.0,40.0,63.0,1100.0,0
111.5,58.0,53.5,1200.0,0
116.5,36.0,80.5,1100.0,0
104.5,23.5,81.0,1200.0,0
121.5,71.0,50.5,1200.0,0
134.0,48.5,85.5,1000.0,0
128.5,0.5,128.0,1000.0,0
124.5,0.5,124.0,1100.0,0
123.5,3.0,120.5,1100.0,0
121.0,36.5,84.5,1200.0,0
130.5,77.0,53.5,1200.0,0
119.0,91.0,28.0,1400.0,0
130.0,93.0,37.0,1400.0,0
142.0,63.5,78.5,1100.0,0
103.0,82.5,20.5,1600.0,0
101.5,101.0,0.5,1700.0,0
114.5,112.5,2.0,1400.0,0
127.5,127.0,0.5,1500.0,0
124.5,116.0,8.5,1500.0,0
134.0,115.5,18.5,1400.0,0
123.0,105.5,17.5,1400.0,0
124.0,106.0,18.0,1400.0,0
118.0,115.5,2.5,1600.0,0
111.5,109.0,2.5,1600.0,0
127.0,115.5,11.5,1400.0,0
119.5,115.5,4.0,1400.0,0
98.0,93.5,4.5,1600.0,0
105.0,105.0,0.0,1700.0,0
132.0,125.0,7.0,1700.0,0
134.0,113.5,20.5,1500.0,0
126.5,120.0,6.5,1500.0,0
123.5,121.5,2.0,1500.0,0
130.5,116.0,14.5,1300.0,0
124.5,107.0,17.5,1500.0,0
105.5,105.0,0.5,1500.0,0
131.0,125.0,6.0,1600.0,0
137.0,125.5,11.5,1400.0,0
131.0,117.0,14.0,1400.0,0
121.5,105.5,16.0,1300.0,0
113.5,113.5,0.0,1500.0,0
116.5,108.5,8.0,1600.0,0
136.0,118.0,18.0,1500.0,0
124.0,113.5,10.5,1500.0,0
109.5,108.5,1.0,1500.0,0
106.5,106.5,0.0,1500.0,0
104.5,104.5,0.0,1600.0,0
107.5,107.5,0.0,1700.0,0
117.0,117.0,0.0,1500.0,0
122.0,122.0,0.0,1500.0,0
119.0,119.0,0.0,1500.0,0
104.5,104.5,0.0,1500.0,0
117.0,117.0,0.0,1600.0,0
115.0,115.0,0.0,1600.0,0
109.5,109.5,0.0,1600.0,0
111.0,111.0,0.0,1600.0,0
119.5,116.5,3.0,1600.0,0
123.5,118.5,5.0,1600.0,0
118.5,117.5,1.0,1600.0,0
108.0,107.0,1.0,1600.0,0
110.5,110.5,0.0,1600.0,0
139.5,116.5,23.0,1400.0,0
131.5,84.5,47.0,1400.0,0
104.5,88.5,16.0,1600.0,0
