RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
14.0,0.0,14.0,310.0,0
12.0,0.0,12.0,400.0,0
66.0,0.0,66.0,380.0,0
71.0,0.0,71.0,410.0,0
68.5,0.0,68.5,430.0,0
76.0,0.0,76.0,430.0,0
78.5,0.0,78.5,410.0,0
98.0,0.0,98.0,370.0,0
81.5,0.0,81.5,230.0,0
71.0,0.0,71.0,410.0,0
84.5,0.0,84.5,410.0,0
79.0,0.0,79.0,420.0,0
82.5,0.0,82.5,400.0,0
96.5,0.0,96.5,310.0,0
90.0,0.0,90.0,320.0,0
83.5,0.0,83.5,320.0,0
88.5,0.0,88.5,330.0,0
89.5,0.0,89.5,270.0,0
86.0,0.0,86.0,380.0,0
86.0,0.0,86.0,340.0,0
90.0,0.0,90.0,290.0,0
95.0,0.0,95.0,330.0,0
94.5,0.0,94.5,240.0,0
82.5,0.0,82.5,320.0,0
102.5,0.0,102.5,320.0,0
101.5,0.0,101.5,210.0,0
88.0,0.0,88.0,290.0,0
94.0,0.0,94.0,270.0,0
88.0,0.0,88.0,290.0,0
91.0,0.0,91.0,290.0,0
103.5,0.0,103.5,190.0,0
88.5,3.5,85.0,370.0,0
80.5,0.0,80.5,370.0,0
102.5,0.0,102.5,170.0,0
114.5,0.0,114.5,220.0,0
107.0,0.0,107.0,220.0,0
103.0,0.0,103.0,170.0,0
94.5,0.0,94.5,380.0,0
109.5,0.0,109.5,380.0,0
109.0,0.0,109.0,140.0,0
107.5,0.0,107.5,130.0,0
102.0,0.0,102.0,140.0,0
105.5,0.0,105.5,180.0,0
110.0,0.0,110.0,210.0,0
105.0,0.0,105.0,220.0,0
96.0,0.0,96.0,250.0,0
106.0,0.0,106.0,280.0,0
100.5,0.0,100.5,270.0,0
111.5,0.0,111.5,490.0,0
102.5,0.0,102.5,490.0,0
107.0,0.0,107.0,310.0,0
103.0,0.0,103.0,310.0,0
96.0,0.0,96.0,160.0,0
89.5,0.0,89.5,270.0,0
102.0,0.0,102.0,390.0,0
110.5,0.0,110.5,390.0,0
103.5,0.0,103.5,410.0,0
102.5,0.0,102.5,380.0,0
107.0,0.0,107.0,400.0,0
91.5,0.0,91.5,400.0,0
99.5,0.0,99.5,370.0,0
97.0,0.0,97.0,250.0,0
93.5,0.0,93.5,410.0,0
103.5,0.0,103.5,410.0,0
102.5,0.0,102.5,400.0,0
104.5,0.0,104.5,400.0,0
113.5,0.0,113.5,400.0,0
97.5,0.0,97.5,400.0,0
98.5,0.0,98.5,400.0,0
