timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-05T16:42:49Z,frontend,0,47149056,1
2026-09-05T16:42:49Z,cartservice,4,79126528,1
2026-09-05T16:42:49Z,checkoutservice,4,19042304,1
2026-09-05T16:42:49Z,productcatalogservice,3,32182272,1
2026-09-05T16:42:49Z,paymentservice,3,40116224,1
2026-09-05T16:42:49Z,recommendationservice,7,106778624,1
2026-09-05T16:42:49Z,shippingservice,5,32108544,1
2026-09-05T16:42:49Z,currencyservice,3,89145344,1
2026-09-05T16:42:49Z,emailservice,8,92602368,1
2026-09-05T16:42:49Z,adservice,28,293519360,1
2026-09-05T16:42:49Z,redis-cart,4,36212736,1
2026-09-05T16:42:54Z,frontend,0,47149056,1
2026-09-05T16:42:54Z,cartservice,4,79126528,1
2026-09-05T16:42:54Z,checkoutservice,4,19042304,1
2026-09-05T16:42:54Z,productcatalogservice,3,32374784,1
2026-09-05T16:42:54Z,paymentservice,3,40144896,1
2026-09-05T16:42:54Z,recommendationservice,7,106778624,1
2026-09-05T16:42:54Z,shippingservice,5,32116736,1
2026-09-05T16:42:54Z,currencyservice,3,89169920,1
2026-09-05T16:42:54Z,emailservice,8,92602368,1
2026-09-05T16:42:54Z,adservice,28,293519360,1
2026-09-05T16:42:54Z,redis-cart,4,36212736,1
2026-09-05T16:43:00Z,frontend,0,47149056,1
2026-09-05T16:43:00Z,cartservice,4,79126528,1
2026-09-05T16:43:00Z,checkoutservice,3,19042304,1
2026-09-05T16:43:00Z,productcatalogservice,3,32374784,1
2026-09-05T16:43:00Z,paymentservice,3,40144896,1
2026-09-05T16:43:00Z,recommendationservice,7,106778624,1
2026-09-05T16:43:00Z,shippingservice,5,32124928,1
2026-09-05T16:43:00Z,currencyservice,4,89169920,1
2026-09-05T16:43:00Z,emailservice,8,92602368,1
2026-09-05T16:43:00Z,adservice,27,293519360,1
2026-09-05T16:43:00Z,redis-cart,5,36208640,1
2026-09-05T16:43:05Z,frontend,0,47149056,1
2026-09-05T16:43:05Z,cartservice,4,79069184,1
2026-09-05T16:43:05Z,checkoutservice,3,19042304,1
2026-09-05T16:43:05Z,productcatalogservice,3,32583680,1
2026-09-05T16:43:05Z,paymentservice,3,40177664,1
2026-09-05T16:43:05Z,recommendationservice,7,106778624,1
2026-09-05T16:43:05Z,shippingservice,5,32178176,1
2026-09-05T16:43:05Z,currencyservice,4,89223168,1
2026-09-05T16:43:05Z,emailservice,8,92602368,1
2026-09-05T16:43:05Z,adservice,27,293519360,1
2026-09-05T16:43:05Z,redis-cart,5,36208640,1
2026-09-05T16:43:10Z,frontend,0,51998720,1
2026-09-05T16:43:10Z,cartservice,5,79216640,1
2026-09-05T16:43:10Z,checkoutservice,3,22405120,1
2026-09-05T16:43:10Z,productcatalogservice,3,32358400,1
2026-09-05T16:43:10Z,paymentservice,3,39956480,1
2026-09-05T16:43:10Z,recommendationservice,10,106778624,1
2026-09-05T16:43:10Z,shippingservice,4,32030720,1
2026-09-05T16:43:10Z,currencyservice,3,89370624,1
2026-09-05T16:43:10Z,emailservice,7,92602368,1
2026-09-05T16:43:10Z,adservice,29,293740544,1
2026-09-05T16:43:10Z,redis-cart,4,36106240,1
2026-09-05T16:43:15Z,frontend,0,52662272,1
2026-09-05T16:43:15Z,cartservice,5,79855616,1
2026-09-05T16:43:15Z,checkoutservice,3,21012480,1
2026-09-05T16:43:15Z,productcatalogservice,3,31924224,1
2026-09-05T16:43:15Z,paymentservice,3,39972864,1
2026-09-05T16:43:15Z,recommendationservice,10,106778624,1
2026-09-05T16:43:15Z,shippingservice,4,31911936,1
2026-09-05T16:43:15Z,currencyservice,3,88788992,1
2026-09-05T16:43:15Z,emailservice,7,92602368,1
2026-09-05T16:43:15Z,adservice,29,293765120,1
2026-09-05T16:43:15Z,redis-cart,4,36118528,1
2026-09-05T16:43:21Z,frontend,391,54784000,1
2026-09-05T16:43:21Z,cartservice,79,79900672,1
2026-09-05T16:43:21Z,checkoutservice,80,22261760,1
2026-09-05T16:43:21Z,productcatalogservice,156,31805440,1
2026-09-05T16:43:21Z,paymentservice,8,39993344,1
2026-09-05T16:43:21Z,recommendationservice,261,106778624,1
2026-09-05T16:43:21Z,shippingservice,30,32292864,1
2026-09-05T16:43:21Z,currencyservice,117,89128960,1
