timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T17:01:10Z,cartservice,224467,0,0,0
2026-09-05T17:01:10Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:10Z,paymentservice,112197,0,0,0
2026-09-05T17:01:15Z,cartservice,224467,0,0,0
2026-09-05T17:01:15Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:15Z,paymentservice,112197,0,0,0
2026-09-05T17:01:21Z,cartservice,224467,0,0,0
2026-09-05T17:01:21Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:21Z,paymentservice,112197,0,0,0
2026-09-05T17:01:26Z,cartservice,224467,0,0,0
2026-09-05T17:01:26Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:26Z,paymentservice,112197,0,0,0
2026-09-05T17:01:31Z,cartservice,224467,0,0,0
2026-09-05T17:01:31Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:31Z,paymentservice,112197,0,0,0
2026-09-05T17:01:37Z,cartservice,224467,0,0,0
2026-09-05T17:01:37Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:37Z,paymentservice,112197,0,0,0
2026-09-05T17:01:42Z,cartservice,224467,0,0,0
2026-09-05T17:01:42Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:42Z,paymentservice,112197,0,0,0
2026-09-05T17:01:48Z,cartservice,224467,0,0,0
2026-09-05T17:01:48Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:48Z,paymentservice,112197,0,0,0
2026-09-05T17:01:53Z,cartservice,224467,0,0,0
2026-09-05T17:01:53Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:53Z,paymentservice,112197,0,0,0
2026-09-05T17:01:58Z,cartservice,224542,0,0,0
2026-09-05T17:01:58Z,productcatalogservice,0,0,0,0
2026-09-05T17:01:58Z,paymentservice,112235,0,0,0
2026-09-05T17:02:04Z,cartservice,224634,0,0,0
2026-09-05T17:02:04Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:04Z,paymentservice,112278,0,0,0
2026-09-05T17:02:09Z,cartservice,224734,0,0,0
2026-09-05T17:02:09Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:09Z,paymentservice,112330,0,0,0
2026-09-05T17:02:14Z,cartservice,224834,0,0,0
2026-09-05T17:02:14Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:14Z,paymentservice,112377,0,0,0
2026-09-05T17:02:20Z,cartservice,224926,0,0,0
2026-09-05T17:02:20Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:20Z,paymentservice,112426,0,0,0
2026-09-05T17:02:25Z,cartservice,225021,0,0,0
2026-09-05T17:02:25Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:25Z,paymentservice,112477,0,0,0
2026-09-05T17:02:30Z,cartservice,225116,0,0,0
2026-09-05T17:02:30Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:30Z,paymentservice,112518,0,0,0
2026-09-05T17:02:36Z,cartservice,225215,0,0,0
2026-09-05T17:02:36Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:36Z,paymentservice,112568,0,0,0
2026-09-05T17:02:41Z,cartservice,225301,0,0,0
2026-09-05T17:02:41Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:41Z,paymentservice,112614,0,0,0
2026-09-05T17:02:47Z,cartservice,225409,0,0,0
2026-09-05T17:02:47Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:47Z,paymentservice,112664,0,0,0
2026-09-05T17:02:52Z,cartservice,225503,0,0,0
2026-09-05T17:02:52Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:52Z,paymentservice,112715,0,0,0
2026-09-05T17:02:57Z,cartservice,225600,0,0,0
2026-09-05T17:02:57Z,productcatalogservice,0,0,0,0
2026-09-05T17:02:57Z,paymentservice,112763,0,0,0
2026-09-05T17:03:03Z,cartservice,225694,0,0,0
2026-09-05T17:03:03Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:03Z,paymentservice,112813,0,0,0
2026-09-05T17:03:08Z,cartservice,225793,0,0,0
2026-09-05T17:03:08Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:08Z,paymentservice,112860,0,0,0
2026-09-05T17:03:14Z,cartservice,225891,0,0,0
2026-09-05T17:03:14Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:14Z,paymentservice,112905,0,0,0
2026-09-05T17:03:19Z,cartservice,225993,0,0,0
2026-09-05T17:03:19Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:19Z,paymentservice,112957,0,0,0
2026-09-05T17:03:25Z,cartservice,226097,0,0,0
2026-09-05T17:03:25Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:25Z,paymentservice,113008,0,0,0
2026-09-05T17:03:30Z,cartservice,226189,0,0,0
2026-09-05T17:03:30Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:30Z,paymentservice,113058,0,0,0
2026-09-05T17:03:35Z,cartservice,226290,0,0,0
2026-09-05T17:03:35Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:35Z,paymentservice,113109,0,0,0
2026-09-05T17:03:41Z,cartservice,226381,0,0,0
2026-09-05T17:03:41Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:41Z,paymentservice,113151,0,0,0
2026-09-05T17:03:46Z,cartservice,226481,0,0,0
2026-09-05T17:03:46Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:46Z,paymentservice,113206,0,0,0
2026-09-05T17:03:51Z,cartservice,226578,0,0,0
2026-09-05T17:03:51Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:51Z,paymentservice,113248,0,0,0
2026-09-05T17:03:57Z,cartservice,226679,0,0,0
2026-09-05T17:03:57Z,productcatalogservice,0,0,0,0
2026-09-05T17:03:57Z,paymentservice,113303,0,0,0
2026-09-05T17:04:02Z,cartservice,226771,0,0,0
2026-09-05T17:04:02Z,productcatalogservice,0,0,0,0
2026-09-05T17:04:02Z,paymentservice,113349,0,0,0
2026-09-05T17:04:08Z,cartservice,226877,0,0,0
