RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,170.0,0.0
150.0,0.0,150.0,362.0,0.0
180.0,0.0,180.0,446.0,0.0
209.0,0.0,209.0,496.0,0.0
216.5,0.0,216.5,530.0,0.0
222.5,1.5,221.0,568.0,0.0
225.5,6.5,219.0,584.0,0.0
232.0,9.5,222.5,548.0,0.0
233.5,8.0,225.5,616.0,0.0
243.5,6.0,237.5,596.0,0.0
246.5,5.5,241.0,628.0,0.0
254.0,4.5,249.5,616.0,0.0
252.0,2.5,249.5,606.0,0.0
262.0,2.0,260.0,614.0,0.0
268.0,5.0,263.0,608.0,0.0
274.5,9.5,265.0,638.0,0.0
279.0,9.0,270.0,636.0,0.0
289.0,4.0,285.0,562.0,0.0
290.0,3.5,286.5,600.0,0.0
295.0,6.5,288.5,590.0,0.0
301.5,0.0,301.5,606.0,0.0
293.0,2.0,291.0,730.0,0.0
310.0,7.0,303.0,694.0,0.0
314.5,8.5,306.0,660.0,0.0
324.5,4.0,320.5,620.0,0.0
324.5,1.0,323.5,754.0,0.0
328.5,4.5,324.0,760.0,0.0
331.0,1.5,329.5,740.0,0.0
339.0,4.5,334.5,736.0,0.0
346.5,8.0,338.5,724.0,0.0
349.5,6.5,343.0,714.0,0.0
353.0,6.5,346.5,672.0,0.0
360.5,2.5,358.0,636.0,0.0
347.5,3.5,344.0,770.0,0.0
351.5,4.5,347.0,830.0,0.0
397.5,11.5,386.0,738.0,0.0
368.0,7.0,361.0,814.0,0.0
365.0,6.0,359.0,980.0,0.0
367.5,5.0,362.5,1002.0,0.0
382.0,4.0,378.0,818.0,0.0
354.5,9.0,345.5,848.0,0.0
413.0,20.5,392.5,810.0,0.0
421.5,10.0,411.5,582.4,0.0
459.5,2.5,457.0,512.0,0.0
408.0,1.5,406.5,510.0,0.0
382.5,0.5,382.0,660.0,0.0
380.5,5.0,375.5,618.0,0.0
439.0,8.5,430.5,602.0,0.0
431.5,6.5,425.0,592.0,0.0
