RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
50.0,0.0,50.0,230.0,0
50.5,0.0,50.5,330.0,0
51.0,0.0,51.0,390.0,0
53.0,0.0,53.0,480.0,0
54.0,0.0,54.0,360.0,0
55.0,0.0,55.0,480.0,0
56.5,0.0,56.5,380.0,0
57.5,0.0,57.5,460.0,0
59.0,0.0,59.0,410.0,0
60.0,0.0,60.0,370.0,0
61.0,0.0,61.0,410.0,0
58.5,0.0,58.5,530.0,0
64.0,0.0,64.0,500.0,0
64.5,0.0,64.5,500.0,0
67.5,0.0,67.5,440.0,0
68.5,0.0,68.5,460.0,0
68.5,0.0,68.5,400.0,0
48.0,0.0,48.0,580.0,0
67.0,0.0,67.0,570.0,0
97.0,0.0,97.0,470.0,0
36.5,0.0,36.5,550.0,0
82.5,0.0,82.5,650.0,0
72.0,0.0,72.0,630.0,0
79.5,0.0,79.5,530.0,0
51.0,0.0,51.0,590.0,0
68.5,0.0,68.5,610.0,0
35.5,0.0,35.5,660.0,0
82.0,21.0,61.0,1100.0,0
110.0,24.5,85.5,710.0,0
84.5,0.0,84.5,1100.0,0
79.5,0.0,79.5,1100.0,0
83.0,0.0,83.0,930.0,0
91.5,0.0,91.5,920.0,0
89.0,0.0,89.0,900.0,0
87.5,0.0,87.5,920.0,0
91.0,0.0,91.0,870.0,0
87.0,0.0,87.0,970.0,0
82.5,1.0,81.5,1000.0,0
90.5,1.0,89.5,940.0,0
94.0,0.0,94.0,990.0,0
101.0,0.0,101.0,920.0,0
103.0,0.0,103.0,920.0,0
91.5,0.0,91.5,710.0,0
94.0,0.0,94.0,750.0,0
98.0,0.0,98.0,810.0,0
98.0,0.0,98.0,810.0,0
98.5,0.0,98.5,830.0,0
99.0,0.0,99.0,650.0,0
100.0,0.0,100.0,850.0,0
106.0,0.0,106.0,930.0,0
104.5,0.0,104.5,750.0,0
96.0,0.0,96.0,750.0,0
96.5,0.0,96.5,760.0,0
97.0,0.0,97.0,740.0,0
99.0,0.0,99.0,720.0,0
97.5,0.0,97.5,790.0,0
103.5,0.0,103.5,790.0,0
99.0,0.0,99.0,730.0,0
99.5,0.0,99.5,730.0,0
100.5,0.0,100.5,690.0,0
102.0,0.0,102.0,810.0,0
102.5,0.0,102.5,670.0,0
98.5,0.0,98.5,710.0,0
97.5,0.0,97.5,710.0,0
99.0,0.0,99.0,700.0,0
102.0,0.0,102.0,710.0,0
101.0,0.0,101.0,720.0,0
99.5,0.0,99.5,720.0,0
95.5,0.0,95.5,680.0,0
95.5,0.0,95.5,680.0,0
104.0,0.0,104.0,720.0,0
104.0,0.0,104.0,720.0,0
98.5,0.0,98.5,650.0,0
98.0,0.0,98.0,730.0,0
98.5,0.0,98.5,760.0,0
100.0,0.0,100.0,660.0,0
105.0,0.0,105.0,650.0,0
99.5,0.0,99.5,640.0,0
97.0,0.0,97.0,680.0,0
99.5,0.0,99.5,750.0,0
101.5,0.0,101.5,730.0,0
99.0,0.0,99.0,750.0,0
97.0,0.0,97.0,740.0,0
97.5,0.0,97.5,770.0,0
103.5,0.0,103.5,770.0,0
102.0,0.0,102.0,750.0,0
98.0,0.0,98.0,750.0,0
96.0,0.0,96.0,720.0,0
100.0,0.0,100.0,710.0,0
98.5,0.0,98.5,690.0,0
100.5,0.0,100.5,780.0,0
100.5,0.0,100.5,750.0,0
101.5,0.0,101.5,750.0,0
99.0,0.0,99.0,720.0,0
102.5,0.0,102.5,670.0,0
93.0,0.0,93.0,630.0,0
97.5,0.0,97.5,750.0,0
97.5,0.0,97.5,660.0,0
105.0,0.0,105.0,670.0,0
99.0,0.0,99.0,660.0,0
98.5,0.0,98.5,770.0,0
98.0,0.0,98.0,780.0,0
99.5,0.0,99.5,710.0,0
105.0,0.0,105.0,810.0,0
94.5,0.0,94.5,710.0,0
98.5,0.0,98.5,710.0,0
100.0,0.0,100.0,680.0,0
100.0,0.0,100.0,690.0,0
100.0,0.0,100.0,740.0,0
100.5,0.0,100.5,680.0,0
98.0,0.0,98.0,760.0,0
104.5,0.0,104.5,760.0,0
97.5,0.0,97.5,700.0,0
96.5,0.0,96.5,700.0,0
102.5,0.0,102.5,730.0,0
98.0,0.0,98.0,750.0,0
98.5,0.0,98.5,660.0,0
98.0,0.0,98.0,720.0,0
102.5,0.0,102.5,690.0,0
98.5,0.0,98.5,700.0,0
97.5,0.0,97.5,700.0,0
101.5,0.0,101.5,720.0,0
99.5,0.0,99.5,680.0,0
98.5,0.0,98.5,760.0,0
97.5,0.0,97.5,750.0,0
100.0,0.0,100.0,770.0,0
97.5,0.0,97.5,740.0,0
101.5,0.0,101.5,730.0,0
104.5,0.0,104.5,680.0,0
97.5,0.0,97.5,750.0,0
100.5,0.0,100.5,660.0,0
102.0,0.0,102.0,720.0,0
100.0,0.0,100.0,720.0,0
100.0,0.0,100.0,770.0,0
99.0,0.0,99.0,770.0,0
98.5,0.0,98.5,750.0,0
103.0,0.0,103.0,630.0,0
100.5,0.0,100.5,670.0,0
99.5,0.0,99.5,680.0,0
97.5,0.0,97.5,690.0,0
96.5,0.0,96.5,730.0,0
102.0,0.0,102.0,780.0,0
100.5,0.0,100.5,750.0,0
98.0,0.0,98.0,830.0,0
102.0,0.0,102.0,800.0,0
101.0,0.0,101.0,750.0,0
99.0,0.0,99.0,670.0,0
99.0,0.0,99.0,760.0,0
97.5,0.0,97.5,800.0,0
92.0,0.0,92.0,950.0,0
76.5,0.0,76.5,910.0,0
119.0,0.0,119.0,800.0,0
100.5,0.0,100.5,730.0,0
99.0,0.0,99.0,740.0,0
101.5,0.0,101.5,760.0,0
100.0,0.0,100.0,830.0,0
97.5,0.0,97.5,810.0,0
96.0,0.0,96.0,700.0,0
95.5,0.0,95.5,710.0,0
106.5,0.0,106.5,810.0,0
100.0,0.0,100.0,810.0,0
100.0,0.0,100.0,830.0,0
97.0,0.0,97.0,830.0,0
100.5,0.0,100.5,700.0,0
104.0,0.0,104.0,670.0,0
100.5,0.0,100.5,760.0,0
96.0,0.0,96.0,710.0,0
97.5,0.0,97.5,780.0,0
100.0,0.0,100.0,780.0,0
100.5,0.0,100.5,710.0,0
101.0,0.0,101.0,710.0,0
101.0,0.0,101.0,660.0,0
98.5,0.0,98.5,730.0,0
97.5,0.0,97.5,780.0,0
100.0,0.0,100.0,800.0,0
97.5,0.0,97.5,730.0,0
100.0,0.0,100.0,750.0,0
98.5,0.0,98.5,750.0,0
99.5,0.0,99.5,710.0,0
101.0,0.0,101.0,720.0,0
100.0,0.0,100.0,730.0,0
101.0,0.0,101.0,680.0,0
104.5,0.0,104.5,680.0,0
100.0,0.0,100.0,680.0,0
96.0,0.0,96.0,690.0,0
96.0,0.0,96.0,670.0,0
91.5,0.0,91.5,710.0,0
87.5,0.0,87.5,780.0,0
120.5,0.0,120.5,680.0,0
98.5,0.0,98.5,730.0,0
99.0,0.0,99.0,730.0,0
103.0,0.0,103.0,710.0,0
101.0,0.0,101.0,710.0,0
100.0,0.0,100.0,670.0,0
98.0,0.0,98.0,710.0,0
98.0,0.0,98.0,700.0,0
100.5,0.0,100.5,680.0,0
100.0,0.0,100.0,670.0,0
97.5,0.0,97.5,700.0,0
99.5,0.0,99.5,710.0,0
104.0,0.0,104.0,710.0,0
97.5,0.0,97.5,680.0,0
98.0,0.0,98.0,670.0,0
99.0,0.0,99.0,760.0,0
100.0,0.0,100.0,780.0,0
98.5,0.0,98.5,780.0,0
98.5,0.0,98.5,650.0,0
104.0,0.0,104.0,670.0,0
102.5,0.0,102.5,650.0,0
100.5,0.0,100.5,730.0,0
92.0,0.0,92.0,690.0,0
95.5,0.0,95.5,720.0,0
107.0,0.0,107.0,720.0,0
103.5,0.0,103.5,690.0,0
92.0,0.0,92.0,680.0,0
103.0,0.0,103.0,690.0,0
98.0,0.0,98.0,720.0,0
99.0,0.0,99.0,720.0,0
101.0,0.0,101.0,760.0,0
98.5,0.0,98.5,760.0,0
100.0,0.0,100.0,700.0,0
100.0,0.0,100.0,720.0,0
102.0,0.0,102.0,700.0,0
99.0,0.0,99.0,720.0,0
96.0,0.0,96.0,700.0,0
95.5,0.0,95.5,700.0,0
104.0,0.0,104.0,690.0,0
103.0,0.0,103.0,760.0,0
97.0,0.0,97.0,680.0,0
98.0,0.0,98.0,790.0,0
98.5,0.0,98.5,740.0,0
99.0,0.0,99.0,710.0,0
96.5,0.0,96.5,710.0,0
104.0,0.0,104.0,670.0,0
99.0,0.0,99.0,670.0,0
103.0,0.0,103.0,690.0,0
99.5,0.0,99.5,700.0,0
99.5,0.0,99.5,740.0,0
100.5,0.0,100.5,720.0,0
98.0,0.0,98.0,720.0,0
84.5,0.0,84.5,720.0,0
112.5,0.0,112.5,720.0,0
99.0,0.0,99.0,710.0,0
100.0,0.0,100.0,720.0,0
101.5,0.0,101.5,710.0,0
99.0,0.0,99.0,740.0,0
95.5,0.0,95.5,740.0,0
102.0,0.0,102.0,690.0,0
98.0,0.0,98.0,750.0,0
95.0,0.0,95.0,820.0,0
104.0,0.0,104.0,680.0,0
98.5,0.0,98.5,720.0,0
100.5,0.0,100.5,700.0,0
96.0,0.0,96.0,700.0,0
94.0,0.0,94.0,730.0,0
106.0,0.0,106.0,730.0,0
103.0,0.0,103.0,700.0,0
94.5,0.0,94.5,810.0,0
103.5,0.0,103.5,790.0,0
100.0,0.0,100.0,660.0,0
101.5,0.0,101.5,650.0,0
100.0,0.0,100.0,660.0,0
102.0,0.0,102.0,700.0,0
93.0,0.0,93.0,700.0,0
101.0,0.0,101.0,800.0,0
100.5,0.0,100.5,830.0,0
102.0,0.0,102.0,700.0,0
97.5,0.0,97.5,710.0,0
