RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,220.0,0
13.0,0.0,13.0,430.0,0
23.0,0.0,23.0,430.0,0
76.0,0.0,76.0,550.0,0
81.0,0.0,81.0,430.0,0
83.0,0.0,83.0,310.0,0
88.0,0.0,88.0,340.0,0
80.0,0.0,80.0,330.0,0
80.0,0.0,80.0,380.0,0
77.5,0.0,77.5,380.0,0
84.0,0.0,84.0,320.0,0
86.5,0.0,86.5,360.0,0
96.0,0.0,96.0,360.0,0
87.5,0.0,87.5,350.0,0
87.0,0.0,87.0,350.0,0
76.0,0.0,76.0,370.0,0
76.5,0.0,76.5,330.0,0
88.0,0.0,88.0,310.0,0
105.0,0.0,105.0,310.0,0
70.5,0.0,70.5,440.0,0
107.0,0.0,107.0,420.0,0
120.0,0.0,120.0,180.0,0
94.5,0.0,94.5,310.0,0
109.5,0.0,109.5,240.0,0
85.5,0.0,85.5,270.0,0
75.0,0.0,75.0,340.0,0
86.5,0.0,86.5,340.0,0
104.5,0.0,104.5,430.0,0
104.0,0.0,104.0,390.0,0
110.0,0.0,110.0,150.0,0
96.5,0.0,96.5,200.0,0
106.5,0.0,106.5,360.0,0
95.0,0.0,95.0,360.0,0
96.0,0.0,96.0,210.0,0
102.5,0.0,102.5,120.0,0
83.0,0.0,83.0,300.0,0
103.0,0.0,103.0,250.0,0
106.5,0.0,106.5,300.0,0
99.5,0.0,99.5,300.0,0
102.5,0.0,102.5,320.0,0
89.0,0.0,89.0,320.0,0
92.5,0.0,92.5,310.0,0
103.5,0.0,103.5,420.0,0
97.0,0.0,97.0,390.0,0
99.0,0.0,99.0,390.0,0
102.0,0.0,102.0,360.0,0
102.0,0.0,102.0,360.0,0
82.0,0.0,82.0,340.0,0
77.0,0.0,77.0,310.0,0
78.5,0.0,78.5,310.0,0
100.5,0.0,100.5,360.0,0
104.0,0.0,104.0,320.0,0
105.5,0.0,105.5,310.0,0
92.0,0.0,92.0,280.0,0
98.0,0.0,98.0,350.0,0
86.5,0.0,86.5,350.0,0
96.0,0.0,96.0,220.0,0
102.0,0.0,102.0,140.0,0
95.5,0.0,95.5,350.0,0
101.5,0.0,101.5,110.0,0
88.5,0.0,88.5,380.0,0
98.5,0.0,98.5,380.0,0
95.0,0.0,95.0,330.0,0
109.5,0.0,109.5,310.0,0
107.0,0.0,107.0,300.0,0
104.5,0.0,104.5,360.0,0
92.0,0.0,92.0,380.0,0
101.5,0.0,101.5,330.0,0
94.0,0.0,94.0,350.0,0
93.5,0.0,93.5,300.0,0
94.5,0.0,94.5,300.0,0
98.5,0.0,98.5,350.0,0
92.5,0.0,92.5,380.0,0
87.5,0.0,87.5,380.0,0
98.0,0.0,98.0,330.0,0
97.0,0.0,97.0,330.0,0
103.0,0.0,103.0,320.0,0
102.0,0.0,102.0,210.0,0
101.0,0.0,101.0,210.0,0
104.5,0.0,104.5,320.0,0
103.5,0.0,103.5,350.0,0
101.0,0.0,101.0,350.0,0
109.0,0.0,109.0,140.0,0
111.5,0.0,111.5,110.0,0
93.5,0.0,93.5,120.0,0
85.0,0.0,85.0,120.0,0
92.0,0.0,92.0,100.0,0
98.0,0.0,98.0,92.0,0
98.0,0.0,98.0,130.0,0
97.5,0.0,97.5,130.0,0
95.5,0.0,95.5,130.0,0
90.0,0.0,90.0,130.0,0
88.5,0.0,88.5,89.0,0
93.0,0.0,93.0,120.0,0
95.0,0.0,95.0,100.0,0
102.0,0.0,102.0,75.0,0
93.0,0.0,93.0,120.0,0
95.0,0.0,95.0,140.0,0
93.0,0.0,93.0,130.0,0
97.5,0.0,97.5,120.0,0
89.0,0.0,89.0,170.0,0
107.0,0.0,107.0,180.0,0
95.5,0.0,95.5,160.0,0
86.0,0.0,86.0,110.0,0
86.0,0.0,86.0,120.0,0
82.0,0.0,82.0,110.0,0
76.5,0.0,76.5,140.0,0
86.0,0.0,86.0,180.0,0
92.0,0.0,92.0,100.0,0
84.5,0.0,84.5,99.0,0
83.0,0.0,83.0,100.0,0
89.5,0.0,89.5,86.0,0
86.0,0.0,86.0,91.0,0
91.5,0.0,91.5,110.0,0
93.5,0.0,93.5,110.0,0
98.0,0.0,98.0,100.0,0
102.5,0.0,102.5,110.0,0
109.5,0.0,109.5,110.0,0
92.0,0.0,92.0,100.0,0
91.5,0.0,91.5,110.0,0
97.0,0.0,97.0,100.0,0
106.5,0.0,106.5,95.0,0
96.0,0.0,96.0,95.0,0
87.0,0.0,87.0,88.0,0
89.0,0.0,89.0,88.0,0
87.0,0.0,87.0,110.0,0
97.0,0.0,97.0,120.0,0
108.0,0.0,108.0,81.0,0
98.0,0.0,98.0,81.0,0
92.0,0.0,92.0,140.0,0
102.0,0.0,102.0,140.0,0
97.0,0.0,97.0,88.0,0
106.0,0.0,106.0,99.0,0
107.0,0.0,107.0,94.0,0
109.0,0.0,109.0,86.0,0
101.0,0.0,101.0,100.0,0
90.5,0.0,90.5,79.0,0
95.5,0.0,95.5,110.0,0
102.0,0.0,102.0,96.0,0
99.5,0.0,99.5,120.0,0
94.5,0.0,94.5,81.0,0
90.0,0.0,90.0,94.0,0
105.0,0.0,105.0,95.0,0
111.0,0.0,111.0,83.0,0
97.0,0.0,97.0,84.0,0
97.0,0.0,97.0,110.0,0
