RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,230.0,0
11.0,0.0,11.0,460.0,0
19.0,0.0,19.0,450.0,0
88.5,0.0,88.5,550.0,0
78.0,0.0,78.0,390.0,0
79.0,0.0,79.0,370.0,0
80.5,0.0,80.5,380.0,0
88.0,0.0,88.0,350.0,0
81.5,0.0,81.5,390.0,0
73.5,0.0,73.5,390.0,0
82.5,0.0,82.5,330.0,0
75.5,0.0,75.5,360.0,0
77.5,0.0,77.5,360.0,0
83.5,0.0,83.5,360.0,0
80.0,0.0,80.0,360.0,0
91.5,0.0,91.5,380.0,0
87.5,0.0,87.5,370.0,0
90.0,0.0,90.0,330.0,0
86.5,0.0,86.5,320.0,0
91.5,0.0,91.5,460.0,0
102.5,0.0,102.5,470.0,0
90.5,0.0,90.5,290.0,0
84.0,0.0,84.0,350.0,0
104.5,0.0,104.5,260.0,0
98.0,0.0,98.0,300.0,0
95.0,0.0,95.0,390.0,0
95.5,0.0,95.5,400.0,0
107.0,0.0,107.0,420.0,0
105.0,0.0,105.0,390.0,0
112.5,0.0,112.5,230.0,0
96.0,0.0,96.0,250.0,0
100.0,0.0,100.0,340.0,0
87.0,0.0,87.0,370.0,0
77.0,0.0,77.0,370.0,0
89.5,0.0,89.5,310.0,0
95.5,0.0,95.5,400.0,0
93.0,0.0,93.0,370.0,0
85.5,0.0,85.5,400.0,0
88.0,0.0,88.0,470.0,0
96.0,0.0,96.0,430.0,0
112.5,0.0,112.5,400.0,0
105.0,0.0,105.0,350.0,0
103.0,0.0,103.0,330.0,0
98.5,0.0,98.5,420.0,0
92.5,0.0,92.5,420.0,0
86.5,0.0,86.5,400.0,0
90.5,0.0,90.5,400.0,0
100.0,0.0,100.0,350.0,0
107.5,0.0,107.5,350.0,0
100.5,0.0,100.5,350.0,0
96.0,0.0,96.0,410.0,0
108.0,0.0,108.0,400.0,0
98.5,0.0,98.5,410.0,0
91.5,0.0,91.5,410.0,0
98.0,0.0,98.0,380.0,0
96.5,0.0,96.5,460.0,0
99.0,0.0,99.0,380.0,0
94.5,0.0,94.5,380.0,0
90.0,0.0,90.0,330.0,0
90.5,0.0,90.5,420.0,0
88.0,0.0,88.0,420.0,0
99.5,0.0,99.5,380.0,0
104.5,0.0,104.5,400.0,0
101.0,0.0,101.0,380.0,0
107.5,0.0,107.5,410.0,0
93.0,0.0,93.0,410.0,0
78.5,0.0,78.5,400.0,0
102.0,0.0,102.0,340.0,0
99.5,0.0,99.5,330.0,0
90.0,0.0,90.0,410.0,0
83.5,0.0,83.5,410.0,0
79.0,0.0,79.0,480.0,0
79.0,0.0,79.0,480.0,0
92.0,0.0,92.0,380.0,0
100.5,0.0,100.5,480.0,0
96.0,0.0,96.0,380.0,0
107.5,0.0,107.5,350.0,0
109.0,0.0,109.0,340.0,0
103.0,0.0,103.0,360.0,0
109.5,0.0,109.5,420.0,0
97.0,0.0,97.0,390.0,0
106.0,0.0,106.0,390.0,0
100.5,0.0,100.5,200.0,0
94.0,0.0,94.0,220.0,0
92.0,0.0,92.0,240.0,0
95.0,0.0,95.0,230.0,0
102.0,0.0,102.0,190.0,0
99.0,0.0,99.0,220.0,0
98.5,0.0,98.5,220.0,0
95.5,0.0,95.5,220.0,0
96.0,0.0,96.0,230.0,0
100.0,0.0,100.0,200.0,0
97.0,0.0,97.0,180.0,0
94.5,0.0,94.5,200.0,0
97.0,0.0,97.0,200.0,0
94.0,0.0,94.0,180.0,0
87.0,0.0,87.0,200.0,0
97.5,0.0,97.5,210.0,0
92.0,0.0,92.0,230.0,0
104.0,0.0,104.0,240.0,0
103.5,0.0,103.5,240.0,0
89.5,0.0,89.5,330.0,0
96.5,0.0,96.5,180.0,0
97.5,0.0,97.5,200.0,0
100.0,0.0,100.0,190.0,0
96.5,0.0,96.5,190.0,0
94.0,0.0,94.0,220.0,0
99.0,0.0,99.0,270.0,0
104.0,0.0,104.0,240.0,0
97.5,0.0,97.5,240.0,0
111.0,0.0,111.0,240.0,0
101.0,0.0,101.0,200.0,0
106.5,0.0,106.5,200.0,0
106.5,0.0,106.5,170.0,0
98.5,0.0,98.5,210.0,0
98.0,0.0,98.0,180.0,0
105.0,0.0,105.0,170.0,0
102.0,0.0,102.0,220.0,0
84.0,0.0,84.0,210.0,0
91.0,0.0,91.0,250.0,0
99.5,0.0,99.5,170.0,0
100.5,0.0,100.5,170.0,0
98.5,0.0,98.5,170.0,0
105.0,0.0,105.0,220.0,0
110.5,0.0,110.5,200.0,0
99.0,0.0,99.0,230.0,0
92.5,0.0,92.5,200.0,0
96.0,0.0,96.0,170.0,0
109.5,0.0,109.5,190.0,0
98.5,0.0,98.5,230.0,0
90.5,0.0,90.5,190.0,0
101.0,0.0,101.0,170.0,0
86.0,0.0,86.0,210.0,0
92.0,0.0,92.0,170.0,0
89.0,0.0,89.0,160.0,0
95.5,0.0,95.5,180.0,0
94.0,0.0,94.0,180.0,0
99.0,0.0,99.0,190.0,0
95.5,0.0,95.5,220.0,0
92.5,0.0,92.5,250.0,0
104.0,0.0,104.0,200.0,0
105.0,0.0,105.0,160.0,0
101.5,0.0,101.5,180.0,0
104.5,0.0,104.5,190.0,0
111.5,0.0,111.5,190.0,0
112.5,0.0,112.5,200.0,0
102.5,0.0,102.5,210.0,0
90.5,0.0,90.5,210.0,0
95.5,0.0,95.5,160.0,0
97.5,0.0,97.5,160.0,0
97.0,0.0,97.0,170.0,0
108.0,0.0,108.0,220.0,0
91.0,0.0,91.0,220.0,0
97.5,0.0,97.5,240.0,0
85.0,0.0,85.0,180.0,0
76.0,0.0,76.0,160.0,0
93.0,0.0,93.0,180.0,0
101.5,0.0,101.5,180.0,0
99.5,0.0,99.5,160.0,0
94.0,0.0,94.0,210.0,0
113.0,0.0,113.0,210.0,0
110.5,0.0,110.5,220.0,0
102.5,0.0,102.5,220.0,0
95.0,0.0,95.0,220.0,0
94.0,0.0,94.0,190.0,0
93.5,0.0,93.5,150.0,0
96.5,0.0,96.5,170.0,0
93.5,0.0,93.5,170.0,0
70.0,0.0,70.0,230.0,0
82.0,0.0,82.0,240.0,0
102.0,0.0,102.0,240.0,0
92.0,0.0,92.0,170.0,0
82.5,0.0,82.5,210.0,0
99.0,0.0,99.0,170.0,0
102.5,0.0,102.5,210.0,0
87.5,0.0,87.5,180.0,0
97.5,0.0,97.5,220.0,0
106.5,0.0,106.5,220.0,0
96.0,0.0,96.0,290.0,0
102.0,0.0,102.0,190.0,0
108.0,0.0,108.0,180.0,0
98.5,0.0,98.5,180.0,0
102.5,0.0,102.5,180.0,0
103.0,0.0,103.0,180.0,0
86.0,0.0,86.0,180.0,0
99.5,0.0,99.5,170.0,0
102.0,0.0,102.0,170.0,0
92.0,0.0,92.0,170.0,0
97.0,0.0,97.0,200.0,0
115.5,0.0,115.5,180.0,0
93.5,0.0,93.5,170.0,0
94.0,0.0,94.0,190.0,0
97.0,0.0,97.0,200.0,0
96.5,0.0,96.5,250.0,0
97.0,0.0,97.0,190.0,0
93.0,0.0,93.0,190.0,0
93.0,0.0,93.0,210.0,0
98.0,0.0,98.0,210.0,0
112.5,0.0,112.5,190.0,0
103.0,0.0,103.0,180.0,0
78.0,0.0,78.0,230.0,0
83.5,0.0,83.5,230.0,0
100.5,0.0,100.5,180.0,0
114.0,0.0,114.0,220.0,0
87.5,0.0,87.5,190.0,0
100.5,0.0,100.5,190.0,0
106.5,0.0,106.5,210.0,0
99.5,0.0,99.5,220.0,0
110.5,0.0,110.5,220.0,0
91.0,0.0,91.0,220.0,0
106.5,0.0,106.5,200.0,0
96.5,0.0,96.5,170.0,0
102.0,0.0,102.0,190.0,0
93.0,0.0,93.0,260.0,0
90.5,0.0,90.5,280.0,0
87.0,0.0,87.0,280.0,0
101.0,0.0,101.0,210.0,0
104.5,0.0,104.5,200.0,0
97.5,0.0,97.5,200.0,0
94.0,0.0,94.0,170.0,0
101.5,0.0,101.5,180.0,0
112.5,0.0,112.5,200.0,0
82.0,0.0,82.0,190.0,0
95.5,0.0,95.5,270.0,0
94.0,0.0,94.0,180.0,0
104.0,0.0,104.0,250.0,0
96.0,0.0,96.0,250.0,0
83.5,0.0,83.5,220.0,0
99.0,0.0,99.0,280.0,0
94.0,0.0,94.0,150.0,0
99.0,0.0,99.0,160.0,0
103.5,0.0,103.5,240.0,0
113.0,0.0,113.0,240.0,0
102.0,0.0,102.0,210.0,0
89.0,0.0,89.0,210.0,0
92.5,0.0,92.5,240.0,0
99.5,0.0,99.5,230.0,0
92.0,0.0,92.0,240.0,0
94.0,0.0,94.0,220.0,0
96.0,0.0,96.0,220.0,0
101.0,0.0,101.0,290.0,0
105.5,0.0,105.5,220.0,0
97.0,0.0,97.0,210.0,0
82.5,0.0,82.5,200.0,0
91.0,0.0,91.0,170.0,0
89.0,0.0,89.0,170.0,0
91.5,0.0,91.5,170.0,0
90.5,0.0,90.5,180.0,0
85.5,0.0,85.5,200.0,0
94.5,0.0,94.5,180.0,0
87.0,0.0,87.0,220.0,0
85.5,0.0,85.5,190.0,0
91.5,0.0,91.5,180.0,0
90.0,0.0,90.0,170.0,0
93.5,0.0,93.5,190.0,0
85.5,0.0,85.5,250.0,0
92.0,0.0,92.0,210.0,0
103.5,0.0,103.5,190.0,0
102.0,0.0,102.0,150.0,0
108.5,0.0,108.5,220.0,0
111.0,0.0,111.0,200.0,0
95.5,0.0,95.5,200.0,0
95.0,0.0,95.0,200.0,0
100.0,0.0,100.0,200.0,0
99.5,0.0,99.5,210.0,0
100.5,0.0,100.5,210.0,0
89.0,0.0,89.0,190.0,0
101.0,0.0,101.0,170.0,0
103.5,0.0,103.5,200.0,0
100.0,0.0,100.0,210.0,0
100.5,0.0,100.5,190.0,0
97.0,0.0,97.0,220.0,0
89.5,0.0,89.5,220.0,0
93.5,0.0,93.5,200.0,0
94.5,0.0,94.5,140.0,0
102.0,0.0,102.0,260.0,0
91.5,0.0,91.5,260.0,0
98.5,0.0,98.5,190.0,0
100.5,0.0,100.5,180.0,0
118.0,0.0,118.0,180.0,0
100.5,0.0,100.5,150.0,0
91.5,0.0,91.5,200.0,0
91.0,0.0,91.0,220.0,0
87.5,0.0,87.5,310.0,0
87.0,0.0,87.0,310.0,0
103.5,0.0,103.5,210.0,0
103.5,0.0,103.5,170.0,0
93.0,0.0,93.0,180.0,0
88.0,0.0,88.0,190.0,0
95.0,0.0,95.0,220.0,0
100.5,0.0,100.5,200.0,0
94.5,0.0,94.5,200.0,0
88.5,0.0,88.5,200.0,0
89.5,0.0,89.5,210.0,0
101.0,0.0,101.0,180.0,0
88.0,0.0,88.0,230.0,0
99.5,0.0,99.5,210.0,0
100.0,0.0,100.0,170.0,0
83.0,0.0,83.0,190.0,0
79.5,0.0,79.5,190.0,0
84.0,0.0,84.0,200.0,0
105.5,0.0,105.5,200.0,0
110.0,0.0,110.0,180.0,0
99.5,0.0,99.5,180.0,0
91.5,0.0,91.5,190.0,0
86.0,0.0,86.0,200.0,0
97.5,0.0,97.5,180.0,0
97.0,0.0,97.0,180.0,0
92.0,0.0,92.0,230.0,0
104.5,0.0,104.5,180.0,0
108.0,0.0,108.0,200.0,0
88.0,0.0,88.0,230.0,0
85.0,0.0,85.0,230.0,0
90.5,0.0,90.5,230.0,0
85.5,0.0,85.5,190.0,0
96.5,0.0,96.5,200.0,0
97.0,0.0,97.0,160.0,0
98.0,0.0,98.0,200.0,0
105.0,0.0,105.0,200.0,0
106.5,0.0,106.5,200.0,0
97.0,0.0,97.0,240.0,0
105.0,0.0,105.0,220.0,0
97.5,0.0,97.5,220.0,0
92.0,0.0,92.0,220.0,0
98.0,0.0,98.0,160.0,0
102.0,0.0,102.0,180.0,0
96.0,0.0,96.0,220.0,0
91.0,0.0,91.0,150.0,0
86.5,0.0,86.5,200.0,0
90.5,0.0,90.5,220.0,0
98.0,0.0,98.0,200.0,0
92.0,0.0,92.0,200.0,0
84.0,0.0,84.0,200.0,0
98.5,0.0,98.5,200.0,0
97.0,0.0,97.0,200.0,0
93.5,0.0,93.5,180.0,0
99.0,0.0,99.0,200.0,0
112.5,0.0,112.5,220.0,0
105.5,0.0,105.5,220.0,0
107.5,0.0,107.5,180.0,0
103.5,0.0,103.5,210.0,0
105.0,0.0,105.0,220.0,0
100.5,0.0,100.5,230.0,0
96.0,0.0,96.0,230.0,0
101.0,0.0,101.0,200.0,0
103.0,0.0,103.0,230.0,0
94.0,0.0,94.0,230.0,0
75.5,0.0,75.5,210.0,0
81.0,0.0,81.0,210.0,0
94.0,0.0,94.0,170.0,0
104.0,0.0,104.0,170.0,0
102.5,0.0,102.5,160.0,0
107.5,0.0,107.5,240.0,0
94.5,0.0,94.5,200.0,0
97.0,0.0,97.0,200.0,0
104.5,0.0,104.5,170.0,0
96.0,0.0,96.0,170.0,0
91.0,0.0,91.0,160.0,0
98.5,0.0,98.5,170.0,0
96.5,0.0,96.5,220.0,0
106.5,0.0,106.5,210.0,0
89.0,0.0,89.0,260.0,0
80.5,0.0,80.5,250.0,0
85.5,0.0,85.5,240.0,0
102.5,0.0,102.5,220.0,0
90.5,0.0,90.5,220.0,0
96.5,0.0,96.5,180.0,0
105.5,0.0,105.5,170.0,0
95.5,0.0,95.5,150.0,0
93.0,0.0,93.0,190.0,0
95.5,0.0,95.5,190.0,0
95.0,0.0,95.0,210.0,0
109.0,0.0,109.0,210.0,0
85.0,0.0,85.0,170.0,0
93.5,0.0,93.5,170.0,0
82.0,0.0,82.0,200.0,0
86.0,0.0,86.0,160.0,0
93.0,0.0,93.0,210.0,0
83.0,0.0,83.0,210.0,0
88.5,0.0,88.5,200.0,0
97.5,0.0,97.5,230.0,0
105.5,0.0,105.5,230.0,0
94.5,0.0,94.5,230.0,0
102.0,0.0,102.0,230.0,0
104.0,0.0,104.0,190.0,0
106.5,0.0,106.5,200.0,0
84.0,0.0,84.0,190.0,0
92.0,0.0,92.0,180.0,0
90.0,0.0,90.0,200.0,0
91.0,0.0,91.0,200.0,0
85.5,0.0,85.5,210.0,0
100.0,0.0,100.0,210.0,0
88.5,0.0,88.5,210.0,0
92.5,0.0,92.5,240.0,0
90.0,0.0,90.0,230.0,0
95.5,0.0,95.5,240.0,0
93.5,0.0,93.5,240.0,0
90.5,0.0,90.5,210.0,0
93.0,0.0,93.0,180.0,0
91.0,0.0,91.0,180.0,0
110.5,0.0,110.5,200.0,0
89.0,0.0,89.0,230.0,0
83.0,0.0,83.0,230.0,0
86.0,0.0,86.0,190.0,0
96.0,0.0,96.0,180.0,0
94.0,0.0,94.0,170.0,0
91.5,0.0,91.5,250.0,0
95.0,0.0,95.0,170.0,0
97.0,0.0,97.0,170.0,0
83.0,0.0,83.0,210.0,0
85.5,0.0,85.5,250.0,0
106.5,0.0,106.5,250.0,0
105.0,0.0,105.0,230.0,0
96.5,0.0,96.5,270.0,0
97.5,0.0,97.5,270.0,0
89.5,0.0,89.5,180.0,0
85.5,0.0,85.5,160.0,0
85.5,0.0,85.5,160.0,0
84.0,0.0,84.0,170.0,0
83.0,0.0,83.0,190.0,0
104.5,0.0,104.5,180.0,0
99.0,0.0,99.0,210.0,0
102.0,0.0,102.0,210.0,0
109.0,0.0,109.0,160.0,0
97.5,0.0,97.5,210.0,0
92.0,0.0,92.0,210.0,0
82.5,0.0,82.5,190.0,0
95.5,0.0,95.5,170.0,0
101.0,0.0,101.0,160.0,0
90.5,0.0,90.5,180.0,0
85.5,0.0,85.5,190.0,0
90.5,0.0,90.5,200.0,0
83.5,0.0,83.5,170.0,0
88.5,0.0,88.5,170.0,0
109.5,0.0,109.5,190.0,0
107.0,0.0,107.0,210.0,0
96.0,0.0,96.0,230.0,0
96.0,0.0,96.0,190.0,0
88.0,0.0,88.0,180.0,0
81.0,0.0,81.0,190.0,0
88.0,0.0,88.0,190.0,0
85.0,0.0,85.0,220.0,0
92.0,0.0,92.0,200.0,0
96.0,0.0,96.0,200.0,0
93.5,0.0,93.5,190.0,0
98.5,0.0,98.5,190.0,0
91.0,0.0,91.0,180.0,0
103.0,0.0,103.0,160.0,0
104.0,0.0,104.0,170.0,0
86.5,0.0,86.5,210.0,0
96.5,0.0,96.5,210.0,0
97.5,0.0,97.5,210.0,0
84.0,0.0,84.0,190.0,0
89.5,0.0,89.5,190.0,0
87.0,0.0,87.0,220.0,0
98.0,0.0,98.0,200.0,0
80.5,0.0,80.5,200.0,0
86.0,0.0,86.0,220.0,0
101.5,0.0,101.5,170.0,0
76.5,0.0,76.5,190.0,0
104.0,0.0,104.0,160.0,0
95.0,0.0,95.0,180.0,0
95.0,0.0,95.0,170.0,0
94.5,0.0,94.5,160.0,0
98.5,0.0,98.5,170.0,0
94.0,0.0,94.0,150.0,0
110.5,0.0,110.5,200.0,0
91.0,0.0,91.0,190.0,0
84.0,0.0,84.0,200.0,0
97.5,0.0,97.5,170.0,0
100.5,0.0,100.5,180.0,0
105.0,0.0,105.0,190.0,0
105.5,0.0,105.5,210.0,0
98.5,0.0,98.5,170.0,0
85.0,0.0,85.0,240.0,0
94.0,0.0,94.0,150.0,0
90.5,0.0,90.5,220.0,0
91.5,0.0,91.5,210.0,0
100.0,0.0,100.0,170.0,0
95.5,0.0,95.5,220.0,0
93.0,0.0,93.0,190.0,0
98.5,0.0,98.5,240.0,0
89.0,0.0,89.0,220.0,0
84.5,0.0,84.5,220.0,0
95.0,0.0,95.0,170.0,0
87.5,0.0,87.5,230.0,0
88.0,0.0,88.0,230.0,0
93.5,0.0,93.5,180.0,0
94.5,0.0,94.5,200.0,0
92.0,0.0,92.0,180.0,0
92.0,0.0,92.0,160.0,0
93.5,0.0,93.5,180.0,0
83.0,0.0,83.0,200.0,0
89.5,0.0,89.5,190.0,0
106.5,0.0,106.5,190.0,0
79.5,0.0,79.5,220.0,0
73.0,0.0,73.0,220.0,0
85.0,0.0,85.0,220.0,0
85.5,0.0,85.5,220.0,0
94.0,0.0,94.0,210.0,0
99.5,0.0,99.5,190.0,0
90.0,0.0,90.0,160.0,0
85.0,0.0,85.0,160.0,0
92.5,0.0,92.5,240.0,0
105.5,0.0,105.5,220.0,0
98.0,0.0,98.0,230.0,0
90.0,0.0,90.0,220.0,0
90.5,0.0,90.5,250.0,0
100.5,0.0,100.5,180.0,0
100.5,0.0,100.5,160.0,0
79.5,0.0,79.5,210.0,0
98.5,0.0,98.5,190.0,0
102.0,0.0,102.0,190.0,0
83.0,0.0,83.0,150.0,0
88.5,0.0,88.5,170.0,0
84.0,0.0,84.0,190.0,0
91.5,0.0,91.5,170.0,0
86.0,0.0,86.0,170.0,0
80.5,0.0,80.5,180.0,0
83.0,0.0,83.0,200.0,0
90.5,0.0,90.5,200.0,0
76.5,0.0,76.5,180.0,0
96.0,0.0,96.0,170.0,0
