RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
32.0,0.0,32.0,320.0,0
59.0,0.0,59.0,370.0,0
80.0,0.0,80.0,340.0,0
84.5,0.0,84.5,250.0,0
78.5,0.0,78.5,330.0,0
69.5,0.0,69.5,250.0,0
74.0,0.0,74.0,240.0,0
79.0,0.0,79.0,230.0,0
82.5,0.0,82.5,240.0,0
89.5,0.0,89.5,260.0,0
88.5,0.0,88.5,200.0,0
83.5,0.0,83.5,260.0,0
85.0,0.0,85.0,250.0,0
89.5,0.0,89.5,200.0,0
89.0,0.0,89.0,210.0,0
85.5,0.0,85.5,200.0,0
87.0,0.0,87.0,190.0,0
86.0,0.0,86.0,230.0,0
90.0,0.0,90.0,200.0,0
104.5,0.0,104.5,200.0,0
104.0,0.0,104.0,200.0,0
96.0,0.0,96.0,150.0,0
98.0,0.0,98.0,200.0,0
109.5,0.0,109.5,180.0,0
106.5,0.0,106.5,190.0,0
95.0,0.0,95.0,240.0,0
86.0,0.0,86.0,240.0,0
83.0,0.0,83.0,180.0,0
97.5,0.0,97.5,180.0,0
105.0,0.0,105.0,180.0,0
107.5,0.0,107.5,160.0,0
92.0,0.0,92.0,200.0,0
81.0,0.0,81.0,200.0,0
84.5,0.0,84.5,300.0,0
85.5,0.0,85.5,300.0,0
86.5,0.0,86.5,150.0,0
108.0,0.0,108.0,300.0,0
94.0,0.0,94.0,280.0,0
78.5,0.0,78.5,290.0,0
91.5,0.0,91.5,310.0,0
91.5,0.0,91.5,290.0,0
87.0,0.0,87.0,290.0,0
85.5,0.0,85.5,110.0,0
92.0,0.0,92.0,320.0,0
93.5,0.0,93.5,270.0,0
94.0,0.0,94.0,370.0,0
89.5,0.0,89.5,370.0,0
92.0,0.0,92.0,300.0,0
84.5,0.0,84.5,320.0,0
88.5,0.0,88.5,320.0,0
90.0,0.0,90.0,410.0,0
97.0,0.0,97.0,410.0,0
104.0,0.0,104.0,310.0,0
93.0,0.0,93.0,310.0,0
82.5,0.0,82.5,310.0,0
105.0,0.0,105.0,280.0,0
94.0,0.0,94.0,300.0,0
104.5,0.0,104.5,260.0,0
92.5,0.0,92.5,280.0,0
85.0,0.0,85.0,300.0,0
86.5,0.0,86.5,310.0,0
92.0,0.0,92.0,380.0,0
97.0,0.0,97.0,360.0,0
95.0,0.0,95.0,320.0,0
106.5,0.0,106.5,370.0,0
96.0,0.0,96.0,370.0,0
84.0,0.0,84.0,270.0,0
80.0,0.0,80.0,300.0,0
100.0,0.0,100.0,140.0,0
84.0,0.0,84.0,240.0,0
75.5,0.0,75.5,240.0,0
86.5,0.0,86.5,340.0,0
87.0,0.0,87.0,340.0,0
83.5,0.0,83.5,280.0,0
85.0,0.5,84.5,310.0,0
76.0,0.5,75.5,310.0,0
103.5,0.0,103.5,320.0,0
96.0,0.0,96.0,290.0,0
98.0,0.0,98.0,120.0,0
97.5,0.0,97.5,150.0,0
94.0,0.0,94.0,240.0,0
101.5,0.0,101.5,240.0,0
94.0,0.0,94.0,120.0,0
98.5,0.0,98.5,100.0,0
91.0,0.0,91.0,110.0,0
90.5,0.0,90.5,110.0,0
86.0,0.0,86.0,150.0,0
91.0,0.0,91.0,130.0,0
99.5,0.0,99.5,100.0,0
99.5,0.0,99.5,130.0,0
89.5,0.0,89.5,130.0,0
85.5,0.0,85.5,100.0,0
101.5,0.0,101.5,100.0,0
90.0,0.0,90.0,100.0,0
86.5,0.0,86.5,88.0,0
88.5,0.0,88.5,110.0,0
87.5,0.0,87.5,88.0,0
84.5,0.0,84.5,93.0,0
89.0,0.0,89.0,89.0,0
86.5,0.0,86.5,120.0,0
93.5,0.0,93.5,140.0,0
91.5,0.0,91.5,130.0,0
91.0,0.0,91.0,110.0,0
85.0,0.0,85.0,98.0,0
88.0,0.0,88.0,100.0,0
89.5,0.0,89.5,84.0,0
90.5,0.0,90.5,140.0,0
93.5,0.0,93.5,160.0,0
95.0,0.0,95.0,160.0,0
103.0,0.0,103.0,100.0,0
80.0,0.0,80.0,100.0,0
83.5,0.0,83.5,160.0,0
89.5,0.0,89.5,120.0,0
99.0,0.0,99.0,130.0,0
100.5,0.0,100.5,130.0,0
90.0,0.0,90.0,130.0,0
99.0,0.0,99.0,130.0,0
90.0,0.0,90.0,89.0,0
93.0,0.0,93.0,190.0,0
95.0,0.0,95.0,200.0,0
94.0,0.0,94.0,200.0,0
100.0,0.0,100.0,200.0,0
102.0,0.0,102.0,76.0,0
97.5,0.0,97.5,130.0,0
117.5,0.0,117.5,100.0,0
100.0,0.0,100.0,110.0,0
99.5,0.0,99.5,120.0,0
102.5,0.0,102.5,94.0,0
87.5,0.0,87.5,94.0,0
87.0,0.0,87.0,130.0,0
89.0,0.0,89.0,100.0,0
83.5,0.0,83.5,100.0,0
83.5,0.0,83.5,120.0,0
88.0,0.0,88.0,93.0,0
98.0,0.0,98.0,120.0,0
95.5,0.0,95.5,120.0,0
93.5,0.0,93.5,120.0,0
102.0,0.0,102.0,110.0,0
86.0,0.0,86.0,120.0,0
84.0,0.0,84.0,100.0,0
84.5,0.0,84.5,120.0,0
93.0,0.0,93.0,100.0,0
90.5,0.0,90.5,94.0,0
84.0,0.0,84.0,110.0,0
91.5,0.0,91.5,77.0,0
89.0,0.0,89.0,100.0,0
91.0,0.0,91.0,120.0,0
99.0,0.0,99.0,99.0,0
101.0,0.0,101.0,100.0,0
102.5,0.0,102.5,110.0,0
113.0,0.0,113.0,110.0,0
83.0,0.0,83.0,100.0,0
88.5,0.0,88.5,110.0,0
93.5,0.0,93.5,110.0,0
99.5,0.0,99.5,90.0,0
92.0,0.0,92.0,190.0,0
94.0,0.0,94.0,95.0,0
92.0,0.0,92.0,110.0,0
100.5,0.0,100.5,130.0,0
95.5,0.0,95.5,100.0,0
83.0,0.0,83.0,110.0,0
82.0,0.0,82.0,96.0,0
87.5,0.0,87.5,130.0,0
85.0,0.0,85.0,130.0,0
84.5,0.0,84.5,120.0,0
81.5,0.0,81.5,95.0,0
89.5,0.0,89.5,100.0,0
83.0,0.0,83.0,100.0,0
90.5,0.0,90.5,100.0,0
92.5,0.0,92.5,100.0,0
91.0,0.0,91.0,110.0,0
82.5,0.0,82.5,200.0,0
95.0,0.0,95.0,110.0,0
95.5,0.0,95.5,140.0,0
93.5,0.0,93.5,100.0,0
91.0,0.0,91.0,110.0,0
87.5,0.0,87.5,110.0,0
93.5,0.0,93.5,140.0,0
91.0,0.0,91.0,140.0,0
101.5,0.0,101.5,83.0,0
88.5,0.0,88.5,140.0,0
97.5,0.0,97.5,120.0,0
92.0,0.0,92.0,71.0,0
88.5,0.0,88.5,130.0,0
94.5,0.0,94.5,130.0,0
88.5,0.0,88.5,100.0,0
91.0,0.0,91.0,120.0,0
92.5,0.0,92.5,110.0,0
86.0,0.0,86.0,120.0,0
88.5,0.0,88.5,110.0,0
88.5,0.0,88.5,110.0,0
87.5,0.0,87.5,110.0,0
88.0,0.0,88.0,110.0,0
112.0,0.0,112.0,95.0,0
118.0,0.0,118.0,130.0,0
105.0,0.0,105.0,95.0,0
91.5,0.0,91.5,100.0,0
93.0,0.0,93.0,100.0,0
95.5,0.0,95.5,130.0,0
92.5,0.0,92.5,130.0,0
103.5,0.0,103.5,120.0,0
92.5,0.0,92.5,110.0,0
93.5,0.0,93.5,110.0,0
101.0,0.0,101.0,94.0,0
100.0,0.0,100.0,100.0,0
88.0,0.0,88.0,110.0,0
83.5,0.0,83.5,130.0,0
101.0,0.0,101.0,120.0,0
103.5,0.0,103.5,120.0,0
96.5,0.0,96.5,89.0,0
102.5,0.0,102.5,86.0,0
97.0,0.0,97.0,110.0,0
91.5,0.0,91.5,100.0,0
103.0,0.0,103.0,100.0,0
92.0,0.0,92.0,120.0,0
100.5,0.0,100.5,130.0,0
91.5,0.0,91.5,130.0,0
93.0,0.0,93.0,110.0,0
95.5,0.0,95.5,110.0,0
107.5,0.0,107.5,110.0,0
109.0,0.0,109.0,110.0,0
111.0,0.0,111.0,120.0,0
96.0,0.0,96.0,130.0,0
79.0,0.0,79.0,120.0,0
89.5,0.0,89.5,110.0,0
93.5,0.0,93.5,170.0,0
98.5,0.0,98.5,130.0,0
100.0,0.0,100.0,140.0,0
102.5,0.0,102.5,100.0,0
102.5,0.0,102.5,120.0,0
97.0,0.0,97.0,110.0,0
96.0,0.0,96.0,110.0,0
102.5,0.0,102.5,110.0,0
99.0,0.0,99.0,110.0,0
86.0,0.0,86.0,110.0,0
104.5,0.0,104.5,90.0,0
95.5,0.0,95.5,110.0,0
94.5,0.0,94.5,88.0,0
98.5,0.0,98.5,92.0,0
87.5,0.0,87.5,98.0,0
85.5,0.0,85.5,99.0,0
94.5,0.0,94.5,110.0,0
96.0,0.0,96.0,100.0,0
96.0,0.0,96.0,130.0,0
103.5,0.0,103.5,100.0,0
90.0,0.0,90.0,87.0,0
98.5,0.0,98.5,83.0,0
100.5,0.0,100.5,74.0,0
83.5,0.0,83.5,110.0,0
88.5,0.0,88.5,120.0,0
104.5,0.0,104.5,75.0,0
119.0,0.0,119.0,130.0,0
105.5,0.0,105.5,130.0,0
94.0,0.0,94.0,100.0,0
93.5,0.0,93.5,100.0,0
87.5,0.0,87.5,130.0,0
90.0,0.0,90.0,130.0,0
105.0,0.0,105.0,97.0,0
104.5,0.0,104.5,91.0,0
114.0,0.0,114.0,110.0,0
108.0,0.0,108.0,110.0,0
94.0,0.0,94.0,120.0,0
92.5,0.0,92.5,100.0,0
101.0,0.0,101.0,91.0,0
94.5,0.0,94.5,110.0,0
82.5,0.0,82.5,96.0,0
91.5,0.0,91.5,110.0,0
99.0,0.0,99.0,110.0,0
98.5,0.0,98.5,100.0,0
88.0,0.0,88.0,110.0,0
87.5,0.0,87.5,89.0,0
82.5,0.0,82.5,91.0,0
81.0,0.0,81.0,90.0,0
90.5,0.0,90.5,100.0,0
92.5,0.0,92.5,110.0,0
91.0,0.0,91.0,120.0,0
92.0,0.0,92.0,130.0,0
96.5,0.0,96.5,120.0,0
105.0,0.0,105.0,170.0,0
106.0,0.0,106.0,91.0,0
97.0,0.0,97.0,120.0,0
86.0,0.0,86.0,130.0,0
85.0,0.0,85.0,130.0,0
81.0,0.0,81.0,150.0,0
93.0,0.0,93.0,150.0,0
94.0,0.0,94.0,120.0,0
108.5,0.0,108.5,120.0,0
103.0,0.0,103.0,140.0,0
95.0,0.0,95.0,99.0,0
87.0,0.0,87.0,93.0,0
97.0,0.0,97.0,180.0,0
92.0,0.0,92.0,170.0,0
97.5,0.0,97.5,110.0,0
98.0,0.0,98.0,89.0,0
105.5,0.0,105.5,120.0,0
103.5,0.0,103.5,120.0,0
96.5,0.0,96.5,180.0,0
