timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-05T19:32:30Z,frontend,0,54296576,1
2026-09-05T19:32:30Z,cartservice,4,79126528,1
2026-09-05T19:32:30Z,checkoutservice,3,18051072,1
2026-09-05T19:32:30Z,productcatalogservice,3,32940032,1
2026-09-05T19:32:30Z,paymentservice,3,41852928,1
2026-09-05T19:32:30Z,recommendationservice,7,108072960,1
2026-09-05T19:32:30Z,shippingservice,5,32649216,1
2026-09-05T19:32:30Z,currencyservice,3,90558464,1
2026-09-05T19:32:30Z,emailservice,7,93138944,1
2026-09-05T19:32:30Z,adservice,26,304062464,1
2026-09-05T19:32:30Z,redis-cart,4,38318080,1
2026-09-05T19:32:36Z,frontend,0,54296576,1
2026-09-05T19:32:36Z,cartservice,4,79126528,1
2026-09-05T19:32:36Z,checkoutservice,3,18051072,1
2026-09-05T19:32:36Z,productcatalogservice,3,32940032,1
2026-09-05T19:32:36Z,paymentservice,3,41861120,1
2026-09-05T19:32:36Z,recommendationservice,7,108072960,1
2026-09-05T19:32:36Z,shippingservice,5,32649216,1
2026-09-05T19:32:36Z,currencyservice,3,90591232,1
2026-09-05T19:32:36Z,emailservice,7,93138944,1
2026-09-05T19:32:36Z,adservice,26,304062464,1
2026-09-05T19:32:36Z,redis-cart,4,38318080,1
2026-09-05T19:32:41Z,frontend,1,44351488,1
2026-09-05T19:32:41Z,cartservice,4,79126528,1
2026-09-05T19:32:41Z,checkoutservice,3,18071552,1
2026-09-05T19:32:41Z,productcatalogservice,3,32940032,1
2026-09-05T19:32:41Z,paymentservice,3,41861120,1
2026-09-05T19:32:41Z,recommendationservice,7,108040192,1
2026-09-05T19:32:41Z,shippingservice,4,32649216,1
2026-09-05T19:32:41Z,currencyservice,3,90591232,1
2026-09-05T19:32:41Z,emailservice,7,93138944,1
2026-09-05T19:32:41Z,adservice,28,304062464,1
2026-09-05T19:32:41Z,redis-cart,4,38318080,1
2026-09-05T19:32:46Z,frontend,1,44351488,1
2026-09-05T19:32:46Z,cartservice,4,79175680,1
2026-09-05T19:32:46Z,checkoutservice,3,18071552,1
2026-09-05T19:32:46Z,productcatalogservice,3,32940032,1
2026-09-05T19:32:46Z,paymentservice,3,41873408,1
2026-09-05T19:32:46Z,recommendationservice,7,108040192,1
2026-09-05T19:32:46Z,shippingservice,5,32649216,1
2026-09-05T19:32:46Z,currencyservice,3,90624000,1
2026-09-05T19:32:46Z,emailservice,7,93138944,1
2026-09-05T19:32:46Z,adservice,29,304062464,1
2026-09-05T19:32:46Z,redis-cart,4,38318080,1
2026-09-05T19:32:51Z,frontend,1,66695168,1
2026-09-05T19:32:51Z,cartservice,4,79757312,1
2026-09-05T19:32:51Z,checkoutservice,3,21147648,1
2026-09-05T19:32:51Z,productcatalogservice,3,33013760,1
2026-09-05T19:32:51Z,paymentservice,3,41803776,1
2026-09-05T19:32:51Z,recommendationservice,7,108040192,1
2026-09-05T19:32:51Z,shippingservice,5,32411648,1
2026-09-05T19:32:51Z,currencyservice,3,90243072,1
2026-09-05T19:32:51Z,emailservice,7,93138944,1
2026-09-05T19:32:51Z,adservice,29,304472064,1
2026-09-05T19:32:51Z,redis-cart,4,38342656,1
2026-09-05T19:32:57Z,frontend,465,69361664,1
2026-09-05T19:32:57Z,cartservice,98,80683008,1
2026-09-05T19:32:57Z,checkoutservice,71,24625152,1
