timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T20:01:25Z,cartservice,361234,0,0,0
2026-09-05T20:01:25Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:25Z,paymentservice,180563,0,0,0
2026-09-05T20:01:30Z,cartservice,361234,0,0,0
2026-09-05T20:01:30Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:30Z,paymentservice,180563,0,0,0
2026-09-05T20:01:36Z,cartservice,361234,0,0,0
2026-09-05T20:01:36Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:36Z,paymentservice,180563,0,0,0
2026-09-05T20:01:41Z,cartservice,361234,0,0,0
2026-09-05T20:01:41Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:41Z,paymentservice,180563,0,0,0
2026-09-05T20:01:47Z,cartservice,361234,0,0,0
2026-09-05T20:01:47Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:47Z,paymentservice,180563,0,0,0
2026-09-05T20:01:52Z,cartservice,361234,0,0,0
2026-09-05T20:01:52Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:52Z,paymentservice,180563,0,0,0
2026-09-05T20:01:57Z,cartservice,361234,0,0,0
2026-09-05T20:01:57Z,productcatalogservice,0,0,0,0
2026-09-05T20:01:57Z,paymentservice,180563,0,0,0
2026-09-05T20:02:03Z,cartservice,361234,0,0,0
2026-09-05T20:02:03Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:03Z,paymentservice,180563,0,0,0
2026-09-05T20:02:08Z,cartservice,361234,0,0,0
2026-09-05T20:02:08Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:08Z,paymentservice,180563,0,0,0
2026-09-05T20:02:13Z,cartservice,361309,0,0,0
2026-09-05T20:02:13Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:13Z,paymentservice,180593,0,0,0
2026-09-05T20:02:19Z,cartservice,361419,0,0,0
2026-09-05T20:02:19Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:19Z,paymentservice,180656,0,0,0
2026-09-05T20:02:24Z,cartservice,361536,0,0,0
2026-09-05T20:02:24Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:24Z,paymentservice,180716,0,0,0
2026-09-05T20:02:30Z,cartservice,361656,0,0,0
2026-09-05T20:02:30Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:30Z,paymentservice,180768,0,0,0
2026-09-05T20:02:35Z,cartservice,361764,0,0,0
2026-09-05T20:02:35Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:35Z,paymentservice,180829,0,0,0
2026-09-05T20:02:40Z,cartservice,361865,0,0,0
2026-09-05T20:02:40Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:40Z,paymentservice,180879,0,0,0
2026-09-05T20:02:46Z,cartservice,361991,0,0,0
2026-09-05T20:02:46Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:46Z,paymentservice,180942,0,0,0
2026-09-05T20:02:51Z,cartservice,362108,0,0,0
2026-09-05T20:02:51Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:51Z,paymentservice,180992,0,0,0
2026-09-05T20:02:57Z,cartservice,362213,0,0,0
2026-09-05T20:02:57Z,productcatalogservice,0,0,0,0
2026-09-05T20:02:57Z,paymentservice,181055,0,0,0
2026-09-05T20:03:02Z,cartservice,362325,0,0,0
2026-09-05T20:03:02Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:02Z,paymentservice,181108,0,0,0
2026-09-05T20:03:08Z,cartservice,362445,0,0,0
2026-09-05T20:03:08Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:08Z,paymentservice,181168,0,0,0
2026-09-05T20:03:13Z,cartservice,362547,0,0,0
2026-09-05T20:03:13Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:13Z,paymentservice,181218,0,0,0
2026-09-05T20:03:18Z,cartservice,362665,0,0,0
2026-09-05T20:03:18Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:18Z,paymentservice,181273,0,0,0
2026-09-05T20:03:24Z,cartservice,362765,0,0,0
2026-09-05T20:03:24Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:24Z,paymentservice,181325,0,0,0
2026-09-05T20:03:29Z,cartservice,362878,0,0,0
2026-09-05T20:03:29Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:29Z,paymentservice,181382,0,0,0
2026-09-05T20:03:35Z,cartservice,362980,0,0,0
2026-09-05T20:03:35Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:35Z,paymentservice,181437,0,0,0
2026-09-05T20:03:40Z,cartservice,363092,0,0,0
2026-09-05T20:03:40Z,productcatalogservice,0,0,0,0
2026-09-05T20:03:40Z,paymentservice,181490,0,0,0
