RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,220.0,0
16.0,0.0,16.0,340.0,0
62.0,0.0,62.0,520.0,0
78.0,0.0,78.0,390.0,0
73.0,0.0,73.0,440.0,0
67.0,0.0,67.0,420.0,0
75.0,0.0,75.0,220.0,0
76.5,0.0,76.5,340.0,0
87.0,0.0,87.0,330.0,0
82.5,0.0,82.5,400.0,0
88.0,0.0,88.0,390.0,0
84.0,0.0,84.0,430.0,0
76.0,0.0,76.0,510.0,0
71.5,0.0,71.5,380.0,0
93.5,0.0,93.5,430.0,0
88.0,0.0,88.0,320.0,0
80.5,0.0,80.5,310.0,0
84.5,0.0,84.5,350.0,0
101.5,0.0,101.5,280.0,0
93.0,0.0,93.0,380.0,0
80.5,0.0,80.5,270.0,0
116.0,0.0,116.0,200.0,0
98.5,0.0,98.5,330.0,0
89.0,0.0,89.0,240.0,0
92.5,0.0,92.5,250.0,0
108.5,0.0,108.5,250.0,0
103.5,0.0,103.5,440.0,0
89.5,0.0,89.5,290.0,0
111.5,0.0,111.5,270.0,0
105.0,0.0,105.0,270.0,0
105.0,0.0,105.0,350.0,0
107.5,0.0,107.5,390.0,0
97.0,11.0,86.0,400.0,0
95.5,11.0,84.5,320.0,0
93.5,8.0,85.5,520.0,0
101.5,0.5,101.0,520.0,0
103.5,3.0,100.5,660.0,0
98.0,0.0,98.0,430.0,0
96.0,0.0,96.0,490.0,0
103.0,0.0,103.0,500.0,0
93.5,0.0,93.5,540.0,0
102.5,0.0,102.5,300.0,0
103.0,0.0,103.0,420.0,0
99.5,2.0,97.5,500.0,0
104.0,0.0,104.0,460.0,0
95.0,0.0,95.0,400.0,0
102.5,0.0,102.5,580.0,0
103.0,0.0,103.0,240.0,0
112.0,0.0,112.0,480.0,0
113.5,0.0,113.5,480.0,0
98.0,0.0,98.0,520.0,0
102.0,0.0,102.0,470.0,0
102.0,0.0,102.0,520.0,0
107.5,0.0,107.5,520.0,0
103.0,0.5,102.5,440.0,0
96.0,0.0,96.0,460.0,0
108.5,0.0,108.5,580.0,0
94.5,0.0,94.5,480.0,0
94.0,0.0,94.0,440.0,0
99.5,0.0,99.5,510.0,0
93.0,1.0,92.0,530.0,0
94.0,0.0,94.0,510.0,0
109.0,0.0,109.0,480.0,0
86.5,0.0,86.5,510.0,0
121.0,0.0,121.0,490.0,0
94.5,0.0,94.5,530.0,0
107.5,0.5,107.0,510.0,0
104.5,0.5,104.0,510.0,0
100.5,1.0,99.5,380.0,0
88.0,1.0,87.0,510.0,0
97.0,0.0,97.0,470.0,0
108.0,0.0,108.0,450.0,0
93.5,0.0,93.5,470.0,0
109.0,0.0,109.0,540.0,0
92.0,2.5,89.5,550.0,0
100.5,0.0,100.5,560.0,0
94.5,0.0,94.5,460.0,0
87.5,0.5,87.0,660.0,0
91.5,0.5,91.0,500.0,0
102.0,0.0,102.0,460.0,0
103.0,0.0,103.0,550.0,0
105.0,0.0,105.0,230.0,0
98.0,0.0,98.0,240.0,0
96.5,0.0,96.5,240.0,0
87.0,0.0,87.0,230.0,0
92.0,0.0,92.0,230.0,0
90.0,0.0,90.0,200.0,0
95.0,0.0,95.0,200.0,0
94.5,0.0,94.5,190.0,0
103.0,0.0,103.0,180.0,0
107.0,0.0,107.0,200.0,0
89.0,0.0,89.0,220.0,0
91.0,0.0,91.0,180.0,0
104.0,0.0,104.0,160.0,0
113.0,0.0,113.0,160.0,0
95.5,0.0,95.5,200.0,0
89.0,0.0,89.0,190.0,0
95.0,0.0,95.0,190.0,0
92.0,0.0,92.0,180.0,0
100.5,0.0,100.5,170.0,0
106.5,0.0,106.5,180.0,0
106.0,0.0,106.0,240.0,0
107.0,0.0,107.0,240.0,0
91.0,0.0,91.0,180.0,0
104.5,0.0,104.5,220.0,0
108.5,0.0,108.5,220.0,0
90.0,0.0,90.0,220.0,0
92.5,0.0,92.5,190.0,0
96.0,0.0,96.0,180.0,0
82.5,0.0,82.5,190.0,0
83.0,0.0,83.0,260.0,0
95.5,0.0,95.5,260.0,0
101.5,0.0,101.5,180.0,0
90.5,0.0,90.5,170.0,0
93.5,0.0,93.5,180.0,0
93.5,0.0,93.5,180.0,0
