RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,236.0,0.0
100.0,0.0,100.0,428.0,0.0
164.5,0.0,164.5,664.0,0.0
315.5,0.0,315.5,768.0,0.0
376.0,57.0,319.0,856.0,0.0
425.0,39.5,385.5,894.0,0.0
442.5,13.5,429.0,868.0,0.0
431.0,12.5,418.5,868.0,0.0
412.0,6.5,405.5,1004.0,0.0
441.0,19.0,422.0,1018.0,0.0
464.0,5.0,459.0,1020.0,0.0
448.0,14.0,434.0,948.0,0.0
426.5,11.0,415.5,1020.0,0.0
442.5,22.5,420.0,1018.0,0.0
500.0,32.5,467.5,1008.0,0.0
480.5,19.5,461.0,988.0,0.0
457.5,26.0,431.5,974.0,0.0
477.5,68.0,409.5,1006.0,0.0
502.5,63.0,439.5,1026.0,0.0
506.0,30.5,475.5,930.0,0.0
511.5,23.0,488.5,906.0,0.0
523.0,14.0,509.0,966.0,0.0
504.0,10.0,494.0,840.0,0.0
493.0,12.5,480.5,932.0,0.0
526.5,18.0,508.5,872.0,0.0
497.0,30.5,466.5,1070.0,0.0
523.0,76.5,446.5,1132.0,0.0
518.5,70.5,448.0,1042.0,0.0
544.0,32.5,511.5,974.0,0.0
545.0,52.5,492.5,884.0,0.0
548.5,27.5,521.0,1062.0,0.0
557.5,37.0,520.5,1112.0,0.0
556.0,156.0,400.0,1014.0,0.0
529.0,202.0,327.0,1192.0,0.0
572.5,217.5,355.0,1076.0,0.0
541.5,132.5,409.0,1078.0,0.0
520.0,153.0,367.0,1026.0,0.0
544.5,177.5,367.0,1285.6,0.0
551.0,221.5,329.5,1224.0,0.0
568.5,149.5,419.0,1160.0,0.0
520.0,101.5,418.5,1272.0,0.0
535.5,148.0,387.5,1148.0,0.0
541.0,166.0,375.0,1152.0,0.0
569.5,161.0,408.5,1242.0,0.0
512.0,182.0,330.0,1206.0,0.0
557.0,164.0,393.0,1066.0,0.0
557.5,99.5,458.0,1190.0,0.0
557.5,87.5,470.0,1106.0,0.0
565.0,88.5,476.5,1030.0,0.0
531.5,84.0,447.5,1264.0,0.0
498.0,163.0,335.0,1398.0,0.0
515.5,262.5,253.0,1334.0,0.0
584.5,141.0,443.5,1038.0,0.0
524.5,94.5,430.0,1166.0,0.0
508.0,177.0,331.0,1322.0,0.0
533.0,227.5,305.5,1330.0,0.0
584.5,130.0,454.5,942.0,0.0
519.0,162.5,356.5,1418.0,0.0
540.0,181.0,359.0,1148.0,0.0
557.0,113.5,443.5,1280.0,0.0
526.5,260.5,266.0,1206.0,0.0
560.0,244.0,316.0,1360.0,0.0
594.5,78.5,516.0,1246.0,0.0
530.5,40.0,490.5,1172.0,0.0
569.0,111.5,457.5,1044.0,0.0
540.0,186.0,354.0,1406.0,0.0
553.5,185.0,368.5,1234.0,0.0
560.5,143.5,417.0,1214.0,0.0
460.0,178.5,281.5,1182.0,0.0
485.5,288.5,197.0,1286.0,0.0
561.0,274.5,286.5,1462.0,0.0
580.0,192.0,388.0,1344.0,0.0
521.5,83.5,438.0,1114.0,0.0
529.5,191.0,338.5,1302.0,0.0
513.5,287.0,226.5,1378.0,0.0
498.0,228.5,269.5,1344.0,0.0
482.5,270.0,212.5,996.0,0.0
523.5,290.0,233.5,1424.0,0.0
602.0,198.0,404.0,1236.0,0.0
550.5,32.5,518.0,1118.0,0.0
549.5,88.5,461.0,1076.0,0.0
525.5,129.0,396.5,1132.0,0.0
508.5,210.0,298.5,1200.0,0.0
498.5,279.5,219.0,1152.0,0.0
489.0,287.0,202.0,1130.0,0.0
497.5,299.5,198.0,1148.0,0.0
515.0,297.0,218.0,1099.2,0.0
530.5,323.0,207.5,1126.0,0.0
543.0,264.0,279.0,1064.0,0.0
532.5,184.0,348.5,1060.0,0.0
515.5,245.5,270.0,1137.2,0.0
488.5,310.0,178.5,1208.0,0.0
514.0,292.5,221.5,1158.0,0.0
533.0,274.5,258.5,828.2,0.0
531.0,286.5,244.5,1071.4,0.0
500.5,300.0,200.5,1116.6,0.0
510.0,311.5,198.5,1122.0,0.0
547.5,288.5,259.0,1102.0,0.0
539.5,256.0,283.5,1016.0,0.0
536.5,315.0,221.5,1152.8,0.0
552.0,292.0,260.0,853.2,0.0
527.5,276.5,251.0,1112.0,0.0
516.0,253.5,262.5,1072.0,0.0
483.5,290.0,193.5,1138.0,0.0
544.0,277.5,266.5,1148.0,0.0
561.5,248.0,313.5,1144.0,0.0
510.0,283.0,227.0,888.0,0.0
511.5,268.5,243.0,1077.8,0.0
546.5,299.0,247.5,1142.0,0.0
520.0,320.0,200.0,1055.4,0.0
483.5,300.5,183.0,1176.0,0.0
502.0,304.5,197.5,1116.0,0.0
496.5,299.0,197.5,1116.0,0.0
536.5,305.0,231.5,1014.0,0.0
503.0,284.0,219.0,1116.0,0.0
496.5,300.0,196.5,1098.0,0.0
510.0,305.0,205.0,1284.0,0.0
528.5,310.5,218.0,1284.0,0.0
500.5,289.0,211.5,1214.0,0.0
516.5,309.5,207.0,1186.0,0.0
498.0,305.0,193.0,1112.0,0.0
481.5,295.5,186.0,1226.0,0.0
498.0,290.5,207.5,1186.0,0.0
519.0,297.5,221.5,1238.0,0.0
542.5,249.0,293.5,1138.0,0.0
559.5,190.0,369.5,1160.0,0.0
521.5,251.5,270.0,930.0,0.0
508.5,288.0,220.5,1134.0,0.0
507.0,285.0,222.0,942.8,0.0
518.0,253.0,265.0,1128.0,0.0
528.5,214.5,314.0,950.0,0.0
492.0,267.0,225.0,1194.0,0.0
564.5,233.5,331.0,1102.0,0.0
536.0,127.5,408.5,1146.0,0.0
514.5,289.5,225.0,1138.0,0.0
526.5,271.5,255.0,1194.0,0.0
550.5,279.5,271.0,1164.0,0.0
512.0,264.5,247.5,966.8,0.0
520.0,311.5,208.5,1093.4,0.0
545.5,339.5,206.0,1096.0,0.0
538.0,236.0,302.0,1078.0,0.0
581.0,187.0,394.0,916.0,0.0
535.0,163.5,371.5,1134.0,0.0
554.0,182.0,372.0,1094.0,0.0
500.0,152.5,347.5,1093.6,0.0
467.0,261.0,206.0,1228.0,0.0
557.5,296.0,261.5,1140.0,0.0
511.5,173.5,338.0,902.0,0.0
523.5,279.0,244.5,1088.0,0.0
567.5,222.5,345.0,1084.0,0.0
558.0,94.0,464.0,996.6,0.0
511.0,164.5,346.5,1150.0,0.0
515.5,274.5,241.0,1110.0,0.0
523.0,289.5,233.5,1190.0,0.0
515.5,299.5,216.0,986.0,0.0
479.0,253.5,225.5,1202.0,0.0
552.0,257.5,294.5,1202.0,0.0
554.5,258.5,296.0,1044.0,0.0
508.0,244.5,263.5,1095.6,0.0
491.5,280.5,211.0,1183.0,0.0
471.0,299.0,172.0,1194.0,0.0
558.0,259.0,299.0,1086.0,0.0
532.0,244.0,288.0,1080.0,0.0
535.5,265.5,270.0,1010.4,0.0
552.5,251.5,301.0,1134.4,0.0
538.5,212.0,326.5,1038.0,0.0
539.0,164.5,374.5,1057.2,0.0
498.0,195.5,302.5,1112.0,0.0
552.0,316.0,236.0,1200.0,0.0
541.0,275.5,265.5,919.6,0.0
506.0,277.0,229.0,1116.6,0.0
527.0,308.0,219.0,1136.0,0.0
533.0,298.0,235.0,1156.0,0.0
487.5,272.0,215.5,1010.0,0.0
524.0,304.5,219.5,1148.0,0.0
553.0,282.5,270.5,1124.0,0.0
521.5,273.0,248.5,998.0,0.0
503.0,289.5,213.5,1114.0,0.0
500.0,316.5,183.5,1112.0,0.0
550.5,266.0,284.5,1082.0,0.0
491.5,200.0,291.5,1144.0,0.0
500.5,308.5,192.0,1158.0,0.0
541.5,277.0,264.5,835.4,0.0
511.0,244.5,266.5,1230.0,0.0
571.5,239.5,332.0,1170.0,0.0
586.0,113.0,473.0,982.0,0.0
512.5,57.0,455.5,1199.2,0.0
498.0,281.0,217.0,944.0,0.0
538.5,294.0,244.5,1192.0,0.0
539.0,254.0,285.0,1088.0,0.0
546.5,193.5,353.0,974.4,0.0
519.0,218.5,300.5,1018.0,0.0
530.5,250.0,280.5,1004.0,0.0
570.5,269.0,301.5,1004.0,0.0
506.0,262.0,244.0,1092.2,0.0
562.0,278.5,283.5,1038.0,0.0
543.0,234.5,308.5,1104.0,0.0
524.5,216.5,308.0,1096.0,0.0
520.0,262.0,258.0,1132.4,0.0
488.0,284.5,203.5,1186.0,0.0
526.5,314.0,212.5,1208.0,0.0
555.5,231.0,324.5,1035.4,0.0
497.5,220.5,277.0,950.0,0.0
507.0,305.5,201.5,1274.0,0.0
564.5,270.5,294.0,1146.0,0.0
564.0,160.5,403.5,960.0,0.0
514.0,151.0,363.0,1070.0,0.0
548.0,227.5,320.5,1108.0,0.0
530.0,178.5,351.5,1097.4,0.0
550.5,268.5,282.0,951.4,0.0
529.5,248.5,281.0,977.0,0.0
472.5,265.0,207.5,1106.0,0.0
540.5,286.5,254.0,1250.0,0.0
547.0,236.5,310.5,1146.0,0.0
506.0,258.5,247.5,1030.0,0.0
552.0,285.0,267.0,975.8,0.0
549.0,215.0,334.0,1132.0,0.0
512.0,195.0,317.0,1038.0,0.0
539.5,264.0,275.5,1070.0,0.0
557.0,227.0,330.0,1084.0,0.0
534.0,200.0,334.0,1176.0,0.0
571.0,224.5,346.5,1130.8,0.0
528.0,188.5,339.5,1064.0,0.0
525.5,200.0,325.5,1056.0,0.0
552.5,255.5,297.0,1138.0,0.0
541.0,267.5,273.5,1198.0,0.0
589.5,179.5,410.0,1148.0,0.0
531.0,151.5,379.5,906.0,0.0
512.0,249.5,262.5,1095.8,0.0
524.5,288.0,236.5,1203.8,0.0
562.5,296.0,266.5,1046.0,0.0
526.0,216.0,310.0,1044.0,0.0
504.0,214.5,289.5,1084.0,0.0
556.0,234.5,321.5,1116.0,0.0
532.5,145.0,387.5,972.0,0.0
525.0,198.5,326.5,1064.0,0.0
566.5,203.0,363.5,935.6,0.0
539.0,210.0,329.0,1101.4,0.0
502.0,285.0,217.0,1132.0,0.0
505.0,279.5,225.5,1086.0,0.0
552.5,287.5,265.0,1102.0,0.0
554.5,214.5,340.0,1066.0,0.0
545.5,160.5,385.0,907.0,0.0
537.0,181.5,355.5,1062.0,0.0
544.0,242.5,301.5,961.6,0.0
527.5,245.0,282.5,1137.8,0.0
524.5,288.5,236.0,1128.0,0.0
549.5,164.0,385.5,1034.8,0.0
501.5,250.0,251.5,1088.0,0.0
542.0,288.0,254.0,1144.0,0.0
545.0,270.0,275.0,960.0,0.0
535.0,254.0,281.0,1077.6,0.0
542.5,247.0,295.5,1091.2,0.0
516.0,275.5,240.5,1124.0,0.0
543.5,314.0,229.5,1132.2,0.0
543.0,246.0,297.0,1046.4,0.0
535.0,246.0,289.0,1094.0,0.0
510.5,270.5,240.0,1068.6,0.0
