RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,120.0,0
27.0,0.0,27.0,240.0,0
37.0,0.0,37.0,450.0,0
61.0,0.0,61.0,360.0,0
49.0,0.0,49.0,190.0,0
40.5,0.0,40.5,240.0,0
40.5,0.0,40.5,210.0,0
46.5,0.0,46.5,270.0,0
44.0,0.0,44.0,200.0,0
47.0,0.0,47.0,340.0,0
42.5,0.0,42.5,330.0,0
47.0,0.0,47.0,300.0,0
44.5,0.0,44.5,290.0,0
41.0,0.0,41.0,350.0,0
51.0,0.0,51.0,260.0,0
71.0,0.0,71.0,270.0,0
92.5,0.0,92.5,140.0,0
86.5,0.0,86.5,280.0,0
90.5,0.0,90.5,280.0,0
87.5,0.0,87.5,210.0,0
86.0,0.0,86.0,220.0,0
75.5,0.0,75.5,220.0,0
51.5,0.0,51.5,220.0,0
49.0,0.0,49.0,230.0,0
33.5,0.0,33.5,250.0,0
47.0,0.0,47.0,220.0,0
57.5,0.0,57.5,190.0,0
38.5,0.0,38.5,320.0,0
35.5,1.0,34.5,310.0,0
40.0,2.0,38.0,310.0,0
50.5,0.0,50.5,190.0,0
57.5,0.0,57.5,230.0,0
102.0,0.0,102.0,350.0,0
114.5,0.0,114.5,230.0,0
101.5,0.0,101.5,270.0,0
108.0,0.0,108.0,220.0,0
107.5,0.0,107.5,360.0,0
83.0,0.0,83.0,290.0,0
61.5,0.0,61.5,290.0,0
52.0,0.0,52.0,290.0,0
45.0,1.0,44.0,300.0,0
44.5,2.5,42.0,300.0,0
47.0,0.0,47.0,290.0,0
40.5,0.5,40.0,290.0,0
34.5,2.0,32.5,360.0,0
41.5,3.0,38.5,350.0,0
45.0,0.5,44.5,210.0,0
46.5,0.0,46.5,220.0,0
73.0,0.0,73.0,230.0,0
101.0,0.0,101.0,220.0,0
105.5,0.0,105.5,400.0,0
115.5,0.0,115.5,280.0,0
99.5,0.0,99.5,280.0,0
85.0,0.0,85.0,290.0,0
84.5,0.0,84.5,310.0,0
54.5,0.0,54.5,300.0,0
51.0,0.0,51.0,300.0,0
47.0,1.0,46.0,400.0,0
48.5,2.0,46.5,400.0,0
