timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T21:36:56Z,cartservice,9516270,0,0,0
2026-09-05T21:36:56Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:36:56Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:02Z,cartservice,9516270,0,0,0
2026-09-05T21:37:02Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:02Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:07Z,cartservice,9516270,0,0,0
2026-09-05T21:37:07Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:07Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:12Z,cartservice,9516270,0,0,0
2026-09-05T21:37:12Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:12Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:18Z,cartservice,9516270,0,0,0
2026-09-05T21:37:18Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:18Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:23Z,cartservice,9516270,0,0,0
2026-09-05T21:37:23Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:23Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:29Z,cartservice,9516270,0,0,0
2026-09-05T21:37:29Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:29Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:34Z,cartservice,9516270,0,0,0
2026-09-05T21:37:34Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:34Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:39Z,cartservice,9516270,0,0,0
2026-09-05T21:37:39Z,productcatalogservice,33957153,0,0,0
2026-09-05T21:37:39Z,checkoutservice,194908,849,15,396
2026-09-05T21:37:45Z,cartservice,9517603,0,0,0
2026-09-05T21:37:45Z,productcatalogservice,33960968,0,0,0
2026-09-05T21:37:45Z,checkoutservice,194929,849,15,396
2026-09-05T21:37:50Z,cartservice,9518856,0,0,0
2026-09-05T21:37:50Z,productcatalogservice,33965514,0,0,0
2026-09-05T21:37:50Z,checkoutservice,194965,849,15,396
2026-09-05T21:37:55Z,cartservice,9520466,0,0,0
2026-09-05T21:37:55Z,productcatalogservice,33969597,0,0,0
2026-09-05T21:37:55Z,checkoutservice,194993,849,15,396
2026-09-05T21:38:01Z,cartservice,9522875,0,0,0
2026-09-05T21:38:01Z,productcatalogservice,33973538,0,0,0
2026-09-05T21:38:01Z,checkoutservice,195028,849,15,396
2026-09-05T21:38:06Z,cartservice,9524180,0,0,0
2026-09-05T21:38:06Z,productcatalogservice,33977853,0,0,0
2026-09-05T21:38:06Z,checkoutservice,195055,849,15,396
2026-09-05T21:38:11Z,cartservice,9525290,0,0,0
2026-09-05T21:38:11Z,productcatalogservice,33981856,0,0,0
2026-09-05T21:38:11Z,checkoutservice,195080,849,15,396
2026-09-05T21:38:17Z,cartservice,9527218,0,0,0
2026-09-05T21:38:17Z,productcatalogservice,33985795,0,0,0
2026-09-05T21:38:17Z,checkoutservice,195101,849,15,396
2026-09-05T21:38:22Z,cartservice,9530066,0,0,0
2026-09-05T21:38:22Z,productcatalogservice,33987546,0,0,0
2026-09-05T21:38:22Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:28Z,cartservice,9532915,0,0,0
2026-09-05T21:38:28Z,productcatalogservice,33988812,0,0,0
2026-09-05T21:38:28Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:33Z,cartservice,9535625,0,0,0
2026-09-05T21:38:33Z,productcatalogservice,33989990,0,0,0
2026-09-05T21:38:33Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:38Z,cartservice,9538497,0,0,0
2026-09-05T21:38:38Z,productcatalogservice,33991228,0,0,0
2026-09-05T21:38:38Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:44Z,cartservice,9541313,0,0,0
2026-09-05T21:38:44Z,productcatalogservice,33992469,0,0,0
2026-09-05T21:38:44Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:49Z,cartservice,9544079,0,0,0
2026-09-05T21:38:49Z,productcatalogservice,33993648,0,0,0
2026-09-05T21:38:49Z,checkoutservice,195112,849,15,396
2026-09-05T21:38:54Z,cartservice,9546936,0,0,0
2026-09-05T21:38:54Z,productcatalogservice,33994896,0,0,0
2026-09-05T21:38:54Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:00Z,cartservice,9549742,0,0,0
2026-09-05T21:39:00Z,productcatalogservice,33996092,0,0,0
2026-09-05T21:39:00Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:05Z,cartservice,9552518,0,0,0
2026-09-05T21:39:05Z,productcatalogservice,33997317,0,0,0
2026-09-05T21:39:05Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:10Z,cartservice,9555402,0,0,0
2026-09-05T21:39:10Z,productcatalogservice,33998588,0,0,0
2026-09-05T21:39:10Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:16Z,cartservice,9558157,0,0,0
2026-09-05T21:39:16Z,productcatalogservice,33999804,0,0,0
2026-09-05T21:39:16Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:21Z,cartservice,9561006,0,0,0
2026-09-05T21:39:21Z,productcatalogservice,34001085,0,0,0
2026-09-05T21:39:21Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:27Z,cartservice,9563833,0,0,0
2026-09-05T21:39:27Z,productcatalogservice,34002338,0,0,0
2026-09-05T21:39:27Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:32Z,cartservice,9566593,0,0,0
2026-09-05T21:39:32Z,productcatalogservice,34003541,0,0,0
2026-09-05T21:39:32Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:37Z,cartservice,9569461,0,0,0
2026-09-05T21:39:37Z,productcatalogservice,34004773,0,0,0
2026-09-05T21:39:37Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:43Z,cartservice,9572284,0,0,0
2026-09-05T21:39:43Z,productcatalogservice,34006029,0,0,0
2026-09-05T21:39:43Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:48Z,cartservice,9575077,0,0,0
2026-09-05T21:39:48Z,productcatalogservice,34007259,0,0,0
2026-09-05T21:39:48Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:53Z,cartservice,9577909,0,0,0
2026-09-05T21:39:53Z,productcatalogservice,34008509,0,0,0
2026-09-05T21:39:53Z,checkoutservice,195112,849,15,396
2026-09-05T21:39:59Z,cartservice,9580691,0,0,0
2026-09-05T21:39:59Z,productcatalogservice,34009747,0,0,0
2026-09-05T21:39:59Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:04Z,cartservice,9583539,0,0,0
2026-09-05T21:40:04Z,productcatalogservice,34010973,0,0,0
2026-09-05T21:40:04Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:10Z,cartservice,9586365,0,0,0
2026-09-05T21:40:10Z,productcatalogservice,34012234,0,0,0
2026-09-05T21:40:10Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:15Z,cartservice,9589104,0,0,0
2026-09-05T21:40:15Z,productcatalogservice,34013458,0,0,0
2026-09-05T21:40:15Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:20Z,cartservice,9591950,0,0,0
2026-09-05T21:40:20Z,productcatalogservice,34014692,0,0,0
2026-09-05T21:40:20Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:26Z,cartservice,9594792,0,0,0
2026-09-05T21:40:26Z,productcatalogservice,34015929,0,0,0
2026-09-05T21:40:26Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:31Z,cartservice,9597582,0,0,0
2026-09-05T21:40:31Z,productcatalogservice,34017134,0,0,0
2026-09-05T21:40:31Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:36Z,cartservice,9600446,0,0,0
2026-09-05T21:40:36Z,productcatalogservice,34018387,0,0,0
2026-09-05T21:40:36Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:42Z,cartservice,9603207,0,0,0
2026-09-05T21:40:42Z,productcatalogservice,34019577,0,0,0
2026-09-05T21:40:42Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:47Z,cartservice,9606075,0,0,0
2026-09-05T21:40:47Z,productcatalogservice,34020845,0,0,0
2026-09-05T21:40:47Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:53Z,cartservice,9608934,0,0,0
2026-09-05T21:40:53Z,productcatalogservice,34022067,0,0,0
2026-09-05T21:40:53Z,checkoutservice,195112,849,15,396
2026-09-05T21:40:58Z,cartservice,9611704,0,0,0
2026-09-05T21:40:58Z,productcatalogservice,34023309,0,0,0
2026-09-05T21:40:58Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:03Z,cartservice,9614533,0,0,0
2026-09-05T21:41:03Z,productcatalogservice,34024565,0,0,0
2026-09-05T21:41:03Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:09Z,cartservice,9617338,0,0,0
2026-09-05T21:41:09Z,productcatalogservice,34025793,0,0,0
2026-09-05T21:41:09Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:14Z,cartservice,9620140,0,0,0
2026-09-05T21:41:14Z,productcatalogservice,34027024,0,0,0
2026-09-05T21:41:14Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:19Z,cartservice,9622961,0,0,0
2026-09-05T21:41:19Z,productcatalogservice,34028287,0,0,0
2026-09-05T21:41:19Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:25Z,cartservice,9625740,0,0,0
2026-09-05T21:41:25Z,productcatalogservice,34029484,0,0,0
2026-09-05T21:41:25Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:30Z,cartservice,9628571,0,0,0
2026-09-05T21:41:30Z,productcatalogservice,34030695,0,0,0
2026-09-05T21:41:30Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:36Z,cartservice,9631395,0,0,0
2026-09-05T21:41:36Z,productcatalogservice,34031950,0,0,0
2026-09-05T21:41:36Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:41Z,cartservice,9634139,0,0,0
2026-09-05T21:41:41Z,productcatalogservice,34033191,0,0,0
2026-09-05T21:41:41Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:46Z,cartservice,9636988,0,0,0
2026-09-05T21:41:46Z,productcatalogservice,34034441,0,0,0
2026-09-05T21:41:46Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:52Z,cartservice,9639811,0,0,0
2026-09-05T21:41:52Z,productcatalogservice,34035698,0,0,0
2026-09-05T21:41:52Z,checkoutservice,195112,849,15,396
2026-09-05T21:41:57Z,cartservice,9642592,0,0,0
2026-09-05T21:41:57Z,productcatalogservice,34036949,0,0,0
2026-09-05T21:41:57Z,checkoutservice,195112,849,15,396
2026-09-05T21:42:02Z,cartservice,9645429,0,0,0
2026-09-05T21:42:02Z,productcatalogservice,34038184,0,0,0
2026-09-05T21:42:02Z,checkoutservice,195112,849,15,396
2026-09-05T21:42:08Z,cartservice,9648241,0,0,0
2026-09-05T21:42:08Z,productcatalogservice,34039413,0,0,0
2026-09-05T21:42:08Z,checkoutservice,195112,849,15,396
2026-09-05T21:42:13Z,cartservice,9651051,0,0,0
2026-09-05T21:42:13Z,productcatalogservice,34040637,0,0,0
2026-09-05T21:42:13Z,checkoutservice,195112,849,15,396
2026-09-05T21:42:18Z,cartservice,9653879,0,0,0
2026-09-05T21:42:18Z,productcatalogservice,34041921,0,0,0
2026-09-05T21:42:18Z,checkoutservice,195112,849,15,396
2026-09-05T21:42:24Z,cartservice,9656655,0,0,0
