RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,530.0,0
98.0,0.0,98.0,860.0,0
102.0,0.0,102.0,590.0,0
99.5,36.5,63.0,1100.0,0
112.5,36.5,76.0,800.0,0
120.0,0.0,120.0,700.0,0
96.0,0.0,96.0,880.0,0
103.5,0.0,103.5,900.0,0
114.5,0.0,114.5,860.0,0
116.0,0.0,116.0,800.0,0
104.0,1.0,103.0,990.0,0
107.5,0.0,107.5,830.0,0
122.0,0.0,122.0,840.0,0
112.5,0.0,112.5,890.0,0
103.0,0.0,103.0,930.0,0
118.5,0.0,118.5,960.0,0
108.0,0.0,108.0,950.0,0
128.0,0.0,128.0,800.0,0
113.0,0.0,113.0,950.0,0
115.0,0.0,115.0,930.0,0
124.5,0.0,124.5,970.0,0
109.0,0.0,109.0,880.0,0
128.5,0.0,128.5,820.0,0
113.5,0.0,113.5,930.0,0
120.0,25.0,95.0,1100.0,0
100.5,17.0,83.5,1100.0,0
104.0,29.0,75.0,1200.0,0
121.5,63.5,58.0,1200.0,0
158.5,68.5,90.0,1100.0,0
74.0,14.0,60.0,1000.0,0
148.5,2.0,146.5,880.0,0
119.0,0.0,119.0,950.0,0
117.0,4.5,112.5,1100.0,0
143.0,2.0,141.0,1000.0,0
118.0,2.0,116.0,1100.0,0
120.0,34.0,86.0,1100.0,0
130.0,41.5,88.5,1200.0,0
138.0,15.5,122.5,1200.0,0
139.0,4.0,135.0,1100.0,0
151.0,2.0,149.0,920.0,0
147.0,0.0,147.0,970.0,0
139.0,0.0,139.0,940.0,0
135.0,0.0,135.0,1000.0,0
129.0,1.0,128.0,890.0,0
104.5,0.0,104.5,930.0,0
101.5,3.5,98.0,1100.0,0
142.5,13.5,129.0,1000.0,0
148.0,8.5,139.5,920.0,0
132.5,0.5,132.0,1000.0,0
113.0,0.0,113.0,980.0,0
140.0,0.0,140.0,1000.0,0
132.0,4.0,128.0,940.0,0
116.5,0.0,116.5,980.0,0
124.0,0.0,124.0,1000.0,0
158.0,4.0,154.0,890.0,0
134.5,0.0,134.5,970.0,0
104.0,1.5,102.5,1100.0,0
142.0,10.0,132.0,990.0,0
124.0,0.0,124.0,1000.0,0
116.0,0.0,116.0,1100.0,0
136.5,19.0,117.5,1100.0,0
166.5,18.0,148.5,990.0,0
100.5,0.0,100.5,960.0,0
110.0,0.0,110.0,970.0,0
153.0,0.0,153.0,980.0,0
125.5,0.0,125.5,990.0,0
130.5,0.0,130.5,1100.0,0
124.0,1.0,123.0,1100.0,0
163.5,3.0,160.5,940.0,0
142.0,0.0,142.0,1100.0,0
131.0,2.0,129.0,1000.0,0
143.0,0.5,142.5,950.0,0
122.5,0.0,122.5,1000.0,0
132.5,1.0,131.5,1000.0,0
113.5,1.5,112.0,980.0,0
134.0,1.5,132.5,990.0,0
122.5,0.0,122.5,970.0,0
150.0,0.5,149.5,1100.0,0
133.0,1.0,132.0,980.0,0
150.5,0.0,150.5,1000.0,0
131.5,2.0,129.5,940.0,0
106.5,0.0,106.5,990.0,0
164.0,0.5,163.5,1100.0,0
118.5,0.0,118.5,810.0,0
100.0,0.0,100.0,1000.0,0
119.5,11.0,108.5,1000.0,0
142.5,11.0,131.5,940.0,0
136.0,0.0,136.0,950.0,0
137.0,1.5,135.5,930.0,0
139.0,0.0,139.0,870.0,0
118.5,0.0,118.5,790.0,0
130.5,0.0,130.5,790.0,0
145.5,0.0,145.5,820.0,0
143.5,0.0,143.5,720.0,0
132.0,0.0,132.0,700.0,0
123.5,0.0,123.5,750.0,0
119.0,0.0,119.0,820.0,0
121.0,0.0,121.0,900.0,0
150.5,0.0,150.5,810.0,0
157.0,0.0,157.0,760.0,0
132.0,0.0,132.0,640.0,0
121.0,0.0,121.0,930.0,0
114.5,0.0,114.5,830.0,0
143.0,0.0,143.0,790.0,0
149.5,0.0,149.5,730.0,0
107.5,0.0,107.5,810.0,0
144.0,0.0,144.0,830.0,0
134.5,0.0,134.5,950.0,0
106.0,0.0,106.0,950.0,0
134.5,0.0,134.5,870.0,0
141.5,0.0,141.5,840.0,0
134.0,0.0,134.0,900.0,0
138.5,0.0,138.5,810.0,0
129.5,0.0,129.5,820.0,0
137.0,0.0,137.0,890.0,0
132.5,0.0,132.5,750.0,0
146.0,0.0,146.0,840.0,0
146.5,0.0,146.5,610.0,0
132.0,0.0,132.0,710.0,0
131.0,0.0,131.0,690.0,0
134.0,0.0,134.0,630.0,0
110.0,0.0,110.0,850.0,0
110.0,0.0,110.0,900.0,0
132.5,0.0,132.5,890.0,0
147.5,0.0,147.5,800.0,0
139.0,0.0,139.0,780.0,0
138.5,0.0,138.5,780.0,0
146.5,0.0,146.5,680.0,0
134.0,0.0,134.0,610.0,0
132.0,0.0,132.0,590.0,0
130.0,0.0,130.0,600.0,0
130.0,0.0,130.0,710.0,0
132.0,0.0,132.0,640.0,0
131.5,0.0,131.5,730.0,0
132.0,0.0,132.0,870.0,0
104.0,0.0,104.0,920.0,0
160.0,0.0,160.0,770.0,0
98.5,1.0,97.5,1000.0,0
104.0,3.0,101.0,990.0,0
156.5,0.0,156.5,860.0,0
149.5,0.0,149.5,720.0,0
142.0,0.0,142.0,710.0,0
139.5,0.0,139.5,800.0,0
116.5,0.0,116.5,870.0,0
146.5,0.0,146.5,800.0,0
129.5,0.0,129.5,820.0,0
118.0,0.0,118.0,860.0,0
127.5,0.0,127.5,880.0,0
129.5,0.0,129.5,990.0,0
124.0,0.0,124.0,990.0,0
149.0,0.0,149.0,880.0,0
138.0,0.0,138.0,790.0,0
144.0,0.0,144.0,780.0,0
140.0,0.0,140.0,710.0,0
134.0,0.0,134.0,720.0,0
130.5,0.0,130.5,760.0,0
112.5,0.0,112.5,890.0,0
144.5,0.0,144.5,870.0,0
137.5,0.0,137.5,860.0,0
126.5,0.0,126.5,910.0,0
148.5,0.0,148.5,750.0,0
144.5,0.0,144.5,720.0,0
132.0,0.0,132.0,650.0,0
126.5,0.0,126.5,800.0,0
132.0,0.0,132.0,840.0,0
116.5,0.0,116.5,790.0,0
126.0,0.0,126.0,750.0,0
142.5,0.0,142.5,720.0,0
139.5,0.0,139.5,720.0,0
137.0,0.0,137.0,670.0,0
132.0,0.0,132.0,710.0,0
123.5,0.0,123.5,760.0,0
137.5,0.0,137.5,710.0,0
126.0,0.0,126.0,670.0,0
135.0,0.0,135.0,760.0,0
110.5,0.0,110.5,880.0,0
114.0,0.0,114.0,910.0,0
153.5,0.0,153.5,730.0,0
130.5,0.0,130.5,870.0,0
123.0,0.0,123.0,800.0,0
129.5,0.0,129.5,790.0,0
144.5,0.0,144.5,730.0,0
130.0,0.0,130.0,820.0,0
103.5,0.0,103.5,930.0,0
137.5,0.0,137.5,820.0,0
143.5,0.0,143.5,860.0,0
136.5,0.0,136.5,850.0,0
149.0,0.0,149.0,790.0,0
132.0,0.0,132.0,660.0,0
129.5,0.0,129.5,700.0,0
113.0,0.0,113.0,840.0,0
134.5,0.0,134.5,810.0,0
151.0,0.0,151.0,670.0,0
132.0,0.0,132.0,640.0,0
132.0,0.0,132.0,670.0,0
138.0,0.0,138.0,670.0,0
129.0,0.0,129.0,680.0,0
127.5,0.0,127.5,720.0,0
132.0,0.0,132.0,640.0,0
127.5,0.0,127.5,760.0,0
112.0,0.0,112.0,920.0,0
139.0,0.0,139.0,920.0,0
148.0,0.0,148.0,700.0,0
136.0,0.0,136.0,790.0,0
137.5,0.0,137.5,800.0,0
132.0,0.0,132.0,660.0,0
135.0,0.0,135.0,650.0,0
123.5,0.0,123.5,710.0,0
118.0,0.0,118.0,780.0,0
119.5,0.0,119.5,860.0,0
117.0,0.0,117.0,930.0,0
150.5,0.0,150.5,880.0,0
149.0,0.0,149.0,750.0,0
142.0,0.0,142.0,740.0,0
136.0,0.0,136.0,690.0,0
120.5,0.0,120.5,750.0,0
132.5,0.0,132.5,730.0,0
143.5,0.0,143.5,840.0,0
118.0,0.0,118.0,920.0,0
128.5,0.0,128.5,890.0,0
130.0,0.0,130.0,880.0,0
150.5,0.0,150.5,800.0,0
120.0,0.0,120.0,890.0,0
117.0,0.0,117.0,880.0,0
136.0,0.0,136.0,910.0,0
151.5,0.0,151.5,820.0,0
131.5,0.0,131.5,810.0,0
124.5,0.0,124.5,770.0,0
122.5,0.0,122.5,840.0,0
125.5,0.0,125.5,830.0,0
154.5,0.0,154.5,750.0,0
150.5,0.0,150.5,770.0,0
132.0,0.0,132.0,770.0,0
128.5,0.0,128.5,740.0,0
132.0,0.0,132.0,690.0,0
128.0,0.0,128.0,750.0,0
118.0,0.0,118.0,840.0,0
126.0,0.0,126.0,810.0,0
146.0,0.0,146.0,780.0,0
141.0,0.0,141.0,780.0,0
130.5,0.0,130.5,760.0,0
122.0,0.0,122.0,870.0,0
109.5,0.0,109.5,940.0,0
133.0,0.0,133.0,910.0,0
160.5,0.0,160.5,830.0,0
132.0,0.0,132.0,820.0,0
124.0,0.0,124.0,820.0,0
126.0,0.0,126.0,770.0,0
115.0,0.0,115.0,970.0,0
121.0,0.0,121.0,1000.0,0
136.5,1.0,135.5,1100.0,0
133.5,11.0,122.5,1100.0,0
137.5,11.0,126.5,930.0,0
138.0,0.0,138.0,900.0,0
133.5,0.0,133.5,900.0,0
150.0,0.0,150.0,690.0,0
131.5,0.0,131.5,810.0,0
117.5,0.0,117.5,820.0,0
125.5,0.0,125.5,830.0,0
134.0,0.0,134.0,800.0,0
151.5,0.0,151.5,740.0,0
139.0,0.0,139.0,740.0,0
120.5,0.0,120.5,850.0,0
106.0,1.5,104.5,1000.0,0
137.0,6.5,130.5,850.0,0
132.5,0.0,132.5,830.0,0
144.0,0.0,144.0,820.0,0
147.0,0.0,147.0,820.0,0
119.5,0.0,119.5,720.0,0
142.5,0.0,142.5,720.0,0
129.5,0.0,129.5,700.0,0
117.0,0.0,117.0,740.0,0
122.5,0.0,122.5,820.0,0
147.0,0.0,147.0,730.0,0
144.0,0.0,144.0,620.0,0
132.0,0.0,132.0,670.0,0
124.0,0.0,124.0,730.0,0
116.0,0.0,116.0,960.0,0
139.5,0.0,139.5,840.0,0
156.0,0.0,156.0,750.0,0
146.0,0.0,146.0,680.0,0
131.0,0.0,131.0,660.0,0
132.0,0.0,132.0,630.0,0
133.0,0.0,133.0,710.0,0
132.0,0.0,132.0,710.0,0
132.0,0.0,132.0,610.0,0
132.0,0.0,132.0,600.0,0
126.5,0.0,126.5,810.0,0
118.0,0.0,118.0,770.0,0
122.0,0.0,122.0,800.0,0
146.0,0.0,146.0,710.0,0
147.5,0.0,147.5,730.0,0
132.0,0.0,132.0,620.0,0
110.0,0.0,110.0,790.0,0
132.0,0.0,132.0,820.0,0
152.5,0.0,152.5,660.0,0
132.0,0.0,132.0,780.0,0
132.0,0.0,132.0,680.0,0
108.0,0.0,108.0,900.0,0
123.0,0.0,123.0,870.0,0
136.0,0.0,136.0,740.0,0
118.5,0.0,118.5,790.0,0
133.0,0.0,133.0,790.0,0
146.5,0.0,146.5,660.0,0
138.5,0.0,138.5,620.0,0
132.0,0.0,132.0,660.0,0
131.0,0.0,131.0,780.0,0
106.0,0.0,106.0,780.0,0
137.0,0.0,137.0,790.0,0
132.0,0.0,132.0,680.0,0
130.5,0.0,130.5,860.0,0
113.5,0.0,113.5,860.0,0
111.0,0.0,111.0,960.0,0
127.5,0.5,127.0,940.0,0
141.0,0.5,140.5,890.0,0
132.0,0.0,132.0,1000.0,0
136.5,0.0,136.5,820.0,0
148.0,0.0,148.0,790.0,0
145.0,0.0,145.0,740.0,0
123.0,0.0,123.0,780.0,0
116.5,0.0,116.5,810.0,0
144.5,0.0,144.5,700.0,0
110.0,0.0,110.0,1000.0,0
137.5,1.0,136.5,820.0,0
139.5,0.0,139.5,860.0,0
139.5,0.0,139.5,710.0,0
127.5,0.0,127.5,710.0,0
122.5,0.0,122.5,830.0,0
131.5,0.0,131.5,790.0,0
129.0,0.0,129.0,790.0,0
133.0,0.0,133.0,720.0,0
134.5,0.0,134.5,780.0,0
131.0,0.0,131.0,840.0,0
126.5,0.0,126.5,880.0,0
127.5,0.0,127.5,880.0,0
130.5,0.0,130.5,840.0,0
140.0,0.0,140.0,830.0,0
129.0,0.0,129.0,850.0,0
141.0,0.0,141.0,790.0,0
144.0,0.0,144.0,790.0,0
144.0,0.0,144.0,650.0,0
132.0,0.0,132.0,550.0,0
131.0,0.0,131.0,720.0,0
132.0,0.0,132.0,740.0,0
115.0,0.0,115.0,670.0,0
149.0,0.0,149.0,590.0,0
132.0,0.0,132.0,610.0,0
132.0,0.0,132.0,580.0,0
132.0,0.0,132.0,630.0,0
123.0,0.0,123.0,660.0,0
132.0,0.0,132.0,670.0,0
132.0,0.0,132.0,820.0,0
119.0,0.0,119.0,860.0,0
139.0,0.0,139.0,790.0,0
154.0,0.0,154.0,620.0,0
124.0,0.0,124.0,690.0,0
122.0,0.0,122.0,770.0,0
127.5,0.0,127.5,900.0,0
142.0,0.0,142.0,740.0,0
144.5,0.0,144.5,810.0,0
132.0,0.0,132.0,770.0,0
133.5,0.0,133.5,620.0,0
132.0,0.0,132.0,590.0,0
110.0,0.0,110.0,830.0,0
117.0,0.0,117.0,810.0,0
134.5,0.0,134.5,750.0,0
146.0,0.0,146.0,850.0,0
112.5,0.0,112.5,940.0,0
128.0,0.0,128.0,910.0,0
138.0,0.0,138.0,810.0,0
137.5,0.0,137.5,870.0,0
123.0,0.0,123.0,810.0,0
150.0,0.0,150.0,790.0,0
155.5,0.0,155.5,670.0,0
134.5,0.0,134.5,740.0,0
126.5,0.0,126.5,770.0,0
122.5,0.0,122.5,740.0,0
134.5,0.0,134.5,740.0,0
135.5,0.0,135.5,760.0,0
135.0,0.0,135.0,670.0,0
138.0,0.0,138.0,680.0,0
132.0,0.0,132.0,820.0,0
132.0,0.0,132.0,880.0,0
109.5,0.0,109.5,930.0,0
133.0,0.0,133.0,890.0,0
154.5,0.0,154.5,750.0,0
147.5,0.0,147.5,760.0,0
132.0,0.0,132.0,820.0,0
132.0,0.0,132.0,660.0,0
132.0,0.0,132.0,690.0,0
116.0,0.0,116.0,720.0,0
125.5,0.0,125.5,750.0,0
151.0,0.0,151.0,650.0,0
120.5,0.0,120.5,740.0,0
132.0,0.0,132.0,710.0,0
142.5,0.0,142.5,720.0,0
