RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
4.0,0.0,4.0,260.0,0
36.0,0.0,36.0,330.0,0
63.0,0.0,63.0,320.0,0
81.0,0.0,81.0,330.0,0
76.5,0.0,76.5,350.0,0
76.0,0.0,76.0,280.0,0
87.5,0.0,87.5,320.0,0
85.0,0.0,85.0,360.0,0
83.0,0.0,83.0,360.0,0
76.5,0.0,76.5,310.0,0
86.5,0.0,86.5,310.0,0
74.5,0.0,74.5,340.0,0
91.0,0.0,91.0,330.0,0
87.5,0.0,87.5,320.0,0
69.0,0.0,69.0,300.0,0
90.5,0.0,90.5,300.0,0
77.0,0.0,77.0,380.0,0
89.5,0.0,89.5,360.0,0
96.0,0.0,96.0,270.0,0
92.5,0.0,92.5,310.0,0
97.0,0.0,97.0,350.0,0
94.5,0.0,94.5,320.0,0
100.0,0.0,100.0,310.0,0
103.0,0.0,103.0,310.0,0
68.5,0.0,68.5,310.0,0
96.5,0.0,96.5,300.0,0
104.0,0.0,104.0,350.0,0
93.5,0.0,93.5,350.0,0
99.0,0.0,99.0,330.0,0
99.5,0.0,99.5,390.0,0
100.0,0.0,100.0,250.0,0
106.0,0.0,106.0,230.0,0
105.5,0.0,105.5,210.0,0
85.0,0.0,85.0,230.0,0
105.5,0.0,105.5,340.0,0
113.5,0.0,113.5,290.0,0
93.5,0.0,93.5,280.0,0
95.0,0.0,95.0,250.0,0
83.0,0.0,83.0,270.0,0
90.0,0.0,90.0,260.0,0
107.0,0.0,107.0,210.0,0
105.0,0.0,105.0,240.0,0
89.5,0.0,89.5,160.0,0
87.0,0.0,87.0,310.0,0
99.5,0.0,99.5,280.0,0
104.0,0.0,104.0,290.0,0
95.0,0.0,95.0,260.0,0
106.0,0.0,106.0,210.0,0
97.0,0.0,97.0,190.0,0
98.5,0.0,98.5,240.0,0
89.0,0.0,89.0,240.0,0
97.5,0.0,97.5,180.0,0
99.0,0.0,99.0,190.0,0
