RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
3.0,0.0,3.0,120.0,0
7.5,0.0,7.5,390.0,0
13.5,0.0,13.5,490.0,0
15.0,0.0,15.0,650.0,0
21.5,1.0,20.5,1100.0,0
29.0,19.5,9.5,1200.0,0
34.0,27.5,6.5,1200.0,0
29.0,18.5,10.5,1500.0,0
23.5,2.0,21.5,1700.0,0
30.5,12.5,18.0,2400.0,0
20.0,10.0,10.0,2400.0,0
27.0,12.5,14.5,1900.0,0
29.5,9.0,20.5,2400.0,0
18.0,9.5,8.5,2400.0,0
24.5,11.0,13.5,2700.0,0
26.5,13.0,13.5,2200.0,0
29.5,17.0,12.5,2500.0,0
21.0,9.5,11.5,2500.0,0
24.5,16.0,8.5,2100.0,0
31.0,14.0,17.0,2300.0,0
24.0,9.0,15.0,2200.0,0
25.0,8.0,17.0,1600.0,0
25.0,7.0,18.0,2000.0,0
14.0,6.0,8.0,2200.0,0
18.0,14.0,4.0,2400.0,0
29.5,11.0,18.5,1300.0,0
29.0,5.0,24.0,1100.0,0
27.0,7.0,20.0,1500.0,0
28.0,9.0,19.0,1700.0,0
18.5,6.5,12.0,2300.0,0
24.5,17.0,7.5,2300.0,0
25.0,17.0,8.0,2300.0,0
24.0,10.0,14.0,2300.0,0
13.0,8.5,4.5,2200.0,0
12.5,11.5,1.0,2200.0,0
15.0,15.0,0.0,2200.0,0
18.5,18.5,0.0,2100.0,0
23.5,23.5,0.0,2200.0,0
17.0,17.0,0.0,2300.0,0
16.5,16.0,0.5,2100.0,0
21.0,20.5,0.5,2100.0,0
12.5,12.5,0.0,2200.0,0
24.5,17.5,7.0,2100.0,0
18.0,10.5,7.5,2900.0,0
22.0,16.0,6.0,2400.0,0
27.0,12.5,14.5,2400.0,0
24.5,9.5,15.0,2100.0,0
28.0,7.0,21.0,1200.0,0
25.0,10.0,15.0,1300.0,0
27.5,13.0,14.5,2400.0,0
20.5,11.0,9.5,2400.0,0
25.0,11.0,14.0,2100.0,0
