timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-21T20:04:40Z,frontend,0,37445632,1
2026-09-21T20:04:40Z,cartservice,5,100212736,1
2026-09-21T20:04:40Z,checkoutservice,4,19881984,1
2026-09-21T20:04:40Z,productcatalogservice,4,17027072,1
2026-09-21T20:04:40Z,paymentservice,4,25497600,1
2026-09-21T20:04:40Z,recommendationservice,9,119685120,1
2026-09-21T20:04:40Z,shippingservice,6,45121536,1
2026-09-21T20:04:40Z,currencyservice,4,84242432,1
2026-09-21T20:04:40Z,emailservice,9,90746880,1
2026-09-21T20:04:40Z,adservice,25,246542336,1
2026-09-21T20:04:40Z,redis-cart,7,31870976,1
2026-09-21T20:04:40Z,__master_node__,5184,2309795840,1
2026-09-21T20:04:45Z,frontend,0,37445632,1
2026-09-21T20:04:45Z,cartservice,5,100212736,1
2026-09-21T20:04:45Z,checkoutservice,4,19881984,1
2026-09-21T20:04:45Z,productcatalogservice,4,17068032,1
2026-09-21T20:04:45Z,paymentservice,4,25497600,1
2026-09-21T20:04:45Z,recommendationservice,9,119685120,1
2026-09-21T20:04:45Z,shippingservice,6,45121536,1
2026-09-21T20:04:45Z,currencyservice,4,84242432,1
2026-09-21T20:04:45Z,emailservice,9,90746880,1
2026-09-21T20:04:45Z,adservice,25,246542336,1
2026-09-21T20:04:45Z,redis-cart,7,31870976,1
2026-09-21T20:04:45Z,__master_node__,5184,2309795840,1
2026-09-21T20:04:50Z,frontend,0,37445632,1
2026-09-21T20:04:50Z,cartservice,4,100175872,1
2026-09-21T20:04:50Z,checkoutservice,4,19881984,1
2026-09-21T20:04:50Z,productcatalogservice,4,17068032,1
2026-09-21T20:04:50Z,paymentservice,4,25530368,1
2026-09-21T20:04:50Z,recommendationservice,9,119685120,1
2026-09-21T20:04:50Z,shippingservice,6,44941312,1
2026-09-21T20:04:50Z,currencyservice,4,84258816,1
2026-09-21T20:04:50Z,emailservice,9,90746880,1
2026-09-21T20:04:50Z,adservice,27,246542336,1
2026-09-21T20:04:50Z,redis-cart,7,31870976,1
2026-09-21T20:04:50Z,__master_node__,5184,2309795840,1
2026-09-21T20:04:55Z,frontend,0,37445632,1
2026-09-21T20:04:55Z,cartservice,4,100175872,1
2026-09-21T20:04:55Z,checkoutservice,4,19881984,1
2026-09-21T20:04:55Z,productcatalogservice,4,17068032,1
2026-09-21T20:04:55Z,paymentservice,4,25530368,1
2026-09-21T20:04:55Z,recommendationservice,9,119685120,1
2026-09-21T20:04:55Z,shippingservice,6,44941312,1
2026-09-21T20:04:55Z,currencyservice,4,84258816,1
2026-09-21T20:04:55Z,emailservice,9,90746880,1
2026-09-21T20:04:55Z,adservice,27,246542336,1
2026-09-21T20:04:55Z,redis-cart,7,31870976,1
2026-09-21T20:04:55Z,__master_node__,1203,2297892864,1
2026-09-21T20:05:00Z,frontend,0,37445632,1
2026-09-21T20:05:00Z,cartservice,4,100220928,1
2026-09-21T20:05:00Z,checkoutservice,4,19881984,1
2026-09-21T20:05:00Z,productcatalogservice,4,17068032,1
2026-09-21T20:05:00Z,paymentservice,4,25559040,1
2026-09-21T20:05:00Z,recommendationservice,10,119685120,1
2026-09-21T20:05:00Z,shippingservice,7,44941312,1
2026-09-21T20:05:00Z,currencyservice,4,84279296,1
2026-09-21T20:05:00Z,emailservice,9,90746880,1
2026-09-21T20:05:00Z,adservice,22,246542336,1
2026-09-21T20:05:00Z,redis-cart,6,31870976,1
2026-09-21T20:05:00Z,__master_node__,1203,2297892864,1
2026-09-21T20:05:05Z,frontend,0,37445632,1
2026-09-21T20:05:05Z,cartservice,4,100220928,1
2026-09-21T20:05:05Z,checkoutservice,4,19881984,1
2026-09-21T20:05:05Z,productcatalogservice,4,17068032,1
2026-09-21T20:05:05Z,paymentservice,4,25559040,1
2026-09-21T20:05:05Z,recommendationservice,10,119685120,1
2026-09-21T20:05:05Z,shippingservice,7,44982272,1
2026-09-21T20:05:05Z,currencyservice,4,84279296,1
2026-09-21T20:05:05Z,emailservice,9,90746880,1
2026-09-21T20:05:05Z,adservice,22,246542336,1
2026-09-21T20:05:05Z,redis-cart,6,31870976,1
2026-09-21T20:05:05Z,__master_node__,1230,2301526016,1
2026-09-21T20:05:10Z,frontend,0,37445632,1
2026-09-21T20:05:10Z,cartservice,5,100331520,1
2026-09-21T20:05:10Z,checkoutservice,4,19849216,1
2026-09-21T20:05:10Z,productcatalogservice,4,17068032,1
2026-09-21T20:05:10Z,paymentservice,4,25600000,1
2026-09-21T20:05:10Z,recommendationservice,9,119685120,1
2026-09-21T20:05:10Z,shippingservice,6,44941312,1
2026-09-21T20:05:10Z,currencyservice,4,84303872,1
2026-09-21T20:05:10Z,emailservice,9,90746880,1
2026-09-21T20:05:10Z,adservice,26,246542336,1
2026-09-21T20:05:10Z,redis-cart,7,31870976,1
2026-09-21T20:05:10Z,__master_node__,1230,2301526016,1
2026-09-21T20:05:15Z,frontend,0,37445632,1
2026-09-21T20:05:15Z,cartservice,5,100331520,1
2026-09-21T20:05:15Z,checkoutservice,4,19849216,1
2026-09-21T20:05:15Z,productcatalogservice,4,17113088,1
2026-09-21T20:05:15Z,paymentservice,4,25600000,1
2026-09-21T20:05:15Z,recommendationservice,9,119685120,1
2026-09-21T20:05:15Z,shippingservice,6,44941312,1
2026-09-21T20:05:15Z,currencyservice,4,84303872,1
2026-09-21T20:05:15Z,emailservice,9,90779648,1
2026-09-21T20:05:15Z,adservice,26,246542336,1
2026-09-21T20:05:15Z,redis-cart,7,31870976,1
2026-09-21T20:05:15Z,__master_node__,3675,2316849152,1
2026-09-21T20:05:20Z,frontend,0,37445632,1
2026-09-21T20:05:20Z,cartservice,10,100352000,1
2026-09-21T20:05:20Z,checkoutservice,4,19849216,1
2026-09-21T20:05:20Z,productcatalogservice,4,17113088,1
2026-09-21T20:05:20Z,paymentservice,4,25636864,1
2026-09-21T20:05:20Z,recommendationservice,9,119685120,1
