RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,130.0,0
8.0,0.0,8.0,81.0,0
13.0,0.0,13.0,61.0,0
10.0,0.0,10.0,66.0,0
12.0,0.0,12.0,71.0,0
14.0,0.0,14.0,66.0,0
12.0,0.0,12.0,64.0,0
15.0,0.0,15.0,65.0,0
13.5,0.0,13.5,72.0,0
10.0,0.0,10.0,61.0,0
9.5,0.0,9.5,67.0,0
12.5,0.0,12.5,67.0,0
13.5,0.0,13.5,65.0,0
14.5,0.0,14.5,68.0,0
12.5,0.0,12.5,71.0,0
13.5,0.0,13.5,71.0,0
13.0,0.0,13.0,56.0,0
8.0,0.0,8.0,61.0,0
12.0,0.0,12.0,60.0,0
11.5,0.0,11.5,67.0,0
10.0,0.0,10.0,67.0,0
11.5,0.0,11.5,59.0,0
16.5,0.0,16.5,68.0,0
16.0,0.0,16.0,58.0,0
11.0,0.0,11.0,73.0,0
10.5,0.0,10.5,95.0,0
12.0,0.0,12.0,95.0,0
12.5,0.0,12.5,83.0,0
10.0,0.0,10.0,82.0,0
9.0,0.0,9.0,74.0,0
16.0,0.0,16.0,67.0,0
13.5,0.0,13.5,71.0,0
13.0,0.0,13.0,72.0,0
10.0,0.0,10.0,87.0,0
13.0,0.0,13.0,87.0,0
16.0,0.0,16.0,66.0,0
13.0,0.0,13.0,69.0,0
13.0,0.0,13.0,70.0,0
16.0,0.0,16.0,71.0,0
16.0,0.0,16.0,71.0,0
12.0,0.0,12.0,71.0,0
12.0,0.0,12.0,87.0,0
17.0,0.0,17.0,87.0,0
16.0,0.0,16.0,66.0,0
15.0,0.0,15.0,79.0,0
12.5,0.0,12.5,74.0,0
13.5,0.0,13.5,74.0,0
16.0,0.0,16.0,74.0,0
18.5,0.0,18.5,74.0,0
17.0,0.0,17.0,76.0,0
14.5,0.0,14.5,79.0,0
14.0,0.0,14.0,49.0,0
11.5,0.0,11.5,130.0,0
12.5,0.0,12.5,110.0,0
14.5,0.0,14.5,96.0,0
12.5,0.0,12.5,76.0,0
9.0,0.0,9.0,72.0,0
8.5,0.0,8.5,130.0,0
14.0,0.0,14.0,78.0,0
12.0,0.0,12.0,95.0,0
13.5,0.0,13.5,100.0,0
16.0,0.0,16.0,100.0,0
14.0,0.0,14.0,93.0,0
11.5,0.5,11.0,93.0,0
14.0,0.0,14.0,99.0,0
11.0,0.0,11.0,85.0,0
13.5,0.0,13.5,140.0,0
16.0,0.5,15.5,140.0,0
13.0,0.5,12.5,76.0,0
12.0,0.0,12.0,76.0,0
14.5,0.0,14.5,79.0,0
10.0,0.0,10.0,100.0,0
10.0,0.0,10.0,71.0,0
14.5,0.5,14.0,71.0,0
13.5,0.5,13.0,70.0,0
10.5,0.0,10.5,87.0,0
12.5,0.5,12.0,140.0,0
13.0,0.0,13.0,76.0,0
13.0,0.0,13.0,90.0,0
12.5,0.0,12.5,170.0,0
8.0,0.0,8.0,72.0,0
9.0,0.0,9.0,99.0,0
14.5,0.0,14.5,99.0,0
13.5,0.0,13.5,34.0,0
18.0,0.0,18.0,57.0,0
12.5,0.0,12.5,40.0,0
13.5,0.0,13.5,57.0,0
13.5,0.0,13.5,57.0,0
13.5,0.0,13.5,47.0,0
15.5,0.0,15.5,54.0,0
13.0,0.0,13.0,58.0,0
7.0,0.0,7.0,54.0,0
12.0,0.0,12.0,42.0,0
10.5,0.0,10.5,47.0,0
13.5,0.0,13.5,53.0,0
13.5,0.0,13.5,47.0,0
11.5,0.0,11.5,45.0,0
11.5,0.0,11.5,48.0,0
9.0,0.0,9.0,35.0,0
13.0,0.0,13.0,79.0,0
15.0,0.0,15.0,50.0,0
14.0,0.0,14.0,58.0,0
12.5,0.0,12.5,58.0,0
11.5,0.0,11.5,47.0,0
10.5,0.0,10.5,87.0,0
15.0,0.0,15.0,100.0,0
16.0,0.0,16.0,73.0,0
13.5,0.0,13.5,55.0,0
13.0,0.0,13.0,43.0,0
14.5,0.0,14.5,29.0,0
14.0,0.0,14.0,37.0,0
14.5,0.0,14.5,58.0,0
9.0,0.0,9.0,41.0,0
9.0,0.0,9.0,33.0,0
