RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
8.0,0.0,8.0,530.0,0
8.0,0.0,8.0,530.0,0
92.0,0.0,92.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,300.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,320.0,0
50.0,0.0,50.0,310.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,330.0,0
50.0,0.0,50.0,340.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,310.0,0
50.0,0.0,50.0,320.0,0
50.0,0.0,50.0,380.0,0
50.0,0.0,50.0,310.0,0
50.0,0.0,50.0,380.0,0
50.0,0.0,50.0,270.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,330.0,0
50.0,0.0,50.0,350.0,0
50.0,0.0,50.0,340.0,0
50.0,0.0,50.0,380.0,0
50.0,0.0,50.0,320.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,290.0,0
50.0,0.0,50.0,260.0,0
50.0,0.0,50.0,470.0,0
32.5,0.0,32.5,570.0,0
15.0,0.0,15.0,690.0,0
85.0,0.0,85.0,260.0,0
50.0,0.0,50.0,320.0,0
50.0,0.0,50.0,330.0,0
50.0,0.0,50.0,330.0,0
50.0,0.0,50.0,350.0,0
50.0,0.0,50.0,420.0,0
50.0,0.0,50.0,400.0,0
45.5,0.0,45.5,490.0,0
41.0,0.0,41.0,490.0,0
54.5,0.0,54.5,420.0,0
50.0,0.0,50.0,430.0,0
25.0,0.0,25.0,630.0,0
0.0,0.0,0.0,630.0,0
100.0,0.0,100.0,360.0,0
50.0,0.0,50.0,420.0,0
50.0,0.0,50.0,330.0,0
0.0,0.0,0.0,700.0,0
50.0,0.0,50.0,800.0,0
50.0,0.0,50.0,790.0,0
100.0,0.0,100.0,320.0,0
25.0,0.0,25.0,770.0,0
40.5,0.0,40.5,770.0,0
69.0,0.0,69.0,280.0,0
50.0,0.0,50.0,350.0,0
50.0,0.0,50.0,360.0,0
50.0,3.0,47.0,360.0,0
26.5,3.0,23.5,610.0,0
50.0,3.0,47.0,600.0,0
39.5,3.0,36.5,600.0,0
75.0,3.0,72.0,490.0,0
37.0,3.0,34.0,580.0,0
3.0,3.0,0.0,580.0,0
50.0,3.0,47.0,970.0,0
50.0,3.0,47.0,970.0,0
0.0,0.0,0.0,300.0,0
0.0,0.0,0.0,800.0,0
100.0,0.0,100.0,410.0,0
50.0,2.0,48.0,440.0,0
40.5,2.0,38.5,490.0,0
25.0,1.0,24.0,540.0,0
56.5,0.5,56.0,700.0,0
45.0,1.0,44.0,550.0,0
0.0,0.0,0.0,550.0,0
0.0,0.0,0.0,1200.0,0
67.0,25.0,42.0,820.0,0
50.5,0.0,50.5,300.0,0
33.0,0.0,33.0,470.0,0
70.0,0.0,70.0,470.0,0
50.0,0.0,50.0,710.0,0
66.0,0.0,66.0,430.0,0
55.0,0.0,55.0,530.0,0
52.0,0.0,52.0,280.0,0
45.0,0.0,45.0,610.0,0
50.0,0.0,50.0,610.0,0
50.0,0.0,50.0,760.0,0
73.5,0.0,73.5,280.0,0
42.5,0.0,42.5,380.0,0
43.5,0.0,43.5,380.0,0
50.0,0.0,50.0,610.0,0
51.0,0.0,51.0,610.0,0
50.0,0.0,50.0,950.0,0
61.0,0.5,60.5,560.0,0
54.0,0.0,54.0,330.0,0
55.0,0.0,55.0,360.0,0
54.5,0.0,54.5,320.0,0
34.0,0.0,34.0,380.0,0
50.0,0.0,50.0,580.0,0
50.0,0.0,50.0,960.0,0
43.5,13.0,30.5,1200.0,0
43.5,36.5,7.0,1200.0,0
61.5,23.5,38.0,980.0,0
56.5,0.0,56.5,810.0,0
56.5,0.0,56.5,160.0,0
45.0,0.0,45.0,210.0,0
48.0,0.0,48.0,210.0,0
50.0,0.0,50.0,410.0,0
51.5,0.0,51.5,410.0,0
47.5,0.0,47.5,670.0,0
54.5,0.0,54.5,120.0,0
46.5,0.0,46.5,370.0,0
50.0,0.0,50.0,360.0,0
55.5,0.0,55.5,450.0,0
51.5,0.0,51.5,450.0,0
46.0,0.0,46.0,470.0,0
54.0,0.0,54.0,160.0,0
48.0,0.0,48.0,650.0,0
54.5,0.0,54.5,290.0,0
50.0,0.0,50.0,480.0,0
50.0,0.0,50.0,340.0,0
50.0,0.0,50.0,400.0,0
45.5,0.0,45.5,380.0,0
50.0,0.0,50.0,410.0,0
50.0,0.0,50.0,340.0,0
39.0,0.0,39.0,1100.0,0
40.0,7.5,32.5,1100.0,0
40.0,12.0,28.0,1100.0,0
54.0,12.5,41.5,990.0,0
27.0,4.0,23.0,1200.0,0
39.5,29.0,10.5,1300.0,0
49.5,49.0,0.5,1300.0,0
50.0,24.5,25.5,1100.0,0
49.0,20.0,29.0,1300.0,0
49.0,36.0,13.0,1200.0,0
39.0,37.5,1.5,1300.0,0
40.5,26.5,14.0,1300.0,0
50.0,23.5,26.5,1200.0,0
38.0,25.0,13.0,1300.0,0
38.0,38.0,0.0,1300.0,0
39.0,39.0,0.0,1300.0,0
44.0,44.0,0.0,1200.0,0
43.0,43.0,0.0,1200.0,0
43.5,43.5,0.0,1300.0,0
44.0,38.5,5.5,1300.0,0
50.0,21.5,28.5,1000.0,0
49.0,3.0,46.0,1100.0,0
42.0,26.0,16.0,1400.0,0
42.0,41.5,0.5,1200.0,0
44.0,40.5,3.5,1200.0,0
49.5,28.0,21.5,1200.0,0
47.5,18.5,29.0,1200.0,0
45.0,32.5,12.5,1400.0,0
36.5,35.0,1.5,1300.0,0
50.0,36.5,13.5,1200.0,0
45.5,26.5,19.0,1200.0,0
48.5,36.5,12.0,1200.0,0
44.5,42.0,2.5,1300.0,0
46.0,44.0,2.0,1300.0,0
50.5,27.5,23.0,1100.0,0
48.5,8.5,40.0,1100.0,0
50.0,4.0,46.0,1200.0,0
45.5,37.5,8.0,1300.0,0
60.5,26.0,34.5,1100.0,0
65.5,8.0,57.5,150.0,0
39.0,0.0,39.0,680.0,0
49.0,0.0,49.0,680.0,0
56.5,0.0,56.5,650.0,0
55.5,0.0,55.5,230.0,0
56.0,0.0,56.0,550.0,0
49.0,0.0,49.0,270.0,0
47.5,0.0,47.5,590.0,0
48.5,0.0,48.5,590.0,0
52.5,0.0,52.5,650.0,0
49.5,0.0,49.5,650.0,0
54.0,0.0,54.0,550.0,0
50.0,0.0,50.0,620.0,0
63.0,0.0,63.0,120.0,0
48.5,0.0,48.5,600.0,0
52.0,0.0,52.0,120.0,0
49.5,0.0,49.5,330.0,0
48.5,0.0,48.5,270.0,0
47.5,0.0,47.5,620.0,0
59.0,0.0,59.0,130.0,0
48.5,0.0,48.5,630.0,0
52.0,0.0,52.0,110.0,0
40.5,0.0,40.5,1100.0,0
39.0,5.5,33.5,1300.0,0
50.0,16.0,34.0,1100.0,0
32.5,32.5,0.0,1400.0,0
47.0,43.0,4.0,1300.0,0
47.0,30.0,17.0,1100.0,0
45.5,31.5,14.0,1200.0,0
46.5,45.5,1.0,1300.0,0
49.5,41.5,8.0,1300.0,0
50.0,35.5,14.5,1400.0,0
28.5,28.5,0.0,1300.0,0
40.0,39.5,0.5,1200.0,0
49.0,48.0,1.0,1300.0,0
50.0,49.0,1.0,1300.0,0
50.0,24.5,25.5,1000.0,0
50.0,6.5,43.5,1200.0,0
44.0,40.0,4.0,1300.0,0
33.5,33.5,0.0,1300.0,0
36.5,36.5,0.0,1300.0,0
46.5,46.5,0.0,1200.0,0
49.0,49.0,0.0,1200.0,0
49.0,49.0,0.0,1200.0,0
50.5,50.5,0.0,1200.0,0
46.0,46.0,0.0,1200.0,0
42.5,38.0,4.5,1100.0,0
31.0,24.5,6.5,1200.0,0
38.5,31.5,7.0,1200.0,0
50.0,40.0,10.0,1300.0,0
49.5,39.5,10.0,1300.0,0
49.0,23.5,25.5,1100.0,0
49.0,8.0,41.0,1100.0,0
53.0,25.0,28.0,1300.0,0
31.5,29.0,2.5,1300.0,0
33.0,27.0,6.0,1300.0,0
49.5,43.0,6.5,1400.0,0
48.5,47.5,1.0,1400.0,0
47.0,46.5,0.5,1200.0,0
50.0,7.0,43.0,1300.0,0
35.5,27.5,8.0,1400.0,0
47.5,40.5,7.0,1200.0,0
51.0,18.0,33.0,1000.0,0
53.0,0.0,53.0,1100.0,0
49.0,10.0,39.0,1100.0,0
52.0,10.0,42.0,1000.0,0
40.0,10.0,30.0,1200.0,0
50.0,20.5,29.5,950.0,0
50.0,3.0,47.0,1000.0,0
45.0,19.0,26.0,1200.0,0
43.5,40.0,3.5,1300.0,0
46.5,45.0,1.5,1200.0,0
55.5,27.0,28.5,1100.0,0
40.0,15.0,25.0,1200.0,0
41.5,33.0,8.5,1200.0,0
52.0,30.5,21.5,1200.0,0
50.0,11.0,39.0,1000.0,0
44.0,20.5,23.5,1400.0,0
50.0,44.5,5.5,1400.0,0
50.0,34.0,16.0,1200.0,0
45.0,27.0,18.0,1100.0,0
41.0,21.0,20.0,1300.0,0
33.5,33.0,0.5,1300.0,0
43.0,41.0,2.0,1300.0,0
43.0,40.5,2.5,1200.0,0
44.0,42.5,1.5,1200.0,0
55.0,29.0,26.0,1000.0,0
56.0,0.0,56.0,840.0,0
42.0,16.0,26.0,1200.0,0
46.5,41.0,5.5,1200.0,0
47.0,44.5,2.5,1300.0,0
47.0,40.5,6.5,1400.0,0
36.0,32.0,4.0,1400.0,0
36.0,32.0,4.0,1200.0,0
50.0,50.0,0.0,1100.0,0
50.5,30.0,20.5,1000.0,0
51.0,10.0,41.0,730.0,0
66.5,0.0,66.5,660.0,0
50.0,0.0,50.0,830.0,0
66.0,0.0,66.0,150.0,0
25.0,0.0,25.0,720.0,0
100.0,0.0,100.0,240.0,0
46.5,0.0,46.5,500.0,0
52.5,0.0,52.5,290.0,0
53.5,0.0,53.5,570.0,0
61.0,0.0,61.0,130.0,0
43.5,0.0,43.5,520.0,0
50.0,0.0,50.0,360.0,0
48.5,0.0,48.5,600.0,0
56.5,0.0,56.5,220.0,0
52.0,0.0,52.0,320.0,0
53.0,0.0,53.0,110.0,0
25.0,0.0,25.0,870.0,0
50.0,0.0,50.0,870.0,0
68.5,0.0,68.5,690.0,0
50.0,0.0,50.0,690.0,0
40.0,0.0,40.0,570.0,0
30.0,0.0,30.0,500.0,0
35.0,0.0,35.0,1100.0,0
25.0,13.5,11.5,1100.0,0
50.0,13.5,36.5,930.0,0
50.0,0.0,50.0,1400.0,0
45.0,45.0,0.0,1400.0,0
50.0,17.0,33.0,960.0,0
50.0,0.0,50.0,800.0,0
50.0,0.0,50.0,1000.0,0
46.5,4.0,42.5,1200.0,0
47.0,21.5,25.5,1200.0,0
48.5,23.0,25.5,1200.0,0
40.0,36.0,4.0,1200.0,0
49.0,34.0,15.0,1100.0,0
61.5,12.5,49.0,970.0,0
41.0,1.0,40.0,1100.0,0
49.5,11.5,38.0,1100.0,0
48.5,12.0,36.5,1100.0,0
30.5,19.5,11.0,1200.0,0
49.0,41.0,8.0,1200.0,0
50.0,23.0,27.0,1200.0,0
49.5,43.0,6.5,1100.0,0
50.0,23.0,27.0,980.0,0
50.5,0.5,50.0,920.0,0
47.5,17.5,30.0,1200.0,0
34.0,30.0,4.0,1300.0,0
42.0,30.5,11.5,1300.0,0
31.0,17.0,14.0,1200.0,0
54.5,28.5,26.0,1200.0,0
46.0,29.5,16.5,1300.0,0
42.5,32.0,10.5,1300.0,0
46.0,36.5,9.5,1300.0,0
49.5,44.5,5.0,1200.0,0
41.5,39.5,2.0,1300.0,0
45.0,45.0,0.0,1300.0,0
48.0,39.0,9.0,1300.0,0
55.0,20.5,34.5,1000.0,0
45.0,2.0,43.0,1100.0,0
49.5,8.5,41.0,1100.0,0
51.0,11.0,40.0,1100.0,0
43.5,11.0,32.5,1300.0,0
48.0,48.0,0.0,1000.0,0
52.0,16.0,36.0,1100.0,0
42.0,24.0,18.0,1400.0,0
38.0,38.0,0.0,1200.0,0
46.0,45.5,0.5,1400.0,0
48.0,41.5,6.5,1300.0,0
38.0,29.5,8.5,1300.0,0
49.0,42.0,7.0,1200.0,0
55.5,18.0,37.5,970.0,0
50.5,11.5,39.0,1100.0,0
37.5,12.5,25.0,1200.0,0
42.5,26.0,16.5,1200.0,0
51.0,40.0,11.0,1200.0,0
48.0,0.0,48.0,1100.0,0
50.0,21.5,28.5,1100.0,0
52.5,21.5,31.0,1000.0,0
