RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
40.0,0.0,40.0,204.0,0.0
40.0,0.0,40.0,450.0,0.0
160.5,1.5,159.0,574.0,0.0
104.0,4.5,99.5,578.6,0.0
110.5,10.5,100.0,562.6,0.0
109.5,10.0,99.5,562.6,0.0
113.0,13.0,100.0,558.8,0.0
116.5,17.5,99.0,588.0,0.0
128.0,28.0,100.0,586.6,0.0
116.0,19.0,97.0,576.6,0.0
131.0,31.0,100.0,552.6,0.0
138.5,38.5,100.0,580.6,0.0
140.5,41.0,99.5,593.8,0.0
147.0,47.0,100.0,577.8,0.0
152.0,52.0,100.0,583.8,0.0
150.0,50.0,100.0,598.2,0.0
150.5,52.5,98.0,602.4,0.0
149.0,49.0,100.0,605.4,0.0
163.0,63.0,100.0,580.2,0.0
181.5,81.5,100.0,616.6,0.0
150.0,51.0,99.0,558.0,0.0
174.0,74.0,100.0,553.0,0.0
165.5,66.5,99.0,567.2,0.0
171.0,71.0,100.0,578.2,0.0
186.0,86.0,100.0,586.2,0.0
197.5,97.5,100.0,594.4,0.0
321.0,221.5,99.5,610.4,0.0
287.5,187.5,100.0,205.2,0.0
281.0,181.0,100.0,174.6,0.0
127.0,31.0,96.0,548.6,0.0
185.5,87.5,98.0,583.4,0.0
200.0,102.0,98.0,587.0,0.0
205.0,106.0,99.0,674.0,0.0
101.0,23.0,78.0,704.4,0.0
225.0,172.0,53.0,746.4,0.0
170.5,24.5,146.0,630.6,0.0
203.5,103.5,100.0,654.4,0.0
229.5,130.5,99.0,622.2,0.0
222.5,122.5,100.0,644.2,0.0
193.0,94.0,99.0,649.0,0.0
241.0,142.0,99.0,593.0,0.0
144.0,44.0,100.0,643.6,0.0
297.5,204.0,93.5,660.0,0.0
238.0,149.5,88.5,690.0,0.0
232.0,127.5,104.5,664.4,0.0
261.5,161.5,100.0,683.0,0.0
199.0,140.5,58.5,758.6,0.0
215.5,198.5,17.0,722.0,0.0
286.0,106.0,180.0,674.0,0.0
242.5,142.5,100.0,684.0,0.0
288.5,188.5,100.0,622.0,0.0
333.0,333.0,0.0,790.8,0.0
576.0,476.0,100.0,518.0,0.0
101.0,0.0,101.0,516.6,0.0
232.0,36.0,196.0,662.6,0.0
199.0,149.0,50.0,855.8,0.0
304.0,213.5,90.5,795.8,0.0
333.0,216.0,117.0,687.6,0.0
232.5,133.5,99.0,613.6,0.0
234.0,134.0,100.0,646.6,0.0
260.5,166.5,94.0,666.6,0.0
304.5,251.5,53.0,856.2,0.0
308.0,211.0,97.0,748.2,0.0
251.5,194.0,57.5,735.4,0.0
275.0,127.0,148.0,680.2,0.0
218.5,159.5,59.0,772.2,0.0
236.5,234.5,2.0,694.4,0.0
258.5,153.0,105.5,872.4,0.0
323.5,226.5,97.0,852.4,0.0
241.0,215.0,26.0,765.2,0.0
150.5,147.5,3.0,810.8,0.0
362.0,167.0,195.0,720.8,0.0
315.0,217.0,98.0,750.8,0.0
281.0,203.0,78.0,690.0,0.0
268.5,199.0,69.5,700.0,0.0
303.5,196.0,107.5,721.6,0.0
309.5,210.5,99.0,732.0,0.0
371.5,344.5,27.0,803.0,0.0
404.5,403.5,1.0,792.4,0.0
373.0,316.0,57.0,661.6,0.0
164.5,52.0,112.5,773.6,0.0
151.5,89.0,62.5,887.8,0.0
345.0,218.5,126.5,699.6,0.0
276.5,171.5,105.0,913.8,0.0
291.0,164.0,127.0,773.2,0.0
283.5,172.5,111.0,768.6,0.0
274.5,172.5,102.0,597.8,0.0
296.5,219.0,77.5,785.2,0.0
316.5,218.0,98.5,755.6,0.0
275.5,163.0,112.5,848.2,0.0
267.5,138.5,129.0,572.4,0.0
280.5,192.0,88.5,647.4,0.0
359.5,266.5,93.0,626.4,0.0
282.0,196.0,86.0,763.2,0.0
310.0,209.5,100.5,747.4,0.0
294.5,181.5,113.0,805.0,0.0
317.5,207.0,110.5,757.0,0.0
277.0,157.0,120.0,705.0,0.0
308.0,199.5,108.5,709.6,0.0
271.5,170.5,101.0,599.6,0.0
263.0,193.5,69.5,687.2,0.0
309.5,202.5,107.0,708.2,0.0
455.5,369.5,86.0,798.2,0.0
476.5,422.5,54.0,790.0,0.0
358.5,326.0,32.5,914.0,0.0
222.5,128.0,94.5,987.0,0.0
293.5,179.5,114.0,957.0,0.0
265.5,129.0,136.5,525.0,0.0
178.0,89.0,89.0,668.8,0.0
307.0,213.0,94.0,538.8,0.0
292.5,195.5,97.0,649.0,0.0
307.5,202.0,105.5,625.0,0.0
329.0,235.0,94.0,797.4,0.0
