RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
29.0,0.0,29.0,260.0,0
25.0,0.0,25.0,210.0,0
23.0,0.0,23.0,250.0,0
24.5,0.0,24.5,320.0,0
24.0,0.0,24.0,300.0,0
22.5,0.0,22.5,360.0,0
24.0,0.0,24.0,360.0,0
18.0,0.0,18.0,250.0,0
17.0,0.0,17.0,280.0,0
27.0,0.0,27.0,340.0,0
29.0,0.0,29.0,400.0,0
32.0,0.0,32.0,350.0,0
27.0,0.0,27.0,370.0,0
25.0,0.0,25.0,380.0,0
25.0,0.0,25.0,400.0,0
21.0,0.0,21.0,460.0,0
22.5,0.0,22.5,300.0,0
21.0,0.0,21.0,370.0,0
26.5,0.0,26.5,370.0,0
29.5,0.0,29.5,340.0,0
27.0,0.0,27.0,350.0,0
30.0,0.0,30.0,370.0,0
21.5,0.0,21.5,310.0,0
27.0,0.0,27.0,350.0,0
29.0,0.0,29.0,360.0,0
27.5,0.0,27.5,340.0,0
26.0,0.0,26.0,340.0,0
30.0,0.0,30.0,380.0,0
27.0,0.0,27.0,340.0,0
24.0,0.0,24.0,380.0,0
20.5,0.0,20.5,430.0,0
23.5,0.0,23.5,460.0,0
29.0,0.0,29.0,310.0,0
25.5,0.0,25.5,360.0,0
22.0,0.0,22.0,380.0,0
26.0,0.0,26.0,330.0,0
25.0,0.0,25.0,330.0,0
24.5,0.0,24.5,350.0,0
27.0,0.0,27.0,430.0,0
28.0,0.0,28.0,430.0,0
25.0,0.0,25.0,410.0,0
24.0,0.0,24.0,480.0,0
25.0,0.0,25.0,440.0,0
24.0,0.0,24.0,460.0,0
24.0,0.0,24.0,550.0,0
25.5,0.0,25.5,530.0,0
26.0,0.0,26.0,560.0,0
25.0,0.0,25.0,550.0,0
23.0,0.0,23.0,540.0,0
20.0,0.0,20.0,560.0,0
25.5,0.0,25.5,600.0,0
25.5,0.0,25.5,600.0,0
23.0,0.0,23.0,620.0,0
24.0,0.0,24.0,720.0,0
26.0,0.0,26.0,750.0,0
19.0,0.0,19.0,720.0,0
17.0,0.0,17.0,280.0,0
24.0,0.0,24.0,880.0,0
17.0,0.0,17.0,1300.0,0
21.5,17.5,4.0,1500.0,0
30.5,23.5,7.0,1200.0,0
23.0,18.0,5.0,1200.0,0
23.0,19.5,3.5,1200.0,0
26.0,20.0,6.0,1400.0,0
23.0,17.0,6.0,1200.0,0
24.0,11.0,13.0,1400.0,0
24.5,9.0,15.5,1100.0,0
27.5,14.0,13.5,1400.0,0
24.0,17.5,6.5,1300.0,0
23.0,10.5,12.5,1100.0,0
17.0,3.0,14.0,1300.0,0
24.0,11.5,12.5,1400.0,0
24.5,4.5,20.0,1100.0,0
22.5,4.0,18.5,1100.0,0
22.0,4.5,17.5,1000.0,0
24.0,2.0,22.0,1100.0,0
25.0,2.0,23.0,1100.0,0
26.5,1.5,25.0,1000.0,0
27.0,3.5,23.5,1200.0,0
27.0,5.5,21.5,1200.0,0
27.5,7.0,20.5,1200.0,0
26.0,6.5,19.5,1200.0,0
17.0,1.0,16.0,1200.0,0
28.0,6.0,22.0,1100.0,0
35.5,3.0,32.5,950.0,0
24.0,0.0,24.0,900.0,0
14.5,6.5,8.0,1400.0,0
25.0,15.5,9.5,1300.0,0
28.5,17.0,11.5,1300.0,0
24.5,9.5,15.0,1100.0,0
21.0,4.5,16.5,1100.0,0
23.0,7.0,16.0,1200.0,0
24.5,8.5,16.0,1200.0,0
25.5,12.0,13.5,1500.0,0
13.0,5.0,8.0,1500.0,0
28.0,10.5,17.5,1300.0,0
19.5,4.0,15.5,1100.0,0
21.5,5.0,16.5,1300.0,0
24.5,4.5,20.0,1100.0,0
21.0,5.5,15.5,1600.0,0
20.0,8.0,12.0,1200.0,0
21.0,6.5,14.5,1300.0,0
19.5,3.0,16.5,1200.0,0
24.5,5.0,19.5,1300.0,0
27.0,5.0,22.0,990.0,0
26.5,2.0,24.5,1200.0,0
27.0,4.5,22.5,1200.0,0
26.0,4.0,22.0,1100.0,0
22.5,3.0,19.5,1200.0,0
24.5,4.5,20.0,1300.0,0
22.5,5.0,17.5,1300.0,0
16.0,7.0,9.0,1500.0,0
24.5,11.0,13.5,1500.0,0
24.5,5.0,19.5,1200.0,0
23.5,5.0,18.5,1100.0,0
27.5,5.5,22.0,1100.0,0
26.0,5.0,21.0,1200.0,0
25.0,5.0,20.0,1200.0,0
23.0,6.5,16.5,1400.0,0
16.0,8.5,7.5,1600.0,0
29.0,13.0,16.0,1200.0,0
24.5,10.5,14.0,1200.0,0
26.0,8.5,17.5,1100.0,0
24.5,2.5,22.0,1000.0,0
23.5,1.5,22.0,1200.0,0
24.5,2.5,22.0,1200.0,0
24.5,2.0,22.5,960.0,0
22.0,1.0,21.0,1000.0,0
27.0,3.5,23.5,1000.0,0
31.5,3.0,28.5,560.0,0
16.0,0.0,16.0,1300.0,0
13.5,3.5,10.0,1200.0,0
22.5,6.0,16.5,1200.0,0
27.5,11.0,16.5,1500.0,0
30.0,9.5,20.5,1200.0,0
25.0,3.5,21.5,1400.0,0
22.5,8.5,14.0,1300.0,0
24.5,11.5,13.0,1400.0,0
18.5,8.5,10.0,1200.0,0
23.5,17.0,6.5,1500.0,0
28.0,16.5,11.5,1400.0,0
24.5,13.0,11.5,1400.0,0
24.0,10.5,13.5,1100.0,0
22.0,2.5,19.5,1000.0,0
23.5,2.0,21.5,1100.0,0
28.0,5.0,23.0,1300.0,0
25.5,2.5,23.0,1200.0,0
21.0,5.5,15.5,1300.0,0
24.5,13.0,11.5,1400.0,0
27.5,16.5,11.0,1500.0,0
28.5,16.5,12.0,1500.0,0
23.5,11.5,12.0,1200.0,0
27.0,19.0,8.0,1200.0,0
27.0,6.0,21.0,1300.0,0
25.5,2.5,23.0,1100.0,0
23.5,4.0,19.5,1200.0,0
31.5,8.0,23.5,1200.0,0
31.0,4.5,26.5,1300.0,0
23.5,3.5,20.0,1200.0,0
26.0,4.0,22.0,940.0,0
23.0,1.0,22.0,1200.0,0
24.5,1.0,23.5,950.0,0
27.0,1.0,26.0,1000.0,0
24.0,1.0,23.0,970.0,0
26.5,1.5,25.0,1100.0,0
26.5,3.5,23.0,1200.0,0
24.0,5.5,18.5,1200.0,0
24.5,6.0,18.5,1200.0,0
24.0,9.5,14.5,1200.0,0
23.5,5.0,18.5,1200.0,0
20.5,2.5,18.0,1200.0,0
25.0,5.5,19.5,1200.0,0
24.0,7.0,17.0,1200.0,0
21.5,5.0,16.5,1100.0,0
25.0,7.0,18.0,1400.0,0
21.0,5.0,16.0,1200.0,0
19.5,10.5,9.0,1500.0,0
18.5,9.0,9.5,1600.0,0
26.5,15.0,11.5,1500.0,0
24.5,12.5,12.0,1200.0,0
20.5,7.0,13.5,1200.0,0
25.5,7.5,18.0,1300.0,0
27.5,6.0,21.5,1200.0,0
25.5,4.0,21.5,1200.0,0
24.5,3.0,21.5,1100.0,0
22.5,2.0,20.5,1100.0,0
23.5,3.5,20.0,1200.0,0
24.0,4.5,19.5,1200.0,0
24.5,8.0,16.5,1300.0,0
23.0,9.0,14.0,1400.0,0
21.0,17.5,3.5,1300.0,0
22.0,16.5,5.5,1400.0,0
21.5,14.5,7.0,1300.0,0
23.0,13.0,10.0,1400.0,0
27.0,7.5,19.5,1100.0,0
24.5,3.0,21.5,1100.0,0
29.5,1.5,28.0,940.0,0
28.5,1.0,27.5,980.0,0
25.5,1.0,24.5,980.0,0
22.5,1.0,21.5,1000.0,0
21.0,0.5,20.5,1100.0,0
23.5,1.5,22.0,1000.0,0
31.0,1.5,29.5,910.0,0
26.5,0.5,26.0,970.0,0
29.0,0.5,28.5,960.0,0
25.5,2.0,23.5,1100.0,0
22.5,6.0,16.5,1300.0,0
26.0,13.0,13.0,1400.0,0
36.5,9.0,27.5,950.0,0
28.0,0.0,28.0,1200.0,0
19.5,2.5,17.0,1200.0,0
16.5,9.5,7.0,1300.0,0
19.5,11.0,8.5,1400.0,0
27.0,10.0,17.0,1400.0,0
23.5,8.5,15.0,1600.0,0
19.0,10.5,8.5,1500.0,0
24.5,10.0,14.5,1200.0,0
24.5,2.5,22.0,1100.0,0
25.0,8.5,16.5,1400.0,0
26.5,12.5,14.0,1400.0,0
23.0,9.0,14.0,1200.0,0
22.5,8.0,14.5,1200.0,0
25.0,7.5,17.5,1200.0,0
20.0,8.0,12.0,1400.0,0
34.0,18.0,16.0,1200.0,0
22.0,6.0,16.0,1300.0,0
20.5,3.5,17.0,1000.0,0
22.0,3.5,18.5,1100.0,0
20.0,2.5,17.5,1100.0,0
17.5,2.5,15.0,1100.0,0
24.5,4.5,20.0,1100.0,0
21.0,0.0,21.0,960.0,0
23.0,2.5,20.5,1100.0,0
20.5,6.5,14.0,1100.0,0
25.5,5.5,20.0,1000.0,0
28.5,3.0,25.5,1100.0,0
21.5,4.0,17.5,1200.0,0
21.5,4.0,17.5,1100.0,0
21.0,1.0,20.0,1100.0,0
27.0,6.0,21.0,1200.0,0
22.5,9.0,13.5,1200.0,0
26.5,9.5,17.0,1400.0,0
23.5,6.5,17.0,1200.0,0
21.0,5.0,16.0,1400.0,0
19.5,8.0,11.5,1400.0,0
18.5,12.0,6.5,1500.0,0
25.5,13.0,12.5,1200.0,0
18.5,8.5,10.0,1500.0,0
25.5,8.0,17.5,1500.0,0
24.5,7.0,17.5,1400.0,0
19.5,9.0,10.5,1400.0,0
19.5,11.5,8.0,1600.0,0
28.0,19.0,9.0,1800.0,0
31.5,8.5,23.0,1200.0,0
27.5,3.5,24.0,1200.0,0
25.0,4.5,20.5,1200.0,0
24.5,3.5,21.0,1100.0,0
25.0,3.0,22.0,1200.0,0
22.5,3.5,19.0,1200.0,0
32.0,6.0,26.0,1100.0,0
26.0,2.5,23.5,1200.0,0
20.0,3.0,17.0,1300.0,0
23.5,4.5,19.0,1200.0,0
28.0,6.5,21.5,1200.0,0
28.0,5.5,22.5,1100.0,0
27.5,3.0,24.5,1200.0,0
30.0,1.0,29.0,1100.0,0
19.0,1.0,18.0,970.0,0
15.5,1.0,14.5,1100.0,0
28.0,3.5,24.5,1200.0,0
23.5,2.5,21.0,1400.0,0
16.0,4.5,11.5,1400.0,0
23.0,9.5,13.5,1300.0,0
24.0,6.5,17.5,1400.0,0
24.0,3.5,20.5,1300.0,0
26.5,3.0,23.5,1200.0,0
22.0,3.0,19.0,1300.0,0
16.0,3.5,12.5,1300.0,0
24.5,14.5,10.0,1700.0,0
29.5,17.5,12.0,1500.0,0
28.5,12.5,16.0,1300.0,0
23.0,2.0,21.0,1200.0,0
24.5,4.0,20.5,1100.0,0
25.0,7.5,17.5,1400.0,0
21.0,7.5,13.5,1100.0,0
