RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,130.0,0
3.0,0.0,3.0,160.0,0
13.5,0.0,13.5,220.0,0
19.5,0.0,19.5,260.0,0
25.5,0.0,25.5,290.0,0
31.5,0.0,31.5,290.0,0
37.5,0.0,37.5,350.0,0
45.0,0.0,45.0,350.0,0
52.0,0.0,52.0,450.0,0
52.0,0.0,52.0,440.0,0
65.5,0.0,65.5,460.0,0
70.5,0.0,70.5,540.0,0
74.0,0.0,74.0,530.0,0
84.0,0.0,84.0,650.0,0
91.5,0.0,91.5,660.0,0
93.5,0.0,93.5,660.0,0
106.0,0.0,106.0,1200.0,0
41.0,5.0,36.0,2300.0,0
48.0,47.0,1.0,2400.0,0
74.5,74.5,0.0,2300.0,0
59.5,59.5,0.0,2300.0,0
68.5,68.5,0.0,2300.0,0
72.5,72.5,0.0,2300.0,0
83.0,83.0,0.0,2300.0,0
84.5,84.5,0.0,2400.0,0
83.5,83.5,0.0,2300.0,0
90.0,90.0,0.0,2300.0,0
99.5,99.5,0.0,2300.0,0
90.5,90.5,0.0,2300.0,0
115.0,115.0,0.0,2200.0,0
104.5,104.5,0.0,2500.0,0
108.5,108.5,0.0,2300.0,0
266.0,266.0,0.0,2200.0,0
331.5,331.5,0.0,400.0,0
156.5,156.5,0.0,1400.0,0
36.5,35.5,1.0,2500.0,0
272.5,272.5,0.0,2100.0,0
339.5,339.5,0.0,310.0,0
267.0,267.0,0.0,310.0,0
254.0,254.0,0.0,320.0,0
272.5,272.5,0.0,320.0,0
277.0,277.0,0.0,360.0,0
295.5,295.5,0.0,390.0,0
297.5,297.5,0.0,370.0,0
289.5,289.5,0.0,390.0,0
302.5,302.5,0.0,380.0,0
318.5,318.5,0.0,450.0,0
309.0,309.0,0.0,440.0,0
331.5,331.5,0.0,450.0,0
350.0,350.0,0.0,470.0,0
344.0,344.0,0.0,450.0,0
340.5,340.5,0.0,460.0,0
372.5,372.5,0.0,490.0,0
363.0,363.0,0.0,500.0,0
342.0,342.0,0.0,680.0,0
324.0,324.0,0.0,640.0,0
251.0,249.5,1.5,1600.0,0
135.0,125.0,10.0,2200.0,0
367.5,367.5,0.0,2200.0,0
362.0,362.0,0.0,1300.0,0
407.5,407.5,0.0,1000.0,0
427.0,427.0,0.0,950.0,0
381.5,381.5,0.0,1000.0,0
410.0,410.0,0.0,1000.0,0
441.0,441.0,0.0,1000.0,0
423.0,423.0,0.0,950.0,0
425.5,425.5,0.0,990.0,0
398.0,398.0,0.0,1100.0,0
363.5,363.5,0.0,1200.0,0
425.5,425.5,0.0,1200.0,0
456.5,456.5,0.0,950.0,0
404.5,404.5,0.0,1100.0,0
431.5,431.5,0.0,940.0,0
423.5,423.5,0.0,940.0,0
404.5,404.5,0.0,940.0,0
423.0,423.0,0.0,900.0,0
433.0,433.0,0.0,900.0,0
365.5,365.5,0.0,890.0,0
422.0,422.0,0.0,890.0,0
387.5,387.5,0.0,970.0,0
411.5,411.5,0.0,930.0,0
416.5,416.5,0.0,920.0,0
429.0,429.0,0.0,920.0,0
454.0,454.0,0.0,940.0,0
337.0,337.0,0.0,1100.0,0
175.0,164.0,11.0,1800.0,0
260.5,260.5,0.0,2400.0,0
478.0,478.0,0.0,1100.0,0
387.0,387.0,0.0,1100.0,0
410.0,410.0,0.0,1200.0,0
398.0,398.0,0.0,1400.0,0
411.0,411.0,0.0,1000.0,0
429.0,429.0,0.0,1400.0,0
391.5,391.5,0.0,1100.0,0
402.0,402.0,0.0,1100.0,0
378.0,378.0,0.0,1000.0,0
448.5,448.5,0.0,900.0,0
433.5,433.5,0.0,1000.0,0
423.0,423.0,0.0,920.0,0
392.5,392.5,0.0,1100.0,0
380.5,380.5,0.0,1100.0,0
418.0,418.0,0.0,1000.0,0
417.5,417.5,0.0,1000.0,0
433.5,433.5,0.0,860.0,0
448.5,448.5,0.0,790.0,0
429.0,429.0,0.0,860.0,0
400.0,400.0,0.0,960.0,0
423.5,423.5,0.0,770.0,0
401.0,401.0,0.0,920.0,0
394.5,394.5,0.0,960.0,0
407.0,407.0,0.0,960.0,0
