RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.5,0.5,0.0,8200.0,0
1.0,1.0,0.0,8900.0,0
3.5,3.5,0.0,11000.0,0
0.0,0.0,0.0,11000.0,0
7.0,7.0,0.0,13000.0,0
10.0,10.0,0.0,14000.0,0
8.5,8.5,0.0,15000.0,0
10.0,10.0,0.0,16000.0,0
23.5,23.5,0.0,17000.0,0
10.0,10.0,0.0,18000.0,0
0.0,0.0,0.0,18000.0,0
0.0,0.0,0.0,10000.0,0
0.5,0.5,0.0,10000.0,0
0.0,0.0,0.0,7400.0,0
0.0,0.0,0.0,7400.0,0
0.0,0.0,0.0,6600.0,0
0.0,0.0,0.0,6600.0,0
0.0,0.0,0.0,6600.0,0
8.5,8.5,0.0,17000.0,0
9.0,9.0,0.0,19000.0,0
37.0,37.0,0.0,20000.0,0
31.0,31.0,0.0,17000.0,0
5.0,5.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,15000.0,0
2.0,2.0,0.0,14000.0,0
9.0,9.0,0.0,14000.0,0
12.0,12.0,0.0,15000.0,0
0.5,0.5,0.0,17000.0,0
0.0,0.0,0.0,17000.0,0
0.0,0.0,0.0,17000.0,0
0.0,0.0,0.0,18000.0,0
3.5,3.5,0.0,19000.0,0
3.5,3.5,0.0,22000.0,0
11.5,11.5,0.0,24000.0,0
18.0,18.0,0.0,24000.0,0
15.5,15.5,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
5.5,5.5,0.0,24000.0,0
11.0,11.0,0.0,24000.0,0
1.0,1.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.5,0.5,0.0,24000.0,0
0.0,0.0,0.0,17000.0,0
5.0,5.0,0.0,19000.0,0
10.0,10.0,0.0,19000.0,0
18.0,18.0,0.0,20000.0,0
6.0,6.0,0.0,22000.0,0
2.0,2.0,0.0,19000.0,0
13.0,13.0,0.0,24000.0,0
15.5,15.5,0.0,22000.0,0
16.5,16.5,0.0,22000.0,0
3.5,3.5,0.0,23000.0,0
0.0,0.0,0.0,23000.0,0
1.5,1.5,0.0,23000.0,0
3.0,3.0,0.0,23000.0,0
2.5,2.5,0.0,24000.0,0
1.5,1.5,0.0,22000.0,0
0.0,0.0,0.0,18000.0,0
1.5,1.5,0.0,23000.0,0
4.0,4.0,0.0,19000.0,0
14.0,14.0,0.0,20000.0,0
3.0,3.0,0.0,21000.0,0
8.0,8.0,0.0,23000.0,0
0.0,0.0,0.0,24000.0,0
15.0,15.0,0.0,25000.0,0
8.0,8.0,0.0,25000.0,0
10.5,10.5,0.0,22000.0,0
1.0,1.0,0.0,22000.0,0
2.0,2.0,0.0,22000.0,0
0.5,0.5,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
4.5,4.5,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
0.5,0.5,0.0,25000.0,0
1.0,1.0,0.0,25000.0,0
11.5,11.5,0.0,25000.0,0
3.0,3.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
0.5,0.5,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,25000.0,0
17.0,17.0,0.0,26000.0,0
6.0,6.0,0.0,28000.0,0
5.0,5.0,0.0,27000.0,0
8.0,8.0,0.0,26000.0,0
6.0,6.0,0.0,26000.0,0
2.0,2.0,0.0,26000.0,0
11.0,11.0,0.0,26000.0,0
20.0,20.0,0.0,26000.0,0
3.0,3.0,0.0,26000.0,0
4.0,4.0,0.0,26000.0,0
1.5,1.5,0.0,26000.0,0
3.0,3.0,0.0,26000.0,0
2.0,2.0,0.0,26000.0,0
0.0,0.0,0.0,26000.0,0
0.0,0.0,0.0,22000.0,0
19.0,19.0,0.0,24000.0,0
24.0,24.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
6.0,6.0,0.0,22000.0,0
12.0,12.0,0.0,22000.0,0
7.0,7.0,0.0,22000.0,0
13.0,13.0,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
6.0,6.0,0.0,20000.0,0
12.0,12.0,0.0,20000.0,0
1.0,1.0,0.0,22000.0,0
1.5,1.5,0.0,22000.0,0
0.0,0.0,0.0,15000.0,0
0.0,0.0,0.0,14000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,16000.0,0
0.0,0.0,0.0,19000.0,0
2.5,2.5,0.0,20000.0,0
3.0,3.0,0.0,21000.0,0
22.5,22.5,0.0,22000.0,0
31.5,31.5,0.0,23000.0,0
20.0,20.0,0.0,24000.0,0
30.0,30.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.0,0.0,0.0,24000.0,0
0.5,0.5,0.0,13000.0,0
0.0,0.0,0.0,13000.0,0
9.0,9.0,0.0,14000.0,0
18.0,18.0,0.0,15000.0,0
11.5,11.5,0.0,18000.0,0
17.0,17.0,0.0,17000.0,0
14.5,14.5,0.0,19000.0,0
18.5,18.5,0.0,19000.0,0
24.0,24.0,0.0,19000.0,0
0.5,0.5,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,19000.0,0
16.0,16.0,0.0,19000.0,0
32.0,32.0,0.0,17000.0,0
4.0,4.0,0.0,17000.0,0
3.5,3.5,0.0,17000.0,0
4.0,4.0,0.0,18000.0,0
6.0,6.0,0.0,18000.0,0
5.0,5.0,0.0,20000.0,0
1.0,1.0,0.0,20000.0,0
1.5,1.5,0.0,18000.0,0
2.0,2.0,0.0,20000.0,0
2.5,2.5,0.0,21000.0,0
7.0,7.0,0.0,21000.0,0
23.0,23.0,0.0,20000.0,0
5.0,5.0,0.0,20000.0,0
0.0,0.0,0.0,20000.0,0
0.0,0.0,0.0,20000.0,0
2.0,2.0,0.0,20000.0,0
4.0,4.0,0.0,20000.0,0
0.5,0.5,0.0,21000.0,0
8.5,8.5,0.0,21000.0,0
0.0,0.0,0.0,18000.0,0
0.0,0.0,0.0,21000.0,0
1.0,1.0,0.0,21000.0,0
9.5,9.5,0.0,23000.0,0
17.0,17.0,0.0,23000.0,0
7.0,7.0,0.0,23000.0,0
3.0,3.0,0.0,23000.0,0
0.5,0.5,0.0,23000.0,0
8.0,8.0,0.0,25000.0,0
24.0,24.0,0.0,27000.0,0
3.5,3.5,0.0,27000.0,0
6.5,6.5,0.0,23000.0,0
10.0,10.0,0.0,23000.0,0
4.5,4.5,0.0,29000.0,0
5.0,5.0,0.0,29000.0,0
8.0,8.0,0.0,23000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,21000.0,0
1.0,1.0,0.0,20000.0,0
1.5,1.5,0.0,21000.0,0
1.0,1.0,0.0,21000.0,0
5.0,5.0,0.0,23000.0,0
15.0,15.0,0.0,25000.0,0
7.5,7.5,0.0,26000.0,0
5.0,5.0,0.0,26000.0,0
4.5,4.5,0.0,27000.0,0
4.5,4.5,0.0,27000.0,0
9.0,9.0,0.0,26000.0,0
1.0,1.0,0.0,30000.0,0
2.5,2.5,0.0,33000.0,0
11.0,11.0,0.0,32000.0,0
8.5,8.5,0.0,32000.0,0
6.0,6.0,0.0,32000.0,0
6.0,6.0,0.0,32000.0,0
5.5,5.5,0.0,37000.0,0
9.0,9.0,0.0,32000.0,0
2.0,2.0,0.0,29000.0,0
1.0,1.0,0.0,29000.0,0
2.0,2.0,0.0,29000.0,0
2.0,2.0,0.0,29000.0,0
5.0,5.0,0.0,29000.0,0
42.0,42.0,0.0,22000.0,0
6.5,6.5,0.0,23000.0,0
5.0,5.0,0.0,22000.0,0
5.0,5.0,0.0,25000.0,0
10.5,10.5,0.0,26000.0,0
1.0,1.0,0.0,25000.0,0
12.0,12.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
4.0,4.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
0.0,0.0,0.0,19000.0,0
0.0,0.0,0.0,17000.0,0
26.0,26.0,0.0,17000.0,0
16.5,16.5,0.0,17000.0,0
1.0,1.0,0.0,17000.0,0
1.5,1.5,0.0,20000.0,0
0.0,0.0,0.0,20000.0,0
5.5,5.5,0.0,22000.0,0
3.5,3.5,0.0,23000.0,0
6.5,6.5,0.0,23000.0,0
2.0,2.0,0.0,18000.0,0
3.5,3.5,0.0,25000.0,0
6.0,6.0,0.0,25000.0,0
7.5,7.5,0.0,25000.0,0
11.5,11.5,0.0,25000.0,0
18.0,18.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
0.0,0.0,0.0,25000.0,0
10.0,10.0,0.0,25000.0,0
7.0,7.0,0.0,21000.0,0
10.0,10.0,0.0,21000.0,0
1.0,1.0,0.0,23000.0,0
5.5,5.5,0.0,24000.0,0
11.0,11.0,0.0,24000.0,0
0.5,0.5,0.0,26000.0,0
7.0,7.0,0.0,23000.0,0
36.0,36.0,0.0,23000.0,0
4.0,4.0,0.0,23000.0,0
3.0,3.0,0.0,23000.0,0
2.5,2.5,0.0,21000.0,0
3.0,3.0,0.0,21000.0,0
0.0,0.0,0.0,21000.0,0
1.5,1.5,0.0,21000.0,0
2.0,2.0,0.0,19000.0,0
15.5,15.5,0.0,23000.0,0
21.0,21.0,0.0,22000.0,0
14.0,14.0,0.0,22000.0,0
0.5,0.5,0.0,22000.0,0
0.5,0.5,0.0,22000.0,0
1.5,1.5,0.0,22000.0,0
2.0,2.0,0.0,22000.0,0
1.0,1.0,0.0,22000.0,0
1.0,1.0,0.0,19000.0,0
5.0,5.0,0.0,21000.0,0
2.0,2.0,0.0,23000.0,0
22.0,22.0,0.0,23000.0,0
42.0,42.0,0.0,23000.0,0
1.5,1.5,0.0,23000.0,0
3.0,3.0,0.0,23000.0,0
3.0,3.0,0.0,25000.0,0
7.0,7.0,0.0,25000.0,0
3.5,3.5,0.0,25000.0,0
1.0,1.0,0.0,25000.0,0
3.5,3.5,0.0,25000.0,0
1.0,1.0,0.0,25000.0,0
11.0,11.0,0.0,25000.0,0
21.0,21.0,0.0,25000.0,0
2.0,2.0,0.0,25000.0,0
1.0,1.0,0.0,18000.0,0
2.0,2.0,0.0,18000.0,0
1.5,1.5,0.0,18000.0,0
0.0,0.0,0.0,23000.0,0
10.5,10.5,0.0,20000.0,0
7.0,7.0,0.0,20000.0,0
7.5,7.5,0.0,18000.0,0
5.0,5.0,0.0,18000.0,0
8.5,8.5,0.0,18000.0,0
6.5,6.5,0.0,18000.0,0
3.0,3.0,0.0,21000.0,0
18.0,18.0,0.0,21000.0,0
4.0,4.0,0.0,21000.0,0
1.5,1.5,0.0,21000.0,0
3.0,3.0,0.0,21000.0,0
0.5,0.5,0.0,22000.0,0
0.0,0.0,0.0,22000.0,0
0.0,0.0,0.0,21000.0,0
